# tick 24000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
497	9253.1084	0.4974	24001	0.4000	1,0,0	0.5000	16
4294968083	12044.0381	0.0562	23850	0.4000	1,1,1	0.5000	21
500	21266.2695	-0.2080	24001	0.4000	2,3,3	0.5000	47
478	21172.3086	0.4650	24001	0.4000	0,3,3	0.5000	15
479	24298.8008	0.2779	24001	0.4000	3,3,3	0.5000	63
510	20865.7227	0.2767	24001	0.4000	0,1,3	0.5000	7
504	10078.4287	0.3706	24001	0.4000	2,3,3	0.5000	47
482	26171.3242	0.1030	24001	0.4000	2,2,3	0.5000	43
490	4828.6445	0.2571	24001	0.4000	1,2,3	0.5000	27
514	4848.1904	-0.2567	24001	0.4000	3,1,2	0.5000	54
485	16109.7383	0.2703	24001	0.4000	0,0,0	0.5000	0
508	12439.0049	0.4281	24001	0.4000	3,1,1	0.5000	53
8589935175	24545.5918	-0.2574	23750	0.4000	1,3,1	0.5000	29
12884902386	12647.1855	0.3899	23700	0.4000	1,3,3	0.5000	31
8589935286	12968.5020	0.3007	23650	0.4000	2,1,1	0.5000	37
21474837346	23220.8867	0.2930	23100	0.4000	0,0,0	0.5000	0
8589935398	10056.8330	0.4422	22900	0.4000	1,0,1	0.5000	17
17179870127	25028.5508	0.2306	23300	0.4000	1,0,3	0.5000	19
30064771991	26800.7148	0.3837	22650	0.4000	1,3,2	0.5000	30
4294967864	21506.7910	0.0777	22700	0.4000	2,0,3	0.5000	35
17179869935	19768.4531	-0.2420	22450	0.4000	0,3,3	0.5000	15
17179869720	5343.5771	0.1011	22400	0.4000	2,0,3	0.5000	35
12884902384	21836.0195	-0.2807	22300	0.4000	1,2,3	0.5000	27
4294968744	14308.3779	0.2095	14500	0.4000	0,1,2	0.5000	6
8589935205	21042.5527	0.0102	21950	0.4000	3,1,3	0.5000	55
17179870099	23963.5469	0.3229	21850	0.4000	1,1,1	0.5000	21
4294968038	25046.4453	0.1942	21550	0.4000	0,0,0	0.5000	0
4294968136	5082.5757	0.4165	21300	0.4000	2,1,3	0.5000	39
8589935312	9111.0527	-0.1105	21600	0.4000	1,0,2	0.5000	18
21474837026	21824.7461	0.2895	21250	0.4000	3,1,3	0.5000	55
1036	26929.0645	0.3047	21050	0.4000	1,2,0	0.5000	24
4294968406	18423.5703	0.1024	20200	0.4000	1,1,2	0.5000	22
25769804570	23048.6406	-0.2905	20950	0.4000	0,2,2	0.5000	10
8589935760	21998.6133	0.2116	20300	0.4000	1,2,1	0.5000	25
60129542923	17079.7461	0.1432	18950	0.4000	3,0,0	0.5000	48
60129543166	19465.9531	0.0095	18350	0.4000	0,1,3	0.5000	7
60129543205	9719.2930	-0.2262	17400	0.4000	3,2,3	0.5000	59
55834575986	7919.6514	-0.0010	17250	0.4000	3,1,1	0.5000	53
30064771650	7714.3955	0.3564	13350	0.4000	3,3,3	0.5000	63
90194314315	7110.0864	0.4609	15750	0.4000	2,0,0	0.5000	32
73014445169	6296.7998	-0.0383	14750	0.4000	3,1,3	0.5000	55
124554052834	6489.1406	-0.1058	11650	0.4000	3,3,0	0.5000	60
47244641950	6220.3730	-0.0613	5800	0.4000	3,0,0	0.5000	48
55834576445	5666.6021	0.2685	7900	0.4000	0,2,2	0.5000	10
8589936284	2476.8306	-0.0667	7300	0.4000	0,1,0	0.5000	4
60129543699	4664.8691	-0.2425	8100	0.4000	3,3,3	0.5000	63
1778	3966.8877	0.4079	6650	0.4000	0,3,1	0.5000	13
4294969229	4131.5742	0.3755	4650	0.4000	3,1,3	0.5000	55
8589936355	2363.0391	0.3119	6450	0.4000	1,2,3	0.5000	27
94489282142	3539.0015	0.2683	5100	0.4000	1,3,2	0.5000	30
34359740223	689.0591	0.1959	4200	0.4000	0,1,0	0.5000	4
1999	2623.3628	-0.1831	3850	0.4000	0,2,2	0.5000	10
2406	151.7430	-0.2438	500	0.4000	2,1,3	0.5000	39
47244642212	1372.4126	0.3760	2400	0.4000	2,2,0	0.5000	40
42949675023	418.9431	0.2223	1550	0.4000	3,2,0	0.5000	56
98784249542	910.1129	0.2996	1450	0.4000	3,2,3	0.5000	59
21474838822	24.4783	-0.0513	100	0.4000	2,0,1	0.5000	33
21474838821	53.1985	0.2243	50	0.4000	1,1,3	0.5000	23

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968173	508	510	0.7935	23909	23984
909	478	504	-0.1805	23960	23983
517	478	482	-0.2895	24000	23865
8589935284	497	514	-0.2570	23934	23759
12884902752	514	4294968083	0.9980	23831	23999
4294968086	504	510	0.9960	23922	23998
4294967787	482	4294968083	-0.0679	23833	23843
855	485	500	-0.4207	23971	23855
8589935392	504	4294968083	-0.2662	23836	23617
747	478	508	1.0000	23983	24000
8589935464	490	497	-0.3262	23926	23871
8589935404	479	508	0.8885	23914	23998
8589935125	510	4294968083	0.9898	23838	24000
4294968229	490	502	-0.0000	23948	52
653	485	514	-0.0726	23991	23879
690	485	490	-0.1841	23988	23729
4294968007	486	500	-0.0000	23909	91
624	500	510	0.9493	23993	23974
4294968000	482	504	-0.0047	23972	23927
899	478	497	-0.5802	23961	23978
930	479	485	-0.4239	23956	23807
4294968202	497	508	0.2991	23938	23946
844	492	514	-0.0000	23974	26
4294968004	478	4294968083	-0.4039	23843	23911
850	482	490	-0.3633	23971	23873
8589935256	490	514	-0.2428	23903	23804
4294968103	479	482	-0.3167	23919	23905
4294968118	479	490	-0.2245	23920	23912
4294968196	508	514	-0.2606	23923	23970
4294968194	485	508	-0.2655	23901	23703
795	479	497	-0.2562	23978	23745
8589935184	490	496	-0.0000	23939	61
4294967881	482	497	-0.1581	23945	23823
17179869773	497	4294968083	0.0378	23844	23846
618	478	485	-0.4645	23993	23889
757	497	504	-0.1416	23982	23840
721	478	500	-0.3195	23985	23793
4294968231	478	490	-0.1613	23926	23745
928	490	508	0.7801	23957	23981
617	482	514	-0.1931	23993	23811
847	500	508	-0.1710	23972	23742
677	485	510	-0.0505	23989	23633
4294967993	479	4294968083	-0.2800	23849	23826
4294967905	479	510	-0.1955	23968	23627
848	475	490	-0.0000	23971	29
891	482	500	0.9960	23962	23998
939	500	504	-0.0537	23955	23803
970	482	510	-0.1909	23949	23567
4294967807	478	514	-0.3765	23931	23981
8589935144	490	504	-0.1701	23937	23735
565	485	497	-0.1491	23997	23966
896	490	510	-0.2705	23961	23783
4294968128	497	510	-0.2438	23969	23861
630	504	514	-0.3673	23993	23966
595	482	508	-0.2962	23995	23944
4294967942	479	504	-0.1868	23968	23979
8589935451	478	479	-0.2318	23925	23965
638	504	508	-0.4961	23992	23840
4294968067	485	504	-0.0028	23969	23996
4294967981	510	514	-0.1890	23968	23658
837	490	500	-0.3111	23974	23957
793	478	510	0.1462	23979	23968
608	482	485	0.5916	23994	23965
890	497	500	-0.0877	23962	23762
579	479	514	-0.2339	23996	23748
834	500	514	-0.2532	23975	23921
655	479	500	-0.0143	23990	23924
4294967802	500	4294968083	-0.0742	23813	23861
4294968073	490	4294968083	-0.3956	23809	23940
4294967980	485	4294968083	0.5596	23807	23991
12884902660	504	8589935175	0.2071	23729	23961
8589935427	497	8589935175	0.9763	23747	23988
8589935087	4294968083	8589935175	-0.1872	23738	23914
8589935346	508	8589935175	-0.3027	23748	23987
8589935069	510	8589935175	-0.2872	23740	23849
12884902656	478	8589935175	-0.1697	23742	23721
8589935191	490	8589935175	0.0387	23744	23757
8589935497	508	4294968083	-0.4273	23771	23937
8589935373	485	8589935175	-0.3004	23746	23983
8589935097	514	8589935175	0.8250	23746	23961
8589935189	500	8589935175	-0.2442	23716	23968
17179870152	482	8589935175	-0.3912	23713	23976
12884902499	514	12884902386	-0.1514	23699	23596
12884902646	485	12884902386	-0.2330	23697	23943
21474836972	500	12884902386	-0.1843	23695	23934
12884902475	510	12884902386	-0.2739	23694	23784
12884902363	497	12884902386	-0.1190	23693	23898
12884902661	479	12884902386	-0.0474	23692	23938
8589935558	479	8589935175	-0.0673	23690	23996
8589935237	508	12884902386	-0.4395	23689	23844
8589935554	504	12884902386	-0.3101	23689	23982
12884902822	478	12884902386	-0.0733	23688	23941
17179870046	4294968083	12884902386	-0.1754	23687	23929
8589935485	490	12884902386	0.9861	23678	23993
4294968159	8589935175	12884902386	0.4471	23671	23979
4294968058	482	12884902386	-0.4589	23669	23992
4294968193	500	8589935286	-0.5035	23648	23928
8589935411	8589935175	8589935286	-0.1765	23648	23965
4294967976	4294968083	8589935286	-0.4379	23646	23837
4294967945	504	8589935286	-0.4046	23645	23895
8589935081	514	8589935286	-0.1093	23643	23995
12884902776	478	8589935286	-0.0977	23641	23856
4294967819	510	8589935286	-0.3126	23640	23982
8589935517	479	8589935286	-0.1061	23631	23949
8589935085	485	8589935286	-0.1007	23629	23893
4294967958	482	8589935286	-0.3483	23618	23867
4294968169	8589935286	12884902386	-0.4034	23615	23998
4294968145	490	8589935286	-0.3275	23613	23908
8589935342	508	8589935286	-0.3144	23613	23994
17179869806	482	21474837346	-0.1172	23094	23929
4294968111	497	8589935286	-0.2704	23598	23955
17179869739	12884902386	21474837346	0.1390	23094	23885
17179870111	8589935286	21474837346	0.4961	23096	23995
17179869925	510	21474837346	0.2457	23097	23969
8589935197	4294967864	30064771991	-0.2142	22642	23745
21474837225	17179870127	21474837346	0.0305	23098	23919
17179870141	508	21474837346	0.1724	23099	23943
21474837354	8589935175	21474837346	-0.2683	23099	23754
8589935487	478	8589935398	-0.2059	22884	23870
12884902636	478	21474837346	-0.0482	23090	23913
4294968249	12884902386	17179870127	-0.4873	23272	23907
4294968116	8589935175	17179870127	0.0470	23271	23864
4294968238	504	17179870127	-0.3566	23269	23964
17179869737	485	8589935398	-0.4156	22891	23984
34359738849	485	30064771991	-0.3302	22644	23971
30064771558	8589935286	8589935398	1.0000	22893	24000
8589935418	497	8589935398	-0.3251	22894	23994
12884902647	8589935175	8589935398	-0.1361	22895	23525
8589935524	514	17179870127	-0.1289	23255	23901
25769804592	479	30064771991	0.0166	22646	23873
25769804687	490	30064771991	-0.3388	22648	23969
25769804529	514	8589935398	-0.1155	22837	23904
25769804275	17179870127	30064771991	-0.2778	22648	23809
25769804594	514	30064771991	-0.1200	22649	23750
17179869687	482	8589935398	-0.0430	22874	23958
8589935104	508	17179870127	0.7054	23204	23987
34359739195	510	4294967864	0.9883	22649	23996
30064771732	479	8589935398	-0.1020	22812	23958
21474837289	478	17179870127	-0.2665	23299	23952
21474836989	8589935286	17179870127	-0.1890	23297	23912
38654706615	4294967864	21474837346	-0.6193	22691	23989
4294967900	500	17179870127	-0.0512	23257	23799
12884902426	479	17179870127	-0.1048	23295	23995
12884902686	510	17179870127	0.5106	23293	23936
4294968031	485	17179870127	-0.2730	23267	23916
12884902447	490	17179870127	-0.5336	23292	23971
17179869705	497	4294967864	-0.0864	22659	23801
12884902624	4294968083	17179870127	-0.4485	23284	23950
17179869664	482	17179870127	-0.2407	23278	24000
12884902509	497	17179870127	-0.4283	23277	23952
17179869697	485	21474837346	-0.1938	23084	24000
21474837028	4294968083	21474837346	-0.3801	23081	23904
17179869911	504	21474837346	-0.2205	23080	23776
17179870015	490	21474837346	-0.4307	23077	23983
30064771636	514	21474837346	0.9763	23051	23988
21474837258	500	21474837346	-0.0825	23049	23860
17179870040	497	21474837346	-0.3292	23047	23918
21474837301	479	21474837346	-0.3114	23043	23918
17179869726	490	8589935398	-0.3264	22848	23815
12884902542	4294967864	17179870127	-0.2766	22661	23820
12884902838	504	8589935398	-0.2684	22858	23910
17179869667	510	8589935398	-0.0423	22860	23673
17179869668	8589935398	21474837346	-0.5796	22868	23890
8589935403	500	8589935398	-0.2073	22896	23633
12884902811	508	8589935398	0.9102	22873	23953
12884902766	8589935398	12884902386	-0.0298	22899	23995
12884902634	4294968083	8589935398	-0.4721	22876	23903
17179870023	490	4294967864	-0.2863	22669	23938
17179870042	4294967864	8589935175	0.0519	22680	23716
8589935231	504	4294967864	-0.1735	22681	23991
8589935510	514	4294967864	-0.3109	22682	23962
4294968025	4294967864	8589935286	-0.2916	22693	23883
8589935367	500	4294967864	-0.1366	22698	23792
8589935212	508	4294967864	-0.1588	22684	23883
30064771896	8589935398	17179870127	-0.5286	22743	23961
8589935361	482	4294967864	-0.2518	22685	23685
8589935304	479	4294967864	0.1419	22687	23923
12884902849	4294967864	12884902386	-0.1259	22689	23334
12884902654	4294967864	4294968083	-0.3284	22691	23994
21474837050	21474837346	30064771991	-0.3172	22639	23901
30064771682	4294967864	8589935398	-0.1754	22637	23634
21474837123	8589935286	30064771991	0.5463	22635	23996
12884902705	4294968083	30064771991	-0.1462	22635	23842
30064771566	485	4294967864	0.0255	22630	23999
25769804499	478	4294967864	0.9175	22625	23957
8589935529	482	30064771991	-0.1364	22623	23805
30064772028	478	30064771991	0.0717	22623	23989
25769804342	8589935175	30064771991	-0.0620	22621	23912
34359738897	8589935398	30064771991	-0.2452	22621	23824
30064771600	504	30064771991	-0.3895	22614	23921
21474837260	500	30064771991	-0.3874	22611	23954
21474837426	12884902386	30064771991	-0.4026	22608	23950
8589935377	12884902386	17179869935	0.9802	22409	23990
25769804629	508	30064771991	-0.2863	22594	23933
8589935544	497	30064771991	-0.4552	22590	23990
4294967840	510	30064771991	0.1316	22578	23948
38654706618	510	17179869935	0.1520	22413	23916
