# tick 26000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
497	7763.1084	0.4974	26001	0.4000	1,0,0	0.5000	16
4294968083	12530.0381	0.0562	25850	0.4000	1,1,1	0.5000	21
500	21784.2695	-0.2080	26001	0.4000	2,3,3	0.5000	47
478	23009.3086	0.4650	26001	0.4000	0,3,3	0.5000	15
479	24446.8008	0.2779	26001	0.4000	3,3,3	0.5000	63
510	21821.7227	0.2767	26001	0.4000	0,1,3	0.5000	7
504	8094.4287	0.3706	26001	0.4000	2,3,3	0.5000	47
482	25591.3242	0.1030	26001	0.4000	2,2,3	0.5000	43
490	6065.6445	0.2571	26001	0.4000	1,2,3	0.5000	27
514	5281.1904	-0.2567	26001	0.4000	3,1,2	0.5000	54
485	16787.7383	0.2703	26001	0.4000	0,0,0	0.5000	0
508	13586.0049	0.4281	26001	0.4000	3,1,1	0.5000	53
8589935175	25384.5918	-0.2574	25750	0.4000	1,3,1	0.5000	29
12884902386	13893.1855	0.3899	25700	0.4000	1,3,3	0.5000	31
8589935286	13974.5020	0.3007	25650	0.4000	2,1,1	0.5000	37
21474837346	24700.8867	0.2930	25100	0.4000	0,0,0	0.5000	0
8589935398	11614.8330	0.4422	24900	0.4000	1,0,1	0.5000	17
17179870127	24684.5508	0.2306	25300	0.4000	1,0,3	0.5000	19
30064771991	27598.7148	0.3837	24650	0.4000	1,3,2	0.5000	30
4294967864	22218.7910	0.0777	24700	0.4000	2,0,3	0.5000	35
17179869935	20518.4531	-0.2420	24450	0.4000	0,3,3	0.5000	15
17179869720	4113.5771	0.1011	24400	0.4000	2,0,3	0.5000	35
12884902384	21138.0195	-0.2807	24300	0.4000	1,2,3	0.5000	27
4294968744	15885.3779	0.2095	16500	0.4000	0,1,2	0.5000	6
8589935205	22429.5527	0.0102	23950	0.4000	3,1,3	0.5000	55
17179870099	24312.5469	0.3229	23850	0.4000	1,1,1	0.5000	21
4294968038	25519.4453	0.1942	23550	0.4000	0,0,0	0.5000	0
4294968136	5288.5757	0.4165	23300	0.4000	2,1,3	0.5000	39
8589935312	9884.0527	-0.1105	23600	0.4000	1,0,2	0.5000	18
21474837026	21320.7461	0.2895	23250	0.4000	3,1,3	0.5000	55
1036	27549.0645	0.3047	23050	0.4000	1,2,0	0.5000	24
4294968406	18761.5703	0.1024	22200	0.4000	1,1,2	0.5000	22
25769804570	24263.6406	-0.2905	22950	0.4000	0,2,2	0.5000	10
8589935760	23224.6133	0.2116	22300	0.4000	1,2,1	0.5000	25
60129542923	16823.7461	0.1432	20950	0.4000	3,0,0	0.5000	48
60129543166	21274.9531	0.0095	20350	0.4000	0,1,3	0.5000	7
60129543205	11737.2930	-0.2262	19400	0.4000	3,2,3	0.5000	59
55834575986	8815.6514	-0.0010	19250	0.4000	3,1,1	0.5000	53
30064771650	8859.3955	0.3564	15350	0.4000	3,3,3	0.5000	63
90194314315	7242.0864	0.4609	17750	0.4000	2,0,0	0.5000	32
73014445169	7446.7998	-0.0383	16750	0.4000	3,1,3	0.5000	55
124554052834	5552.1406	-0.1058	13650	0.4000	3,3,0	0.5000	60
47244641950	5873.3730	-0.0613	7800	0.4000	3,0,0	0.5000	48
55834576445	5687.6021	0.2685	9900	0.4000	0,2,2	0.5000	10
8589936284	2428.8306	-0.0667	9300	0.4000	0,1,0	0.5000	4
60129543699	6580.8691	-0.2425	10100	0.4000	3,3,3	0.5000	63
1778	5057.8877	0.4079	8650	0.4000	0,3,1	0.5000	13
4294969229	4844.5742	0.3755	6650	0.4000	3,1,3	0.5000	55
8589936355	3510.0391	0.3119	8450	0.4000	1,2,3	0.5000	27
94489282142	2605.0015	0.2683	7100	0.4000	1,3,2	0.5000	30
34359740223	636.0591	0.1959	6200	0.4000	0,1,0	0.5000	4
1999	2681.3628	-0.1831	5850	0.4000	0,2,2	0.5000	10
2406	1194.7430	-0.2438	2500	0.4000	2,1,3	0.5000	39
47244642212	1095.4126	0.3760	4400	0.4000	2,2,0	0.5000	40
42949675023	2343.9431	0.2223	3550	0.4000	3,2,0	0.5000	56
98784249542	1715.1129	0.2996	3450	0.4000	3,2,3	0.5000	59
17179871494	196.6551	0.1811	300	0.4000	1,0,1	0.5000	17
38654707885	707.2511	0.3515	1700	0.4000	1,0,3	0.5000	19
34359740484	31.8284	-0.2403	350	0.4000	1,2,0	0.5000	24
38654707949	15.7679	-0.0058	150	0.4000	1,0,1	0.5000	17
77309413416	163.3251	0.4843	50	0.4000	0,3,0	0.5000	12

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968173	508	510	0.6676	25909	25938
909	478	504	0.1207	25960	25960
517	478	482	-0.3659	26000	25870
8589935284	497	514	-0.5108	25934	25944
12884902752	514	4294968083	0.8369	25831	25978
4294968086	504	510	-0.5420	25922	25964
4294967787	482	4294968083	-0.2013	25833	25576
855	485	500	-0.1446	25971	25951
8589935392	504	4294968083	-0.0068	25836	25929
747	478	508	-0.0844	25983	25660
8589935464	490	497	-0.3492	25926	25926
8589935404	479	508	-0.0582	25914	25989
8589935125	510	4294968083	0.1804	25838	25840
4294968229	490	502	-0.0000	25948	52
653	485	514	-0.3700	25991	25992
690	485	490	-0.0837	25988	25989
4294968007	486	500	-0.0000	25909	91
624	500	510	0.9646	25993	25982
4294968000	482	504	-0.3080	25972	25737
899	478	497	0.8762	25961	25982
930	479	485	-0.2220	25956	25851
4294968202	497	508	-0.4535	25938	25990
844	492	514	-0.0000	25974	26
4294968004	478	4294968083	0.0056	25843	25872
850	482	490	-0.2589	25971	25857
8589935256	490	514	0.0226	25903	25939
4294968103	479	482	-0.2569	25919	25620
4294968118	479	490	-0.4269	25920	25983
4294968196	508	514	-0.2642	25923	25984
4294968194	485	508	0.9550	25901	25977
795	479	497	-0.1295	25978	25858
8589935184	490	496	-0.0000	25939	61
4294967881	482	497	-0.3060	25945	25844
17179869773	497	4294968083	0.4419	25844	25983
618	478	485	-0.3690	25993	25867
757	497	504	-0.3125	25982	25972
721	478	500	-0.1494	25985	25755
4294968231	478	490	-0.3052	25926	25879
928	490	508	0.4095	25957	25970
617	482	514	-0.6143	25993	25977
847	500	508	-0.0287	25972	25957
677	485	510	-0.3829	25989	25906
4294967993	479	4294968083	-0.0668	25849	25975
4294967905	479	510	-0.3104	25968	25953
848	475	490	-0.0000	25971	29
891	482	500	0.6974	25962	25985
939	500	504	-0.2570	25955	25969
970	482	510	-0.2179	25949	25785
4294967807	478	514	-0.2606	25931	25963
8589935144	490	504	-0.2266	25937	25836
565	485	497	-0.2093	25997	25862
896	490	510	-0.4088	25961	25977
4294968128	497	510	-0.3357	25969	25821
630	504	514	-0.2493	25993	25909
595	482	508	-0.2544	25995	25925
4294967942	479	504	-0.4083	25968	25942
8589935451	478	479	0.0059	25925	25740
638	504	508	-0.1621	25992	25867
4294968067	485	504	0.0966	25969	25988
4294967981	510	514	0.0088	25968	25844
837	490	500	-0.6525	25974	25987
793	478	510	-0.4827	25979	25885
608	482	485	-0.2001	25994	25832
890	497	500	-0.0866	25962	25978
579	479	514	0.0191	25996	25998
834	500	514	-0.1080	25975	25858
655	479	500	-0.3347	25990	25790
4294967802	500	4294968083	0.1695	25813	25889
4294968073	490	4294968083	0.0926	25809	25989
4294967980	485	4294968083	0.6826	25807	25974
12884902660	504	8589935175	-0.1462	25729	25849
8589935427	497	8589935175	-0.1331	25747	25973
8589935087	4294968083	8589935175	-0.1186	25738	25992
8589935346	508	8589935175	-0.0752	25748	25856
8589935069	510	8589935175	-0.3407	25740	25878
12884902656	478	8589935175	-0.0881	25742	25936
8589935191	490	8589935175	-0.3884	25744	25939
8589935497	508	4294968083	0.0047	25771	25945
8589935373	485	8589935175	0.0588	25746	25847
8589935097	514	8589935175	0.5041	25746	25968
8589935189	500	8589935175	-0.0047	25716	25364
17179870152	482	8589935175	-0.1788	25713	25978
12884902499	514	12884902386	-0.1924	25699	25924
12884902646	485	12884902386	-0.2867	25697	25870
21474836972	500	12884902386	0.9940	25695	25997
12884902475	510	12884902386	-0.3303	25694	25850
12884902363	497	12884902386	-0.2375	25693	25658
12884902661	479	12884902386	-0.2377	25692	25932
8589935558	479	8589935175	-0.3828	25690	25832
8589935237	508	12884902386	-0.3746	25689	25979
8589935554	504	12884902386	-0.2182	25689	25958
12884902822	478	12884902386	-0.1376	25688	25888
17179870046	4294968083	12884902386	-0.2117	25687	25941
8589935485	490	12884902386	0.9398	25678	25969
4294968159	8589935175	12884902386	-0.2697	25671	25928
4294968058	482	12884902386	-0.2656	25669	25940
4294968193	500	8589935286	-0.1022	25648	25992
8589935411	8589935175	8589935286	-0.4177	25648	25972
4294967976	4294968083	8589935286	-0.2646	25646	25909
4294967945	504	8589935286	-0.2055	25645	25676
8589935081	514	8589935286	0.6544	25643	25997
12884902776	478	8589935286	-0.4450	25641	25993
4294967819	510	8589935286	-0.2532	25640	25957
8589935517	479	8589935286	-0.2217	25631	25632
8589935085	485	8589935286	-0.2721	25629	25843
4294967958	482	8589935286	-0.3460	25618	25997
4294968169	8589935286	12884902386	-0.2178	25615	25967
4294968145	490	8589935286	0.0112	25613	25629
