# tick 28000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
497	6560.1084	0.4974	28001	0.4000	1,0,0	0.5000	16
4294968083	13422.0381	0.0562	27850	0.4000	1,1,1	0.5000	21
500	22424.2695	-0.2080	28001	0.4000	2,3,3	0.5000	47
478	23752.3086	0.4650	28001	0.4000	0,3,3	0.5000	15
479	24189.8008	0.2779	28001	0.4000	3,3,3	0.5000	63
510	22830.7227	0.2767	28001	0.4000	0,1,3	0.5000	7
504	6123.4287	0.3706	28001	0.4000	2,3,3	0.5000	47
482	25696.3242	0.1030	28001	0.4000	2,2,3	0.5000	43
490	7403.6445	0.2571	28001	0.4000	1,2,3	0.5000	27
514	7141.1904	-0.2567	28001	0.4000	3,1,2	0.5000	54
485	17766.7383	0.2703	28001	0.4000	0,0,0	0.5000	0
508	15378.0049	0.4281	28001	0.4000	3,1,1	0.5000	53
8589935175	26135.5918	-0.2574	27750	0.4000	1,3,1	0.5000	29
12884902386	15268.1855	0.3899	27700	0.4000	1,3,3	0.5000	31
8589935286	14914.5020	0.3007	27650	0.4000	2,1,1	0.5000	37
21474837346	25244.8867	0.2930	27100	0.4000	0,0,0	0.5000	0
8589935398	11835.8330	0.4422	26900	0.4000	1,0,1	0.5000	17
17179870127	25223.5508	0.2306	27300	0.4000	1,0,3	0.5000	19
30064771991	28459.7148	0.3837	26650	0.4000	1,3,2	0.5000	30
4294967864	24365.7910	0.0777	26700	0.4000	2,0,3	0.5000	35
17179869935	21176.4531	-0.2420	26450	0.4000	0,3,3	0.5000	15
17179869720	2597.5771	0.1011	26400	0.4000	2,0,3	0.5000	35
12884902384	22148.0195	-0.2807	26300	0.4000	1,2,3	0.5000	27
4294968744	17872.3789	0.2095	18500	0.4000	0,1,2	0.5000	6
8589935205	24677.5527	0.0102	25950	0.4000	3,1,3	0.5000	55
17179870099	26129.5469	0.3229	25850	0.4000	1,1,1	0.5000	21
4294968038	26852.4453	0.1942	25550	0.4000	0,0,0	0.5000	0
4294968136	5497.5757	0.4165	25300	0.4000	2,1,3	0.5000	39
8589935312	11946.0527	-0.1105	25600	0.4000	1,0,2	0.5000	18
21474837026	21858.7461	0.2895	25250	0.4000	3,1,3	0.5000	55
1036	27951.0645	0.3047	25050	0.4000	1,2,0	0.5000	24
4294968406	18567.5703	0.1024	24200	0.4000	1,1,2	0.5000	22
25769804570	25236.6406	-0.2905	24950	0.4000	0,2,2	0.5000	10
8589935760	24482.6133	0.2116	24300	0.4000	1,2,1	0.5000	25
60129542923	17621.7461	0.1432	22950	0.4000	3,0,0	0.5000	48
60129543166	24638.9531	0.0095	22350	0.4000	0,1,3	0.5000	7
60129543205	13499.2930	-0.2262	21400	0.4000	3,2,3	0.5000	59
55834575986	10118.6514	-0.0010	21250	0.4000	3,1,1	0.5000	53
30064771650	10000.3955	0.3564	17350	0.4000	3,3,3	0.5000	63
90194314315	7523.0864	0.4609	19750	0.4000	2,0,0	0.5000	32
73014445169	7737.7998	-0.0383	18750	0.4000	3,1,3	0.5000	55
124554052834	5017.1406	-0.1058	15650	0.4000	3,3,0	0.5000	60
47244641950	5207.3730	-0.0613	9800	0.4000	3,0,0	0.5000	48
55834576445	6321.6021	0.2685	11900	0.4000	0,2,2	0.5000	10
8589936284	3521.8306	-0.0667	11300	0.4000	0,1,0	0.5000	4
60129543699	7280.8691	-0.2425	12100	0.4000	3,3,3	0.5000	63
1778	7602.8877	0.4079	10650	0.4000	0,3,1	0.5000	13
4294969229	7440.5742	0.3755	8650	0.4000	3,1,3	0.5000	55
8589936355	4191.0391	0.3119	10450	0.4000	1,2,3	0.5000	27
94489282142	2675.0015	0.2683	9100	0.4000	1,3,2	0.5000	30
34359740223	1878.0591	0.1959	8200	0.4000	0,1,0	0.5000	4
1999	4451.3628	-0.1831	7850	0.4000	0,2,2	0.5000	10
2406	1915.7430	-0.2438	4500	0.4000	2,1,3	0.5000	39
47244642212	1948.4126	0.3760	6400	0.4000	2,2,0	0.5000	40
42949675023	4098.9434	0.2223	5550	0.4000	3,2,0	0.5000	56
98784249542	2307.1128	0.2996	5450	0.4000	3,2,3	0.5000	59
17179871494	2102.6550	0.1811	2300	0.4000	1,0,1	0.5000	17
38654707885	1125.2511	0.3515	3700	0.4000	1,0,3	0.5000	19
107374184766	58.4471	0.4547	100	0.4000	0,2,2	0.5000	10
21474838955	105.1555	0.4148	200	0.4000	0,1,1	0.5000	5
47244642679	50.4149	0.2902	50	0.4000	3,0,1	0.5000	49

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968173	508	510	0.1904	27909	27985
909	478	504	-0.2831	27960	27945
517	478	482	-0.3292	28000	27962
8589935284	497	514	-0.4601	27934	27988
12884902752	514	4294968083	0.9646	27831	27982
4294968086	504	510	0.9743	27922	27987
4294967787	482	4294968083	-0.5721	27833	27919
855	485	500	-0.1428	27971	27783
8589935392	504	4294968083	-0.0815	27836	27959
747	478	508	-0.2685	27983	27776
8589935464	490	497	-0.0115	27926	27856
8589935404	479	508	-0.3175	27914	27964
8589935125	510	4294968083	-0.2225	27838	27880
4294968229	490	502	-0.0000	27948	52
653	485	514	-0.1731	27991	27950
690	485	490	-0.2757	27988	27796
4294968007	486	500	-0.0000	27909	91
624	500	510	-0.2329	27993	27965
4294968000	482	504	-0.0445	27972	27975
899	478	497	0.9197	27961	27984
930	479	485	-0.0665	27956	27934
4294968202	497	508	-0.4030	27938	27957
844	492	514	-0.0000	27974	26
4294968004	478	4294968083	-0.1159	27843	27718
850	482	490	-0.2556	27971	27937
8589935256	490	514	-0.1051	27903	27949
4294968103	479	482	-0.2691	27919	27924
4294968118	479	490	-0.3597	27920	27826
4294968196	508	514	-0.1168	27923	27950
4294968194	485	508	-0.1363	27901	27549
795	479	497	0.1170	27978	27753
8589935184	490	496	-0.0000	27939	61
4294967881	482	497	0.9980	27945	27999
17179869773	497	4294968083	0.0706	27844	27938
618	478	485	-0.2634	27993	27966
757	497	504	0.1296	27982	27984
721	478	500	-0.3750	27985	27851
4294968231	478	490	-0.1286	27926	27864
928	490	508	-0.2861	27957	27876
617	482	514	-0.3491	27993	27803
847	500	508	-0.0732	27972	27894
677	485	510	-0.1273	27989	27730
4294967993	479	4294968083	-0.3470	27849	27768
4294967905	479	510	-0.3351	27968	27944
848	475	490	-0.0000	27971	29
891	482	500	-0.3087	27962	27790
939	500	504	-0.0122	27955	27897
970	482	510	-0.4709	27949	27991
4294967807	478	514	-0.3188	27931	27939
8589935144	490	504	-0.2698	27937	27816
565	485	497	0.3677	27997	27978
896	490	510	-0.1395	27961	27885
4294968128	497	510	-0.1295	27969	27650
630	504	514	-0.0791	27993	27914
595	482	508	0.9512	27995	27975
4294967942	479	504	-0.4385	27968	28000
8589935451	478	479	0.0944	27925	27955
638	504	508	-0.2278	27992	27944
4294968067	485	504	0.1237	27969	27990
4294967981	510	514	-0.0363	27968	27989
837	490	500	-0.1188	27974	27977
793	478	510	-0.3704	27979	27819
608	482	485	-0.3496	27994	27952
890	497	500	-0.0142	27962	27870
579	479	514	-0.1600	27996	27564
834	500	514	-0.2155	27975	27935
655	479	500	-0.4317	27990	27907
4294967802	500	4294968083	0.2123	27813	27980
4294968073	490	4294968083	-0.1360	27809	27820
4294967980	485	4294968083	0.7707	27807	27984
12884902660	504	8589935175	0.1032	27729	27982
8589935427	497	8589935175	-0.2788	27747	27916
8589935087	4294968083	8589935175	0.1651	27738	27752
8589935346	508	8589935175	0.2898	27748	27992
8589935069	510	8589935175	-0.2370	27740	27996
12884902656	478	8589935175	-0.4060	27742	27977
8589935191	490	8589935175	-0.3342	27744	27808
8589935497	508	4294968083	-0.4750	27771	27987
8589935373	485	8589935175	-0.3225	27746	27842
8589935097	514	8589935175	0.9455	27746	27972
8589935189	500	8589935175	-0.4362	27716	27863
17179870152	482	8589935175	-0.0626	27713	27834
12884902499	514	12884902386	-0.3801	27699	27995
12884902646	485	12884902386	-0.1830	27697	27987
21474836972	500	12884902386	-0.0373	27695	27891
12884902475	510	12884902386	-0.0478	27694	27857
12884902363	497	12884902386	-0.4625	27693	27993
12884902661	479	12884902386	-0.3433	27692	27991
8589935558	479	8589935175	-0.2984	27690	27868
8589935237	508	12884902386	-0.1124	27689	27888
8589935554	504	12884902386	-0.3614	27689	27977
12884902822	478	12884902386	-0.3082	27688	27669
17179870046	4294968083	12884902386	-0.2901	27687	27870
8589935485	490	12884902386	0.7335	27678	27976
4294968159	8589935175	12884902386	0.6459	27671	27913
4294968058	482	12884902386	-0.2879	27669	27906
4294968193	500	8589935286	-0.2543	27648	27823
8589935411	8589935175	8589935286	-0.4877	27648	27927
4294967976	4294968083	8589935286	-0.0959	27646	27901
4294967945	504	8589935286	-0.2461	27645	27785
8589935081	514	8589935286	-0.3684	27643	27841
12884902776	478	8589935286	-0.1489	27641	27967
4294967819	510	8589935286	-0.1146	27640	27954
8589935517	479	8589935286	-0.0291	27631	27854
8589935085	485	8589935286	0.0591	27629	27962
4294967958	482	8589935286	-0.2182	27618	27980
4294968169	8589935286	12884902386	-0.3175	27615	27958
4294968145	490	8589935286	-0.4509	27613	27943
