# tick 2000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
506	922.2191	-0.2031	2001	0.4000	2,2,1	0.5000	41
476	2558.4604	0.4967	2001	0.4000	2,0,0	0.5000	32
477	3902.9614	0.5000	2001	0.4000	1,3,0	0.5000	28
478	4180.7993	0.3080	2001	0.4000	2,2,3	0.5000	43
479	844.1688	-0.1659	2001	0.4000	3,0,1	0.5000	49
480	4415.7939	-0.1741	2001	0.4000	0,0,1	0.5000	1
17179869943	1519.1864	0.4259	1500	0.4000	0,3,0	0.5000	12
503	3119.5210	-0.0844	2001	0.4000	3,1,0	0.5000	52
495	4475.8477	0.2218	2001	0.4000	0,0,0	0.5000	0
497	3833.8962	-0.1590	2001	0.4000	3,0,2	0.5000	50
485	3237.2837	0.0933	2001	0.4000	2,2,2	0.5000	42
486	888.7835	0.3281	2001	0.4000	0,1,3	0.5000	7
8589935216	2504.1213	-0.0066	1850	0.4000	2,2,0	0.5000	40
500	2080.9292	0.4763	2001	0.4000	0,1,2	0.5000	6
494	3555.2720	0.1236	2001	0.4000	2,2,0	0.5000	40
510	1871.0299	-0.2919	2001	0.4000	3,3,0	0.5000	60
491	865.3206	0.2605	2001	0.4000	1,0,1	0.5000	17
4294968050	3527.4402	0.1188	1700	0.4000	3,1,0	0.5000	52
12884902748	835.3201	-0.1403	1650	0.4000	1,1,2	0.5000	22
8589935100	2174.3047	0.1604	1400	0.4000	1,0,0	0.5000	16
12884902646	2315.7065	0.1814	1300	0.4000	1,2,3	0.5000	27
25769804550	195.6409	0.0929	650	0.4000	2,3,2	0.5000	46
12884902674	35.6615	0.1720	50	0.4000	3,1,0	0.5000	52
17179870018	475.9611	0.1390	450	0.4000	1,0,1	0.5000	17

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968057	478	497	0.7353	1851	1987
516	476	478	-0.4019	2000	1885
4294968251	486	510	-0.5152	1895	1955
4294968233	486	491	-0.5330	1893	1984
4294967809	478	8589935216	0.9980	1809	1999
4294967786	497	8589935216	-0.3867	1846	1961
685	476	495	-0.3686	1987	1851
665	486	503	-0.3712	1989	1992
8589935139	480	17179869943	-0.5094	1470	1967
4294967956	491	494	-0.5271	1947	1921
525	494	510	-0.6579	2000	1931
526	476	477	-0.5174	1999	1844
527	478	500	-0.5069	1999	1864
745	485	506	-0.4844	1981	1886
877	476	503	-0.6357	1967	1902
808	485	495	0.9960	1975	1998
531	494	495	0.9512	1999	1975
897	480	486	0.8183	1964	1996
4294968052	479	503	-0.4377	1901	1787
829	479	500	-0.6034	1973	1983
896	479	491	-0.4179	1964	1816
4294967824	477	8589935216	0.9960	1821	1998
8589935076	477	8589935100	-0.3493	1391	1999
538	480	491	-0.5651	1998	1920
925	491	506	-0.6413	1938	1966
12884902741	476	485	-0.4704	1945	1792
4294967915	477	485	0.9920	1941	1996
4294967837	510	8589935216	-0.4026	1823	1944
8589935124	500	506	-0.7128	1963	1967
657	476	479	0.9920	1989	1996
545	497	510	-0.2071	1998	1960
8589935395	495	8589935216	-0.3115	1825	1935
816	478	495	-0.2507	1974	1960
700	494	503	0.5143	1986	1997
8589935356	506	8589935216	-0.5065	1828	1995
886	478	510	-0.4123	1966	1870
12884902628	4294968050	17179869943	0.9569	1475	1978
742	478	491	0.8780	1981	1991
693	479	495	-0.9030	1986	1950
4294968246	497	508	-0.0022	1912	88
4294967916	486	500	-0.5415	1876	1964
916	480	485	0.8922	1954	1999
4294967907	495	510	0.9841	1962	1992
4294967815	479	485	-0.4603	1938	1933
4294967966	476	497	-0.7498	1948	1983
690	491	510	-0.7792	1987	1962
4294968214	491	17179869943	-0.3257	1478	1990
8589935371	476	8589935216	-0.5073	1828	1977
563	494	506	-0.5700	1997	1867
8589935465	8589935216	17179869943	-0.2539	1481	1990
565	478	486	-0.4258	1996	1951
738	491	503	-0.4631	1982	1797
678	494	497	-0.5631	1988	1935
882	485	503	-0.5336	1966	1959
8589935514	4294967777	12884902646	-0.0080	1264	736
12884902387	12884902748	17179869943	0.9861	1483	1993
913	480	500	0.1565	1955	1920
839	478	506	-0.6597	1972	1998
801	506	510	-0.8956	1976	1977
8589935520	510	17179869943	-0.4936	1484	1965
957	480	494	-0.6554	1928	1955
775	491	500	-0.4990	1978	1935
4294967987	497	506	-0.3804	1943	1921
885	497	503	0.8865	1966	1998
4294968021	477	494	-0.5157	1879	1978
4294968249	510	8589935100	-0.0772	1397	1966
581	479	494	-0.4601	1995	1919
4294968138	478	479	-0.1945	1918	1982
8589935358	479	17179869943	-0.0104	1486	1975
4294968205	477	479	-0.6217	1924	2000
585	485	510	-0.3648	1995	1871
900	497	511	-0.0020	1961	39
4294968139	480	495	-0.5155	1952	1985
4294967844	503	506	0.9900	1980	1995
807	485	497	-0.5037	1975	1902
590	494	500	-0.6326	1995	1888
895	477	510	-0.3604	1964	1793
592	480	510	0.9960	1995	1998
4294967900	503	510	-0.1202	1958	1925
8589935263	503	8589935216	-0.2860	1829	1943
12884902481	478	494	1.0000	1902	2000
596	476	510	-0.4094	1994	1920
734	476	486	-0.7909	1982	1967
12884902462	479	506	-0.7091	1881	1981
920	486	494	-0.3463	1954	1956
8589935462	477	491	-0.4188	1944	1960
668	478	503	-0.5127	1988	2000
4294968096	478	485	0.8588	1903	2000
4294968189	480	506	-0.1642	1941	1929
4294968049	477	480	-0.5290	1961	1933
4294967972	480	503	-0.3870	1948	1768
8589935289	500	8589935216	-0.2727	1830	1887
4294968109	486	8589935216	-0.7171	1833	1964
608	480	497	0.0956	1993	2000
609	477	486	0.8215	1993	1989
4294967982	479	510	-0.6133	1948	1991
4294968239	486	17179869943	-0.7043	1491	1975
8589935316	479	497	0.8322	1949	1999
748	495	506	-0.5248	1981	1857
4294968155	477	497	-0.3601	1925	1925
8589935342	480	8589935216	-0.4944	1834	1913
8589935365	478	17179869943	-0.6226	1491	1917
765	479	480	-0.2427	1978	1987
4294967831	477	503	-0.4234	1961	1994
4294968131	485	500	-0.1526	1949	1996
8589935370	485	8589935216	0.6345	1835	1994
8589935385	495	500	-0.5176	1914	1962
4294968072	476	491	-0.3209	1959	1618
4294968259	495	17179869943	-0.5311	1493	1983
17179869783	500	17179869943	-0.6722	1495	1873
8589935388	485	17179869943	-0.6563	1497	1999
4294968086	500	510	-0.7486	1945	1997
627	477	500	-0.5828	1992	1897
4294968078	479	8589935216	-0.5779	1839	1878
4294967906	497	500	-0.5771	1980	1913
4294968225	491	8589935216	-0.5920	1839	1965
698	485	491	-0.4085	1986	1974
887	477	495	0.8821	1965	2000
721	476	500	0.9881	1984	1994
945	495	503	-0.4393	1932	1811
8589935394	486	495	-0.5521	1909	1900
4294967970	494	8589935216	0.8281	1844	1976
637	476	480	0.9704	1991	1985
707	486	497	-0.7018	1985	1918
4294967788	476	494	-0.0357	1904	1981
640	479	486	-0.6987	1991	1893
919	491	497	-0.7226	1954	1995
12884902733	8589935100	17179869943	-0.6030	1398	1879
4294968120	485	494	-0.3738	1945	1973
746	486	506	-0.4274	1981	1978
785	485	486	-0.4859	1977	1919
791	476	506	-0.5186	1977	1935
4294967912	495	497	0.8628	1941	1980
795	477	478	-0.4916	1976	1904
4294967954	491	495	-0.3130	1958	1671
949	477	506	-0.4227	1931	1981
4294967816	478	480	0.9980	1979	1999
652	500	503	0.7715	1990	1990
12884902448	479	4294968050	-0.5781	1675	1889
8589935308	500	4294968050	-0.0891	1676	1823
4294968247	495	4294968050	-0.1131	1676	1928
8589935126	477	4294968050	0.8582	1682	1984
8589935175	491	4294968050	-0.2228	1682	1950
8589935075	476	4294968050	-0.4198	1683	1966
12884902846	486	12884902748	-0.3875	1642	1920
17179870063	494	12884902748	-0.6131	1643	1932
