# tick 4000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
506	3946.2192	-0.2031	4001	0.4000	2,2,1	0.5000	41
476	4495.4604	0.4967	4001	0.4000	2,0,0	0.5000	32
477	7834.9614	0.5000	4001	0.4000	1,3,0	0.5000	28
478	8740.7988	0.3080	4001	0.4000	2,2,3	0.5000	43
479	610.1688	-0.1659	4001	0.4000	3,0,1	0.5000	49
480	7266.7939	-0.1741	4001	0.4000	0,0,1	0.5000	1
17179869943	2826.1865	0.4259	3500	0.4000	0,3,0	0.5000	12
503	5681.5210	-0.0844	4001	0.4000	3,1,0	0.5000	52
495	7462.8477	0.2218	4001	0.4000	0,0,0	0.5000	0
497	7400.8965	-0.1590	4001	0.4000	3,0,2	0.5000	50
485	7078.2837	0.0933	4001	0.4000	2,2,2	0.5000	42
486	2565.7834	0.3281	4001	0.4000	0,1,3	0.5000	7
8589935216	6597.1211	-0.0066	3850	0.4000	2,2,0	0.5000	40
500	4738.9292	0.4763	4001	0.4000	0,1,2	0.5000	6
494	5133.2720	0.1236	4001	0.4000	2,2,0	0.5000	40
510	4486.0298	-0.2919	4001	0.4000	3,3,0	0.5000	60
8589935730	61.3105	0.4636	250	0.4000	0,3,0	0.5000	12
4294968050	7178.4404	0.1188	3700	0.4000	3,1,0	0.5000	52
12884902748	569.3201	-0.1403	3650	0.4000	1,1,2	0.5000	22
8589935100	5849.3047	0.1604	3400	0.4000	1,0,0	0.5000	16
12884902646	6838.7065	0.1814	3300	0.4000	1,2,3	0.5000	27
17179870219	244.7990	0.3876	350	0.4000	2,3,0	0.5000	44
55834575671	3234.8975	-0.1446	1900	0.4000	1,0,1	0.5000	17
17179870018	2200.9612	0.1390	2450	0.4000	1,0,1	0.5000	17
17179869887	660.0812	0.1555	1950	0.4000	3,1,2	0.5000	54
64424509951	393.9465	0.3521	1500	0.4000	3,2,2	0.5000	58
4294967931	2540.3079	0.3773	1800	0.4000	1,1,3	0.5000	23
25769804274	773.5682	-0.1939	1400	0.4000	0,3,1	0.5000	13
12884902568	600.1649	-0.2438	1350	0.4000	0,1,2	0.5000	6
4294968040	1923.2423	-0.1190	1250	0.4000	2,2,1	0.5000	41
967	834.0318	-0.1410	1150	0.4000	2,0,0	0.5000	32
8589935616	1210.2952	0.4907	850	0.4000	2,1,3	0.5000	39
997	1463.4521	-0.2330	1050	0.4000	1,3,2	0.5000	30
4294968363	409.3311	0.0151	800	0.4000	0,3,2	0.5000	14
25769804285	78.2215	0.2821	50	0.4000	2,0,3	0.5000	35

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968057	478	497	0.9841	3851	3992
516	476	478	-0.2435	4000	4000
4294968251	486	510	-0.3929	3895	3999
1088	494	4294968363	0.3478	714	3988
4294967809	478	8589935216	0.9802	3809	3990
4294967786	497	8589935216	-0.3534	3846	3990
685	476	495	-0.4447	3987	3761
665	486	503	-0.4743	3989	3936
8589935139	480	17179869943	-0.1807	3470	3683
17179870158	510	8589935730	0.9960	226	3998
525	494	510	-0.5772	4000	3841
526	476	477	-0.3707	3999	3932
527	478	500	-0.1468	3999	3912
745	485	506	-0.1290	3981	3905
877	476	503	-0.3964	3967	3999
808	485	495	0.3186	3975	3936
531	494	495	0.0610	3999	3925
897	480	486	-0.0336	3964	3988
4294968052	479	503	-0.3263	3901	3866
829	479	500	-0.3840	3973	3645
4294968335	4294968050	4294968363	-0.3501	776	3831
4294967824	477	8589935216	0.6945	3821	3994
8589935076	477	8589935100	-0.4858	3391	3982
12884902784	477	4294968405	-0.0552	297	3703
4294968337	4294968363	8589935616	-0.0578	769	3983
12884902741	476	485	-0.2352	3945	3895
4294967915	477	485	-0.0781	3941	3995
4294967837	510	8589935216	-0.3348	3823	3721
8589935124	500	506	-0.1354	3963	3918
657	476	479	0.1166	3989	3954
545	497	510	-0.6775	3998	3988
8589935395	495	8589935216	-0.3589	3825	3899
816	478	495	-0.5111	3974	3955
700	494	503	-0.5002	3986	3951
8589935356	506	8589935216	-0.1801	3828	3984
886	478	510	-0.1264	3966	3899
12884902628	4294968050	17179869943	0.9569	3475	3978
4294968357	4294968363	17179869887	-0.2800	725	3973
693	479	495	-0.0436	3986	3977
4294968246	497	508	-0.0000	3912	88
4294967916	486	500	-0.2252	3876	3877
916	480	485	0.9940	3954	3997
4294967907	495	510	0.0608	3962	3990
4294967815	479	485	-0.6133	3938	3953
4294967966	476	497	-0.4263	3948	3844
4294968358	4294968363	17179869943	0.8241	726	3986
4294968338	478	4294968363	-0.6349	767	3951
8589935371	476	8589935216	-0.5427	3828	3895
563	494	506	0.2305	3997	3992
8589935465	8589935216	17179869943	-0.5217	3481	3971
565	478	486	-0.3970	3996	3997
21474837313	8589935100	8589935730	-0.2159	227	3893
678	494	497	0.0812	3988	3941
882	485	503	-0.3894	3966	3822
8589935514	4294967777	12884902646	-0.0001	3264	736
12884902387	12884902748	17179869943	0.5828	3483	3996
913	480	500	-0.3651	3955	3879
839	478	506	0.0692	3972	3716
801	506	510	-0.3172	3976	3963
8589935520	510	17179869943	-0.2310	3484	3952
957	480	494	-0.2243	3928	3883
4294968364	4294968363	8589935216	-0.2255	729	3921
4294967987	497	506	-0.0895	3943	3675
