# tick 6000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
506	8333.2188	-0.2031	6001	0.4000	2,2,1	0.5000	41
476	5361.4604	0.4967	6001	0.4000	2,0,0	0.5000	32
477	9766.9609	0.5000	6001	0.4000	1,3,0	0.5000	28
478	10550.7988	0.3080	6001	0.4000	2,2,3	0.5000	43
479	1191.1688	-0.1659	6001	0.4000	3,0,1	0.5000	49
480	9504.7939	-0.1741	6001	0.4000	0,0,1	0.5000	1
17179869943	4343.1865	0.4259	5500	0.4000	0,3,0	0.5000	12
503	8515.5215	-0.0844	6001	0.4000	3,1,0	0.5000	52
495	7876.8477	0.2218	6001	0.4000	0,0,0	0.5000	0
497	9191.8965	-0.1590	6001	0.4000	3,0,2	0.5000	50
485	9613.2832	0.0933	6001	0.4000	2,2,2	0.5000	42
486	3075.7834	0.3281	6001	0.4000	0,1,3	0.5000	7
8589935216	10494.1211	-0.0066	5850	0.4000	2,2,0	0.5000	40
500	7868.9292	0.4763	6001	0.4000	0,1,2	0.5000	6
494	6108.2720	0.1236	6001	0.4000	2,2,0	0.5000	40
510	6137.0298	-0.2919	6001	0.4000	3,3,0	0.5000	60
8589935730	2112.3105	0.4636	2250	0.4000	0,3,0	0.5000	12
4294968050	9857.4404	0.1188	5700	0.4000	3,1,0	0.5000	52
12884902748	2516.3201	-0.1403	5650	0.4000	1,1,2	0.5000	22
8589935100	8432.3047	0.1604	5400	0.4000	1,0,0	0.5000	16
12884902646	9668.7070	0.1814	5300	0.4000	1,2,3	0.5000	27
17179870219	944.7990	0.3876	2350	0.4000	2,3,0	0.5000	44
55834575671	4689.8975	-0.1446	3900	0.4000	1,0,1	0.5000	17
17179870018	4426.9609	0.1390	4450	0.4000	1,0,1	0.5000	17
17179869887	1252.0813	0.1555	3950	0.4000	3,1,2	0.5000	54
64424509951	1366.9465	0.3521	3500	0.4000	3,2,2	0.5000	58
4294967931	4916.3076	0.3773	3800	0.4000	1,1,3	0.5000	23
25769804274	2193.5684	-0.1939	3400	0.4000	0,3,1	0.5000	13
12884902568	2301.1650	-0.2438	3350	0.4000	0,1,2	0.5000	6
4294968040	6748.2422	-0.1190	3250	0.4000	2,2,1	0.5000	41
967	2278.0317	-0.1410	3150	0.4000	2,0,0	0.5000	32
8589935616	2530.2952	0.4907	2850	0.4000	2,1,3	0.5000	39
997	3778.4521	-0.2330	3050	0.4000	1,3,2	0.5000	30
4294968363	3216.3311	0.0151	2800	0.4000	0,3,2	0.5000	14
12884903236	52.6501	0.2995	50	0.4000	2,0,1	0.5000	33
34359739110	1059.2649	0.4187	1800	0.4000	3,0,3	0.5000	51
21474837685	771.5725	0.3730	950	0.4000	0,3,3	0.5000	15
25769804972	400.5092	0.4350	900	0.4000	3,0,3	0.5000	51
38654706861	600.9807	-0.2656	800	0.4000	3,3,2	0.5000	62
55834575954	67.9529	0.4673	100	0.4000	0,3,1	0.5000	13

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968057	478	497	-0.4330	5851	5896
516	476	478	-0.3809	6000	5929
4294968251	486	510	-0.0958	5895	5972
1088	494	4294968363	-0.0371	2714	5784
4294967809	478	8589935216	0.9940	5809	5997
4294967786	497	8589935216	0.0547	5846	5966
685	476	495	-0.6667	5987	5947
665	486	503	-0.3325	5989	5840
8589935139	480	17179869943	-0.3025	5470	5980
17179870158	510	8589935730	0.4648	2226	5974
525	494	510	-0.1549	6000	5987
526	476	477	-0.4239	5999	5880
527	478	500	-0.4550	5999	5972
745	485	506	0.6585	5981	5987
877	476	503	-0.2800	5967	5822
808	485	495	-0.3873	5975	5955
531	494	495	-0.6564	5999	5966
897	480	486	-0.3021	5964	5892
4294968052	479	503	-0.1763	5901	5803
829	479	500	-0.2116	5973	5940
4294968335	4294968050	4294968363	-0.0043	2776	5822
4294967824	477	8589935216	0.9588	5821	5979
8589935076	477	8589935100	-0.2767	5391	5773
12884902784	477	4294968405	-0.0010	2297	3703
4294968337	4294968363	8589935616	-0.2262	2769	5834
12884902741	476	485	-0.2894	5945	5670
4294967915	477	485	0.5186	5941	5998
4294967837	510	8589935216	-0.4954	5823	5914
8589935124	500	506	-0.4166	5963	5958
657	476	479	0.0165	5989	5895
545	497	510	0.2800	5998	5985
8589935395	495	8589935216	-0.6263	5825	5965
816	478	495	-0.4780	5974	5907
700	494	503	-0.4164	5986	5876
8589935356	506	8589935216	-0.2688	5828	5874
886	478	510	-0.2431	5966	5977
12884902628	4294968050	17179869943	0.9704	5475	5985
4294968357	4294968363	17179869887	-0.0908	2725	5981
693	479	495	-0.3375	5986	5976
4294968246	497	508	-0.0000	5912	88
4294967916	486	500	0.8692	5876	5988
916	480	485	0.3198	5954	5831
4294967907	495	510	-0.5064	5962	5900
4294967815	479	485	-0.0386	5938	5941
4294967966	476	497	-0.3592	5948	5797
4294968358	4294968363	17179869943	0.6935	2726	5977
4294968338	478	4294968363	-0.2144	2767	5953
8589935371	476	8589935216	-0.5361	5828	5895
563	494	506	-0.3638	5997	5818
8589935465	8589935216	17179869943	-0.3026	5481	5884
565	478	486	-0.2164	5996	5938
21474837313	8589935100	8589935730	-0.1799	2227	5990
678	494	497	0.4483	5988	5974
882	485	503	-0.0118	5966	5555
8589935514	4294967777	12884902646	-0.0000	5264	736
12884902387	12884902748	17179869943	0.3592	5483	5956
913	480	500	-0.3258	5955	5994
839	478	506	-0.0419	5972	5910
801	506	510	-0.2512	5976	5773
8589935520	510	17179869943	-0.3892	5484	5797
957	480	494	-0.5436	5928	5914
4294968364	4294968363	8589935216	-0.4491	2729	5941
4294967987	497	506	-0.2526	5943	5968
885	497	503	-0.0241	5966	5997
4294968021	477	494	-0.3055	5879	5955
4294968249	510	8589935100	-0.4835	5397	5968
581	479	494	-0.4142	5995	5867
4294968138	478	479	-0.6314	5918	5998
8589935358	479	17179869943	-0.4887	5486	5848
4294968205	477	479	-0.4760	5924	5934
585	485	510	-0.3728	5995	5941
900	497	511	-0.0000	5961	39
4294968139	480	495	-0.6254	5952	5921
4294967844	503	506	0.9881	5980	5994
807	485	497	-0.3249	5975	5936
590	494	500	-0.4075	5995	5878
895	477	510	-0.5235	5964	5962
592	480	510	-0.2100	5995	5990
4294967900	503	510	0.9931	5958	6000
8589935263	503	8589935216	0.0943	5829	5968
12884902481	478	494	-0.1450	5902	5838
596	476	510	-0.3001	5994	5901
734	476	486	-0.4241	5982	5965
12884902462	479	506	0.0377	5881	5918
920	486	494	-0.4434	5954	5959
4294968366	476	4294968363	-0.4421	2730	5944
668	478	503	-0.2642	5988	5695
4294968096	478	485	-0.1775	5903	5733
4294968189	480	506	-0.1191	5941	5746
4294968049	477	480	-0.3314	5961	5863
