# tick 8000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
506	12296.2188	-0.2031	8001	0.4000	2,2,1	0.5000	41
476	7037.4604	0.4967	8001	0.4000	2,0,0	0.5000	32
477	11275.9609	0.5000	8001	0.4000	1,3,0	0.5000	28
478	11741.7988	0.3080	8001	0.4000	2,2,3	0.5000	43
479	102.1688	-0.1659	8001	0.4000	3,0,1	0.5000	49
480	10449.7939	-0.1741	8001	0.4000	0,0,1	0.5000	1
17179869943	4511.1865	0.4259	7500	0.4000	0,3,0	0.5000	12
503	9947.5215	-0.0844	8001	0.4000	3,1,0	0.5000	52
495	7346.8477	0.2218	8001	0.4000	0,0,0	0.5000	0
497	11573.8965	-0.1590	8001	0.4000	3,0,2	0.5000	50
485	11394.2832	0.0933	8001	0.4000	2,2,2	0.5000	42
486	4454.7832	0.3281	8001	0.4000	0,1,3	0.5000	7
8589935216	13666.1211	-0.0066	7850	0.4000	2,2,0	0.5000	40
500	8489.9297	0.4763	8001	0.4000	0,1,2	0.5000	6
494	8739.2715	0.1236	8001	0.4000	2,2,0	0.5000	40
510	7949.0298	-0.2919	8001	0.4000	3,3,0	0.5000	60
8589935730	4658.3105	0.4636	4250	0.4000	0,3,0	0.5000	12
4294968050	12390.4404	0.1188	7700	0.4000	3,1,0	0.5000	52
12884902748	4144.3203	-0.1403	7650	0.4000	1,1,2	0.5000	22
8589935100	9351.3047	0.1604	7400	0.4000	1,0,0	0.5000	16
12884902646	11856.7070	0.1814	7300	0.4000	1,2,3	0.5000	27
17179870219	3632.7991	0.3876	4350	0.4000	2,3,0	0.5000	44
55834575671	5341.8975	-0.1446	5900	0.4000	1,0,1	0.5000	17
17179870018	5487.9609	0.1390	6450	0.4000	1,0,1	0.5000	17
17179869887	2014.0813	0.1555	5950	0.4000	3,1,2	0.5000	54
64424509951	2784.9465	0.3521	5500	0.4000	3,2,2	0.5000	58
4294967931	7029.3076	0.3773	5800	0.4000	1,1,3	0.5000	23
25769804274	3289.5684	-0.1939	5400	0.4000	0,3,1	0.5000	13
12884902568	4129.1650	-0.2438	5350	0.4000	0,1,2	0.5000	6
4294968040	9004.2422	-0.1190	5250	0.4000	2,2,1	0.5000	41
967	3061.0317	-0.1410	5150	0.4000	2,0,0	0.5000	32
8589935616	1797.2952	0.4907	4850	0.4000	2,1,3	0.5000	39
997	5251.4521	-0.2330	5050	0.4000	1,3,2	0.5000	30
4294968363	5035.3311	0.0151	4800	0.4000	0,3,2	0.5000	14
12884903236	1579.6501	0.2995	2050	0.4000	2,0,1	0.5000	33
34359739110	1297.2649	0.4187	3800	0.4000	3,0,3	0.5000	51
21474837685	2169.5725	0.3730	2950	0.4000	0,3,3	0.5000	15
25769804972	1990.5092	0.4350	2900	0.4000	3,0,3	0.5000	51
38654706861	2455.9807	-0.2656	2800	0.4000	3,3,2	0.5000	62
55834575954	1609.9529	0.4673	2100	0.4000	0,3,1	0.5000	13
17179870434	1287.3091	-0.0747	1700	0.4000	3,0,1	0.5000	49
8589936015	1663.1338	0.2167	1500	0.4000	1,1,2	0.5000	22
12884903201	1864.0889	0.3209	1900	0.4000	1,0,2	0.5000	18
12884903455	100.2456	-0.0835	200	0.4000	3,0,0	0.5000	48
17179870731	317.5935	0.2286	1050	0.4000	1,2,0	0.5000	24
1584	152.0628	-0.1440	900	0.4000	2,1,1	0.5000	37
25769805402	165.9733	0.3864	100	0.4000	1,3,3	0.5000	31

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968057	478	497	0.1261	7851	7998
516	476	478	-0.5168	8000	7970
4294968251	486	510	-0.3114	7895	7878
1088	494	4294968363	-0.4926	4714	7949
4294967809	478	8589935216	0.4210	7809	7909
4294967786	497	8589935216	-0.2627	7846	7903
685	476	495	-0.3440	7987	7948
665	486	503	-0.4400	7989	7954
8589935139	480	17179869943	-0.0845	7470	7974
17179870158	510	8589935730	-0.1775	4226	7846
525	494	510	0.0823	8000	7728
526	476	477	-0.2800	7999	7861
527	478	500	-0.6156	7999	7942
745	485	506	0.6977	7981	7982
877	476	503	-0.1367	7967	7905
808	485	495	-0.5892	7975	7999
531	494	495	-0.3827	7999	7946
897	480	486	-0.3174	7964	7964
4294968052	479	503	-0.3593	7901	7724
829	479	500	-0.1278	7973	7945
4294968335	4294968050	4294968363	-0.1616	4776	7649
4294967824	477	8589935216	0.9920	7821	7996
8589935076	477	8589935100	0.4329	7391	7977
12884902784	477	4294968405	-0.0000	4297	3703
4294968337	4294968363	8589935616	-0.2519	4769	7873
12884902741	476	485	-0.1107	7945	7953
4294967915	477	485	-0.0350	7941	7999
4294967837	510	8589935216	-0.2513	7823	7947
8589935124	500	506	-0.2429	7963	7873
657	476	479	-0.5182	7989	7915
545	497	510	0.3934	7998	7958
8589935395	495	8589935216	-0.3622	7825	7976
816	478	495	-0.2755	7974	7919
700	494	503	-0.2018	7986	7881
8589935356	506	8589935216	-0.1646	7828	7394
886	478	510	-0.2466	7966	7979
12884902628	4294968050	17179869943	0.7075	7475	7996
4294968357	4294968363	17179869887	-0.4172	4725	7974
693	479	495	-0.3613	7986	7954
4294968246	497	508	-0.0000	7912	88
4294967916	486	500	0.7071	7876	7987
916	480	485	-0.1271	7954	7909
4294967907	495	510	-0.3204	7962	7761
4294967815	479	485	-0.2394	7938	7629
4294967966	476	497	-0.2403	7948	7719
4294968358	4294968363	17179869943	0.9743	4726	7987
4294968338	478	4294968363	-0.3812	4767	7840
8589935371	476	8589935216	-0.1053	7828	7781
563	494	506	-0.4284	7997	7922
8589935465	8589935216	17179869943	-0.4610	7481	7897
565	478	486	-0.3403	7996	7864
21474837313	8589935100	8589935730	-0.3362	4227	7970
678	494	497	0.9763	7988	7988
882	485	503	-0.3416	7966	7657
8589935514	4294967777	12884902646	-0.0000	7264	736
12884902387	12884902748	17179869943	0.7310	7483	7998
913	480	500	-0.3052	7955	7945
839	478	506	-0.1536	7972	7622
801	506	510	-0.3384	7976	7891
8589935520	510	17179869943	0.1498	7484	7947
957	480	494	-0.2110	7928	7771
4294968364	4294968363	8589935216	0.0999	4729	7928
4294967987	497	506	-0.1500	7943	7973
885	497	503	-0.3062	7966	7921
4294968021	477	494	-0.4088	7879	7957
4294968249	510	8589935100	-0.3561	7397	7953
581	479	494	-0.3867	7995	7979
4294968138	478	479	-0.2316	7918	7958
8589935358	479	17179869943	0.2690	7486	7927
4294968205	477	479	-0.5129	7924	7824
585	485	510	-0.2694	7995	7924
900	497	511	-0.0000	7961	39
4294968139	480	495	-0.1260	7952	7949
4294967844	503	506	0.6891	7980	7989
807	485	497	-0.2249	7975	7902
590	494	500	-0.2568	7995	7919
895	477	510	0.0130	7964	7915
592	480	510	-0.1348	7995	7876
4294967900	503	510	0.9841	7958	7992
8589935263	503	8589935216	0.0080	7829	7880
12884902481	478	494	0.8530	7902	7981
596	476	510	-0.6508	7994	7955
734	476	486	-0.1876	7982	7770
12884902462	479	506	-0.3376	7881	7909
920	486	494	-0.1897	7954	7767
4294968366	476	4294968363	-0.1277	4730	7978
668	478	503	-0.3550	7988	7909
4294968096	478	485	-0.1560	7903	7899
4294968189	480	506	-0.5746	7941	7926
4294968049	477	480	-0.2191	7961	7834
4294967972	480	503	-0.1193	7948	7985
8589935289	500	8589935216	0.9665	7830	7983
4294968109	486	8589935216	-0.3108	7833	7729
608	480	497	-0.2024	7993	7948
609	477	486	-0.1354	7993	7864
4294967982	479	510	-0.3891	7948	7915
4294968239	486	17179869943	-0.1393	7491	7802
8589935316	479	497	-0.4956	7949	7987
748	495	506	0.6192	7981	7974
4294968155	477	497	-0.2487	7925	7735
8589935342	480	8589935216	-0.2662	7834	7994
8589935365	478	17179869943	-0.2032	7491	7980
765	479	480	-0.1781	7978	7542
4294967831	477	503	-0.3221	7961	7933
4294968131	485	500	0.9940	7949	7997
8589935370	485	8589935216	0.9704	7835	7985
8589935385	495	500	-0.2854	7914	7923
4294968367	8589935616	17179869943	-0.5009	4731	7871
4294968259	495	17179869943	-0.3026	7493	7711
17179869783	500	17179869943	-0.3933	7495	7879
8589935388	485	17179869943	0.2756	7497	7933
4294968086	500	510	-0.2308	7945	7976
627	477	500	-0.2887	7992	7994
4294968078	479	8589935216	-0.8471	7839	7989
4294967906	497	500	-0.0953	7980	7979
8589935681	506	17179870219	-0.1334	4299	7668
42949673655	485	4294968363	0.9940	4688	7997
887	477	495	-0.4411	7965	7983
721	476	500	-0.4815	7984	7857
945	495	503	-0.4152	7932	7993
8589935394	486	495	-0.1254	7909	7857
4294967970	494	8589935216	0.9802	7844	7990
637	476	480	-0.5216	7991	7904
707	486	497	-0.5149	7985	7990
4294967788	476	494	-0.1361	7904	7961
640	479	486	0.9782	7991	7989
21474837350	17179869943	17179870219	-0.4693	4274	7984
12884902733	8589935100	17179869943	-0.5060	7398	7927
4294968120	485	494	-0.1352	7945	7860
746	486	506	0.0112	7981	7897
785	485	486	-0.3884	7977	7944
791	476	506	0.3272	7977	7975
4294967912	495	497	0.9881	7941	7994
795	477	478	0.0127	7976	7959
4294968372	500	4294968363	-0.3160	4734	7861
949	477	506	-0.1750	7931	7985
4294967816	478	480	-0.1833	7979	7738
652	500	503	-0.2655	7990	7999
12884902448	479	4294968050	-0.3376	7675	7922
8589935308	500	4294968050	0.4141	7676	7918
4294968247	495	4294968050	-0.3996	7676	7987
8589935126	477	4294968050	0.9821	7682	7991
12884902719	486	17179870219	0.2937	4328	7850
8589935075	476	4294968050	-0.4186	7683	7908
12884902846	486	12884902748	-0.4654	7642	7988
17179870063	494	12884902748	0.4149	7643	7972
12884902501	8589935216	12884902748	-0.3415	7644	7995
4294968152	510	4294968050	-0.3137	7698	7969
4294967874	485	4294968050	-0.3426	7692	7912
8589935496	506	4294968050	-0.3407	7694	7977
8589935333	510	12884902748	-0.0833	7649	7977
17179869935	478	4294968050	-0.2444	7649	7992
8589935149	479	12884902748	-0.1941	7649	7955
4294968073	503	4294968050	-0.0985	7696	7882
8589935195	4294968050	8589935216	-0.3114	7699	7972
17179869680	486	4294968050	-0.6210	7635	7983
12884902726	477	12884902748	-0.5685	7635	7972
21474837284	480	4294968050	-0.4369	7634	7977
17179870042	476	17179869943	-0.3402	7498	7816
12884902660	503	12884902748	-0.2818	7629	7895
12884902437	494	17179869943	-0.3784	7499	7840
12884902390	500	12884902748	-0.1799	7625	7850
8589935412	494	4294968050	-0.2556	7620	7977
8589935128	485	12884902748	-0.3979	7619	7926
12884902446	480	12884902748	-0.0733	7618	7986
8589935446	497	4294968050	-0.1490	7618	7994
17179870035	497	12884902748	-0.2659	7615	7841
4294968374	4294968363	64424509951	0.1057	4735	7877
12884902599	4294968050	12884902748	-0.1166	7610	7815
12884902493	497	17179869943	-0.4749	7402	7962
12884902381	476	12884902748	-0.0805	7587	7994
17179870041	478	12884902748	-0.5664	7595	7976
4294968015	495	12884902748	-0.4799	7555	7988
17179869896	506	12884902748	-0.5206	7594	7983
8589935454	480	12884902646	0.3120	7268	7940
