# tick 10000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
506	13955.2188	-0.2031	10001	0.4000	2,2,1	0.5000	41
476	7439.4604	0.4967	10001	0.4000	2,0,0	0.5000	32
477	12330.9609	0.5000	10001	0.4000	1,3,0	0.5000	28
478	12524.7988	0.3080	10001	0.4000	2,2,3	0.5000	43
8589936313	30.3653	0.2587	750	0.4000	1,1,3	0.5000	23
480	12483.7939	-0.1741	10001	0.4000	0,0,1	0.5000	1
17179869943	4910.1865	0.4259	9500	0.4000	0,3,0	0.5000	12
503	11719.5215	-0.0844	10001	0.4000	3,1,0	0.5000	52
495	6041.8477	0.2218	10001	0.4000	0,0,0	0.5000	0
497	11600.8965	-0.1590	10001	0.4000	3,0,2	0.5000	50
485	12399.2832	0.0933	10001	0.4000	2,2,2	0.5000	42
486	5074.7832	0.3281	10001	0.4000	0,1,3	0.5000	7
8589935216	15000.1211	-0.0066	9850	0.4000	2,2,0	0.5000	40
500	8846.9297	0.4763	10001	0.4000	0,1,2	0.5000	6
494	11010.2715	0.1236	10001	0.4000	2,2,0	0.5000	40
510	8537.0293	-0.2919	10001	0.4000	3,3,0	0.5000	60
8589935730	6465.3105	0.4636	6250	0.4000	0,3,0	0.5000	12
4294968050	13581.4404	0.1188	9700	0.4000	3,1,0	0.5000	52
12884902748	4753.3203	-0.1403	9650	0.4000	1,1,2	0.5000	22
8589935100	9827.3047	0.1604	9400	0.4000	1,0,0	0.5000	16
12884902646	12046.7070	0.1814	9300	0.4000	1,2,3	0.5000	27
17179870219	5340.7988	0.3876	6350	0.4000	2,3,0	0.5000	44
55834575671	5966.8975	-0.1446	7900	0.4000	1,0,1	0.5000	17
17179870018	5925.9609	0.1390	8450	0.4000	1,0,1	0.5000	17
17179869887	2413.0813	0.1555	7950	0.4000	3,1,2	0.5000	54
64424509951	4409.9463	0.3521	7500	0.4000	3,2,2	0.5000	58
4294967931	8022.3076	0.3773	7800	0.4000	1,1,3	0.5000	23
25769804274	5440.5684	-0.1939	7400	0.4000	0,3,1	0.5000	13
12884902568	7210.1650	-0.2438	7350	0.4000	0,1,2	0.5000	6
4294968040	9204.2422	-0.1190	7250	0.4000	2,2,1	0.5000	41
967	2935.0317	-0.1410	7150	0.4000	2,0,0	0.5000	32
8589935616	870.2952	0.4907	6850	0.4000	2,1,3	0.5000	39
997	6860.4521	-0.2330	7050	0.4000	1,3,2	0.5000	30
4294968363	7761.3311	0.0151	6800	0.4000	0,3,2	0.5000	14
12884903236	2746.6501	0.2995	4050	0.4000	2,0,1	0.5000	33
34359739110	1661.2649	0.4187	5800	0.4000	3,0,3	0.5000	51
21474837685	3894.5725	0.3730	4950	0.4000	0,3,3	0.5000	15
25769804972	3968.5093	0.4350	4900	0.4000	3,0,3	0.5000	51
38654706861	5090.9805	-0.2656	4800	0.4000	3,3,2	0.5000	62
55834575954	3103.9529	0.4673	4100	0.4000	0,3,1	0.5000	13
17179870434	3856.3091	-0.0747	3700	0.4000	3,0,1	0.5000	49
8589936015	3289.1338	0.2167	3500	0.4000	1,1,2	0.5000	22
12884903201	3280.0889	0.3209	3900	0.4000	1,0,2	0.5000	18
12884903455	780.2455	-0.0835	2200	0.4000	3,0,0	0.5000	48
17179870731	2338.5935	0.2286	3050	0.4000	1,2,0	0.5000	24
1584	1210.0629	-0.1440	2900	0.4000	2,1,1	0.5000	37
25769805402	1610.9733	0.3864	2100	0.4000	1,3,3	0.5000	31
38654707016	150.3177	0.3933	1550	0.4000	0,0,2	0.5000	2
1736	446.4327	0.0363	900	0.4000	1,2,3	0.5000	27
25769804532	318.2841	-0.2244	800	0.4000	2,1,1	0.5000	37
12884903864	79.2640	-0.2426	50	0.4000	1,1,3	0.5000	23

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968057	478	497	-0.6915	9851	9972
516	476	478	-0.2229	10000	9928
4294968251	486	510	-0.2577	9895	9806
1088	494	4294968363	-0.3031	6714	9801
4294967809	478	8589935216	-0.4012	9809	9970
4294967786	497	8589935216	-0.4760	9846	9975
685	476	495	-0.3530	9987	9973
665	486	503	-0.2307	9989	9909
8589935139	480	17179869943	-0.2388	9470	9969
17179870158	510	8589935730	-0.2762	6226	9916
525	494	510	0.4200	10000	9992
526	476	477	0.5645	9999	9985
527	478	500	-0.2944	9999	9774
745	485	506	-0.1318	9981	9969
877	476	503	-0.4207	9967	9986
808	485	495	-0.2791	9975	9856
531	494	495	-0.2100	9999	9601
897	480	486	0.1334	9964	9983
8589935173	25769805402	38654707016	-0.4468	1450	9986
30064772668	12884903236	47244641331	-0.0124	1044	8956
4294968335	4294968050	4294968363	-0.2732	6776	9987
4294967824	477	8589935216	0.5431	9821	9999
8589935076	477	8589935100	0.9763	9391	9988
12884902784	477	4294968405	-0.0000	6297	3703
4294968337	4294968363	8589935616	-0.1253	6769	9791
12884902741	476	485	-0.2563	9945	9927
4294967915	477	485	-0.4450	9941	9895
4294967837	510	8589935216	-0.2482	9823	9928
8589935124	500	506	-0.1687	9963	9432
12884903578	510	38654707016	-0.1842	1490	9877
545	497	510	-0.2824	9998	9896
8589935395	495	8589935216	-0.3450	9825	9912
816	478	495	-0.5120	9974	9928
700	494	503	-0.2236	9986	9865
8589935356	506	8589935216	-0.4052	9828	9971
886	478	510	-0.1924	9966	9929
12884902628	4294968050	17179869943	0.0689	9475	9941
4294968357	4294968363	17179869887	-0.0528	6725	9969
2010	476	1946	-0.0566	284	9716
4294968246	497	508	-0.0000	9912	88
4294967916	486	500	0.9270	9876	9985
916	480	485	-0.3934	9954	9950
4294967907	495	510	0.1007	9962	9992
17179870750	12884902568	25769805402	-0.4165	2084	9939
4294967966	476	497	-0.1837	9948	9860
4294968358	4294968363	17179869943	0.9685	6726	9984
4294968338	478	4294968363	-0.2781	6767	9860
8589935371	476	8589935216	-0.5318	9828	9926
563	494	506	-0.2430	9997	9843
8589935465	8589935216	17179869943	-0.1392	9481	9978
565	478	486	-0.2717	9996	9889
21474837313	8589935100	8589935730	0.6095	6227	10000
678	494	497	-0.0842	9988	9929
882	485	503	-0.5173	9966	9996
8589935514	4294967777	12884902646	-0.0000	9264	736
12884902387	12884902748	17179869943	0.9960	9483	9998
913	480	500	-0.4254	9955	9809
839	478	506	-0.2869	9972	9938
801	506	510	-0.1867	9976	9921
8589935520	510	17179869943	-0.1952	9484	9691
957	480	494	-0.3329	9928	9974
4294968364	4294968363	8589935216	-0.1952	6729	9958
4294967987	497	506	-0.3728	9943	9733
885	497	503	-0.3395	9966	9944
4294968021	477	494	-0.3714	9879	9869
4294968249	510	8589935100	-0.5135	9397	9994
30064772281	8589935100	38654707016	-0.0984	1484	9851
17179870016	12884903460	17179869887	-0.0048	1514	8486
17179870850	12884902646	25769805402	-0.1840	2063	9811
38654706320	17179870731	38654707016	-0.4756	1403	9969
585	485	510	-0.2905	9995	9909
900	497	511	-0.0000	9961	39
4294968139	480	495	-0.3629	9952	9998
4294967844	503	506	0.9980	9980	9999
807	485	497	-0.0305	9975	9994
590	494	500	-0.4354	9995	9970
895	477	510	-0.2380	9964	9856
592	480	510	-0.3184	9995	9733
4294967900	503	510	0.4284	9958	9982
8589935263	503	8589935216	-0.1338	9829	9926
12884902481	478	494	0.2589	9902	9980
596	476	510	-0.2468	9994	9908
734	476	486	-0.4575	9982	9972
68719478166	510	12884903455	-0.2190	2082	9892
920	486	494	-0.2322	9954	9970
4294968366	476	4294968363	-0.1953	6730	9878
668	478	503	0.0158	9988	9773
4294968096	478	485	-0.2754	9903	9798
4294968189	480	506	-0.4903	9941	9993
4294968049	477	480	-0.0919	9961	9919
