# tick 12000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
506	14961.2188	-0.2031	12001	0.4000	2,2,1	0.5000	41
476	7780.4604	0.4967	12001	0.4000	2,0,0	0.5000	32
477	14166.9609	0.5000	12001	0.4000	1,3,0	0.5000	28
478	14497.7988	0.3080	12001	0.4000	2,2,3	0.5000	43
8589936313	312.3652	0.2587	2750	0.4000	1,1,3	0.5000	23
480	12616.7939	-0.1741	12001	0.4000	0,0,1	0.5000	1
17179869943	4997.1865	0.4259	11500	0.4000	0,3,0	0.5000	12
503	12228.5215	-0.0844	12001	0.4000	3,1,0	0.5000	52
495	4248.8477	0.2218	12001	0.4000	0,0,0	0.5000	0
497	12726.8965	-0.1590	12001	0.4000	3,0,2	0.5000	50
485	12983.2832	0.0933	12001	0.4000	2,2,2	0.5000	42
486	7118.7832	0.3281	12001	0.4000	0,1,3	0.5000	7
8589935216	15110.1211	-0.0066	11850	0.4000	2,2,0	0.5000	40
500	8201.9297	0.4763	12001	0.4000	0,1,2	0.5000	6
494	11621.2715	0.1236	12001	0.4000	2,2,0	0.5000	40
510	9823.0293	-0.2919	12001	0.4000	3,3,0	0.5000	60
8589935730	6683.3105	0.4636	8250	0.4000	0,3,0	0.5000	12
4294968050	16371.4404	0.1188	11700	0.4000	3,1,0	0.5000	52
12884902748	4081.3203	-0.1403	11650	0.4000	1,1,2	0.5000	22
8589935100	9824.3047	0.1604	11400	0.4000	1,0,0	0.5000	16
12884902646	10971.7070	0.1814	11300	0.4000	1,2,3	0.5000	27
17179870219	5711.7988	0.3876	8350	0.4000	2,3,0	0.5000	44
55834575671	6069.8975	-0.1446	9900	0.4000	1,0,1	0.5000	17
17179870018	5809.9609	0.1390	10450	0.4000	1,0,1	0.5000	17
17179869887	1683.0813	0.1555	9950	0.4000	3,1,2	0.5000	54
64424509951	7335.9463	0.3521	9500	0.4000	3,2,2	0.5000	58
4294967931	8711.3076	0.3773	9800	0.4000	1,1,3	0.5000	23
25769804274	6513.5684	-0.1939	9400	0.4000	0,3,1	0.5000	13
12884902568	7748.1650	-0.2438	9350	0.4000	0,1,2	0.5000	6
4294968040	9249.2422	-0.1190	9250	0.4000	2,2,1	0.5000	41
967	4715.0317	-0.1410	9150	0.4000	2,0,0	0.5000	32
8589935616	2090.2952	0.4907	8850	0.4000	2,1,3	0.5000	39
997	7230.4521	-0.2330	9050	0.4000	1,3,2	0.5000	30
4294968363	9051.3311	0.0151	8800	0.4000	0,3,2	0.5000	14
12884903236	4921.6504	0.2995	6050	0.4000	2,0,1	0.5000	33
34359739110	3367.2649	0.4187	7800	0.4000	3,0,3	0.5000	51
21474837685	5622.5723	0.3730	6950	0.4000	0,3,3	0.5000	15
25769804972	3903.5093	0.4350	6900	0.4000	3,0,3	0.5000	51
38654706861	6416.9805	-0.2656	6800	0.4000	3,3,2	0.5000	62
55834575954	5197.9531	0.4673	6100	0.4000	0,3,1	0.5000	13
17179870434	4980.3091	-0.0747	5700	0.4000	3,0,1	0.5000	49
8589936015	6543.1338	0.2167	5500	0.4000	1,1,2	0.5000	22
12884903201	3942.0889	0.3209	5900	0.4000	1,0,2	0.5000	18
12884903455	1020.2456	-0.0835	4200	0.4000	3,0,0	0.5000	48
17179870731	4862.5938	0.2286	5050	0.4000	1,2,0	0.5000	24
1584	3132.0630	-0.1440	4900	0.4000	2,1,1	0.5000	37
25769805402	2681.9731	0.3864	4100	0.4000	1,3,3	0.5000	31
38654707016	693.3177	0.3933	3550	0.4000	0,0,2	0.5000	2
1736	2283.4326	0.0363	2900	0.4000	1,2,3	0.5000	27
25769804532	2252.2842	-0.2244	2800	0.4000	2,1,1	0.5000	37
8589936571	23.8244	0.3524	200	0.4000	0,2,1	0.5000	9
51539609482	76.9568	0.3021	100	0.4000	1,1,3	0.5000	23
47244642130	274.9082	-0.2232	550	0.4000	1,0,2	0.5000	18
30064772813	48.3231	-0.1959	50	0.4000	3,2,2	0.5000	58

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968057	478	497	0.9827	11851	11992
516	476	478	0.1788	12000	11964
4294968251	486	510	0.3043	11895	11935
1088	494	4294968363	0.3449	8714	11996
4294967809	478	8589935216	-0.2125	11809	11866
4294967786	497	8589935216	-0.5270	11846	11960
685	476	495	-0.0896	11987	11950
665	486	503	-0.1194	11989	11905
8589935139	480	17179869943	-0.1558	11470	11931
17179870158	510	8589935730	-0.4351	8226	11930
525	494	510	-0.0955	12000	11968
526	476	477	0.9940	11999	11997
527	478	500	-0.2947	11999	11984
745	485	506	-0.3649	11981	11974
877	476	503	-0.2297	11967	11975
808	485	495	-0.3161	11975	11838
531	494	495	-0.5512	11999	11937
897	480	486	-0.3284	11964	11803
8589935173	25769805402	38654707016	-0.1214	3450	11994
30064772668	12884903236	47244641331	-0.0002	3044	8956
4294968335	4294968050	4294968363	-0.2369	8776	11943
4294967824	477	8589935216	0.9980	11821	11999
8589935076	477	8589935100	0.8526	11391	11973
12884902784	477	4294968405	-0.0000	8297	3703
4294968337	4294968363	8589935616	-0.1591	8769	11922
12884902741	476	485	-0.2488	11945	11901
4294967915	477	485	-0.3597	11941	11771
4294967837	510	8589935216	-0.2109	11823	11962
8589935124	500	506	-0.3593	11963	11782
12884903578	510	38654707016	0.4069	3490	11988
545	497	510	-0.0202	11998	11990
8589935395	495	8589935216	-0.1378	11825	11869
816	478	495	-0.3003	11974	11912
700	494	503	-0.2349	11986	11989
8589935356	506	8589935216	-0.0923	11828	11833
886	478	510	-0.3569	11966	11907
12884902628	4294968050	17179869943	-0.2453	11475	11896
4294968357	4294968363	17179869887	-0.2989	8725	11899
2010	476	1946	-0.0010	2284	9716
4294968246	497	508	-0.0000	11912	88
4294967916	486	500	0.8522	11876	11995
916	480	485	-0.3009	11954	11931
4294967907	495	510	-0.3569	11962	11932
17179870750	12884902568	25769805402	-0.1720	4084	11917
4294967966	476	497	-0.0584	11948	11956
4294968358	4294968363	17179869943	0.1206	8726	11954
4294968338	478	4294968363	-0.3154	8767	11817
8589935371	476	8589935216	-0.2492	11828	11841
563	494	506	-0.1090	11997	11920
8589935465	8589935216	17179869943	-0.1921	11481	11818
565	478	486	-0.2761	11996	11888
21474837313	8589935100	8589935730	-0.1782	8227	11956
678	494	497	-0.3852	11988	11839
882	485	503	-0.2462	11966	11866
8589935514	4294967777	12884902646	-0.0000	11264	736
12884902387	12884902748	17179869943	0.9342	11483	11966
913	480	500	-0.4890	11955	11997
839	478	506	0.8226	11972	11966
801	506	510	-0.4224	11976	11994
8589935520	510	17179869943	-0.4751	11484	11958
957	480	494	-0.5970	11928	11973
4294968364	4294968363	8589935216	0.4365	8729	11978
4294967987	497	506	-0.4146	11943	11994
885	497	503	-0.2518	11966	11836
4294968021	477	494	-0.3388	11879	11989
4294968249	510	8589935100	-0.5298	11397	11925
30064772281	8589935100	38654707016	-0.2649	3484	11981
17179870016	12884903460	17179869887	-0.0001	3514	8486
17179870850	12884902646	25769805402	-0.2161	4063	11516
38654706320	17179870731	38654707016	-0.2635	3403	11949
585	485	510	-0.1922	11995	11680
900	497	511	-0.0000	11961	39
4294968139	480	495	-0.4658	11952	11824
4294967844	503	506	0.9763	11980	11988
807	485	497	0.2706	11975	11958
590	494	500	-0.3957	11995	11982
895	477	510	-0.4036	11964	11908
592	480	510	-0.4997	11995	11887
4294967900	503	510	0.9940	11958	11997
8589935263	503	8589935216	-0.1902	11829	11937
12884902481	478	494	-0.0314	11902	11804
596	476	510	-0.2624	11994	11943
734	476	486	-0.0306	11982	11991
68719478166	510	12884903455	-0.4900	4082	11914
920	486	494	-0.2924	11954	11890
4294968366	476	4294968363	-0.4585	8730	11997
668	478	503	-0.2451	11988	11918
4294968096	478	485	-0.7877	11903	11989
4294968189	480	506	-0.3485	11941	11791
4294968049	477	480	-0.5000	11961	11971
4294967972	480	503	-0.1326	11948	11872
8589935289	500	8589935216	-0.2652	11830	11808
4294968109	486	8589935216	-0.0270	11833	11837
608	480	497	-0.3942	11993	11947
609	477	486	-0.4449	11993	11979
21474838137	1584	25769805402	-0.1358	4081	11605
4294968239	486	17179869943	-0.1331	11491	11868
12884902670	480	38654707016	-0.3622	3515	11828
748	495	506	-0.3212	11981	11611
4294968155	477	497	-0.2738	11925	11971
8589935342	480	8589935216	-0.1655	11834	11964
8589935365	478	17179869943	-0.3276	11491	11962
