# tick 14000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
506	14673.2188	-0.2031	14001	0.4000	2,2,1	0.5000	41
476	8288.4609	0.4967	14001	0.4000	2,0,0	0.5000	32
477	16175.9609	0.5000	14001	0.4000	1,3,0	0.5000	28
478	16037.7988	0.3080	14001	0.4000	2,2,3	0.5000	43
8589936313	813.3652	0.2587	4750	0.4000	1,1,3	0.5000	23
480	12263.7939	-0.1741	14001	0.4000	0,0,1	0.5000	1
17179869943	6587.1865	0.4259	13500	0.4000	0,3,0	0.5000	12
503	13066.5215	-0.0844	14001	0.4000	3,1,0	0.5000	52
495	4337.8477	0.2218	14001	0.4000	0,0,0	0.5000	0
497	13654.8965	-0.1590	14001	0.4000	3,0,2	0.5000	50
485	11416.2832	0.0933	14001	0.4000	2,2,2	0.5000	42
486	7419.7832	0.3281	14001	0.4000	0,1,3	0.5000	7
8589935216	15425.1211	-0.0066	13850	0.4000	2,2,0	0.5000	40
500	7987.9297	0.4763	14001	0.4000	0,1,2	0.5000	6
494	12012.2715	0.1236	14001	0.4000	2,2,0	0.5000	40
510	10235.0293	-0.2919	14001	0.4000	3,3,0	0.5000	60
8589935730	7238.3105	0.4636	10250	0.4000	0,3,0	0.5000	12
4294968050	16709.4414	0.1188	13700	0.4000	3,1,0	0.5000	52
12884902748	3861.3203	-0.1403	13650	0.4000	1,1,2	0.5000	22
8589935100	9210.3047	0.1604	13400	0.4000	1,0,0	0.5000	16
12884902646	10178.7070	0.1814	13300	0.4000	1,2,3	0.5000	27
17179870219	6113.7988	0.3876	10350	0.4000	2,3,0	0.5000	44
55834575671	6607.8975	-0.1446	11900	0.4000	1,0,1	0.5000	17
17179870018	6166.9609	0.1390	12450	0.4000	1,0,1	0.5000	17
17179869887	1504.0813	0.1555	11950	0.4000	3,1,2	0.5000	54
64424509951	9615.9463	0.3521	11500	0.4000	3,2,2	0.5000	58
4294967931	9198.3076	0.3773	11800	0.4000	1,1,3	0.5000	23
25769804274	8358.5684	-0.1939	11400	0.4000	0,3,1	0.5000	13
12884902568	8829.1650	-0.2438	11350	0.4000	0,1,2	0.5000	6
4294968040	9957.2422	-0.1190	11250	0.4000	2,2,1	0.5000	41
967	7156.0317	-0.1410	11150	0.4000	2,0,0	0.5000	32
8589935616	3268.2952	0.4907	10850	0.4000	2,1,3	0.5000	39
997	7871.4521	-0.2330	11050	0.4000	1,3,2	0.5000	30
4294968363	10163.3311	0.0151	10800	0.4000	0,3,2	0.5000	14
12884903236	6650.6504	0.2995	8050	0.4000	2,0,1	0.5000	33
34359739110	4234.2646	0.4187	9800	0.4000	3,0,3	0.5000	51
21474837685	7758.5723	0.3730	8950	0.4000	0,3,3	0.5000	15
25769804972	5480.5093	0.4350	8900	0.4000	3,0,3	0.5000	51
38654706861	7259.9805	-0.2656	8800	0.4000	3,3,2	0.5000	62
55834575954	7726.9531	0.4673	8100	0.4000	0,3,1	0.5000	13
17179870434	6204.3091	-0.0747	7700	0.4000	3,0,1	0.5000	49
8589936015	7637.1338	0.2167	7500	0.4000	1,1,2	0.5000	22
12884903201	5915.0889	0.3209	7900	0.4000	1,0,2	0.5000	18
12884903455	1654.2456	-0.0835	6200	0.4000	3,0,0	0.5000	48
17179870731	6147.5938	0.2286	7050	0.4000	1,2,0	0.5000	24
1584	6626.0630	-0.1440	6900	0.4000	2,1,1	0.5000	37
25769805402	1708.9731	0.3864	6100	0.4000	1,3,3	0.5000	31
38654707016	1586.3177	0.3933	5550	0.4000	0,0,2	0.5000	2
1736	4215.4326	0.0363	4900	0.4000	1,2,3	0.5000	27
25769804532	4791.2842	-0.2244	4800	0.4000	2,1,1	0.5000	37
47244642130	2309.9082	-0.2232	2550	0.4000	1,0,2	0.5000	18
51539609482	820.9568	0.3021	2100	0.4000	1,1,3	0.5000	23
38654707641	792.7496	0.2656	1300	0.4000	0,3,2	0.5000	14
12884903914	357.5166	0.2574	1450	0.4000	0,2,2	0.5000	10
42949674928	485.0611	-0.2467	1150	0.4000	3,3,3	0.5000	63
12884904129	129.1957	0.3774	350	0.4000	3,0,2	0.5000	50
4294969444	254.4771	-0.2139	750	0.4000	2,0,0	0.5000	32
8589936785	36.3966	0.3203	100	0.4000	3,0,0	0.5000	48

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968057	478	497	0.7248	13851	13998
516	476	478	0.8793	14000	13997
4294968251	486	510	-0.5707	13895	13995
1088	494	4294968363	-0.2429	10714	13940
4294967809	478	8589935216	-0.1102	13809	13914
4294967786	497	8589935216	-0.3183	13846	13977
685	476	495	-0.3124	13987	13883
665	486	503	-0.2193	13989	13812
8589935139	480	17179869943	0.0104	13470	13979
17179870158	510	8589935730	-0.3552	10226	13917
525	494	510	-0.4700	14000	13965
526	476	477	0.9861	13999	13993
527	478	500	-0.3056	13999	13955
745	485	506	-0.1189	13981	13994
877	476	503	-0.3838	13967	13961
808	485	495	-0.2400	13975	13725
531	494	495	-0.1860	13999	13702
897	480	486	-0.1719	13964	13781
8589935173	25769805402	38654707016	-0.1650	5450	13925
30064772668	12884903236	47244641331	-0.0000	5044	8956
4294968335	4294968050	4294968363	-0.0692	10776	13905
4294967824	477	8589935216	0.8560	13821	13985
8589935076	477	8589935100	-0.0405	13391	13957
12884902784	477	4294968405	-0.0000	10297	3703
4294968337	4294968363	8589935616	-0.4830	10769	13936
12884902741	476	485	-0.4545	13945	13901
4294967915	477	485	-0.2388	13941	13468
4294967837	510	8589935216	-0.0908	13823	13759
8589935124	500	506	-0.2614	13963	13833
12884903578	510	38654707016	-0.4158	5490	13978
545	497	510	-0.4555	13998	13991
8589935395	495	8589935216	0.0297	13825	13978
816	478	495	0.9028	13974	13990
700	494	503	-0.0096	13986	13985
8589935356	506	8589935216	-0.2205	13828	13821
886	478	510	-0.2882	13966	13692
12884902628	4294968050	17179869943	-0.1353	13475	13843
4294968357	4294968363	17179869887	0.0906	10725	13850
2010	476	1946	-0.0000	4284	9716
4294968246	497	508	-0.0000	13912	88
4294967916	486	500	0.9102	13876	13953
916	480	485	0.2208	13954	13992
4294967907	495	510	-0.3199	13962	13927
17179870750	12884902568	25769805402	-0.4012	6084	13987
4294967966	476	497	-0.3021	13948	13926
4294968358	4294968363	17179869943	0.9763	10726	13988
4294968338	478	4294968363	-0.2516	10767	13965
8589935371	476	8589935216	0.1912	13828	13947
563	494	506	-0.4069	13997	13902
8589935465	8589935216	17179869943	0.0343	13481	13994
565	478	486	-0.2119	13996	13959
21474837313	8589935100	8589935730	-0.4685	10227	13942
678	494	497	-0.1657	13988	13855
882	485	503	-0.1305	13966	13952
8589935514	4294967777	12884902646	-0.0000	13264	736
12884902387	12884902748	17179869943	-0.5183	13483	13961
913	480	500	-0.5019	13955	13971
839	478	506	-0.2304	13972	13947
801	506	510	-0.2854	13976	13745
8589935520	510	17179869943	-0.1352	13484	13981
957	480	494	-0.1159	13928	13994
4294968364	4294968363	8589935216	0.0796	10729	13901
4294967987	497	506	-0.2930	13943	13922
885	497	503	-0.2328	13966	13900
4294968021	477	494	0.0389	13879	13920
4294968249	510	8589935100	-0.2238	13397	13954
30064772281	8589935100	38654707016	0.1493	5484	13896
17179870016	12884903460	17179869887	-0.0000	5514	8486
17179870850	12884902646	25769805402	-0.5235	6063	13930
38654706320	17179870731	38654707016	-0.2987	5403	13998
585	485	510	-0.0002	13995	13990
900	497	511	-0.0000	13961	39
4294968139	480	495	-0.4230	13952	13782
4294967844	503	506	1.0000	13980	14000
807	485	497	-0.2710	13975	13824
590	494	500	-0.1524	13995	13986
895	477	510	-0.4993	13964	13958
592	480	510	-0.1961	13995	13989
4294967900	503	510	0.0330	13958	13872
8589935263	503	8589935216	-0.1479	13829	13858
12884902481	478	494	-0.0299	13902	13712
596	476	510	-0.2698	13994	13832
734	476	486	-0.2268	13982	13913
68719478166	510	12884903455	-0.1544	6082	13965
920	486	494	-0.2144	13954	13940
4294968366	476	4294968363	-0.2075	10730	13818
668	478	503	-0.4177	13988	13917
4294968096	478	485	-0.5179	13903	13951
4294968189	480	506	0.0113	13941	14000
4294968049	477	480	-0.0504	13961	13915
4294967972	480	503	-0.1646	13948	13649
8589935289	500	8589935216	-0.3992	13830	13938
4294968109	486	8589935216	-0.2667	13833	13907
608	480	497	-0.3710	13993	13938
609	477	486	-0.1149	13993	13971
21474838137	1584	25769805402	-0.4064	6081	13939
4294968239	486	17179869943	-0.2358	13491	13962
12884902670	480	38654707016	-0.4779	5515	13941
748	495	506	-0.2144	13981	13962
4294968155	477	497	0.0218	13925	13991
8589935342	480	8589935216	-0.0880	13834	13645
8589935365	478	17179869943	-0.3003	13491	13862
