# tick 16000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
506	13889.2188	-0.2031	16001	0.4000	2,2,1	0.5000	41
476	7845.4609	0.4967	16001	0.4000	2,0,0	0.5000	32
477	17931.9609	0.5000	16001	0.4000	1,3,0	0.5000	28
478	16305.7988	0.3080	16001	0.4000	2,2,3	0.5000	43
8589936313	1731.3652	0.2587	6750	0.4000	1,1,3	0.5000	23
480	12485.7939	-0.1741	16001	0.4000	0,0,1	0.5000	1
17179869943	6600.1865	0.4259	15500	0.4000	0,3,0	0.5000	12
503	13448.5215	-0.0844	16001	0.4000	3,1,0	0.5000	52
495	5459.8477	0.2218	16001	0.4000	0,0,0	0.5000	0
497	14256.8965	-0.1590	16001	0.4000	3,0,2	0.5000	50
485	10539.2832	0.0933	16001	0.4000	2,2,2	0.5000	42
486	9334.7832	0.3281	16001	0.4000	0,1,3	0.5000	7
8589935216	14395.1211	-0.0066	15850	0.4000	2,2,0	0.5000	40
500	8165.9297	0.4763	16001	0.4000	0,1,2	0.5000	6
494	12795.2715	0.1236	16001	0.4000	2,2,0	0.5000	40
510	10264.0293	-0.2919	16001	0.4000	3,3,0	0.5000	60
8589935730	9607.3105	0.4636	12250	0.4000	0,3,0	0.5000	12
4294968050	15978.4414	0.1188	15700	0.4000	3,1,0	0.5000	52
12884902748	4064.3203	-0.1403	15650	0.4000	1,1,2	0.5000	22
8589935100	9656.3047	0.1604	15400	0.4000	1,0,0	0.5000	16
12884902646	10066.7070	0.1814	15300	0.4000	1,2,3	0.5000	27
17179870219	6356.7988	0.3876	12350	0.4000	2,3,0	0.5000	44
55834575671	7461.8975	-0.1446	13900	0.4000	1,0,1	0.5000	17
17179870018	8030.9609	0.1390	14450	0.4000	1,0,1	0.5000	17
17179869887	1647.0813	0.1555	13950	0.4000	3,1,2	0.5000	54
64424509951	9968.9463	0.3521	13500	0.4000	3,2,2	0.5000	58
4294967931	9425.3076	0.3773	13800	0.4000	1,1,3	0.5000	23
25769804274	9782.5684	-0.1939	13400	0.4000	0,3,1	0.5000	13
12884902568	9807.1650	-0.2438	13350	0.4000	0,1,2	0.5000	6
4294968040	10100.2422	-0.1190	13250	0.4000	2,2,1	0.5000	41
967	8419.0312	-0.1410	13150	0.4000	2,0,0	0.5000	32
8589935616	4836.2949	0.4907	12850	0.4000	2,1,3	0.5000	39
997	8332.4521	-0.2330	13050	0.4000	1,3,2	0.5000	30
4294968363	12902.3311	0.0151	12800	0.4000	0,3,2	0.5000	14
12884903236	7116.6504	0.2995	10050	0.4000	2,0,1	0.5000	33
34359739110	4983.2646	0.4187	11800	0.4000	3,0,3	0.5000	51
21474837685	8642.5723	0.3730	10950	0.4000	0,3,3	0.5000	15
25769804972	6610.5093	0.4350	10900	0.4000	3,0,3	0.5000	51
38654706861	8187.9805	-0.2656	10800	0.4000	3,3,2	0.5000	62
55834575954	9438.9531	0.4673	10100	0.4000	0,3,1	0.5000	13
17179870434	5820.3091	-0.0747	9700	0.4000	3,0,1	0.5000	49
8589936015	8550.1338	0.2167	9500	0.4000	1,1,2	0.5000	22
12884903201	7872.0889	0.3209	9900	0.4000	1,0,2	0.5000	18
12884903455	3108.2456	-0.0835	8200	0.4000	3,0,0	0.5000	48
17179870731	6397.5938	0.2286	9050	0.4000	1,2,0	0.5000	24
1584	8975.0625	-0.1440	8900	0.4000	2,1,1	0.5000	37
25769805402	2358.9731	0.3864	8100	0.4000	1,3,3	0.5000	31
38654707016	2378.3179	0.3933	7550	0.4000	0,0,2	0.5000	2
1736	5526.4326	0.0363	6900	0.4000	1,2,3	0.5000	27
25769804532	9038.2842	-0.2244	6800	0.4000	2,1,1	0.5000	37
47244642130	3639.9082	-0.2232	4550	0.4000	1,0,2	0.5000	18
51539609482	1913.9568	0.3021	4100	0.4000	1,1,3	0.5000	23
38654707641	2329.7495	0.2656	3300	0.4000	0,3,2	0.5000	14
12884903914	709.5166	0.2574	3450	0.4000	0,2,2	0.5000	10
42949674928	368.0611	-0.2467	3150	0.4000	3,3,3	0.5000	63
12884904129	2354.1958	0.3774	2350	0.4000	3,0,2	0.5000	50
4294969444	412.4771	-0.2139	2750	0.4000	2,0,0	0.5000	32
47244642511	253.4961	0.3086	400	0.4000	2,1,2	0.5000	38
60129544505	79.6927	0.1977	100	0.4000	2,0,1	0.5000	33
34359740719	25.6601	0.3667	50	0.4000	3,0,0	0.5000	48

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968057	478	497	0.0485	15851	15957
516	476	478	-0.1862	16000	15983
4294968251	486	510	-0.2195	15895	15647
1088	494	4294968363	-0.1295	12714	15621
4294967809	478	8589935216	-0.2502	15809	15893
4294967786	497	8589935216	0.1312	15846	15745
685	476	495	-0.1829	15987	15967
665	486	503	-0.2658	15989	15772
8589935139	480	17179869943	-0.2990	15470	15879
17179870158	510	8589935730	-0.1438	12226	15881
525	494	510	-0.2279	16000	15619
526	476	477	0.9900	15999	15995
527	478	500	-0.2151	15999	15986
745	485	506	-0.2919	15981	15951
877	476	503	-0.4186	15967	15940
808	485	495	-0.1942	15975	15776
531	494	495	-0.3312	15999	15946
897	480	486	-0.1562	15964	16000
8589935173	25769805402	38654707016	-0.2854	7450	15871
30064772668	12884903236	47244641331	-0.0000	7044	8956
4294968335	4294968050	4294968363	-0.2619	12776	15899
4294967824	477	8589935216	0.7593	15821	15953
8589935076	477	8589935100	-0.2879	15391	15831
12884902784	477	4294968405	-0.0000	12297	3703
4294968337	4294968363	8589935616	0.8603	12769	15983
12884902741	476	485	-0.2188	15945	15921
4294967915	477	485	0.2747	15941	16000
4294967837	510	8589935216	-0.0664	15823	15986
8589935124	500	506	-0.1410	15963	15909
12884903578	510	38654707016	-0.0243	7490	15838
545	497	510	-0.1579	15998	15909
8589935395	495	8589935216	-0.0888	15825	15849
816	478	495	0.6301	15974	15971
700	494	503	-0.3333	15986	15900
8589935356	506	8589935216	-0.3246	15828	15708
886	478	510	-0.4820	15966	15968
12884902628	4294968050	17179869943	-0.3962	15475	15943
4294968357	4294968363	17179869887	-0.1994	12725	15918
2010	476	1946	-0.0000	6284	9716
4294968246	497	508	-0.0000	15912	88
4294967916	486	500	0.0538	15876	15932
916	480	485	-0.4362	15954	15995
4294967907	495	510	-0.0947	15962	15817
17179870750	12884902568	25769805402	-0.2578	8084	15795
4294967966	476	497	-0.4757	15948	15999
4294968358	4294968363	17179869943	0.3938	12726	15903
4294968338	478	4294968363	-0.1910	12767	15723
8589935371	476	8589935216	0.0302	15828	15965
563	494	506	-0.2235	15997	15764
8589935465	8589935216	17179869943	-0.1486	15481	15894
565	478	486	-0.1992	15996	15591
21474837313	8589935100	8589935730	-0.2506	12227	15703
678	494	497	-0.1745	15988	15945
882	485	503	-0.2726	15966	15760
8589935514	4294967777	12884902646	-0.0000	15264	736
12884902387	12884902748	17179869943	0.2065	15483	15961
913	480	500	-0.3416	15955	15893
839	478	506	-0.0597	15972	15694
801	506	510	-0.0998	15976	15479
8589935520	510	17179869943	-0.4958	15484	15994
957	480	494	-0.1251	15928	15939
4294968364	4294968363	8589935216	0.9960	12729	15998
4294967987	497	506	-0.5060	15943	15938
885	497	503	0.3431	15966	15983
4294968021	477	494	-0.3610	15879	15923
4294968249	510	8589935100	-0.3602	15397	15972
30064772281	8589935100	38654707016	-0.1932	7484	15792
17179870016	12884903460	17179869887	-0.0000	7514	8486
17179870850	12884902646	25769805402	-0.4982	8063	15946
38654706320	17179870731	38654707016	-0.3191	7403	15784
585	485	510	0.9802	15995	15990
900	497	511	-0.0000	15961	39
4294968139	480	495	-0.2666	15952	15896
4294967844	503	506	0.9881	15980	15994
807	485	497	-0.3918	15975	15949
590	494	500	-0.2935	15995	15994
895	477	510	-0.3031	15964	15794
592	480	510	-0.5271	15995	15947
4294967900	503	510	-0.3448	15958	15974
8589935263	503	8589935216	-0.1717	15829	15980
12884902481	478	494	0.0330	15902	15889
596	476	510	-0.0550	15994	15849
734	476	486	-0.0759	15982	15963
68719478166	510	12884903455	-0.1385	8082	15788
920	486	494	-0.2302	15954	15811
4294968366	476	4294968363	-0.1034	12730	15589
668	478	503	-0.2764	15988	15970
4294968096	478	485	-0.1586	15903	15804
4294968189	480	506	0.0979	15941	15860
4294968049	477	480	-0.2672	15961	15962
4294967972	480	503	0.8924	15948	15998
8589935289	500	8589935216	-0.1199	15830	15782
4294968109	486	8589935216	-0.1368	15833	15949
608	480	497	-0.0330	15993	15882
609	477	486	0.7587	15993	15993
21474838137	1584	25769805402	-0.2499	8081	15835
4294968239	486	17179869943	-0.1206	15491	15917
12884902670	480	38654707016	-0.3189	7515	15817
748	495	506	-0.2476	15981	15961
4294968155	477	497	-0.1704	15925	15796
8589935342	480	8589935216	-0.1091	15834	15741
8589935365	478	17179869943	-0.1595	15491	15975
21474838135	12884903201	25769805402	-0.1104	8080	15975
4294967831	477	503	-0.1599	15961	15980
4294968131	485	500	-0.2441	15949	15556
8589935370	485	8589935216	-0.2722	15835	15772
8589935385	495	500	-0.1584	15914	15962
4294968367	8589935616	17179869943	0.6101	12731	15995
4294968259	495	17179869943	-0.3107	15493	15840
17179869783	500	17179869943	-0.4207	15495	15789
8589935388	485	17179869943	-0.2258	15497	15742
4294968086	500	510	-0.2994	15945	15979
627	477	500	0.2326	15992	15948
21474838155	25769805402	55834575671	0.0384	8078	15998
4294967906	497	500	-0.1390	15980	15963
8589935681	506	17179870219	-0.3594	12299	15941
42949673655	485	4294968363	-0.2018	12688	15967
887	477	495	0.3747	15965	15954
721	476	500	0.0362	15984	15956
945	495	503	-0.1482	15932	15343
8589935394	486	495	-0.0853	15909	15730
4294967970	494	8589935216	-0.2209	15844	15899
637	476	480	-0.0395	15991	15928
707	486	497	0.8419	15985	15985
4294967788	476	494	-0.3103	15904	15814
38654707056	480	25769805402	-0.1390	8061	15909
21474837350	17179869943	17179870219	0.2969	12274	15920
12884902733	8589935100	17179869943	-0.3243	15398	15798
4294968120	485	494	-0.3641	15945	15971
746	486	506	-0.1654	15981	15944
785	485	486	-0.4133	15977	15957
791	476	506	-0.1220	15977	15832
4294967912	495	497	-0.1246	15941	15981
795	477	478	-0.4061	15976	15943
4294968372	500	4294968363	-0.1794	12734	15643
949	477	506	-0.1558	15931	15759
4294967816	478	480	-0.5547	15979	15985
652	500	503	-0.2519	15990	15956
34359739923	12884902748	25769805402	-0.3179	8078	15954
8589935308	500	4294968050	-0.2731	15676	15918
4294968247	495	4294968050	0.0078	15676	15984
8589935126	477	4294968050	-0.2480	15682	15770
12884902719	486	17179870219	0.2018	12328	15921
8589935075	476	4294968050	-0.1434	15683	15609
12884902846	486	12884902748	-0.0237	15642	15530
17179870063	494	12884902748	0.2035	15643	15827
12884902501	8589935216	12884902748	-0.2113	15644	15928
4294968152	510	4294968050	-0.0119	15698	15848
4294967874	485	4294968050	-0.1702	15692	15703
8589935496	506	4294968050	-0.2617	15694	15688
8589935333	510	12884902748	-0.0572	15649	15782
17179869935	478	4294968050	-0.3305	15649	15877
38654707088	25769805402	34359739110	-0.3766	8064	15892
4294968073	503	4294968050	-0.3563	15696	15945
8589935195	4294968050	8589935216	-0.3635	15699	15978
17179869680	486	4294968050	-0.3276	15635	15991
12884902726	477	12884902748	-0.3594	15635	15969
21474837284	480	4294968050	0.3417	15634	16000
17179870042	476	17179869943	-0.3342	15498	15926
12884902660	503	12884902748	-0.4469	15629	15967
12884902437	494	17179869943	-0.1238	15499	15806
12884902390	500	12884902748	0.8452	15625	15916
8589935412	494	4294968050	-0.0857	15620	15667
8589935128	485	12884902748	-0.5836	15619	15892
12884902446	480	12884902748	-0.2723	15618	15987
8589935446	497	4294968050	-0.1244	15618	15461
17179870035	497	12884902748	-0.3756	15615	15949
4294968374	4294968363	64424509951	0.2909	12735	15856
12884902599	4294968050	12884902748	-0.4354	15610	15846
12884902493	497	17179869943	0.1500	15402	15905
12884902381	476	12884902748	-0.3283	15587	15772
17179870041	478	12884902748	0.1530	15595	15889
4294968015	495	12884902748	0.1892	15555	15932
17179869896	506	12884902748	-0.2007	15594	15999
8589935454	480	12884902646	-0.1177	15268	15724
12884902759	500	12884902646	-0.3078	15269	15900
8589935158	494	12884902646	-0.0348	15274	15951
8589935113	477	17179869943	-0.1901	15421	15554
8589935494	495	12884902646	0.8818	15274	15992
8589935136	478	12884902646	-0.4469	15277	15990
21474837369	510	12884902646	-0.0314	15278	15656
8589935288	503	17179869943	0.0144	15426	15997
25769804313	503	12884902646	-0.2582	15285	15719
8589935373	486	12884902646	-0.2888	15287	15830
17179869829	12884902646	17179869943	-0.3471	15288	15977
8589935548	506	12884902646	-0.3606	15299	15632
4294968172	497	12884902646	0.0240	15297	15897
4294968222	8589935100	8589935216	-0.3582	15297	15991
21474836994	506	17179869943	-0.2354	15446	15992
4294968051	8589935100	12884902646	-0.2566	15299	15846
4294968238	500	8589935100	-0.4290	15341	15817
17179870842	17179870219	25769805402	0.0159	8066	15984
8589935258	476	8589935100	-0.2379	15386	15982
4294967926	476	12884902646	-0.4044	15295	15842
4294967925	4294968050	8589935100	-0.3689	15294	15804
4294967897	477	12884902646	0.0240	15293	15910
21474837392	497	8589935100	-0.2210	15383	15798
73014445319	17179870018	25769805402	-0.1494	8068	15994
25769804425	495	8589935100	-0.3038	15380	15978
21474837354	494	8589935100	-0.3384	15376	15883
4294967884	485	12884902646	-0.1284	15292	15954
4294968376	4294967931	4294968363	-0.2698	12738	15969
12884902827	486	8589935100	-0.0467	15367	15904
12884902616	506	8589935100	-0.2445	15365	15933
12884902648	480	8589935100	-0.1219	15363	15678
12884902561	478	8589935100	-0.1616	15360	15863
17179869894	503	8589935100	-0.0194	15354	15927
8589935433	8589935100	12884902748	-0.3459	15354	15942
8589935145	485	8589935100	-0.3531	15347	15881
8589935073	4294968050	12884902646	-0.2272	15260	15962
25769804730	12884902646	12884902748	-0.2533	15259	15868
17179870831	967	25769805402	-0.2815	8069	15996
12884902589	8589935216	12884902646	-0.2020	15202	15973
42949673500	476	17179870219	-0.4373	12348	15904
94489281446	510	17179870219	-0.4188	12227	15853
8589935704	12884902748	17179870219	-0.1196	12276	15616
8589935712	4294968050	17179870219	0.2754	12319	15996
21474837421	967	8589935730	-0.1224	12228	15883
8589935688	17179870219	25769804274	-0.0031	12303	15975
8589935689	477	17179870219	-0.2313	12303	15703
21474837518	8589935100	17179870219	0.9920	12281	15996
17179870806	25769804972	25769805402	-0.3481	8046	15971
4294968430	8589935730	25769804274	-0.3947	12242	15937
4294968435	497	17179870219	-0.0259	12248	15810
17179870247	4294968040	17179870219	-0.4453	12285	15965
