# tick 18000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
506	13800.2188	-0.2031	18001	0.4000	2,2,1	0.5000	41
476	6932.4609	0.4967	18001	0.4000	2,0,0	0.5000	32
477	20097.9609	0.5000	18001	0.4000	1,3,0	0.5000	28
478	15398.7988	0.3080	18001	0.4000	2,2,3	0.5000	43
8589936313	1844.3652	0.2587	8750	0.4000	1,1,3	0.5000	23
480	12896.7939	-0.1741	18001	0.4000	0,0,1	0.5000	1
17179869943	7898.1865	0.4259	17500	0.4000	0,3,0	0.5000	12
503	14597.5215	-0.0844	18001	0.4000	3,1,0	0.5000	52
495	3595.8477	0.2218	18001	0.4000	0,0,0	0.5000	0
497	14988.8965	-0.1590	18001	0.4000	3,0,2	0.5000	50
485	10968.2832	0.0933	18001	0.4000	2,2,2	0.5000	42
486	11799.7832	0.3281	18001	0.4000	0,1,3	0.5000	7
8589935216	13557.1211	-0.0066	17850	0.4000	2,2,0	0.5000	40
500	7878.9297	0.4763	18001	0.4000	0,1,2	0.5000	6
494	13670.2715	0.1236	18001	0.4000	2,2,0	0.5000	40
510	11644.0293	-0.2919	18001	0.4000	3,3,0	0.5000	60
8589935730	10811.3105	0.4636	14250	0.4000	0,3,0	0.5000	12
4294968050	15172.4414	0.1188	17700	0.4000	3,1,0	0.5000	52
12884902748	4557.3203	-0.1403	17650	0.4000	1,1,2	0.5000	22
8589935100	10692.3047	0.1604	17400	0.4000	1,0,0	0.5000	16
12884902646	10439.7070	0.1814	17300	0.4000	1,2,3	0.5000	27
17179870219	6923.7988	0.3876	14350	0.4000	2,3,0	0.5000	44
55834575671	7714.8975	-0.1446	15900	0.4000	1,0,1	0.5000	17
17179870018	9234.9609	0.1390	16450	0.4000	1,0,1	0.5000	17
17179869887	1757.0813	0.1555	15950	0.4000	3,1,2	0.5000	54
64424509951	11077.9463	0.3521	15500	0.4000	3,2,2	0.5000	58
4294967931	8247.3076	0.3773	15800	0.4000	1,1,3	0.5000	23
25769804274	10764.5684	-0.1939	15400	0.4000	0,3,1	0.5000	13
12884902568	11214.1650	-0.2438	15350	0.4000	0,1,2	0.5000	6
4294968040	9866.2422	-0.1190	15250	0.4000	2,2,1	0.5000	41
967	8338.0312	-0.1410	15150	0.4000	2,0,0	0.5000	32
8589935616	5780.2949	0.4907	14850	0.4000	2,1,3	0.5000	39
997	9485.4521	-0.2330	15050	0.4000	1,3,2	0.5000	30
4294968363	14476.3311	0.0151	14800	0.4000	0,3,2	0.5000	14
12884903236	7996.6504	0.2995	12050	0.4000	2,0,1	0.5000	33
34359739110	6047.2646	0.4187	13800	0.4000	3,0,3	0.5000	51
21474837685	9369.5723	0.3730	12950	0.4000	0,3,3	0.5000	15
25769804972	6798.5093	0.4350	12900	0.4000	3,0,3	0.5000	51
38654706861	8936.9805	-0.2656	12800	0.4000	3,3,2	0.5000	62
55834575954	10002.9531	0.4673	12100	0.4000	0,3,1	0.5000	13
17179870434	5046.3091	-0.0747	11700	0.4000	3,0,1	0.5000	49
8589936015	9390.1338	0.2167	11500	0.4000	1,1,2	0.5000	22
12884903201	9871.0889	0.3209	11900	0.4000	1,0,2	0.5000	18
12884903455	4162.2456	-0.0835	10200	0.4000	3,0,0	0.5000	48
17179870731	6068.5938	0.2286	11050	0.4000	1,2,0	0.5000	24
1584	10916.0625	-0.1440	10900	0.4000	2,1,1	0.5000	37
25769805402	3914.9731	0.3864	10100	0.4000	1,3,3	0.5000	31
38654707016	2626.3179	0.3933	9550	0.4000	0,0,2	0.5000	2
1736	6742.4326	0.0363	8900	0.4000	1,2,3	0.5000	27
25769804532	10768.2842	-0.2244	8800	0.4000	2,1,1	0.5000	37
47244642130	5589.9082	-0.2232	6550	0.4000	1,0,2	0.5000	18
51539609482	2975.9568	0.3021	6100	0.4000	1,1,3	0.5000	23
38654707641	4197.7495	0.2656	5300	0.4000	0,3,2	0.5000	14
12884903914	873.5166	0.2574	5450	0.4000	0,2,2	0.5000	10
42949674928	640.0611	-0.2467	5150	0.4000	3,3,3	0.5000	63
12884904129	6173.1958	0.3774	4350	0.4000	3,0,2	0.5000	50
60129544460	213.6979	0.0065	450	0.4000	0,1,0	0.5000	4
51539609721	549.0317	-0.1528	1350	0.4000	3,2,0	0.5000	56
4294969672	938.8615	-0.2917	1450	0.4000	1,2,2	0.5000	26
73014446229	733.7452	0.0349	1600	0.4000	2,3,0	0.5000	44
2506	494.7812	0.3238	1250	0.4000	2,1,1	0.5000	37
34359741011	105.0882	0.3774	400	0.4000	2,1,2	0.5000	38
8589937227	25.0276	0.1610	250	0.4000	1,2,3	0.5000	27
17179871319	56.7524	-0.1579	100	0.4000	1,2,1	0.5000	25

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968057	478	497	-0.1031	17851	17804
516	476	478	-0.4193	18000	17737
4294968251	486	510	-0.1932	17895	17954
1088	494	4294968363	-0.4355	14714	17979
4294967809	478	8589935216	-0.2442	17809	17903
4294967786	497	8589935216	-0.3259	17846	18000
685	476	495	-0.1869	17987	17914
665	486	503	-0.5555	17989	17990
8589935139	480	17179869943	-0.1660	17470	17914
17179870158	510	8589935730	-0.1083	14226	17918
525	494	510	-0.1012	18000	17902
526	476	477	0.9361	17999	17967
527	478	500	-0.1671	17999	17844
745	485	506	-0.2353	17981	17795
877	476	503	-0.2559	17967	17935
808	485	495	-0.1871	17975	17993
531	494	495	-0.3590	17999	17951
897	480	486	0.0876	17964	17953
8589935173	25769805402	38654707016	0.3963	9450	17964
30064772668	12884903236	47244641331	-0.0000	9044	8956
4294968335	4294968050	4294968363	-0.3959	14776	17955
4294967824	477	8589935216	-0.0135	17821	17988
8589935076	477	8589935100	0.0226	17391	17961
12884902784	477	4294968405	-0.0000	14297	3703
4294968337	4294968363	8589935616	0.2828	14769	17868
12884902741	476	485	-0.2228	17945	17923
4294967915	477	485	0.9385	17941	17983
4294967837	510	8589935216	-0.1610	17823	17935
8589935124	500	506	-0.3571	17963	17873
12884903578	510	38654707016	-0.1129	9490	17944
545	497	510	-0.2814	17998	17910
8589935395	495	8589935216	-0.2403	17825	17992
816	478	495	-0.1700	17974	17906
700	494	503	-0.3437	17986	17928
8589935356	506	8589935216	-0.3109	17828	17825
886	478	510	-0.1540	17966	17910
12884902628	4294968050	17179869943	-0.2114	17475	17903
4294968357	4294968363	17179869887	-0.2065	14725	17819
2010	476	1946	-0.0000	8284	9716
4294968246	497	508	-0.0000	17912	88
4294967916	486	500	-0.2266	17876	17887
916	480	485	-0.2487	17954	17805
4294967907	495	510	-0.5345	17962	17996
17179870750	12884902568	25769805402	-0.2107	10084	17756
4294967966	476	497	-0.1084	17948	17979
4294968358	4294968363	17179869943	-0.3320	14726	17850
4294968338	478	4294968363	-0.4516	14767	17994
8589935371	476	8589935216	0.0027	17828	17794
563	494	506	0.2206	17997	17908
8589935465	8589935216	17179869943	0.0438	17481	17891
565	478	486	-0.1350	17996	17963
21474837313	8589935100	8589935730	-0.1998	14227	17999
678	494	497	-0.2082	17988	17952
882	485	503	-0.1549	17966	17799
8589935514	4294967777	12884902646	-0.0000	17264	736
12884902387	12884902748	17179869943	-0.3294	17483	17714
913	480	500	-0.3558	17955	17754
839	478	506	-0.3357	17972	17891
801	506	510	-0.1643	17976	17643
8589935520	510	17179869943	-0.3309	17484	17987
957	480	494	-0.1550	17928	18000
4294968364	4294968363	8589935216	-0.3061	14729	17929
4294967987	497	506	-0.3785	17943	17964
885	497	503	-0.1900	17966	17852
4294968021	477	494	-0.1929	17879	17538
4294968249	510	8589935100	-0.0883	17397	17862
30064772281	8589935100	38654707016	-0.2212	9484	17950
17179870016	12884903460	17179869887	-0.0000	9514	8486
17179870850	12884902646	25769805402	-0.1108	10063	17777
38654706320	17179870731	38654707016	0.1524	9403	17962
585	485	510	0.0465	17995	17906
900	497	511	-0.0000	17961	39
4294968139	480	495	-0.2302	17952	17701
4294967844	503	506	0.5312	17980	17993
807	485	497	-0.0960	17975	17987
590	494	500	-0.4431	17995	17943
895	477	510	-0.0106	17964	17827
592	480	510	0.2491	17995	17919
4294967900	503	510	-0.1743	17958	17795
8589935263	503	8589935216	-0.4199	17829	17961
12884902481	478	494	-0.1117	17902	17875
596	476	510	-0.3478	17994	17783
734	476	486	-0.1056	17982	17568
68719478166	510	12884903455	0.0006	10082	17803
920	486	494	-0.1789	17954	17973
4294968366	476	4294968363	-0.3935	14730	17908
668	478	503	-0.0212	17988	17968
4294968096	478	485	-0.4498	17903	17998
4294968189	480	506	0.8829	17941	17996
4294968049	477	480	-0.1796	17961	17357
4294967972	480	503	0.1315	17948	17696
8589935289	500	8589935216	-0.2555	17830	17710
4294968109	486	8589935216	0.1776	17833	17957
608	480	497	-0.2843	17993	17943
609	477	486	-0.2869	17993	17770
21474838137	1584	25769805402	-0.3317	10081	17950
4294968239	486	17179869943	-0.2894	17491	17967
12884902670	480	38654707016	-0.0058	9515	17817
748	495	506	-0.3326	17981	17885
4294968155	477	497	-0.4422	17925	17843
8589935342	480	8589935216	-0.5615	17834	17984
8589935365	478	17179869943	-0.4255	17491	17997
21474838135	12884903201	25769805402	-0.0084	10080	17622
4294967831	477	503	-0.1218	17961	17921
4294968131	485	500	-0.2188	17949	17798
8589935370	485	8589935216	-0.2942	17835	17844
8589935385	495	500	0.1027	17914	17978
4294968367	8589935616	17179869943	0.9289	14731	17994
4294968259	495	17179869943	-0.1482	17493	17880
17179869783	500	17179869943	0.7916	17495	17966
8589935388	485	17179869943	-0.0136	17497	17931
