# tick 20000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
506	12859.2188	-0.2031	20001	0.4000	2,2,1	0.5000	41
476	7988.4609	0.4967	20001	0.4000	2,0,0	0.5000	32
477	20170.9609	0.5000	20001	0.4000	1,3,0	0.5000	28
478	14866.7988	0.3080	20001	0.4000	2,2,3	0.5000	43
8589936313	2171.3652	0.2587	10750	0.4000	1,1,3	0.5000	23
480	13875.7939	-0.1741	20001	0.4000	0,0,1	0.5000	1
17179869943	9290.1865	0.4259	19500	0.4000	0,3,0	0.5000	12
503	14821.5215	-0.0844	20001	0.4000	3,1,0	0.5000	52
495	2623.8477	0.2218	20001	0.4000	0,0,0	0.5000	0
497	14297.8965	-0.1590	20001	0.4000	3,0,2	0.5000	50
485	11239.2832	0.0933	20001	0.4000	2,2,2	0.5000	42
486	12917.7832	0.3281	20001	0.4000	0,1,3	0.5000	7
8589935216	14220.1211	-0.0066	19850	0.4000	2,2,0	0.5000	40
500	9074.9297	0.4763	20001	0.4000	0,1,2	0.5000	6
494	15809.2715	0.1236	20001	0.4000	2,2,0	0.5000	40
510	12897.0293	-0.2919	20001	0.4000	3,3,0	0.5000	60
8589935730	10800.3105	0.4636	16250	0.4000	0,3,0	0.5000	12
4294968050	14451.4414	0.1188	19700	0.4000	3,1,0	0.5000	52
12884902748	6159.3203	-0.1403	19650	0.4000	1,1,2	0.5000	22
8589935100	10642.3047	0.1604	19400	0.4000	1,0,0	0.5000	16
12884902646	11007.7070	0.1814	19300	0.4000	1,2,3	0.5000	27
17179870219	8037.7988	0.3876	16350	0.4000	2,3,0	0.5000	44
55834575671	7698.8975	-0.1446	17900	0.4000	1,0,1	0.5000	17
17179870018	9742.9609	0.1390	18450	0.4000	1,0,1	0.5000	17
17179869887	1804.0813	0.1555	17950	0.4000	3,1,2	0.5000	54
64424509951	12353.9463	0.3521	17500	0.4000	3,2,2	0.5000	58
4294967931	8183.3076	0.3773	17800	0.4000	1,1,3	0.5000	23
25769804274	12044.5684	-0.1939	17400	0.4000	0,3,1	0.5000	13
12884902568	12889.1650	-0.2438	17350	0.4000	0,1,2	0.5000	6
4294968040	11003.2422	-0.1190	17250	0.4000	2,2,1	0.5000	41
967	7474.0312	-0.1410	17150	0.4000	2,0,0	0.5000	32
8589935616	6310.2949	0.4907	16850	0.4000	2,1,3	0.5000	39
997	11132.4521	-0.2330	17050	0.4000	1,3,2	0.5000	30
4294968363	16336.3311	0.0151	16800	0.4000	0,3,2	0.5000	14
12884903236	8747.6504	0.2995	14050	0.4000	2,0,1	0.5000	33
34359739110	6598.2646	0.4187	15800	0.4000	3,0,3	0.5000	51
21474837685	9690.5723	0.3730	14950	0.4000	0,3,3	0.5000	15
25769804972	7377.5093	0.4350	14900	0.4000	3,0,3	0.5000	51
38654706861	9810.9805	-0.2656	14800	0.4000	3,3,2	0.5000	62
55834575954	10866.9531	0.4673	14100	0.4000	0,3,1	0.5000	13
17179870434	4757.3091	-0.0747	13700	0.4000	3,0,1	0.5000	49
8589936015	10878.1338	0.2167	13500	0.4000	1,1,2	0.5000	22
12884903201	10204.0889	0.3209	13900	0.4000	1,0,2	0.5000	18
12884903455	5685.2456	-0.0835	12200	0.4000	3,0,0	0.5000	48
17179870731	5790.5938	0.2286	13050	0.4000	1,2,0	0.5000	24
1584	12134.0625	-0.1440	12900	0.4000	2,1,1	0.5000	37
25769805402	4220.9731	0.3864	12100	0.4000	1,3,3	0.5000	31
38654707016	2944.3179	0.3933	11550	0.4000	0,0,2	0.5000	2
1736	7388.4326	0.0363	10900	0.4000	1,2,3	0.5000	27
25769804532	10964.2842	-0.2244	10800	0.4000	2,1,1	0.5000	37
47244642130	6561.9082	-0.2232	8550	0.4000	1,0,2	0.5000	18
51539609482	3689.9568	0.3021	8100	0.4000	1,1,3	0.5000	23
38654707641	5931.7495	0.2656	7300	0.4000	0,3,2	0.5000	14
12884903914	1008.5166	0.2574	7450	0.4000	0,2,2	0.5000	10
42949674928	2002.0610	-0.2467	7150	0.4000	3,3,3	0.5000	63
12884904129	7968.1958	0.3774	6350	0.4000	3,0,2	0.5000	50
60129544460	1028.6979	0.0065	2450	0.4000	0,1,0	0.5000	4
51539609721	2307.0317	-0.1528	3350	0.4000	3,2,0	0.5000	56
4294969672	1960.8616	-0.2917	3450	0.4000	1,2,2	0.5000	26
73014446229	2998.7451	0.0349	3600	0.4000	2,3,0	0.5000	44
2506	991.7812	0.3238	3250	0.4000	2,1,1	0.5000	37
21474839213	257.4409	0.4600	1000	0.4000	0,3,3	0.5000	15
8589937227	815.0276	0.1610	2250	0.4000	1,2,3	0.5000	27
42949675708	78.0012	0.0243	250	0.4000	2,3,2	0.5000	46
68719479348	47.8612	0.4096	100	0.4000	1,0,0	0.5000	16
34359740462	48.6305	0.1157	50	0.4000	2,2,2	0.5000	42

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968057	478	497	0.1765	19851	19921
516	476	478	-0.2129	20000	19778
4294968251	486	510	0.1041	19895	19898
1088	494	4294968363	-0.3285	16714	19872
4294967809	478	8589935216	-0.4251	19809	19928
4294967786	497	8589935216	-0.4197	19846	19939
685	476	495	-0.2600	19987	19951
665	486	503	-0.1347	19989	19948
8589935139	480	17179869943	0.2241	19470	19960
17179870158	510	8589935730	-0.4394	16226	19948
525	494	510	-0.4332	20000	19973
526	476	477	0.9861	19999	19993
527	478	500	-0.0379	19999	19999
745	485	506	-0.2375	19981	19900
877	476	503	-0.1823	19967	19857
808	485	495	-0.4036	19975	19974
531	494	495	-0.0778	19999	19383
897	480	486	-0.2227	19964	19990
8589935173	25769805402	38654707016	-0.1947	11450	19969
30064772668	12884903236	47244641331	-0.0000	11044	8956
4294968335	4294968050	4294968363	-0.2668	16776	19982
4294967824	477	8589935216	0.8656	19821	19960
8589935076	477	8589935100	-0.3096	19391	19988
12884902784	477	4294968405	-0.0000	16297	3703
4294968337	4294968363	8589935616	0.9900	16769	19995
12884902741	476	485	-0.1566	19945	19918
4294967915	477	485	-0.3216	19941	19918
4294967837	510	8589935216	-0.1385	19823	19965
8589935124	500	506	-0.0948	19963	19837
12884903578	510	38654707016	0.0171	11490	19999
545	497	510	-0.1937	19998	19938
8589935395	495	8589935216	-0.2058	19825	19965
816	478	495	0.7692	19974	19955
700	494	503	-0.0443	19986	19835
8589935356	506	8589935216	-0.1447	19828	19823
886	478	510	0.0460	19966	20000
12884902628	4294968050	17179869943	-0.1965	19475	19904
4294968357	4294968363	17179869887	-0.2776	16725	19884
2010	476	1946	-0.0000	10284	9716
4294968246	497	508	-0.0000	19912	88
4294967916	486	500	0.0561	19876	19945
916	480	485	-0.3522	19954	19800
4294967907	495	510	-0.1852	19962	19674
17179870750	12884902568	25769805402	-0.5037	12084	19986
4294967966	476	497	-0.5868	19948	19965
4294968358	4294968363	17179869943	-0.2360	16726	19836
4294968338	478	4294968363	-0.4968	16767	19918
8589935371	476	8589935216	0.9940	19828	19997
563	494	506	-0.3278	19997	19884
8589935465	8589935216	17179869943	0.3387	19481	19945
565	478	486	-0.3041	19996	19854
21474837313	8589935100	8589935730	-0.4163	16227	19948
678	494	497	-0.2011	19988	19575
882	485	503	0.0661	19966	19975
8589935514	4294967777	12884902646	-0.0000	19264	736
12884902387	12884902748	17179869943	-0.3472	19483	19888
913	480	500	-0.2263	19955	19809
839	478	506	0.0249	19972	19943
801	506	510	-0.1014	19976	19859
8589935520	510	17179869943	-0.4144	19484	19990
957	480	494	-0.2435	19928	19472
4294968364	4294968363	8589935216	-0.2059	16729	19657
4294967987	497	506	0.3596	19943	19895
885	497	503	0.0546	19966	19977
4294968021	477	494	-0.1549	19879	19983
4294968249	510	8589935100	-0.3254	19397	19950
30064772281	8589935100	38654707016	-0.3846	11484	19989
17179870016	12884903460	17179869887	-0.0000	11514	8486
17179870850	12884902646	25769805402	0.9300	12063	19989
38654706320	17179870731	38654707016	-0.1741	11403	19955
585	485	510	-0.0522	19995	19939
900	497	511	-0.0000	19961	39
4294968139	480	495	-0.3194	19952	19929
4294967844	503	506	0.6966	19980	19974
807	485	497	-0.3744	19975	19976
590	494	500	0.5831	19995	19965
895	477	510	-0.1420	19964	19869
592	480	510	-0.0806	19995	19776
4294967900	503	510	-0.3336	19958	19776
8589935263	503	8589935216	0.2316	19829	19982
12884902481	478	494	-0.5334	19902	20000
596	476	510	-0.3440	19994	19938
734	476	486	-0.2616	19982	19985
68719478166	510	12884903455	0.9743	12082	19987
920	486	494	-0.2571	19954	19981
4294968366	476	4294968363	-0.3433	16730	19864
668	478	503	0.2345	19988	19979
4294968096	478	485	-0.3785	19903	19953
4294968189	480	506	0.8893	19941	19977
4294968049	477	480	-0.2467	19961	19871
4294967972	480	503	-0.2970	19948	19815
8589935289	500	8589935216	-0.0267	19830	19859
4294968109	486	8589935216	-0.4263	19833	19985
608	480	497	-0.2612	19993	19953
609	477	486	-0.0349	19993	19992
21474838137	1584	25769805402	-0.0865	12081	20000
4294968239	486	17179869943	-0.2138	19491	19846
12884902670	480	38654707016	-0.1999	11515	19965
748	495	506	-0.1808	19981	19976
4294968155	477	497	-0.3808	19925	19928
8589935342	480	8589935216	-0.0089	19834	19982
8589935365	478	17179869943	-0.2546	19491	19912
21474838135	12884903201	25769805402	-0.2104	12080	19881
4294967831	477	503	-0.2135	19961	19901
4294968131	485	500	-0.1668	19949	19960
8589935370	485	8589935216	-0.1719	19835	19966
8589935385	495	500	-0.1899	19914	19897
4294968367	8589935616	17179869943	0.9920	16731	19996
4294968259	495	17179869943	-0.2684	19493	19995
17179869783	500	17179869943	0.4975	19495	19996
8589935388	485	17179869943	-0.4094	19497	19947
4294968086	500	510	-0.2458	19945	19950
627	477	500	0.9102	19992	19953
21474838155	25769805402	55834575671	-0.0630	12078	19916
4294967906	497	500	-0.2209	19980	19921
