# tick 22000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
506	11590.2188	-0.2031	22001	0.4000	2,2,1	0.5000	41
476	9553.4609	0.4967	22001	0.4000	2,0,0	0.5000	32
477	20697.9609	0.5000	22001	0.4000	1,3,0	0.5000	28
478	14853.7988	0.3080	22001	0.4000	2,2,3	0.5000	43
8589936313	2152.3652	0.2587	12750	0.4000	1,1,3	0.5000	23
480	13386.7939	-0.1741	22001	0.4000	0,0,1	0.5000	1
17179869943	11130.1865	0.4259	21500	0.4000	0,3,0	0.5000	12
503	14330.5215	-0.0844	22001	0.4000	3,1,0	0.5000	52
495	2703.8477	0.2218	22001	0.4000	0,0,0	0.5000	0
497	14698.8965	-0.1590	22001	0.4000	3,0,2	0.5000	50
485	12146.2832	0.0933	22001	0.4000	2,2,2	0.5000	42
486	12094.7832	0.3281	22001	0.4000	0,1,3	0.5000	7
8589935216	14019.1211	-0.0066	21850	0.4000	2,2,0	0.5000	40
500	9838.9297	0.4763	22001	0.4000	0,1,2	0.5000	6
494	16266.2715	0.1236	22001	0.4000	2,2,0	0.5000	40
510	13054.0293	-0.2919	22001	0.4000	3,3,0	0.5000	60
8589935730	12277.3105	0.4636	18250	0.4000	0,3,0	0.5000	12
4294968050	14208.4414	0.1188	21700	0.4000	3,1,0	0.5000	52
12884902748	8812.3203	-0.1403	21650	0.4000	1,1,2	0.5000	22
8589935100	10933.3047	0.1604	21400	0.4000	1,0,0	0.5000	16
12884902646	11858.7070	0.1814	21300	0.4000	1,2,3	0.5000	27
17179870219	9679.7988	0.3876	18350	0.4000	2,3,0	0.5000	44
55834575671	7498.8975	-0.1446	19900	0.4000	1,0,1	0.5000	17
17179870018	10272.9609	0.1390	20450	0.4000	1,0,1	0.5000	17
17179869887	808.0813	0.1555	19950	0.4000	3,1,2	0.5000	54
64424509951	13700.9463	0.3521	19500	0.4000	3,2,2	0.5000	58
4294967931	6798.3076	0.3773	19800	0.4000	1,1,3	0.5000	23
25769804274	12544.5684	-0.1939	19400	0.4000	0,3,1	0.5000	13
12884902568	14061.1650	-0.2438	19350	0.4000	0,1,2	0.5000	6
4294968040	12929.2422	-0.1190	19250	0.4000	2,2,1	0.5000	41
967	8076.0312	-0.1410	19150	0.4000	2,0,0	0.5000	32
8589935616	7410.2949	0.4907	18850	0.4000	2,1,3	0.5000	39
997	13695.4521	-0.2330	19050	0.4000	1,3,2	0.5000	30
4294968363	18697.3320	0.0151	18800	0.4000	0,3,2	0.5000	14
12884903236	9143.6504	0.2995	16050	0.4000	2,0,1	0.5000	33
34359739110	6396.2646	0.4187	17800	0.4000	3,0,3	0.5000	51
21474837685	10076.5723	0.3730	16950	0.4000	0,3,3	0.5000	15
25769804972	7111.5093	0.4350	16900	0.4000	3,0,3	0.5000	51
38654706861	9730.9805	-0.2656	16800	0.4000	3,3,2	0.5000	62
55834575954	11808.9531	0.4673	16100	0.4000	0,3,1	0.5000	13
17179870434	5061.3091	-0.0747	15700	0.4000	3,0,1	0.5000	49
8589936015	9956.1338	0.2167	15500	0.4000	1,1,2	0.5000	22
12884903201	10590.0889	0.3209	15900	0.4000	1,0,2	0.5000	18
12884903455	6559.2456	-0.0835	14200	0.4000	3,0,0	0.5000	48
17179870731	6042.5938	0.2286	15050	0.4000	1,2,0	0.5000	24
1584	13514.0625	-0.1440	14900	0.4000	2,1,1	0.5000	37
25769805402	3715.9731	0.3864	14100	0.4000	1,3,3	0.5000	31
38654707016	3026.3179	0.3933	13550	0.4000	0,0,2	0.5000	2
1736	6801.4326	0.0363	12900	0.4000	1,2,3	0.5000	27
25769804532	11331.2842	-0.2244	12800	0.4000	2,1,1	0.5000	37
47244642130	6557.9082	-0.2232	10550	0.4000	1,0,2	0.5000	18
51539609482	4066.9568	0.3021	10100	0.4000	1,1,3	0.5000	23
38654707641	5876.7495	0.2656	9300	0.4000	0,3,2	0.5000	14
12884903914	1810.5166	0.2574	9450	0.4000	0,2,2	0.5000	10
42949674928	2704.0610	-0.2467	9150	0.4000	3,3,3	0.5000	63
12884904129	9028.1953	0.3774	8350	0.4000	3,0,2	0.5000	50
60129544460	2421.6978	0.0065	4450	0.4000	0,1,0	0.5000	4
51539609721	4247.0317	-0.1528	5350	0.4000	3,2,0	0.5000	56
4294969672	1608.8616	-0.2917	5450	0.4000	1,2,2	0.5000	26
73014446229	5186.7451	0.0349	5600	0.4000	2,3,0	0.5000	44
2506	2812.7812	0.3238	5250	0.4000	2,1,1	0.5000	37
21474839213	1239.4409	0.4600	3000	0.4000	0,3,3	0.5000	15
8589937227	1928.0276	0.1610	4250	0.4000	1,2,3	0.5000	27
51539609650	1436.1278	0.4243	1550	0.4000	2,1,1	0.5000	37

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968057	478	497	0.1635	21851	21905
516	476	478	-0.0599	22000	21929
4294968251	486	510	-0.0791	21895	21863
1088	494	4294968363	-0.1097	18714	22000
4294967809	478	8589935216	-0.0301	21809	21805
4294967786	497	8589935216	0.1303	21846	22000
685	476	495	-0.4813	21987	21908
665	486	503	-0.2608	21989	21994
8589935139	480	17179869943	-0.1317	21470	21951
17179870158	510	8589935730	-0.4223	18226	21988
525	494	510	-0.2993	22000	21901
526	476	477	0.1449	21999	21942
527	478	500	-0.2843	21999	21944
745	485	506	-0.1512	21981	21979
877	476	503	-0.1932	21967	21872
808	485	495	-0.1845	21975	21998
531	494	495	-0.2368	21999	21864
897	480	486	-0.3072	21964	21905
8589935173	25769805402	38654707016	-0.2986	13450	21944
30064772668	12884903236	47244641331	-0.0000	13044	8956
4294968335	4294968050	4294968363	-0.1890	18776	21854
4294967824	477	8589935216	0.6534	21821	21999
8589935076	477	8589935100	-0.3998	21391	21888
12884902784	477	4294968405	-0.0000	18297	3703
4294968337	4294968363	8589935616	-0.3002	18769	21989
12884902741	476	485	-0.1404	21945	21985
4294967915	477	485	-0.0995	21941	21770
4294967837	510	8589935216	0.0085	21823	21942
8589935124	500	506	-0.2751	21963	21902
12884903578	510	38654707016	-0.3577	13490	21920
545	497	510	0.1135	21998	21951
8589935395	495	8589935216	-0.0163	21825	21983
816	478	495	0.5671	21974	21992
700	494	503	-0.2575	21986	21932
8589935356	506	8589935216	-0.2217	21828	21828
886	478	510	-0.1499	21966	21841
12884902628	4294968050	17179869943	-0.2393	21475	21941
4294968357	4294968363	17179869887	-0.1108	18725	21929
2010	476	1946	-0.0000	12284	9716
4294968246	497	508	-0.0000	21912	88
4294967916	486	500	-0.2957	21876	21990
916	480	485	0.3769	21954	21929
4294967907	495	510	-0.3356	21962	21806
17179870750	12884902568	25769805402	-0.2501	14084	21851
4294967966	476	497	-0.1821	21948	21636
4294968358	4294968363	17179869943	-0.3179	18726	21972
4294968338	478	4294968363	0.1514	18767	21962
8589935371	476	8589935216	-0.3581	21828	21994
563	494	506	-0.1734	21997	21772
8589935465	8589935216	17179869943	-0.2930	21481	21891
565	478	486	-0.2160	21996	21979
21474837313	8589935100	8589935730	-0.1341	18227	21796
678	494	497	-0.1908	21988	21945
882	485	503	-0.1219	21966	21789
8589935514	4294967777	12884902646	-0.0000	21264	736
12884902387	12884902748	17179869943	-0.2705	21483	21709
913	480	500	-0.2222	21955	21860
839	478	506	-0.2230	21972	21893
801	506	510	-0.2723	21976	21963
8589935520	510	17179869943	-0.1685	21484	21744
957	480	494	0.0461	21928	21978
4294968364	4294968363	8589935216	-0.2207	18729	21923
4294967987	497	506	-0.1239	21943	21991
885	497	503	0.8380	21966	21969
4294968021	477	494	-0.2826	21879	21973
4294968249	510	8589935100	-0.1618	21397	21919
30064772281	8589935100	38654707016	-0.3172	13484	21842
17179870016	12884903460	17179869887	-0.0000	13514	8486
17179870850	12884902646	25769805402	-0.1600	14063	21581
38654706320	17179870731	38654707016	-0.3467	13403	21934
585	485	510	-0.2287	21995	21898
900	497	511	-0.0000	21961	39
4294968139	480	495	-0.2862	21952	21895
4294967844	503	506	-0.1875	21980	21955
807	485	497	0.1107	21975	21920
590	494	500	0.0250	21995	21947
895	477	510	-0.4229	21964	21992
592	480	510	-0.3467	21995	21920
4294967900	503	510	-0.1196	21958	21957
8589935263	503	8589935216	-0.1711	21829	21940
12884902481	478	494	-0.4056	21902	21995
596	476	510	-0.1671	21994	21953
734	476	486	0.8888	21982	21977
68719478166	510	12884903455	0.9874	14082	21998
920	486	494	-0.0347	21954	21999
4294968366	476	4294968363	-0.2444	18730	21827
668	478	503	-0.1804	21988	21572
4294968096	478	485	-0.0563	21903	21890
4294968189	480	506	0.2781	21941	21969
4294968049	477	480	-0.0684	21961	21850
4294967972	480	503	-0.2363	21948	21989
8589935289	500	8589935216	-0.2079	21830	21816
4294968109	486	8589935216	0.7281	21833	21976
608	480	497	-0.1273	21993	21809
609	477	486	-0.1306	21993	21668
21474838137	1584	25769805402	0.0271	14081	21994
4294968239	486	17179869943	-0.1411	21491	21964
12884902670	480	38654707016	-0.3668	13515	21828
748	495	506	-0.0529	21981	21919
4294968155	477	497	-0.0824	21925	21493
8589935342	480	8589935216	-0.3342	21834	21946
8589935365	478	17179869943	0.0282	21491	21947
21474838135	12884903201	25769805402	-0.3269	14080	21955
4294967831	477	503	-0.1041	21961	21811
4294968131	485	500	-0.1275	21949	21848
8589935370	485	8589935216	-0.1861	21835	21841
8589935385	495	500	0.0650	21914	21877
4294968367	8589935616	17179869943	0.9960	18731	21998
4294968259	495	17179869943	-0.0319	21493	21983
17179869783	500	17179869943	0.7299	21495	21980
8589935388	485	17179869943	-0.6006	21497	21985
4294968086	500	510	-0.0630	21945	21796
