# tick 24000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
506	10536.2188	-0.2031	24001	0.4000	2,2,1	0.5000	41
476	11607.4609	0.4967	24001	0.4000	2,0,0	0.5000	32
477	21228.9609	0.5000	24001	0.4000	1,3,0	0.5000	28
478	14407.7988	0.3080	24001	0.4000	2,2,3	0.5000	43
8589936313	2804.3652	0.2587	14750	0.4000	1,1,3	0.5000	23
480	13589.7939	-0.1741	24001	0.4000	0,0,1	0.5000	1
17179869943	14258.1865	0.4259	23500	0.4000	0,3,0	0.5000	12
503	13913.5215	-0.0844	24001	0.4000	3,1,0	0.5000	52
495	2914.8477	0.2218	24001	0.4000	0,0,0	0.5000	0
497	14862.8965	-0.1590	24001	0.4000	3,0,2	0.5000	50
485	12107.2832	0.0933	24001	0.4000	2,2,2	0.5000	42
486	12039.7832	0.3281	24001	0.4000	0,1,3	0.5000	7
8589935216	14555.1211	-0.0066	23850	0.4000	2,2,0	0.5000	40
500	9979.9297	0.4763	24001	0.4000	0,1,2	0.5000	6
494	16074.2715	0.1236	24001	0.4000	2,2,0	0.5000	40
510	13269.0293	-0.2919	24001	0.4000	3,3,0	0.5000	60
8589935730	13175.3105	0.4636	20250	0.4000	0,3,0	0.5000	12
4294968050	13722.4414	0.1188	23700	0.4000	3,1,0	0.5000	52
12884902748	9280.3203	-0.1403	23650	0.4000	1,1,2	0.5000	22
8589935100	11439.3047	0.1604	23400	0.4000	1,0,0	0.5000	16
12884902646	12030.7070	0.1814	23300	0.4000	1,2,3	0.5000	27
17179870219	11753.7988	0.3876	20350	0.4000	2,3,0	0.5000	44
55834575671	7561.8975	-0.1446	21900	0.4000	1,0,1	0.5000	17
17179870018	11371.9609	0.1390	22450	0.4000	1,0,1	0.5000	17
17179869887	630.0813	0.1555	21950	0.4000	3,1,2	0.5000	54
64424509951	15157.9463	0.3521	21500	0.4000	3,2,2	0.5000	58
4294967931	5716.3076	0.3773	21800	0.4000	1,1,3	0.5000	23
25769804274	12947.5684	-0.1939	21400	0.4000	0,3,1	0.5000	13
12884902568	16252.1650	-0.2438	21350	0.4000	0,1,2	0.5000	6
4294968040	15352.2422	-0.1190	21250	0.4000	2,2,1	0.5000	41
967	8389.0312	-0.1410	21150	0.4000	2,0,0	0.5000	32
8589935616	6946.2949	0.4907	20850	0.4000	2,1,3	0.5000	39
997	15261.4521	-0.2330	21050	0.4000	1,3,2	0.5000	30
4294968363	19863.3320	0.0151	20800	0.4000	0,3,2	0.5000	14
12884903236	10420.6504	0.2995	18050	0.4000	2,0,1	0.5000	33
34359739110	5160.2646	0.4187	19800	0.4000	3,0,3	0.5000	51
21474837685	11525.5723	0.3730	18950	0.4000	0,3,3	0.5000	15
25769804972	7197.5093	0.4350	18900	0.4000	3,0,3	0.5000	51
38654706861	9688.9805	-0.2656	18800	0.4000	3,3,2	0.5000	62
55834575954	12472.9531	0.4673	18100	0.4000	0,3,1	0.5000	13
17179870434	7038.3091	-0.0747	17700	0.4000	3,0,1	0.5000	49
8589936015	9410.1338	0.2167	17500	0.4000	1,1,2	0.5000	22
12884903201	10534.0889	0.3209	17900	0.4000	1,0,2	0.5000	18
12884903455	6968.2456	-0.0835	16200	0.4000	3,0,0	0.5000	48
17179870731	6416.5938	0.2286	17050	0.4000	1,2,0	0.5000	24
1584	13900.0625	-0.1440	16900	0.4000	2,1,1	0.5000	37
25769805402	3582.9731	0.3864	16100	0.4000	1,3,3	0.5000	31
38654707016	2950.3179	0.3933	15550	0.4000	0,0,2	0.5000	2
1736	5586.4326	0.0363	14900	0.4000	1,2,3	0.5000	27
25769804532	10892.2842	-0.2244	14800	0.4000	2,1,1	0.5000	37
47244642130	6722.9082	-0.2232	12550	0.4000	1,0,2	0.5000	18
51539609482	4150.9570	0.3021	12100	0.4000	1,1,3	0.5000	23
38654707641	5448.7495	0.2656	11300	0.4000	0,3,2	0.5000	14
12884903914	2021.5166	0.2574	11450	0.4000	0,2,2	0.5000	10
42949674928	3616.0610	-0.2467	11150	0.4000	3,3,3	0.5000	63
12884904129	11118.1953	0.3774	10350	0.4000	3,0,2	0.5000	50
60129544460	3534.6978	0.0065	6450	0.4000	0,1,0	0.5000	4
51539609721	5512.0317	-0.1528	7350	0.4000	3,2,0	0.5000	56
68719479554	22.1692	0.3011	200	0.4000	1,3,0	0.5000	28
73014446229	8955.7451	0.0349	7600	0.4000	2,3,0	0.5000	44
2506	4200.7812	0.3238	7250	0.4000	2,1,1	0.5000	37
21474839213	1988.4409	0.4600	5000	0.4000	0,3,3	0.5000	15
8589937227	2436.0276	0.1610	6250	0.4000	1,2,3	0.5000	27
51539609650	2520.1279	0.4243	3550	0.4000	2,1,1	0.5000	37
167503726831	74.6886	-0.2900	100	0.4000	1,1,0	0.5000	20
17179871984	136.8882	-0.0077	700	0.4000	0,0,3	0.5000	3
12884904353	69.4943	0.1393	50	0.4000	2,2,2	0.5000	42

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968057	478	497	-0.5665	23851	23979
516	476	478	-0.3352	24000	23792
4294968251	486	510	-0.1025	23895	23664
1088	494	4294968363	0.0499	20714	23977
4294967809	478	8589935216	-0.2213	23809	23917
4294967786	497	8589935216	-0.0169	23846	23713
685	476	495	-0.1267	23987	23616
665	486	503	-0.1170	23989	23956
8589935139	480	17179869943	0.0185	23470	23964
17179870158	510	8589935730	0.0919	20226	23931
525	494	510	-0.3597	24000	23886
526	476	477	-0.0230	23999	23597
527	478	500	-0.0152	23999	23903
745	485	506	-0.1905	23981	23605
877	476	503	-0.1864	23967	23688
808	485	495	-0.0180	23975	23829
531	494	495	-0.0867	23999	23980
897	480	486	-0.0921	23964	23908
8589935173	25769805402	38654707016	-0.3242	15450	23901
30064772668	12884903236	47244641331	-0.0000	15044	8956
4294968335	4294968050	4294968363	-0.1318	20776	23929
4294967824	477	8589935216	0.3525	23821	23994
8589935076	477	8589935100	-0.0371	23391	23940
12884902784	477	4294968405	-0.0000	20297	3703
4294968337	4294968363	8589935616	-0.0724	20769	23652
12884902741	476	485	-0.0878	23945	23991
4294967915	477	485	-0.3471	23941	23730
4294967837	510	8589935216	-0.2167	23823	23835
8589935124	500	506	-0.1076	23963	23941
12884903578	510	38654707016	-0.3163	15490	23937
545	497	510	-0.2017	23998	23555
8589935395	495	8589935216	-0.1042	23825	23833
816	478	495	-0.3116	23974	23879
700	494	503	-0.2423	23986	23732
8589935356	506	8589935216	0.2308	23828	23920
886	478	510	-0.4036	23966	23957
12884902628	4294968050	17179869943	0.4206	23475	23974
4294968357	4294968363	17179869887	-0.3083	20725	23739
2010	476	1946	-0.0000	14284	9716
4294968246	497	508	-0.0000	23912	88
4294967916	486	500	-0.4849	23876	23986
916	480	485	0.0365	23954	23743
4294967907	495	510	-0.1582	23962	23872
17179870750	12884902568	25769805402	-0.0801	16084	23364
4294967966	476	497	-0.2609	23948	23946
4294968358	4294968363	17179869943	-0.0912	20726	23724
4294968338	478	4294968363	-0.2263	20767	23794
8589935371	476	8589935216	-0.1086	23828	23959
563	494	506	-0.2125	23997	23941
8589935465	8589935216	17179869943	-0.2477	23481	23465
565	478	486	-0.1097	23996	23667
21474837313	8589935100	8589935730	0.0427	20227	23929
678	494	497	-0.3085	23988	23724
882	485	503	-0.4849	23966	23995
8589935514	4294967777	12884902646	-0.0000	23264	736
12884902387	12884902748	17179869943	0.2044	23483	23831
913	480	500	-0.2454	23955	23973
839	478	506	-0.1681	23972	23902
801	506	510	-0.2859	23976	23763
8589935520	510	17179869943	-0.2032	23484	23823
957	480	494	-0.0599	23928	23932
4294968364	4294968363	8589935216	-0.2313	20729	23537
4294967987	497	506	-0.3297	23943	23892
885	497	503	0.5324	23966	23952
4294968021	477	494	0.0653	23879	23799
4294968249	510	8589935100	-0.2241	23397	23893
30064772281	8589935100	38654707016	-0.4097	15484	23943
17179870016	12884903460	17179869887	-0.0000	15514	8486
17179870850	12884902646	25769805402	-0.0019	16063	23560
38654706320	17179870731	38654707016	-0.1472	15403	23963
585	485	510	-0.0064	23995	23983
900	497	511	-0.0000	23961	39
4294968139	480	495	0.8089	23952	23988
4294967844	503	506	0.1074	23980	23994
807	485	497	-0.4441	23975	23977
590	494	500	-0.3987	23995	23966
895	477	510	-0.1229	23964	23853
592	480	510	-0.3574	23995	23975
4294967900	503	510	-0.3920	23958	23997
8589935263	503	8589935216	-0.1657	23829	23842
12884902481	478	494	0.0186	23902	23874
596	476	510	-0.2296	23994	23766
734	476	486	-0.1143	23982	23928
68719478166	510	12884903455	0.1035	16082	23942
920	486	494	0.0507	23954	23963
4294968366	476	4294968363	0.0490	20730	23907
668	478	503	-0.1145	23988	23614
4294968096	478	485	-0.4072	23903	23956
4294968189	480	506	-0.4117	23941	23969
4294968049	477	480	-0.2792	23961	23953
4294967972	480	503	-0.3540	23948	23889
8589935289	500	8589935216	-0.3501	23830	23942
4294968109	486	8589935216	-0.2927	23833	23892
608	480	497	0.7310	23993	24000
609	477	486	-0.4005	23993	23966
21474838137	1584	25769805402	0.7911	16081	23936
4294968239	486	17179869943	0.9782	23491	23989
12884902670	480	38654707016	-0.2240	15515	23725
748	495	506	-0.1269	23981	23907
4294968155	477	497	-0.2426	23925	23845
8589935342	480	8589935216	-0.1939	23834	23894
8589935365	478	17179869943	0.1170	23491	23958
21474838135	12884903201	25769805402	-0.1201	16080	23612
4294967831	477	503	-0.4236	23961	24000
4294968131	485	500	0.0059	23949	23920
8589935370	485	8589935216	-0.0449	23835	23966
8589935385	495	500	0.6330	23914	24000
4294968367	8589935616	17179869943	1.0000	20731	24000
4294968259	495	17179869943	0.4575	23493	23994
17179869783	500	17179869943	-0.0452	23495	23795
8589935388	485	17179869943	-0.1637	23497	23933
4294968086	500	510	-0.2994	23945	23970
627	477	500	-0.3145	23992	23808
21474838155	25769805402	55834575671	-0.1810	16078	23691
4294967906	497	500	-0.1201	23980	23856
8589935681	506	17179870219	0.2637	20299	23930
42949673655	485	4294968363	-0.1771	20688	23912
887	477	495	-0.3756	23965	23971
721	476	500	-0.2742	23984	23993
945	495	503	-0.4603	23932	23981
8589935394	486	495	0.6070	23909	23991
4294967970	494	8589935216	0.9940	23844	23997
637	476	480	-0.1682	23991	23670
707	486	497	1.0000	23985	24000
4294967788	476	494	-0.4496	23904	23988
38654707056	480	25769805402	-0.2056	16061	23976
21474837350	17179869943	17179870219	0.9627	20274	23981
12884902733	8589935100	17179869943	-0.1565	23398	23615
4294968120	485	494	-0.1487	23945	23989
746	486	506	-0.5169	23981	23945
785	485	486	-0.2775	23977	23961
791	476	506	-0.1378	23977	23480
4294967912	495	497	-0.2426	23941	23973
795	477	478	-0.1636	23976	23907
4294968372	500	4294968363	-0.2417	20734	23934
949	477	506	-0.3079	23931	23986
4294967816	478	480	-0.3094	23979	23949
652	500	503	-0.3070	23990	23967
34359739923	12884902748	25769805402	-0.2475	16078	23973
8589935308	500	4294968050	-0.2834	23676	23725
4294968247	495	4294968050	-0.3662	23676	23696
8589935126	477	4294968050	-0.2824	23682	23734
12884902719	486	17179870219	-0.2335	20328	23931
8589935075	476	4294968050	-0.3028	23683	23927
12884902846	486	12884902748	-0.3909	23642	23877
17179870063	494	12884902748	-0.3123	23643	23999
12884902501	8589935216	12884902748	-0.0558	23644	23944
4294968152	510	4294968050	-0.3719	23698	23977
4294967874	485	4294968050	0.0664	23692	23933
8589935496	506	4294968050	-0.3241	23694	23987
8589935333	510	12884902748	-0.2930	23649	23925
17179869935	478	4294968050	-0.2689	23649	23810
38654707088	25769805402	34359739110	-0.2598	16064	23951
4294968073	503	4294968050	-0.1541	23696	23934
8589935195	4294968050	8589935216	-0.3359	23699	23849
17179869680	486	4294968050	-0.0947	23635	23854
12884902726	477	12884902748	-0.3337	23635	23936
21474837284	480	4294968050	-0.1292	23634	23871
17179870042	476	17179869943	0.9550	23498	23977
12884902660	503	12884902748	-0.1624	23629	23648
12884902437	494	17179869943	0.0393	23499	23739
12884902390	500	12884902748	-0.4812	23625	23871
8589935412	494	4294968050	0.0646	23620	23895
8589935128	485	12884902748	-0.0909	23619	23883
12884902446	480	12884902748	-0.4396	23618	23919
8589935446	497	4294968050	-0.2578	23618	23988
17179870035	497	12884902748	-0.3420	23615	23997
4294968374	4294968363	64424509951	-0.0573	20735	23780
12884902599	4294968050	12884902748	-0.2886	23610	23827
12884902493	497	17179869943	-0.5202	23402	23991
12884902381	476	12884902748	-0.1077	23587	23822
17179870041	478	12884902748	-0.3477	23595	23942
4294968015	495	12884902748	-0.3643	23555	23871
17179869896	506	12884902748	-0.2780	23594	23999
8589935454	480	12884902646	-0.2269	23268	23913
12884902759	500	12884902646	-0.1053	23269	23974
8589935158	494	12884902646	-0.2041	23274	23892
8589935113	477	17179869943	0.4689	23421	23954
8589935494	495	12884902646	-0.1389	23274	23668
8589935136	478	12884902646	-0.2310	23277	23941
21474837369	510	12884902646	-0.0565	23278	23967
8589935288	503	17179869943	0.4553	23426	23968
25769804313	503	12884902646	-0.2560	23285	23972
8589935373	486	12884902646	-0.0088	23287	23872
17179869829	12884902646	17179869943	-0.0967	23288	23846
8589935548	506	12884902646	-0.3814	23299	23981
4294968172	497	12884902646	-0.1916	23297	23957
4294968222	8589935100	8589935216	0.3024	23297	23978
21474836994	506	17179869943	-0.1558	23446	23503
4294968051	8589935100	12884902646	-0.1720	23299	23718
4294968238	500	8589935100	-0.2082	23341	23746
17179870842	17179870219	25769805402	-0.1635	16066	23757
8589935258	476	8589935100	0.9920	23386	23996
4294967926	476	12884902646	0.9881	23295	23994
4294967925	4294968050	8589935100	-0.2160	23294	23914
4294967897	477	12884902646	-0.2518	23293	23831
21474837392	497	8589935100	-0.2456	23383	23894
73014445319	17179870018	25769805402	0.1765	16068	24000
25769804425	495	8589935100	-0.0256	23380	23802
21474837354	494	8589935100	0.2460	23376	23974
4294967884	485	12884902646	-0.3730	23292	23997
4294968376	4294967931	4294968363	-0.1940	20738	23899
12884902827	486	8589935100	-0.3386	23367	23940
12884902616	506	8589935100	0.0567	23365	23972
12884902648	480	8589935100	-0.3569	23363	23968
12884902561	478	8589935100	-0.3273	23360	23767
17179869894	503	8589935100	-0.3539	23354	23844
8589935433	8589935100	12884902748	0.3573	23354	23985
8589935145	485	8589935100	0.1000	23347	23961
8589935073	4294968050	12884902646	0.0103	23260	23961
25769804730	12884902646	12884902748	-0.1500	23259	23447
17179870831	967	25769805402	-0.0311	16069	23964
12884902589	8589935216	12884902646	-0.3712	23202	23938
42949673500	476	17179870219	0.1151	20348	23991
94489281446	510	17179870219	0.0643	20227	23785
8589935704	12884902748	17179870219	0.0324	20276	23954
8589935712	4294968050	17179870219	-0.2474	20319	23926
21474837421	967	8589935730	-0.1627	20228	23934
8589935688	17179870219	25769804274	0.9646	20303	23982
8589935689	477	17179870219	-0.1177	20303	23761
21474837518	8589935100	17179870219	0.0803	20281	23987
17179870806	25769804972	25769805402	-0.2034	16046	23902
4294968430	8589935730	25769804274	-0.3114	20242	23895
4294968435	497	17179870219	-0.3516	20248	23929
17179870247	4294968040	17179870219	-0.2229	20285	23944
34359739142	4294968050	8589935730	-0.2467	20246	23884
21474837409	485	8589935730	0.1123	20232	23990
