# tick 26000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
506	8778.2188	-0.2031	26001	0.4000	2,2,1	0.5000	41
476	11449.4609	0.4967	26001	0.4000	2,0,0	0.5000	32
477	21451.9609	0.5000	26001	0.4000	1,3,0	0.5000	28
478	14558.7988	0.3080	26001	0.4000	2,2,3	0.5000	43
8589936313	3448.3652	0.2587	16750	0.4000	1,1,3	0.5000	23
480	14033.7939	-0.1741	26001	0.4000	0,0,1	0.5000	1
17179869943	15748.1865	0.4259	25500	0.4000	0,3,0	0.5000	12
503	15312.5215	-0.0844	26001	0.4000	3,1,0	0.5000	52
495	3763.8477	0.2218	26001	0.4000	0,0,0	0.5000	0
497	14831.8965	-0.1590	26001	0.4000	3,0,2	0.5000	50
485	11976.2832	0.0933	26001	0.4000	2,2,2	0.5000	42
486	13380.7832	0.3281	26001	0.4000	0,1,3	0.5000	7
8589935216	13243.1211	-0.0066	25850	0.4000	2,2,0	0.5000	40
500	9730.9297	0.4763	26001	0.4000	0,1,2	0.5000	6
494	15806.2715	0.1236	26001	0.4000	2,2,0	0.5000	40
510	13635.0293	-0.2919	26001	0.4000	3,3,0	0.5000	60
8589935730	13791.3105	0.4636	22250	0.4000	0,3,0	0.5000	12
4294968050	12997.4414	0.1188	25700	0.4000	3,1,0	0.5000	52
12884902748	10072.3203	-0.1403	25650	0.4000	1,1,2	0.5000	22
8589935100	11814.3047	0.1604	25400	0.4000	1,0,0	0.5000	16
12884902646	11934.7070	0.1814	25300	0.4000	1,2,3	0.5000	27
17179870219	13385.7988	0.3876	22350	0.4000	2,3,0	0.5000	44
55834575671	8050.8975	-0.1446	23900	0.4000	1,0,1	0.5000	17
17179870018	12105.9609	0.1390	24450	0.4000	1,0,1	0.5000	17
103079217834	486.5919	0.2896	800	0.4000	3,0,0	0.5000	48
64424509951	16301.9463	0.3521	23500	0.4000	3,2,2	0.5000	58
4294967931	5176.3076	0.3773	23800	0.4000	1,1,3	0.5000	23
25769804274	13198.5684	-0.1939	23400	0.4000	0,3,1	0.5000	13
12884902568	17063.1641	-0.2438	23350	0.4000	0,1,2	0.5000	6
4294968040	18283.2422	-0.1190	23250	0.4000	2,2,1	0.5000	41
967	6997.0312	-0.1410	23150	0.4000	2,0,0	0.5000	32
8589935616	6392.2949	0.4907	22850	0.4000	2,1,3	0.5000	39
997	14893.4521	-0.2330	23050	0.4000	1,3,2	0.5000	30
4294968363	19900.3320	0.0151	22800	0.4000	0,3,2	0.5000	14
12884903236	11841.6504	0.2995	20050	0.4000	2,0,1	0.5000	33
34359739110	5188.2646	0.4187	21800	0.4000	3,0,3	0.5000	51
21474837685	11511.5723	0.3730	20950	0.4000	0,3,3	0.5000	15
25769804972	7628.5093	0.4350	20900	0.4000	3,0,3	0.5000	51
38654706861	9456.9805	-0.2656	20800	0.4000	3,3,2	0.5000	62
55834575954	13975.9531	0.4673	20100	0.4000	0,3,1	0.5000	13
17179870434	7031.3091	-0.0747	19700	0.4000	3,0,1	0.5000	49
8589936015	8978.1338	0.2167	19500	0.4000	1,1,2	0.5000	22
12884903201	10416.0889	0.3209	19900	0.4000	1,0,2	0.5000	18
12884903455	7099.2456	-0.0835	18200	0.4000	3,0,0	0.5000	48
17179870731	6778.5938	0.2286	19050	0.4000	1,2,0	0.5000	24
1584	13698.0625	-0.1440	18900	0.4000	2,1,1	0.5000	37
25769805402	2803.9731	0.3864	18100	0.4000	1,3,3	0.5000	31
38654707016	1875.3179	0.3933	17550	0.4000	0,0,2	0.5000	2
1736	4816.4326	0.0363	16900	0.4000	1,2,3	0.5000	27
25769804532	10572.2842	-0.2244	16800	0.4000	2,1,1	0.5000	37
47244642130	6447.9082	-0.2232	14550	0.4000	1,0,2	0.5000	18
51539609482	4809.9570	0.3021	14100	0.4000	1,1,3	0.5000	23
38654707641	5509.7495	0.2656	13300	0.4000	0,3,2	0.5000	14
12884903914	2465.5166	0.2574	13450	0.4000	0,2,2	0.5000	10
42949674928	4674.0610	-0.2467	13150	0.4000	3,3,3	0.5000	63
12884904129	12390.1953	0.3774	12350	0.4000	3,0,2	0.5000	50
60129544460	3200.6978	0.0065	8450	0.4000	0,1,0	0.5000	4
51539609721	5828.0317	-0.1528	9350	0.4000	3,2,0	0.5000	56
115964119603	48.2290	0.1948	50	0.4000	3,3,1	0.5000	61
73014446229	9700.7451	0.0349	9600	0.4000	2,3,0	0.5000	44
2506	6231.7812	0.3238	9250	0.4000	2,1,1	0.5000	37
21474839213	2264.4409	0.4600	7000	0.4000	0,3,3	0.5000	15
8589937227	3836.0276	0.1610	8250	0.4000	1,2,3	0.5000	27
51539609650	3770.1279	0.4243	5550	0.4000	2,1,1	0.5000	37
17179871984	339.8882	-0.0077	2700	0.4000	0,0,3	0.5000	3

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968057	478	497	0.5295	25851	25983
516	476	478	-0.2135	26000	25790
4294968251	486	510	-0.2836	25895	25994
1088	494	4294968363	1.0000	22714	26000
4294967809	478	8589935216	-0.4770	25809	25850
4294967786	497	8589935216	-0.2929	25846	25986
685	476	495	-0.0429	25987	25735
665	486	503	-0.2892	25989	25991
8589935139	480	17179869943	-0.0595	25470	25814
17179870158	510	8589935730	-0.2995	22226	25926
525	494	510	-0.2492	26000	25893
526	476	477	0.1688	25999	25995
527	478	500	-0.0213	25999	25772
745	485	506	-0.1228	25981	25883
877	476	503	-0.2359	25967	25676
808	485	495	0.1416	25975	25994
531	494	495	-0.0435	25999	25994
897	480	486	0.1520	25964	25984
8589935173	25769805402	38654707016	-0.2981	17450	25746
30064772668	12884903236	47244641331	-0.0000	17044	8956
4294968335	4294968050	4294968363	-0.1413	22776	25765
4294967824	477	8589935216	0.1054	25821	25885
8589935076	477	8589935100	-0.1575	25391	25680
12884902784	477	4294968405	-0.0000	22297	3703
4294968337	4294968363	8589935616	-0.1029	22769	25911
12884902741	476	485	0.9841	25945	25992
4294967915	477	485	-0.1986	25941	25723
4294967837	510	8589935216	-0.0535	25823	25921
8589935124	500	506	-0.3464	25963	25733
12884903578	510	38654707016	0.0130	17490	25910
545	497	510	-0.0910	25998	25393
8589935395	495	8589935216	-0.2769	25825	25985
816	478	495	-0.3901	25974	25985
700	494	503	-0.1377	25986	25893
8589935356	506	8589935216	0.1409	25828	25949
886	478	510	-0.3467	25966	25919
12884902628	4294968050	17179869943	-0.0463	25475	25956
25769804608	17179869943	115964119603	-0.0974	13	25987
2010	476	1946	-0.0000	16284	9716
4294968246	497	508	-0.0000	25912	88
4294967916	486	500	0.5046	25876	25985
916	480	485	-0.2070	25954	25879
4294967907	495	510	0.9841	25962	25992
17179870750	12884902568	25769805402	-0.3299	18084	25940
4294967966	476	497	-0.0041	25948	25901
4294968358	4294968363	17179869943	-0.0043	22726	25989
4294968338	478	4294968363	-0.2088	22767	25895
8589935371	476	8589935216	-0.4964	25828	25874
563	494	506	-0.1237	25997	25844
8589935465	8589935216	17179869943	-0.3342	25481	25999
565	478	486	-0.0778	25996	25964
21474837313	8589935100	8589935730	-0.3905	22227	25934
678	494	497	-0.1917	25988	25854
882	485	503	-0.0906	25966	25920
8589935514	4294967777	12884902646	-0.0000	25264	736
12884902387	12884902748	17179869943	-0.0715	25483	24962
913	480	500	-0.1083	25955	25792
839	478	506	-0.2263	25972	25943
801	506	510	-0.1894	25976	25997
8589935520	510	17179869943	-0.1343	25484	25831
957	480	494	-0.1653	25928	25930
4294968364	4294968363	8589935216	0.3558	22729	25922
4294967987	497	506	-0.2702	25943	25945
885	497	503	0.9821	25966	25991
4294968021	477	494	-0.1555	25879	25579
4294968249	510	8589935100	-0.1649	25397	25700
30064772281	8589935100	38654707016	-0.3562	17484	25850
60129544733	17179870219	103079217834	0.9861	702	25993
17179870850	12884902646	25769805402	-0.2382	18063	25801
38654706320	17179870731	38654707016	-0.2694	17403	25878
585	485	510	-0.1206	25995	25682
900	497	511	-0.0000	25961	39
4294968139	480	495	-0.0848	25952	25864
4294967844	503	506	-0.1702	25980	25775
807	485	497	-0.1197	25975	25540
590	494	500	-0.0166	25995	25953
895	477	510	-0.3901	25964	25860
592	480	510	-0.1466	25995	25696
4294967900	503	510	-0.1635	25958	25771
8589935263	503	8589935216	-0.2217	25829	25790
12884902481	478	494	0.0323	25902	25657
596	476	510	-0.2693	25994	25908
734	476	486	-0.2134	25982	25791
68719478166	510	12884903455	-0.2641	18082	25953
920	486	494	-0.2952	25954	25978
4294968366	476	4294968363	0.0685	22730	25998
668	478	503	-0.1590	25988	25884
4294968096	478	485	0.0098	25903	25945
4294968189	480	506	-0.3037	25941	25923
4294968049	477	480	-0.4564	25961	25997
4294967972	480	503	0.2332	25948	25898
8589935289	500	8589935216	-0.0755	25830	25699
4294968109	486	8589935216	-0.1308	25833	25839
608	480	497	-0.0255	25993	25807
609	477	486	-0.0063	25993	25895
21474838137	1584	25769805402	-0.3088	18081	25803
4294968239	486	17179869943	0.9841	25491	25992
12884902670	480	38654707016	-0.1598	17515	25703
748	495	506	-0.1648	25981	25918
4294968155	477	497	-0.3024	25925	25881
8589935342	480	8589935216	-0.1765	25834	25934
8589935365	478	17179869943	-0.1525	25491	25958
21474838135	12884903201	25769805402	-0.2047	18080	25881
4294967831	477	503	-0.3695	25961	25933
4294968131	485	500	-0.0112	25949	25977
8589935370	485	8589935216	-0.4554	25835	25984
8589935385	495	500	-0.4018	25914	25983
4294968367	8589935616	17179869943	0.1969	22731	25910
4294968259	495	17179869943	-0.3845	25493	25909
17179869783	500	17179869943	-0.3290	25495	25900
8589935388	485	17179869943	-0.2151	25497	25658
4294968086	500	510	-0.2565	25945	25988
627	477	500	-0.2712	25992	25608
