# tick 28000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
506	8513.2188	-0.2031	28001	0.4000	2,2,1	0.5000	41
476	10231.4609	0.4967	28001	0.4000	2,0,0	0.5000	32
477	21858.9609	0.5000	28001	0.4000	1,3,0	0.5000	28
478	14112.7988	0.3080	28001	0.4000	2,2,3	0.5000	43
8589936313	4501.3652	0.2587	18750	0.4000	1,1,3	0.5000	23
480	14015.7939	-0.1741	28001	0.4000	0,0,1	0.5000	1
17179869943	17399.1875	0.4259	27500	0.4000	0,3,0	0.5000	12
503	16715.5215	-0.0844	28001	0.4000	3,1,0	0.5000	52
495	4775.8477	0.2218	28001	0.4000	0,0,0	0.5000	0
497	16550.8965	-0.1590	28001	0.4000	3,0,2	0.5000	50
485	12609.2832	0.0933	28001	0.4000	2,2,2	0.5000	42
486	14716.7832	0.3281	28001	0.4000	0,1,3	0.5000	7
8589935216	13143.1211	-0.0066	27850	0.4000	2,2,0	0.5000	40
500	9340.9297	0.4763	28001	0.4000	0,1,2	0.5000	6
494	15076.2715	0.1236	28001	0.4000	2,2,0	0.5000	40
510	13882.0293	-0.2919	28001	0.4000	3,3,0	0.5000	60
8589935730	13157.3105	0.4636	24250	0.4000	0,3,0	0.5000	12
4294968050	12871.4414	0.1188	27700	0.4000	3,1,0	0.5000	52
12884902748	11065.3203	-0.1403	27650	0.4000	1,1,2	0.5000	22
8589935100	13052.3047	0.1604	27400	0.4000	1,0,0	0.5000	16
12884902646	10534.7070	0.1814	27300	0.4000	1,2,3	0.5000	27
17179870219	15514.7988	0.3876	24350	0.4000	2,3,0	0.5000	44
55834575671	9193.8975	-0.1446	25900	0.4000	1,0,1	0.5000	17
17179870018	12641.9609	0.1390	26450	0.4000	1,0,1	0.5000	17
103079217834	1398.5919	0.2896	2800	0.4000	3,0,0	0.5000	48
64424509951	16732.9453	0.3521	25500	0.4000	3,2,2	0.5000	58
4294967931	5708.3076	0.3773	25800	0.4000	1,1,3	0.5000	23
25769804274	12499.5684	-0.1939	25400	0.4000	0,3,1	0.5000	13
12884902568	17935.1641	-0.2438	25350	0.4000	0,1,2	0.5000	6
4294968040	18491.2422	-0.1190	25250	0.4000	2,2,1	0.5000	41
967	5932.0312	-0.1410	25150	0.4000	2,0,0	0.5000	32
8589935616	6018.2949	0.4907	24850	0.4000	2,1,3	0.5000	39
997	15497.4521	-0.2330	25050	0.4000	1,3,2	0.5000	30
4294968363	20763.3320	0.0151	24800	0.4000	0,3,2	0.5000	14
12884903236	12415.6504	0.2995	22050	0.4000	2,0,1	0.5000	33
34359739110	5480.2646	0.4187	23800	0.4000	3,0,3	0.5000	51
21474837685	12036.5723	0.3730	22950	0.4000	0,3,3	0.5000	15
25769804972	7602.5093	0.4350	22900	0.4000	3,0,3	0.5000	51
38654706861	10933.9805	-0.2656	22800	0.4000	3,3,2	0.5000	62
55834575954	14169.9531	0.4673	22100	0.4000	0,3,1	0.5000	13
17179870434	6786.3091	-0.0747	21700	0.4000	3,0,1	0.5000	49
8589936015	9205.1338	0.2167	21500	0.4000	1,1,2	0.5000	22
12884903201	8992.0889	0.3209	21900	0.4000	1,0,2	0.5000	18
12884903455	6668.2456	-0.0835	20200	0.4000	3,0,0	0.5000	48
17179870731	8872.5938	0.2286	21050	0.4000	1,2,0	0.5000	24
1584	14353.0625	-0.1440	20900	0.4000	2,1,1	0.5000	37
25769805402	688.9731	0.3864	20100	0.4000	1,3,3	0.5000	31
38654707016	1403.3179	0.3933	19550	0.4000	0,0,2	0.5000	2
1736	4856.4326	0.0363	18900	0.4000	1,2,3	0.5000	27
25769804532	11156.2842	-0.2244	18800	0.4000	2,1,1	0.5000	37
47244642130	7124.9082	-0.2232	16550	0.4000	1,0,2	0.5000	18
51539609482	5100.9570	0.3021	16100	0.4000	1,1,3	0.5000	23
38654707641	5751.7495	0.2656	15300	0.4000	0,3,2	0.5000	14
12884903914	1485.5166	0.2574	15450	0.4000	0,2,2	0.5000	10
42949674928	4975.0610	-0.2467	15150	0.4000	3,3,3	0.5000	63
12884904129	13186.1953	0.3774	14350	0.4000	3,0,2	0.5000	50
60129544460	3633.6978	0.0065	10450	0.4000	0,1,0	0.5000	4
51539609721	5609.0317	-0.1528	11350	0.4000	3,2,0	0.5000	56
42949675514	513.9400	0.1780	1100	0.4000	0,3,2	0.5000	14
73014446229	10255.7451	0.0349	11600	0.4000	2,3,0	0.5000	44
2506	8327.7812	0.3238	11250	0.4000	2,1,1	0.5000	37
21474839213	1651.4409	0.4600	9000	0.4000	0,3,3	0.5000	15
8589937227	4313.0273	0.1610	10250	0.4000	1,2,3	0.5000	27
51539609650	6331.1279	0.4243	7550	0.4000	2,1,1	0.5000	37
17179871984	777.8882	-0.0077	4700	0.4000	0,0,3	0.5000	3
51539610465	23.2724	-0.2641	150	0.4000	3,2,2	0.5000	58
171798694696	18.2415	0.1944	200	0.4000	0,2,2	0.5000	10
193273530522	104.3384	0.0811	100	0.4000	2,3,2	0.5000	46
30064774037	54.4749	0.0346	50	0.4000	3,2,1	0.5000	57

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968057	478	497	-0.1054	27851	27921
516	476	478	0.1312	28000	27999
4294968251	486	510	0.5310	27895	27990
1088	494	4294968363	-0.1915	24714	27978
4294967809	478	8589935216	-0.2671	27809	27709
4294967786	497	8589935216	-0.3353	27846	27934
685	476	495	-0.3676	27987	27923
665	486	503	-0.2989	27989	27950
8589935139	480	17179869943	0.1469	27470	27952
17179870158	510	8589935730	-0.0996	24226	27997
525	494	510	-0.2198	28000	27923
526	476	477	-0.1843	27999	27994
527	478	500	-0.2613	27999	27792
745	485	506	-0.1008	27981	27981
877	476	503	-0.1298	27967	27944
808	485	495	-0.0783	27975	27784
531	494	495	-0.5027	27999	27902
897	480	486	0.8467	27964	27994
8589935173	25769805402	38654707016	-0.2211	19450	27869
30064772668	12884903236	47244641331	-0.0000	19044	8956
4294968335	4294968050	4294968363	-0.2334	24776	27985
4294967824	477	8589935216	-0.2642	27821	27913
8589935076	477	8589935100	0.8662	27391	27982
12884902784	477	4294968405	-0.0000	24297	3703
4294968337	4294968363	8589935616	-0.4476	24769	27962
12884902741	476	485	-0.1357	27945	27977
4294967915	477	485	-0.1624	27941	27639
4294967837	510	8589935216	-0.1023	27823	27953
8589935124	500	506	-0.2006	27963	27995
12884903578	510	38654707016	-0.2463	19490	27909
545	497	510	-0.2091	27998	27927
8589935395	495	8589935216	0.4079	27825	27957
816	478	495	-0.2113	27974	27951
700	494	503	-0.4232	27986	27919
8589935356	506	8589935216	-0.3217	27828	27695
886	478	510	-0.3153	27966	27759
12884902628	4294968050	17179869943	-0.1206	27475	27838
107374185165	4294967931	55834575767	-0.0064	1373	26627
2010	476	1946	-0.0000	18284	9716
4294968246	497	508	-0.0000	27912	88
4294967916	486	500	-0.4439	27876	27992
916	480	485	-0.1552	27954	27964
4294967907	495	510	0.7563	27962	27966
17179870750	12884902568	25769805402	-0.0428	20084	28000
4294967966	476	497	-0.1795	27948	27757
4294968358	4294968363	17179869943	-0.4407	24726	27942
4294968338	478	4294968363	-0.1742	24767	27948
8589935371	476	8589935216	-0.1511	27828	27967
563	494	506	-0.2974	27997	27983
8589935465	8589935216	17179869943	-0.0849	27481	27993
565	478	486	-0.1845	27996	27725
21474837313	8589935100	8589935730	-0.4055	24227	27935
678	494	497	-0.0489	27988	27745
882	485	503	-0.1624	27966	27685
8589935514	4294967777	12884902646	-0.0000	27264	736
12884902387	12884902748	17179869943	0.4924	27483	27995
913	480	500	-0.4860	27955	28000
839	478	506	-0.0429	27972	27972
801	506	510	-0.0869	27976	27246
8589935520	510	17179869943	-0.0518	27484	27966
957	480	494	-0.2568	27928	27933
4294968364	4294968363	8589935216	0.5664	24729	27987
4294967987	497	506	0.8944	27943	27998
885	497	503	0.1533	27966	27946
4294968021	477	494	-0.2697	27879	27909
4294968249	510	8589935100	-0.0978	27397	27963
30064772281	8589935100	38654707016	-0.3907	19484	27987
60129544733	17179870219	103079217834	0.4474	2702	27994
17179870850	12884902646	25769805402	-0.1476	20063	27971
38654706320	17179870731	38654707016	0.2487	19403	27982
585	485	510	-0.0430	27995	27872
900	497	511	-0.0000	27961	39
4294968139	480	495	-0.3064	27952	27878
4294967844	503	506	-0.1311	27980	27998
807	485	497	-0.2559	27975	27954
590	494	500	-0.4195	27995	27832
895	477	510	-0.0115	27964	27908
592	480	510	-0.4212	27995	27928
4294967900	503	510	-0.3808	27958	27953
8589935263	503	8589935216	-0.2905	27829	27963
12884902481	478	494	0.0575	27902	27927
596	476	510	-0.2508	27994	27876
734	476	486	-0.3318	27982	27871
68719478166	510	12884903455	-0.4147	20082	27888
920	486	494	-0.0490	27954	27940
4294968366	476	4294968363	-0.3403	24730	27949
668	478	503	0.1545	27988	27997
4294968096	478	485	0.0447	27903	27863
4294968189	480	506	-0.4925	27941	27937
4294968049	477	480	-0.0479	27961	27934
4294967972	480	503	-0.2352	27948	27827
8589935289	500	8589935216	-0.0919	27830	27723
4294968109	486	8589935216	-0.2906	27833	27943
608	480	497	-0.1623	27993	27991
609	477	486	-0.1732	27993	27890
21474838137	1584	25769805402	-0.2403	20081	27961
4294968239	486	17179869943	0.9821	27491	27991
12884902670	480	38654707016	-0.3176	19515	27923
748	495	506	-0.1115	27981	27854
4294968155	477	497	-0.2332	27925	27888
8589935342	480	8589935216	-0.3683	27834	28000
8589935365	478	17179869943	-0.1569	27491	27742
21474838135	12884903201	25769805402	-0.6996	20080	27967
4294967831	477	503	-0.2314	27961	27842
4294968131	485	500	-0.1832	27949	27722
8589935370	485	8589935216	-0.3245	27835	27974
8589935385	495	500	-0.3199	27914	27991
4294968367	8589935616	17179869943	-0.1168	24731	27891
4294968259	495	17179869943	0.0426	27493	27674
17179869783	500	17179869943	-0.1973	27495	27680
8589935388	485	17179869943	-0.1095	27497	27990
4294968086	500	510	-0.2715	27945	27634
627	477	500	-0.0854	27992	27938
21474838155	25769805402	55834575671	-0.2975	20078	27998
4294967906	497	500	-0.1225	27980	27372
8589935681	506	17179870219	0.9585	24299	27989
42949673655	485	4294968363	-0.1782	24688	27587
887	477	495	-0.2179	27965	27857
721	476	500	0.0126	27984	27936
945	495	503	0.0844	27932	27907
