# tick 2000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
4294968219	2556.1509	-0.1402	1950	0.4000	0,2,2	0.5000	10
12884902793	1054.6843	-0.2740	1600	0.4000	2,1,3	0.5000	39
477	4555.5415	0.4054	2001	0.4000	1,2,2	0.5000	26
505	2913.7798	-0.1928	2001	0.4000	1,3,1	0.5000	29
509	4369.2988	0.3803	2001	0.4000	3,1,1	0.5000	53
506	2335.3931	0.4635	2001	0.4000	2,3,0	0.5000	44
511	2291.2942	0.4995	2001	0.4000	3,0,1	0.5000	49
512	3569.8555	-0.1087	2001	0.4000	3,3,1	0.5000	61
483	5337.6934	0.2462	2001	0.4000	3,2,1	0.5000	57
488	2290.8293	0.3795	2001	0.4000	0,0,1	0.5000	1
485	3944.0469	-0.1134	2001	0.4000	1,1,3	0.5000	23
21474836978	1954.5431	0.4228	850	0.4000	0,2,0	0.5000	8
491	1859.4211	0.2100	2001	0.4000	1,1,3	0.5000	23
4294967882	1968.0403	0.0743	1800	0.4000	3,2,3	0.5000	59
8589935232	1000.9478	-0.0146	1650	0.4000	1,1,2	0.5000	22
38654706307	2838.6689	0.3058	1350	0.4000	3,1,1	0.5000	53
12884902564	936.9796	-0.0971	800	0.4000	3,0,0	0.5000	48
8589935381	1057.5944	0.0456	1000	0.4000	1,2,1	0.5000	25
8589935299	884.1195	0.4547	1100	0.4000	3,1,0	0.5000	52
17179870069	500.1038	0.2581	950	0.4000	3,0,1	0.5000	49
30064771996	208.5564	-0.1423	400	0.4000	0,0,0	0.5000	0
4294967869	32.0426	-0.2734	100	0.4000	1,0,1	0.5000	17
17179869818	100.9971	-0.1446	200	0.4000	1,0,1	0.5000	17
17179869842	91.4220	0.3539	50	0.4000	1,3,2	0.5000	30

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
515	477	505	-0.3912	2000	1925
4294968121	509	4294968219	-0.5177	1929	1900
17179869953	4294968219	21474836978	-0.4718	847	2000
8589935358	8589935232	12884902564	0.9841	782	1992
519	483	512	0.6776	2000	1988
733	483	506	0.9782	1987	1989
8589935186	505	4294967882	-0.0755	1780	1955
12884902372	491	21474836978	1.0000	847	2000
8589935095	506	512	-0.5097	1955	1804
618	491	512	-0.5272	1994	1979
8589935394	512	4294968219	-0.5550	1910	1861
4294968043	477	483	-0.7601	1947	1995
8589935403	480	511	-0.0022	1910	90
694	483	511	-0.5329	1989	1863
8589935350	488	4294968219	-0.4202	1925	1780
4294968091	477	511	0.8522	1947	1997
4294967953	488	12884902793	-0.4385	1559	1916
8589935326	4294968219	12884902564	0.8420	713	1989
4294967981	477	512	0.7716	1941	1996
4294967971	485	12884902793	-0.5789	1560	1960
8589935386	483	485	-0.8318	1917	1996
597	477	506	-0.7083	1995	1953
4294968041	505	512	-0.1417	1960	1957
8589935183	506	12884902793	-0.5800	1523	1955
4294968044	491	511	-0.6551	1918	1997
873	509	511	-0.1944	1971	1928
4294967960	8589935299	12884902564	-0.2437	760	1970
8589935067	8589935232	8589935381	-0.8362	873	1942
4294968161	485	512	-0.5618	1967	1777
787	488	491	-0.6646	1980	1973
4294968092	488	509	-0.4051	1961	1974
12884902415	511	4294968219	-0.4924	1893	1882
8589935125	505	511	-0.5800	1920	1942
846	485	506	-0.1341	1972	1954
4294968061	491	4294968219	-0.5747	1905	1998
4294967795	485	509	1.0000	1939	2000
4294968225	505	12884902793	-0.6295	1573	1943
8589935089	488	506	-0.7410	1918	1956
4294967979	491	505	-0.6930	1924	1857
554	483	505	-0.5655	1998	1918
4294967843	483	491	-0.7429	1965	1999
4294968191	483	4294968219	0.9940	1900	1997
4294968156	485	4294968219	-0.3988	1949	1740
4294968165	477	4294968219	0.9940	1936	1997
930	485	491	-0.1170	1956	1945
4294968162	505	4294968219	0.9940	1912	1997
4294968008	511	512	-0.4348	1900	1946
648	477	491	-0.5439	1992	1985
907	491	509	-0.5143	1962	1773
25769804472	491	12884902793	-0.6348	1578	1882
931	477	488	-0.4521	1956	1727
752	483	509	0.7295	1985	1978
906	477	485	-0.2013	1962	1979
4294968020	477	509	0.3038	1869	1986
674	506	509	-0.3954	1991	1979
12884902384	483	12884902793	1.0000	1579	2000
899	506	511	0.9665	1964	1983
12884902735	477	12884902793	-0.4278	1529	1957
4294968002	485	511	-0.6264	1942	1957
12884902681	511	8589935232	-0.5755	1580	1768
17179869928	4294967882	12884902793	-0.9347	1582	1983
821	509	512	-0.6389	1977	1994
808	488	505	-0.8339	1978	1982
4294967974	506	4294968219	-0.3733	1887	1987
4294968176	485	488	-0.4290	1935	1800
17179869843	8589935232	12884902793	-0.3914	1583	1941
842	505	506	-0.5341	1973	1825
17179870076	511	12884902793	-0.6401	1583	1911
4294967998	483	488	-0.8649	1924	1987
719	488	511	-0.4962	1988	1942
770	505	509	0.9980	1984	1999
627	491	506	0.9980	1994	1999
855	485	505	-0.6290	1972	1897
12884902702	488	512	0.9980	1890	1999
8589935118	483	21474836978	-0.4590	721	1901
8589935420	4294967882	4294968219	-0.5212	1777	1828
4294968075	511	4294967882	-0.4741	1796	1755
4294968019	506	4294967882	-0.6443	1795	1904
4294967865	512	4294967882	-0.5534	1795	1983
4294967948	491	4294967882	-0.5947	1794	1807
17179869871	509	12884902793	-0.5530	1584	1952
4294968159	477	4294967882	-0.3803	1792	1829
8589935217	483	4294967882	-0.3702	1790	1929
4294967833	509	4294967882	0.9841	1790	1992
4294968164	485	4294967882	0.9960	1754	1998
12884902824	17179870069	21474836978	-0.1187	847	1969
8589935184	509	17179870069	-0.4650	885	1964
8589935506	488	4294967882	-0.4193	1741	1879
8589935437	8589935299	21474836978	-0.7351	819	1975
8589935435	12884902793	17179870069	-0.3102	887	1866
4294968146	477	8589935232	-0.4122	1642	1736
17179870016	477	21474836978	0.9417	819	1970
12884902483	4294968219	8589935232	-0.6585	1644	1954
4294967899	485	8589935232	0.9920	1645	1996
4294968087	506	8589935232	-0.4929	1646	1767
17179870007	21474836978	38654706307	-0.4168	825	1727
12884902808	512	12884902793	1.0000	1597	2000
4294968192	483	8589935232	-0.3553	1647	1881
8589935073	4294967882	8589935232	-0.4825	1648	1992
4294967925	512	8589935232	-0.6625	1649	1986
4294967791	491	8589935232	-0.4518	1649	1814
12884902747	488	8589935232	0.4808	1632	1998
21474837200	509	8589935232	-0.5266	1631	1972
17179870061	505	8589935232	-0.4188	1630	1928
12884902588	485	17179870069	-0.1329	908	1979
17179870035	511	38654706307	0.9881	1333	1994
17179869821	12884902793	38654706307	-0.5913	1337	1928
12884902542	4294968219	12884902793	-0.3994	1481	1994
17179870078	506	38654706307	-0.2269	1339	1990
17179870097	491	38654706307	-0.5774	1341	1962
21474837194	477	38654706307	-0.2646	1344	1930
8589935354	485	38654706307	-0.6015	1346	1948
17179869736	509	38654706307	-0.5259	1348	1798
4294967884	506	21474836978	-0.3658	797	1807
21474837295	505	38654706307	-0.4045	1327	1898
21474837217	483	38654706307	0.9841	1324	1992
21474837310	488	38654706307	-0.6861	1319	1993
17179870040	509	21474836978	-0.3576	826	1853
12884902550	485	21474836978	0.5069	828	1964
8589935483	4294967882	12884902564	-0.6252	753	1893
8589935138	488	21474836978	-0.4394	835	1982
12884902785	12884902564	21474836978	-0.0180	765	1994
25769804539	8589935232	38654706307	-0.1852	1295	1918
12884902694	506	12884902564	-0.4040	739	1980
4294968115	505	21474836978	-0.3553	810	1980
4294967898	12884902564	12884902793	-0.6963	744	1950
17179869676	4294967882	21474836978	-0.7589	844	1998
17179869670	512	21474836978	0.9821	847	1991
8589935112	488	12884902564	-0.4251	799	1946
4294968206	12884902564	17179870069	-0.6487	780	1938
21474837022	512	38654706307	-0.3872	1282	1828
8589935198	8589935381	12884902564	-0.5075	783	1949
4294968106	491	12884902564	-0.3254	767	1915
21474837270	4294967882	38654706307	-0.5789	1265	1727
4294967845	511	12884902564	-0.3269	780	1931
4294968060	485	12884902564	-0.3307	791	1967
8589935328	8589935381	38654706307	0.9782	980	1989
8589935408	8589935299	12884902793	-0.3473	1096	1973
8589935252	509	8589935299	-0.3175	1059	1937
12884902660	8589935299	38654706307	0.9960	1060	1998
8589935068	8589935232	8589935299	-0.5849	1070	1999
8589935181	512	8589935299	-0.4887	1078	1965
17179869792	4294968219	8589935299	0.9980	1080	1999
12884902428	4294968219	8589935381	-0.3205	982	1636
8589935166	506	8589935299	-0.4737	1082	1815
12884902666	511	8589935299	-0.3173	1085	1991
12884902468	477	8589935299	-0.1808	1086	1697
17179869872	488	8589935299	0.0430	1087	1977
8589935449	485	8589935299	-0.7530	1089	1972
4294967775	4294968219	38654706307	-0.5939	1221	1916
8589935305	505	8589935299	-0.4629	1021	1950
8589935310	512	12884902564	-0.7072	794	1991
17179869916	511	8589935381	-0.8284	983	1954
12884902719	488	8589935381	-0.6732	983	1989
12884902398	485	8589935381	0.0550	984	1978
17179869830	512	8589935381	-0.4764	985	1949
8589935334	8589935381	12884902793	0.4532	987	1992
12884902502	491	8589935381	-0.1857	989	1926
4294968230	509	12884902564	-0.0140	795	1923
8589935482	491	8589935299	-0.3267	1035	1973
4294968036	4294967882	4294968003	-0.0110	1104	896
8589935274	4294967882	8589935299	-0.1199	1095	1966
12884902395	477	8589935381	0.9608	996	1980
8589935466	488	17179870069	0.9940	905	1997
8589935302	483	8589935299	0.9920	1045	1996
17179869688	483	8589935381	-0.0167	976	1981
17179870100	8589935299	8589935381	-0.1011	974	1974
4294967851	12884902793	21474836978	-0.4480	795	1854
12884902815	509	8589935381	-0.1478	958	1973
21474837078	506	8589935381	-0.6645	953	1988
12884902724	4294967882	8589935381	-0.4212	949	1997
17179870010	483	17179870069	-0.7586	943	1984
12884902419	483	12884902564	-0.5303	795	1949
12884902445	491	17179870069	-0.7311	942	1973
12884902685	8589935381	17179870069	-0.3817	941	1949
17179870033	4294968219	17179870069	-0.5838	939	1972
12884902465	506	17179870069	-0.8728	937	1999
12884902475	505	17179870069	-0.8732	931	1994
8589935242	511	17179870069	-0.4248	906	1892
17179869906	8589935299	17179870069	-0.5295	928	1935
12884902805	512	17179870069	-0.3812	925	1979
8589935426	477	17179870069	-0.2011	916	1648
17179869930	4294967882	17179870069	1.0000	915	2000
8589935347	17179870069	38654706307	-0.3751	913	1911
12884902533	505	8589935381	-0.5099	908	1863
8589935150	8589935232	17179870069	-0.3703	859	1962
4294967874	477	12884902564	0.2939	795	1982
12884902627	505	12884902564	0.9920	797	1996
12884902591	12884902564	38654706307	0.9389	763	1982
17179869938	511	21474836978	0.9980	849	1999
17179869969	8589935232	21474836978	-0.7675	848	1978
17179869671	8589935381	21474836978	-0.5196	848	1996
21474837093	4294968219	30064771996	-0.7531	399	1967
30064771987	505	30064771996	0.7754	396	1993
30064771562	30064771996	38654706307	0.0290	395	1878
21474837025	483	30064771996	0.1069	395	1988
21474837121	12884902564	30064771996	-0.5083	394	1877
17179869940	509	30064771996	-0.1596	393	1872
21474837392	512	30064771996	-0.5248	392	1887
30064771899	485	30064771996	-0.3015	391	1973
25769804628	511	30064771996	-0.3442	391	1956
34359739109	4294967882	30064771996	-0.3521	389	1955
30064771550	8589935299	30064771996	-0.7836	388	1972
34359739269	12884902793	30064771996	-0.1750	386	1992
25769804697	17179870069	30064771996	-0.4086	385	1925
17179870002	8589935381	30064771996	0.0885	384	1934
17179869804	21474836978	30064771996	1.0000	378	2000
17179869952	491	30064771996	0.9980	369	1999
17179869892	8589935232	30064771996	-0.2953	355	1923
17179869874	506	30064771996	-0.4767	342	1989
17179869664	477	30064771996	-0.1406	316	1990
