# tick 4000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
4294968219	6287.1509	-0.1402	3950	0.4000	0,2,2	0.5000	10
12884902793	2661.6843	-0.2740	3600	0.4000	2,1,3	0.5000	39
477	8956.5410	0.4054	4001	0.4000	1,2,2	0.5000	26
505	5909.7798	-0.1928	4001	0.4000	1,3,1	0.5000	29
509	7338.2988	0.3803	4001	0.4000	3,1,1	0.5000	53
506	2625.3931	0.4635	4001	0.4000	2,3,0	0.5000	44
511	5487.2939	0.4995	4001	0.4000	3,0,1	0.5000	49
512	6511.8555	-0.1087	4001	0.4000	3,3,1	0.5000	61
483	8656.6934	0.2462	4001	0.4000	3,2,1	0.5000	57
488	4636.8291	0.3795	4001	0.4000	0,0,1	0.5000	1
485	6298.0469	-0.1134	4001	0.4000	1,1,3	0.5000	23
21474836978	5808.5430	0.4228	2850	0.4000	0,2,0	0.5000	8
491	3272.4211	0.2100	4001	0.4000	1,1,3	0.5000	23
4294967882	4021.0403	0.0743	3800	0.4000	3,2,3	0.5000	59
8589935232	3389.9478	-0.0146	3650	0.4000	1,1,2	0.5000	22
38654706307	8432.6689	0.3058	3350	0.4000	3,1,1	0.5000	53
12884902564	3117.9795	-0.0971	2800	0.4000	3,0,0	0.5000	48
8589935381	1285.5944	0.0456	3000	0.4000	1,2,1	0.5000	25
8589935299	4010.1196	0.4547	3100	0.4000	3,1,0	0.5000	52
17179870069	2149.1038	0.2581	2950	0.4000	3,0,1	0.5000	49
30064771996	2729.5564	-0.1423	2400	0.4000	0,0,0	0.5000	0
8589935520	1757.3516	0.3359	2000	0.4000	1,1,3	0.5000	23
17179869818	1752.9971	-0.1446	2200	0.4000	1,0,1	0.5000	17
17179869842	2503.4219	0.3539	2050	0.4000	1,3,2	0.5000	30
8589935160	2166.9351	0.1519	1300	0.4000	0,3,3	0.5000	15
17179869877	1739.8064	0.1014	1750	0.4000	3,3,1	0.5000	61
25769804669	1440.0763	-0.0155	1250	0.4000	1,0,0	0.5000	16
12884902763	547.0778	-0.0562	850	0.4000	2,2,3	0.5000	43
21474837223	122.4782	-0.2971	500	0.4000	0,3,3	0.5000	15
17179869911	347.1232	-0.2124	700	0.4000	0,0,1	0.5000	1
4294968348	114.7746	0.4551	50	0.4000	3,3,3	0.5000	63
1029	16.0017	0.4770	100	0.4000	3,1,2	0.5000	54
4294968279	37.1728	-0.0408	150	0.4000	3,3,1	0.5000	61

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
515	477	505	-0.4565	4000	3964
4294968121	509	4294968219	-0.3101	3929	3976
17179869953	4294968219	21474836978	-0.2254	2847	3931
8589935358	8589935232	12884902564	0.9960	2782	3998
519	483	512	0.4595	4000	3982
733	483	506	-0.8350	3987	3998
8589935186	505	4294967882	-0.5099	3780	3990
12884902372	491	21474836978	0.9802	2847	3990
8589935095	506	512	-0.5580	3955	3904
618	491	512	-0.5845	3994	3923
8589935394	512	4294968219	-0.2522	3910	3838
4294968043	477	483	-0.2455	3947	3813
8589935403	480	511	-0.0000	3910	90
694	483	511	-0.2870	3989	3863
8589935350	488	4294968219	-0.3893	3925	3916
4294968091	477	511	-0.0584	3947	3948
4294967953	488	12884902793	-0.3478	3559	3966
8589935326	4294968219	12884902564	0.3018	2713	3996
4294967981	477	512	0.9881	3941	3994
4294967971	485	12884902793	-0.6395	3560	3918
8589935386	483	485	-0.4280	3917	3996
597	477	506	-0.4450	3995	3852
4294968041	505	512	-0.3137	3960	3978
8589935183	506	12884902793	-0.5417	3523	3920
4294968044	491	511	-0.2512	3918	3978
873	509	511	0.0507	3971	3998
4294967960	8589935299	12884902564	-0.2945	2760	3934
8589935067	8589935232	8589935381	-0.2686	2873	3669
4294968161	485	512	-0.4897	3967	3926
787	488	491	-0.4599	3980	3850
4294968092	488	509	-0.5766	3961	3970
12884902415	511	4294968219	-0.3414	3893	3986
8589935125	505	511	-0.5203	3920	4000
846	485	506	-0.1159	3972	3991
4294968061	491	4294968219	-0.4207	3905	3768
4294967795	485	509	0.9881	3939	3994
4294968225	505	12884902793	-0.5189	3573	3867
8589935089	488	506	-0.3381	3918	3959
4294967979	491	505	-0.0331	3924	3995
554	483	505	-0.1943	3998	3949
4294967843	483	491	-0.4592	3965	3901
4294968191	483	4294968219	0.9920	3900	3996
4294968156	485	4294968219	-0.6949	3949	3989
4294968165	477	4294968219	0.8620	3936	3984
930	485	491	-0.5394	3956	3982
4294968162	505	4294968219	0.6018	3912	3956
4294968008	511	512	-0.1571	3900	3657
648	477	491	-0.2243	3992	3980
907	491	509	-0.2477	3962	3927
25769804472	491	12884902793	-0.6798	3578	3976
931	477	488	-0.4138	3956	3942
752	483	509	0.7026	3985	3973
906	477	485	0.9763	3962	3988
4294968020	477	509	0.9900	3869	3995
674	506	509	-0.4437	3991	3789
12884902384	483	12884902793	-0.4801	3579	3862
899	506	511	0.9821	3964	3991
12884902735	477	12884902793	-0.1956	3529	3916
4294968002	485	511	-0.3366	3942	3934
12884902681	511	8589935232	-0.4536	3580	3955
17179869928	4294967882	12884902793	-0.4387	3582	3793
821	509	512	-0.2296	3977	3749
808	488	505	-0.4661	3978	3915
4294967974	506	4294968219	-0.2087	3887	3627
4294968176	485	488	-0.5568	3935	3999
17179869843	8589935232	12884902793	-0.4119	3583	3817
842	505	506	-0.4868	3973	3863
17179870076	511	12884902793	-0.4779	3583	3975
4294967998	483	488	-0.4143	3924	3965
719	488	511	-0.3959	3988	3997
770	505	509	0.9685	3984	3984
627	491	506	-0.1325	3994	3999
855	485	505	-0.5479	3972	3855
12884902702	488	512	0.9802	3890	3990
8589935118	483	21474836978	-0.4552	2721	3979
8589935420	4294967882	4294968219	-0.5954	3777	3979
4294968075	511	4294967882	-0.1807	3796	3919
4294968019	506	4294967882	-0.4018	3795	3933
4294967865	512	4294967882	-0.2861	3795	3927
4294967948	491	4294967882	-0.4046	3794	3952
17179869871	509	12884902793	-0.3622	3584	3800
4294968159	477	4294967882	-0.1101	3792	3700
8589935217	483	4294967882	-0.3122	3790	3962
4294967833	509	4294967882	0.8710	3790	3997
4294968164	485	4294967882	-0.3240	3754	3931
12884902824	17179870069	21474836978	-0.5740	2847	3986
8589935184	509	17179870069	-0.3667	2885	3937
8589935506	488	4294967882	-0.5016	3741	3968
8589935437	8589935299	21474836978	-0.7058	2819	3999
8589935435	12884902793	17179870069	-0.5940	2887	3945
4294968146	477	8589935232	-0.2161	3642	3819
17179870016	477	21474836978	1.0000	2819	4000
12884902483	4294968219	8589935232	-0.0774	3644	3934
4294967899	485	8589935232	0.9802	3645	3990
4294968087	506	8589935232	-0.4891	3646	3937
17179870007	21474836978	38654706307	-0.5688	2825	3958
12884902808	512	12884902793	0.9861	3597	3993
4294968192	483	8589935232	-0.3573	3647	3803
8589935073	4294967882	8589935232	-0.2316	3648	3984
4294967925	512	8589935232	-0.6523	3649	3979
4294967791	491	8589935232	-0.5826	3649	3946
12884902747	488	8589935232	0.9960	3632	3998
21474837200	509	8589935232	-0.2476	3631	3723
17179870061	505	8589935232	-0.3806	3630	3924
12884902588	485	17179870069	-0.3247	2908	3863
17179870035	511	38654706307	0.4544	3333	3998
17179869821	12884902793	38654706307	-0.3837	3337	3855
12884902542	4294968219	12884902793	-0.5837	3481	3952
17179870078	506	38654706307	0.1463	3339	3921
17179870097	491	38654706307	-0.2866	3341	3909
21474837194	477	38654706307	-0.6991	3344	3999
8589935354	485	38654706307	-0.2068	3346	3946
17179869736	509	38654706307	-0.0454	3348	3994
4294967884	506	21474836978	-0.4817	2797	3976
21474837295	505	38654706307	0.8572	3327	3998
21474837217	483	38654706307	0.9900	3324	3995
21474837310	488	38654706307	0.0525	3319	3919
17179870040	509	21474836978	-0.5679	2826	3948
12884902550	485	21474836978	-0.4334	2828	3989
8589935483	4294967882	12884902564	-0.1526	2753	3938
8589935138	488	21474836978	-0.5907	2835	3975
12884902785	12884902564	21474836978	-0.2582	2765	3935
25769804539	8589935232	38654706307	-0.3183	3295	3812
12884902694	506	12884902564	-0.5883	2739	3948
4294968115	505	21474836978	-0.3471	2810	3962
4294967898	12884902564	12884902793	-0.4519	2744	3833
17179869676	4294967882	21474836978	0.0931	2844	3967
17179869670	512	21474836978	0.9782	2847	3989
8589935112	488	12884902564	-0.5191	2799	3856
4294968206	12884902564	17179870069	-0.3699	2780	3990
21474837022	512	38654706307	-0.7664	3282	3991
8589935198	8589935381	12884902564	-0.4729	2783	3971
4294968106	491	12884902564	-0.3594	2767	3900
21474837270	4294967882	38654706307	-0.2926	3265	3915
4294967845	511	12884902564	-0.3065	2780	3875
4294968060	485	12884902564	-0.4575	2791	3897
8589935328	8589935381	38654706307	0.9512	2980	3975
8589935408	8589935299	12884902793	-0.5118	3096	4000
8589935252	509	8589935299	0.1463	3059	3902
12884902660	8589935299	38654706307	0.9802	3060	3990
8589935068	8589935232	8589935299	-0.4441	3070	3889
8589935181	512	8589935299	-0.2955	3078	3983
17179869792	4294968219	8589935299	0.9704	3080	3985
12884902428	4294968219	8589935381	-0.1056	2982	3930
8589935166	506	8589935299	-0.3491	3082	3949
12884902666	511	8589935299	0.9782	3085	3989
12884902468	477	8589935299	0.1780	3086	3972
17179869872	488	8589935299	-0.4549	3087	3997
8589935449	485	8589935299	-0.5006	3089	3853
4294967775	4294968219	38654706307	-0.0314	3221	3984
8589935305	505	8589935299	-0.2827	3021	3788
8589935310	512	12884902564	-0.2005	2794	3715
17179869916	511	8589935381	-0.5967	2983	3936
12884902719	488	8589935381	-0.4874	2983	3976
12884902398	485	8589935381	-0.7507	2984	3988
17179869830	512	8589935381	-0.8062	2985	3962
8589935334	8589935381	12884902793	-0.3365	2987	3719
12884902502	491	8589935381	-0.4778	2989	3982
4294968230	509	12884902564	-0.4894	2795	3909
