# tick 6000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
4294968219	7393.1509	-0.1402	5950	0.4000	0,2,2	0.5000	10
12884902793	3477.6843	-0.2740	5600	0.4000	2,1,3	0.5000	39
477	12437.5410	0.4054	6001	0.4000	1,2,2	0.5000	26
505	8108.7798	-0.1928	6001	0.4000	1,3,1	0.5000	29
509	8869.2988	0.3803	6001	0.4000	3,1,1	0.5000	53
506	5174.3931	0.4635	6001	0.4000	2,3,0	0.5000	44
511	7139.2939	0.4995	6001	0.4000	3,0,1	0.5000	49
512	10278.8555	-0.1087	6001	0.4000	3,3,1	0.5000	61
483	11729.6934	0.2462	6001	0.4000	3,2,1	0.5000	57
488	6960.8291	0.3795	6001	0.4000	0,0,1	0.5000	1
485	7639.0469	-0.1134	6001	0.4000	1,1,3	0.5000	23
21474836978	7194.5430	0.4228	4850	0.4000	0,2,0	0.5000	8
491	5060.4209	0.2100	6001	0.4000	1,1,3	0.5000	23
4294967882	4116.0400	0.0743	5800	0.4000	3,2,3	0.5000	59
8589935232	6294.9478	-0.0146	5650	0.4000	1,1,2	0.5000	22
38654706307	13649.6689	0.3058	5350	0.4000	3,1,1	0.5000	53
12884902564	3898.9795	-0.0971	4800	0.4000	3,0,0	0.5000	48
8589935381	1376.5944	0.0456	5000	0.4000	1,2,1	0.5000	25
8589935299	7207.1196	0.4547	5100	0.4000	3,1,0	0.5000	52
17179870069	2172.1038	0.2581	4950	0.4000	3,0,1	0.5000	49
30064771996	2892.5564	-0.1423	4400	0.4000	0,0,0	0.5000	0
8589935520	3569.3516	0.3359	4000	0.4000	1,1,3	0.5000	23
17179869818	2940.9971	-0.1446	4200	0.4000	1,0,1	0.5000	17
17179869842	4740.4219	0.3539	4050	0.4000	1,3,2	0.5000	30
8589935160	5916.9351	0.1519	3300	0.4000	0,3,3	0.5000	15
17179869877	3965.8064	0.1014	3750	0.4000	3,3,1	0.5000	61
25769804669	3341.0762	-0.0155	3250	0.4000	1,0,0	0.5000	16
12884902763	2680.0776	-0.0562	2850	0.4000	2,2,3	0.5000	43
21474837223	3672.4783	-0.2971	2500	0.4000	0,3,3	0.5000	15
17179869911	2745.1233	-0.2124	2700	0.4000	0,0,1	0.5000	1
21474837465	720.3127	-0.2439	1750	0.4000	2,0,1	0.5000	33
42949674058	68.9659	0.3190	50	0.4000	0,3,2	0.5000	14
17179870203	734.0561	0.4179	1800	0.4000	2,0,2	0.5000	34
17179870256	1264.1213	-0.1799	1200	0.4000	2,2,3	0.5000	43
8589935728	619.8060	0.4194	750	0.4000	3,3,1	0.5000	61
42949673971	612.9506	0.1528	650	0.4000	0,3,3	0.5000	15
38654706749	1.4876	0.1624	100	0.4000	0,2,1	0.5000	9
17179870382	20.2951	0.0113	150	0.4000	3,2,1	0.5000	57

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
515	477	505	-0.2340	6000	5713
4294968121	509	4294968219	-0.3984	5929	5711
17179869953	4294968219	21474836978	-0.5209	4847	5945
8589935358	8589935232	12884902564	0.6373	4782	5986
519	483	512	-0.2208	6000	5570
733	483	506	-0.1918	5987	5913
8589935186	505	4294967882	-0.5278	5780	5904
12884902372	491	21474836978	0.0678	4847	5992
8589935095	506	512	0.0927	5955	5982
618	491	512	-0.3718	5994	5865
8589935394	512	4294968219	-0.1882	5910	5921
4294968043	477	483	-0.3065	5947	5993
8589935403	480	511	-0.0000	5910	90
694	483	511	-0.2481	5989	5971
8589935350	488	4294968219	-0.1915	5925	5785
4294968091	477	511	-0.2962	5947	5860
4294967953	488	12884902793	0.1326	5559	5980
8589935326	4294968219	12884902564	0.9900	4713	5995
4294967981	477	512	-0.0443	5941	5922
4294967971	485	12884902793	-0.4168	5560	5943
8589935386	483	485	-0.5685	5917	5836
597	477	506	-0.1931	5995	5937
4294968041	505	512	0.8865	5960	5998
8589935183	506	12884902793	0.0449	5523	5977
4294968044	491	511	-0.4882	5918	5884
873	509	511	-0.4469	5971	5979
4294967960	8589935299	12884902564	-0.4796	4760	5935
8589935067	8589935232	8589935381	-0.5457	4873	5905
4294968161	485	512	-0.3806	5967	5820
787	488	491	-0.1166	5980	5925
4294968092	488	509	-0.2783	5961	5985
12884902415	511	4294968219	-0.6332	5893	5973
8589935125	505	511	-0.4874	5920	5993
846	485	506	-0.3705	5972	5968
4294968061	491	4294968219	-0.2875	5905	5923
4294967795	485	509	0.9646	5939	5982
4294968225	505	12884902793	-0.2781	5573	5981
8589935089	488	506	-0.0087	5918	5930
4294967979	491	505	-0.6329	5924	5988
554	483	505	-0.4343	5998	5804
4294967843	483	491	-0.1993	5965	5930
4294968191	483	4294968219	0.9802	5900	5990
4294968156	485	4294968219	-0.4414	5949	5964
4294968165	477	4294968219	-0.1992	5936	5784
930	485	491	-0.7082	5956	5973
4294968162	505	4294968219	0.0021	5912	5946
4294968008	511	512	-0.3038	5900	5907
648	477	491	-0.3102	5992	5986
907	491	509	-0.4573	5962	5853
25769804472	491	12884902793	-0.2100	5578	5962
931	477	488	-0.4503	5956	5983
752	483	509	0.3901	5985	5991
906	477	485	0.9861	5962	5993
4294968020	477	509	0.5670	5869	5979
674	506	509	-0.5528	5991	5946
12884902384	483	12884902793	-0.0789	5579	5990
899	506	511	0.9841	5964	5992
12884902735	477	12884902793	-0.5125	5529	5966
4294968002	485	511	-0.5734	5942	5842
12884902681	511	8589935232	-0.2878	5580	5998
17179869928	4294967882	12884902793	-0.2027	5582	5988
821	509	512	-0.3983	5977	5936
808	488	505	-0.7254	5978	5966
4294967974	506	4294968219	-0.4757	5887	5884
4294968176	485	488	-0.3261	5935	5954
17179869843	8589935232	12884902793	-0.3049	5583	5699
842	505	506	-0.2844	5973	5928
17179870076	511	12884902793	-0.3827	5583	5864
