# tick 8000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
4294968219	9625.1504	-0.1402	7950	0.4000	0,2,2	0.5000	10
12884902793	5393.6846	-0.2740	7600	0.4000	2,1,3	0.5000	39
477	14749.5410	0.4054	8001	0.4000	1,2,2	0.5000	26
505	9454.7793	-0.1928	8001	0.4000	1,3,1	0.5000	29
509	10944.2988	0.3803	8001	0.4000	3,1,1	0.5000	53
506	10026.3926	0.4635	8001	0.4000	2,3,0	0.5000	44
511	8949.2939	0.4995	8001	0.4000	3,0,1	0.5000	49
512	12668.8555	-0.1087	8001	0.4000	3,3,1	0.5000	61
483	14090.6934	0.2462	8001	0.4000	3,2,1	0.5000	57
488	7016.8291	0.3795	8001	0.4000	0,0,1	0.5000	1
485	8151.0469	-0.1134	8001	0.4000	1,1,3	0.5000	23
21474836978	7166.5430	0.4228	6850	0.4000	0,2,0	0.5000	8
491	3332.4209	0.2100	8001	0.4000	1,1,3	0.5000	23
4294967882	4496.0400	0.0743	7800	0.4000	3,2,3	0.5000	59
8589935232	8148.9478	-0.0146	7650	0.4000	1,1,2	0.5000	22
38654706307	18453.6680	0.3058	7350	0.4000	3,1,1	0.5000	53
12884902564	4429.9795	-0.0971	6800	0.4000	3,0,0	0.5000	48
8589935381	1583.5944	0.0456	7000	0.4000	1,2,1	0.5000	25
8589935299	9856.1191	0.4547	7100	0.4000	3,1,0	0.5000	52
17179870069	2345.1038	0.2581	6950	0.4000	3,0,1	0.5000	49
30064771996	5237.5566	-0.1423	6400	0.4000	0,0,0	0.5000	0
8589935520	4689.3516	0.3359	6000	0.4000	1,1,3	0.5000	23
17179869818	3504.9971	-0.1446	6200	0.4000	1,0,1	0.5000	17
17179869842	6076.4219	0.3539	6050	0.4000	1,3,2	0.5000	30
8589935160	7810.9351	0.1519	5300	0.4000	0,3,3	0.5000	15
17179869877	4356.8066	0.1014	5750	0.4000	3,3,1	0.5000	61
25769804669	4920.0762	-0.0155	5250	0.4000	1,0,0	0.5000	16
12884902763	3681.0776	-0.0562	4850	0.4000	2,2,3	0.5000	43
21474837223	5407.4785	-0.2971	4500	0.4000	0,3,3	0.5000	15
17179869911	6390.1230	-0.2124	4700	0.4000	0,0,1	0.5000	1
21474837465	1608.3127	-0.2439	3750	0.4000	2,0,1	0.5000	33
30064772199	1772.1437	-0.2045	1800	0.4000	1,3,3	0.5000	31
17179870203	876.0561	0.4179	3800	0.4000	2,0,2	0.5000	34
17179870256	4061.1213	-0.1799	3200	0.4000	2,2,3	0.5000	43
8589935728	3509.8062	0.4194	2750	0.4000	3,3,1	0.5000	61
42949673971	2764.9507	0.1528	2650	0.4000	0,3,3	0.5000	15
55834575910	754.8029	0.1372	1600	0.4000	1,3,1	0.5000	29
8589935846	533.2452	0.3727	1000	0.4000	2,2,2	0.5000	42
47244641531	25.0653	-0.2490	150	0.4000	0,0,3	0.5000	3
4294968589	572.9238	0.0533	750	0.4000	3,3,1	0.5000	61
8589935991	28.0540	0.1906	100	0.4000	3,3,3	0.5000	63
38654706966	294.0325	-0.2509	250	0.4000	1,1,0	0.5000	20

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
515	477	505	-0.0824	8000	7975
4294968121	509	4294968219	-0.1489	7929	7889
17179869953	4294968219	21474836978	-0.2337	6847	7952
8589935358	8589935232	12884902564	-0.2655	6782	7959
519	483	512	-0.4082	8000	7937
733	483	506	0.3052	7987	7956
8589935186	505	4294967882	0.3542	7780	7993
12884902372	491	21474836978	-0.0756	6847	7953
8589935095	506	512	-0.5051	7955	7969
618	491	512	-0.5623	7994	7961
8589935394	512	4294968219	-0.3142	7910	7960
4294968043	477	483	0.2307	7947	7994
8589935403	480	511	-0.0000	7910	90
694	483	511	0.2030	7989	7966
8589935350	488	4294968219	-0.4790	7925	7884
4294968091	477	511	-0.6047	7947	7922
4294967953	488	12884902793	-0.4275	7559	7921
8589935326	4294968219	12884902564	0.6911	6713	7977
4294967981	477	512	0.0359	7941	7862
4294967971	485	12884902793	-0.4200	7560	7975
8589935386	483	485	-0.4530	7917	7995
597	477	506	-0.3778	7995	7925
4294968041	505	512	-0.0444	7960	7956
8589935183	506	12884902793	0.9524	7523	7990
4294968044	491	511	-0.4096	7918	7925
873	509	511	-0.3471	7971	7860
4294967960	8589935299	12884902564	-0.1793	6760	7904
8589935067	8589935232	8589935381	0.9724	6873	7986
4294968161	485	512	-0.6702	7967	7985
787	488	491	-0.5126	7980	7866
4294968092	488	509	-0.2373	7961	7876
12884902415	511	4294968219	-0.3761	7893	7798
8589935125	505	511	0.9763	7920	7988
846	485	506	-0.3833	7972	7855
4294968061	491	4294968219	-0.5717	7905	7986
4294967795	485	509	1.0000	7939	8000
4294968225	505	12884902793	-0.3586	7573	7986
8589935089	488	506	-0.0195	7918	7877
4294967979	491	505	-0.5796	7924	7994
554	483	505	-0.3054	7998	7554
4294967843	483	491	-0.5921	7965	7967
4294968191	483	4294968219	0.9727	7900	7988
4294968156	485	4294968219	-0.1100	7949	7992
4294968165	477	4294968219	-0.0472	7936	7971
930	485	491	-0.5370	7956	7958
4294968162	505	4294968219	-0.3421	7912	7954
4294968008	511	512	-0.3890	7900	7741
648	477	491	-0.3502	7992	7915
907	491	509	-0.2925	7962	7921
25769804472	491	12884902793	-0.4286	7578	7970
931	477	488	0.0401	7956	7951
752	483	509	0.9980	7985	7999
906	477	485	0.7193	7962	7959
4294968020	477	509	0.9724	7869	7986
674	506	509	-0.3078	7991	7940
12884902384	483	12884902793	-0.2655	7579	7852
899	506	511	0.8705	7964	7987
12884902735	477	12884902793	-0.5975	7529	7965
4294968002	485	511	-0.4021	7942	7995
12884902681	511	8589935232	-0.2449	7580	7948
17179869928	4294967882	12884902793	0.0294	7582	7974
821	509	512	0.4669	7977	7966
808	488	505	0.9665	7978	7983
4294967974	506	4294968219	-0.2984	7887	7894
4294968176	485	488	-0.4551	7935	7768
17179869843	8589935232	12884902793	-0.4590	7583	7999
842	505	506	-0.4206	7973	7967
17179870076	511	12884902793	-0.1966	7583	7962
4294967998	483	488	-0.2232	7924	7967
719	488	511	-0.2429	7988	7799
770	505	509	0.6714	7984	7980
627	491	506	0.3216	7994	7979
855	485	505	-0.0267	7972	7969
12884902702	488	512	-0.6048	7890	7922
8589935118	483	21474836978	-0.3513	6721	7988
