# tick 10000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
4294968219	9096.1504	-0.1402	9950	0.4000	0,2,2	0.5000	10
12884902793	8561.6846	-0.2740	9600	0.4000	2,1,3	0.5000	39
477	16609.5410	0.4054	10001	0.4000	1,2,2	0.5000	26
505	12115.7793	-0.1928	10001	0.4000	1,3,1	0.5000	29
509	13994.2988	0.3803	10001	0.4000	3,1,1	0.5000	53
506	13089.3926	0.4635	10001	0.4000	2,3,0	0.5000	44
511	11610.2939	0.4995	10001	0.4000	3,0,1	0.5000	49
512	14764.8555	-0.1087	10001	0.4000	3,3,1	0.5000	61
483	15088.6934	0.2462	10001	0.4000	3,2,1	0.5000	57
488	8318.8291	0.3795	10001	0.4000	0,0,1	0.5000	1
485	10205.0469	-0.1134	10001	0.4000	1,1,3	0.5000	23
21474836978	7424.5430	0.4228	8850	0.4000	0,2,0	0.5000	8
491	1855.4209	0.2100	10001	0.4000	1,1,3	0.5000	23
4294967882	5440.0400	0.0743	9800	0.4000	3,2,3	0.5000	59
8589935232	8361.9473	-0.0146	9650	0.4000	1,1,2	0.5000	22
38654706307	21826.6680	0.3058	9350	0.4000	3,1,1	0.5000	53
12884902564	5208.9795	-0.0971	8800	0.4000	3,0,0	0.5000	48
8589935381	2309.5942	0.0456	9000	0.4000	1,2,1	0.5000	25
8589935299	13192.1191	0.4547	9100	0.4000	3,1,0	0.5000	52
17179870069	2159.1038	0.2581	8950	0.4000	3,0,1	0.5000	49
30064771996	6529.5566	-0.1423	8400	0.4000	0,0,0	0.5000	0
8589935520	6968.3516	0.3359	8000	0.4000	1,1,3	0.5000	23
17179869818	5022.9971	-0.1446	8200	0.4000	1,0,1	0.5000	17
17179869842	6098.4219	0.3539	8050	0.4000	1,3,2	0.5000	30
8589935160	8788.9355	0.1519	7300	0.4000	0,3,3	0.5000	15
17179869877	5389.8066	0.1014	7750	0.4000	3,3,1	0.5000	61
25769804669	6432.0762	-0.0155	7250	0.4000	1,0,0	0.5000	16
12884902763	5527.0776	-0.0562	6850	0.4000	2,2,3	0.5000	43
21474837223	6656.4785	-0.2971	6500	0.4000	0,3,3	0.5000	15
17179869911	9814.1230	-0.2124	6700	0.4000	0,0,1	0.5000	1
21474837465	4004.3127	-0.2439	5750	0.4000	2,0,1	0.5000	33
30064772199	5001.1436	-0.2045	3800	0.4000	1,3,3	0.5000	31
17179870203	1531.0562	0.4179	5800	0.4000	2,0,2	0.5000	34
17179870256	5769.1211	-0.1799	5200	0.4000	2,2,3	0.5000	43
8589935728	4720.8062	0.4194	4750	0.4000	3,3,1	0.5000	61
42949673971	3731.9507	0.1528	4650	0.4000	0,3,3	0.5000	15
55834575910	3110.8027	0.1372	3600	0.4000	1,3,1	0.5000	29
8589935846	2516.2451	0.3727	3000	0.4000	2,2,2	0.5000	42
17179870591	528.1648	0.3894	1750	0.4000	2,3,1	0.5000	45
4294968589	2008.9238	0.0533	2750	0.4000	3,3,1	0.5000	61
38654706966	3191.0325	-0.2509	2250	0.4000	1,1,0	0.5000	20
4294968807	758.1031	0.4666	700	0.4000	2,2,0	0.5000	40
21474837946	1031.6500	0.0700	1100	0.4000	3,2,3	0.5000	59
34359739836	49.1259	-0.1685	300	0.4000	3,1,3	0.5000	55
12884903431	172.7792	-0.1946	400	0.4000	2,2,0	0.5000	40
1591	36.7644	-0.1490	50	0.4000	2,3,0	0.5000	44

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
515	477	505	-0.4474	10000	9826
4294968121	509	4294968219	-0.2868	9929	9942
17179869953	4294968219	21474836978	-0.5761	8847	9964
8589935358	8589935232	12884902564	-0.3181	8782	9809
519	483	512	-0.1720	10000	9550
733	483	506	0.4698	9987	9997
8589935186	505	4294967882	-0.3560	9780	9853
12884902372	491	21474836978	-0.5111	8847	9998
8589935095	506	512	0.0255	9955	9995
618	491	512	-0.4409	9994	9795
8589935394	512	4294968219	-0.6275	9910	9998
4294968043	477	483	-0.3448	9947	9930
8589935403	480	511	-0.0000	9910	90
694	483	511	-0.4287	9989	9971
8589935350	488	4294968219	-0.4744	9925	9894
4294968091	477	511	-0.0375	9947	9919
4294967953	488	12884902793	0.9306	9559	9976
8589935326	4294968219	12884902564	-0.3942	8713	9833
4294967981	477	512	0.9821	9941	9991
4294967971	485	12884902793	-0.2438	9560	9782
8589935386	483	485	-0.4326	9917	9868
597	477	506	-0.3376	9995	9975
4294968041	505	512	-0.3490	9960	9985
8589935183	506	12884902793	-0.2023	9523	9786
4294968044	491	511	-0.2459	9918	9681
873	509	511	0.4256	9971	10000
4294967960	8589935299	12884902564	-0.1046	8760	9989
8589935067	8589935232	8589935381	0.9763	8873	9988
4294968161	485	512	-0.0635	9967	9982
787	488	491	-0.0957	9980	9828
4294968092	488	509	-0.3816	9961	9861
12884902415	511	4294968219	-0.2091	9893	9972
8589935125	505	511	0.9194	9920	9958
846	485	506	-0.1370	9972	9902
4294968061	491	4294968219	-0.5932	9905	9997
4294967795	485	509	0.5382	9939	9990
4294968225	505	12884902793	-0.1331	9573	9796
8589935089	488	506	-0.4849	9918	9957
4294967979	491	505	-0.2632	9924	9659
554	483	505	-0.0523	9998	9893
4294967843	483	491	-0.3725	9965	9802
4294968191	483	4294968219	0.1622	9900	9929
4294968156	485	4294968219	-0.3393	9949	9837
4294968165	477	4294968219	-0.4075	9936	9951
930	485	491	-0.3198	9956	9890
4294968162	505	4294968219	0.5409	9912	9995
4294968008	511	512	-0.0527	9900	9988
648	477	491	-0.3209	9992	9853
907	491	509	-0.2746	9962	9851
25769804472	491	12884902793	-0.3686	9578	9952
931	477	488	-0.2739	9956	9885
752	483	509	0.1587	9985	9998
906	477	485	0.9980	9962	9999
4294968020	477	509	-0.1338	9869	9787
674	506	509	-0.1637	9991	9769
12884902384	483	12884902793	-0.1922	9579	9871
899	506	511	-0.3109	9964	9918
12884902735	477	12884902793	-0.5650	9529	9995
4294968002	485	511	-0.4420	9942	9931
12884902681	511	8589935232	0.9900	9580	9995
17179869928	4294967882	12884902793	0.9685	9582	9984
821	509	512	-0.0189	9977	9945
808	488	505	0.4655	9978	9998
4294967974	506	4294968219	-0.4026	9887	9934
4294968176	485	488	-0.1285	9935	9855
17179869843	8589935232	12884902793	-0.4789	9583	9839
842	505	506	-0.0668	9973	9924
17179870076	511	12884902793	0.9436	9583	9971
4294967998	483	488	-0.5231	9924	9972
719	488	511	0.8675	9988	9929
770	505	509	-0.3783	9984	9888
627	491	506	-0.2784	9994	9903
855	485	505	0.1007	9972	9896
12884902702	488	512	-0.3821	9890	9899
8589935118	483	21474836978	-0.4480	8721	9975
8589935420	4294967882	4294968219	-0.3101	9777	9690
4294968075	511	4294967882	0.0523	9796	9987
4294968019	506	4294967882	0.9861	9795	9993
4294967865	512	4294967882	-0.3865	9795	9917
4294967948	491	4294967882	-0.3401	9794	9828
17179869871	509	12884902793	0.7225	9584	9986
4294968159	477	4294967882	-0.2524	9792	9968
