# tick 12000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
4294968219	9029.1504	-0.1402	11950	0.4000	0,2,2	0.5000	10
12884902793	10354.6846	-0.2740	11600	0.4000	2,1,3	0.5000	39
477	16960.5410	0.4054	12001	0.4000	1,2,2	0.5000	26
505	12965.7793	-0.1928	12001	0.4000	1,3,1	0.5000	29
509	14450.2988	0.3803	12001	0.4000	3,1,1	0.5000	53
506	14756.3926	0.4635	12001	0.4000	2,3,0	0.5000	44
511	13387.2939	0.4995	12001	0.4000	3,0,1	0.5000	49
512	15919.8555	-0.1087	12001	0.4000	3,3,1	0.5000	61
483	15242.6934	0.2462	12001	0.4000	3,2,1	0.5000	57
488	10377.8291	0.3795	12001	0.4000	0,0,1	0.5000	1
485	12111.0469	-0.1134	12001	0.4000	1,1,3	0.5000	23
21474836978	8209.5430	0.4228	10850	0.4000	0,2,0	0.5000	8
491	737.4209	0.2100	12001	0.4000	1,1,3	0.5000	23
4294967882	7415.0400	0.0743	11800	0.4000	3,2,3	0.5000	59
8589935232	7592.9473	-0.0146	11650	0.4000	1,1,2	0.5000	22
38654706307	23872.6680	0.3058	11350	0.4000	3,1,1	0.5000	53
12884902564	5701.9795	-0.0971	10800	0.4000	3,0,0	0.5000	48
8589935381	1927.5942	0.0456	11000	0.4000	1,2,1	0.5000	25
8589935299	16342.1191	0.4547	11100	0.4000	3,1,0	0.5000	52
17179870069	2414.1038	0.2581	10950	0.4000	3,0,1	0.5000	49
30064771996	8447.5566	-0.1423	10400	0.4000	0,0,0	0.5000	0
8589935520	8119.3516	0.3359	10000	0.4000	1,1,3	0.5000	23
17179869818	7018.9971	-0.1446	10200	0.4000	1,0,1	0.5000	17
17179869842	6592.4219	0.3539	10050	0.4000	1,3,2	0.5000	30
8589935160	8400.9355	0.1519	9300	0.4000	0,3,3	0.5000	15
17179869877	6537.8066	0.1014	9750	0.4000	3,3,1	0.5000	61
25769804669	8921.0762	-0.0155	9250	0.4000	1,0,0	0.5000	16
12884902763	7615.0776	-0.0562	8850	0.4000	2,2,3	0.5000	43
21474837223	7636.4785	-0.2971	8500	0.4000	0,3,3	0.5000	15
17179869911	12342.1230	-0.2124	8700	0.4000	0,0,1	0.5000	1
21474837465	5293.3125	-0.2439	7750	0.4000	2,0,1	0.5000	33
30064772199	7888.1436	-0.2045	5800	0.4000	1,3,3	0.5000	31
17179870203	1609.0562	0.4179	7800	0.4000	2,0,2	0.5000	34
17179870256	8181.1211	-0.1799	7200	0.4000	2,2,3	0.5000	43
8589935728	6486.8062	0.4194	6750	0.4000	3,3,1	0.5000	61
42949673971	4490.9507	0.1528	6650	0.4000	0,3,3	0.5000	15
55834575910	5634.8027	0.1372	5600	0.4000	1,3,1	0.5000	29
8589935846	4339.2451	0.3727	5000	0.4000	2,2,2	0.5000	42
17179870591	1987.1648	0.3894	3750	0.4000	2,3,1	0.5000	45
4294968589	3637.9238	0.0533	4750	0.4000	3,3,1	0.5000	61
38654706966	4065.0322	-0.2509	4250	0.4000	1,1,0	0.5000	20
4294968807	3456.1030	0.4666	2700	0.4000	2,2,0	0.5000	40
21474837946	2213.6499	0.0700	3100	0.4000	3,2,3	0.5000	59
34359739836	1201.1259	-0.1685	2300	0.4000	3,1,3	0.5000	55
12884903431	2502.7793	-0.1946	2400	0.4000	2,2,0	0.5000	40
21474838068	999.5464	-0.0260	1600	0.4000	1,3,2	0.5000	30
4294968951	1228.9299	0.2066	1250	0.4000	1,2,3	0.5000	27
1788	439.1023	0.2745	1050	0.4000	0,1,3	0.5000	7
8589936285	568.9128	0.2843	950	0.4000	1,0,3	0.5000	19
17179871067	76.8001	0.1779	100	0.4000	1,3,2	0.5000	30
1835	71.8947	0.0705	600	0.4000	0,3,1	0.5000	13
30064772723	230.0264	-0.1192	400	0.4000	3,3,2	0.5000	62

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
515	477	505	-0.1892	12000	11624
4294968121	509	4294968219	-0.5187	11929	11999
17179869953	4294968219	21474836978	0.2121	10847	11896
8589935358	8589935232	12884902564	-0.2524	10782	11956
519	483	512	-0.4023	12000	11931
733	483	506	-0.4747	11987	11864
8589935186	505	4294967882	-0.0919	11780	11965
12884902372	491	21474836978	0.1147	10847	11991
8589935095	506	512	-0.3500	11955	11806
618	491	512	-0.3149	11994	11747
8589935394	512	4294968219	-0.1527	11910	11988
4294968043	477	483	-0.5155	11947	11971
8589935403	480	511	-0.0000	11910	90
694	483	511	0.0793	11989	11997
8589935350	488	4294968219	-0.2730	11925	11899
4294968091	477	511	-0.4409	11947	11892
4294967953	488	12884902793	0.9841	11559	11992
8589935326	4294968219	12884902564	-0.4448	10713	11922
4294967981	477	512	-0.1592	11941	11881
4294967971	485	12884902793	-0.3028	11560	11849
8589935386	483	485	-0.4422	11917	11854
597	477	506	-0.1216	11995	11934
4294968041	505	512	-0.3156	11960	11759
8589935183	506	12884902793	-0.0932	11523	11792
4294968044	491	511	-0.1550	11918	11992
873	509	511	-0.3042	11971	11876
4294967960	8589935299	12884902564	-0.0265	10760	11946
8589935067	8589935232	8589935381	0.1356	10873	11922
4294968161	485	512	-0.1990	11967	11704
787	488	491	-0.5018	11980	11986
4294968092	488	509	-0.0307	11961	11831
12884902415	511	4294968219	-0.1436	11893	11652
8589935125	505	511	-0.0670	11920	11996
846	485	506	-0.2124	11972	11959
4294968061	491	4294968219	-0.1417	11905	11977
4294967795	485	509	0.9920	11939	11996
4294968225	505	12884902793	-0.1667	11573	11636
8589935089	488	506	-0.3009	11918	11858
4294967979	491	505	-0.2522	11924	11935
554	483	505	-0.1581	11998	11969
4294967843	483	491	-0.6559	11965	11881
4294968191	483	4294968219	-0.3483	11900	11869
4294968156	485	4294968219	0.9512	11949	11975
4294968165	477	4294968219	-0.1316	11936	11791
930	485	491	-0.1375	11956	11908
4294968162	505	4294968219	-0.5295	11912	11891
4294968008	511	512	-0.2205	11900	11985
648	477	491	-0.4380	11992	11986
907	491	509	-0.4638	11962	11953
25769804472	491	12884902793	-0.1934	11578	11795
931	477	488	-0.0252	11956	11873
752	483	509	-0.0827	11985	11944
906	477	485	0.9900	11962	11995
4294968020	477	509	-0.2826	11869	11886
674	506	509	0.2045	11991	11931
12884902384	483	12884902793	-0.5098	11579	11992
899	506	511	-0.2901	11964	11999
12884902735	477	12884902793	-0.3633	11529	11883
4294968002	485	511	-0.3262	11942	11887
12884902681	511	8589935232	-0.6702	11580	11999
17179869928	4294967882	12884902793	-0.3655	11582	11926
821	509	512	-0.3977	11977	11846
808	488	505	0.8169	11978	11985
4294967974	506	4294968219	-0.4225	11887	11941
4294968176	485	488	-0.1710	11935	11910
17179869843	8589935232	12884902793	-0.1537	11583	11764
842	505	506	-0.0891	11973	11945
17179870076	511	12884902793	0.3149	11583	11995
4294967998	483	488	-0.0943	11924	11829
719	488	511	0.9157	11988	11956
770	505	509	-0.1359	11984	11916
627	491	506	-0.3897	11994	11898
855	485	505	-0.5720	11972	11940
12884902702	488	512	0.1559	11890	11947
8589935118	483	21474836978	-0.5585	10721	11954
8589935420	4294967882	4294968219	-0.2806	11777	11698
4294968075	511	4294967882	-0.2022	11796	11996
4294968019	506	4294967882	0.0332	11795	11995
4294967865	512	4294967882	0.9980	11795	11999
4294967948	491	4294967882	-0.1585	11794	11963
17179869871	509	12884902793	-0.5156	11584	11994
4294968159	477	4294967882	-0.1185	11792	11868
8589935217	483	4294967882	-0.0588	11790	11944
4294967833	509	4294967882	-0.2188	11790	11798
4294968164	485	4294967882	-0.3492	11754	11732
12884902824	17179870069	21474836978	-0.3116	10847	11889
8589935184	509	17179870069	0.9960	10885	11998
8589935506	488	4294967882	0.9194	11741	11958
8589935437	8589935299	21474836978	-0.1541	10819	12000
8589935435	12884902793	17179870069	-0.1632	10887	11902
