# tick 14000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
4294968219	8804.1504	-0.1402	13950	0.4000	0,2,2	0.5000	10
12884902793	11737.6846	-0.2740	13600	0.4000	2,1,3	0.5000	39
477	18557.5410	0.4054	14001	0.4000	1,2,2	0.5000	26
505	14002.7793	-0.1928	14001	0.4000	1,3,1	0.5000	29
509	16453.2988	0.3803	14001	0.4000	3,1,1	0.5000	53
506	17119.3926	0.4635	14001	0.4000	2,3,0	0.5000	44
511	14850.2939	0.4995	14001	0.4000	3,0,1	0.5000	49
512	16912.8555	-0.1087	14001	0.4000	3,3,1	0.5000	61
483	15834.6934	0.2462	14001	0.4000	3,2,1	0.5000	57
488	13042.8291	0.3795	14001	0.4000	0,0,1	0.5000	1
485	13963.0469	-0.1134	14001	0.4000	1,1,3	0.5000	23
21474836978	9678.5430	0.4228	12850	0.4000	0,2,0	0.5000	8
491	1181.4209	0.2100	14001	0.4000	1,1,3	0.5000	23
4294967882	8161.0400	0.0743	13800	0.4000	3,2,3	0.5000	59
8589935232	8733.9473	-0.0146	13650	0.4000	1,1,2	0.5000	22
38654706307	23235.6680	0.3058	13350	0.4000	3,1,1	0.5000	53
12884902564	6638.9795	-0.0971	12800	0.4000	3,0,0	0.5000	48
8589935381	2353.5942	0.0456	13000	0.4000	1,2,1	0.5000	25
8589935299	19488.1191	0.4547	13100	0.4000	3,1,0	0.5000	52
17179870069	3502.1038	0.2581	12950	0.4000	3,0,1	0.5000	49
30064771996	10157.5566	-0.1423	12400	0.4000	0,0,0	0.5000	0
8589935520	9585.3516	0.3359	12000	0.4000	1,1,3	0.5000	23
17179869818	8221.9971	-0.1446	12200	0.4000	1,0,1	0.5000	17
17179869842	6913.4219	0.3539	12050	0.4000	1,3,2	0.5000	30
8589935160	9233.9355	0.1519	11300	0.4000	0,3,3	0.5000	15
17179869877	7507.8066	0.1014	11750	0.4000	3,3,1	0.5000	61
25769804669	10652.0762	-0.0155	11250	0.4000	1,0,0	0.5000	16
12884902763	8758.0781	-0.0562	10850	0.4000	2,2,3	0.5000	43
21474837223	9075.4785	-0.2971	10500	0.4000	0,3,3	0.5000	15
17179869911	13793.1230	-0.2124	10700	0.4000	0,0,1	0.5000	1
21474837465	6591.3125	-0.2439	9750	0.4000	2,0,1	0.5000	33
30064772199	7790.1436	-0.2045	7800	0.4000	1,3,3	0.5000	31
17179870203	3120.0562	0.4179	9800	0.4000	2,0,2	0.5000	34
17179870256	9999.1211	-0.1799	9200	0.4000	2,2,3	0.5000	43
8589935728	8941.8066	0.4194	8750	0.4000	3,3,1	0.5000	61
42949673971	3998.9507	0.1528	8650	0.4000	0,3,3	0.5000	15
55834575910	7703.8027	0.1372	7600	0.4000	1,3,1	0.5000	29
8589935846	5813.2451	0.3727	7000	0.4000	2,2,2	0.5000	42
17179870591	3485.1648	0.3894	5750	0.4000	2,3,1	0.5000	45
4294968589	5128.9238	0.0533	6750	0.4000	3,3,1	0.5000	61
38654706966	3201.0322	-0.2509	6250	0.4000	1,1,0	0.5000	20
4294968807	6397.1030	0.4666	4700	0.4000	2,2,0	0.5000	40
21474837946	2772.6499	0.0700	5100	0.4000	3,2,3	0.5000	59
34359739836	3127.1260	-0.1685	4300	0.4000	3,1,3	0.5000	55
12884903431	3322.7793	-0.1946	4400	0.4000	2,2,0	0.5000	40
21474838068	2049.5464	-0.0260	3600	0.4000	1,3,2	0.5000	30
4294968951	2479.9299	0.2066	3250	0.4000	1,2,3	0.5000	27
1788	900.1023	0.2745	3050	0.4000	0,1,3	0.5000	7
8589936285	2240.9128	0.2843	2950	0.4000	1,0,3	0.5000	19
30064772723	1546.0264	-0.1192	2400	0.4000	3,3,2	0.5000	62
1835	1100.8947	0.0705	2600	0.4000	0,3,1	0.5000	13
21474838408	110.1426	0.3980	450	0.4000	3,2,1	0.5000	57
38654707645	77.4284	-0.0829	50	0.4000	1,2,2	0.5000	26

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
515	477	505	-0.1072	14000	13856
4294968121	509	4294968219	0.0450	13929	13963
17179869953	4294968219	21474836978	-0.2238	12847	13802
8589935358	8589935232	12884902564	-0.2364	12782	13992
519	483	512	0.0177	14000	13992
733	483	506	-0.4155	13987	13973
8589935186	505	4294967882	-0.0257	13780	13986
12884902372	491	21474836978	-0.1878	12847	13952
8589935095	506	512	-0.2822	13955	13757
618	491	512	-0.5025	13994	13960
8589935394	512	4294968219	-0.4694	13910	13840
4294968043	477	483	-0.3685	13947	13902
8589935403	480	511	-0.0000	13910	90
694	483	511	-0.0602	13989	13975
8589935350	488	4294968219	-0.3487	13925	13832
4294968091	477	511	-0.1256	13947	13773
4294967953	488	12884902793	0.7670	13559	13992
8589935326	4294968219	12884902564	-0.3792	12713	14000
4294967981	477	512	-0.1228	13941	13756
4294967971	485	12884902793	-0.2454	13560	13892
8589935386	483	485	-0.3964	13917	13996
597	477	506	-0.1624	13995	13432
4294968041	505	512	-0.1327	13960	13922
8589935183	506	12884902793	0.1167	13523	13990
4294968044	491	511	-0.2407	13918	13867
873	509	511	0.3905	13971	13942
4294967960	8589935299	12884902564	-0.3274	12760	13806
8589935067	8589935232	8589935381	-0.2764	12873	13985
4294968161	485	512	-0.3119	13967	13938
787	488	491	-0.1812	13980	13534
4294968092	488	509	-0.0604	13961	13973
12884902415	511	4294968219	-0.4095	13893	13749
8589935125	505	511	-0.3234	13920	13930
846	485	506	-0.1740	13972	13904
4294968061	491	4294968219	-0.2102	13905	13635
4294967795	485	509	0.1475	13939	13991
4294968225	505	12884902793	-0.3805	13573	13962
8589935089	488	506	-0.3551	13918	13990
4294967979	491	505	-0.2065	13924	13865
554	483	505	0.0641	13998	13941
4294967843	483	491	-0.3973	13965	13947
4294968191	483	4294968219	-0.7514	13900	13950
4294968156	485	4294968219	0.9980	13949	13999
4294968165	477	4294968219	-0.3898	13936	13974
930	485	491	0.9323	13956	13965
4294968162	505	4294968219	-0.1907	13912	13953
4294968008	511	512	-0.2804	13900	13905
648	477	491	-0.3201	13992	13978
907	491	509	0.3298	13962	13951
25769804472	491	12884902793	0.0079	13578	13963
931	477	488	-0.1930	13956	13863
752	483	509	0.0373	13985	13966
906	477	485	0.9806	13962	13992
4294968020	477	509	-0.1017	13869	13827
674	506	509	0.9960	13991	13998
12884902384	483	12884902793	-0.5157	13579	13985
899	506	511	-0.0223	13964	13822
12884902735	477	12884902793	-0.1966	13529	13959
4294968002	485	511	-0.3660	13942	13952
12884902681	511	8589935232	-0.1684	13580	13729
17179869928	4294967882	12884902793	-0.1575	13582	13861
821	509	512	-0.3500	13977	13788
808	488	505	0.3473	13978	13994
4294967974	506	4294968219	-0.2134	13887	13579
4294968176	485	488	-0.1321	13935	13973
17179869843	8589935232	12884902793	-0.3852	13583	13937
842	505	506	0.9029	13973	13949
17179870076	511	12884902793	-0.0427	13583	13522
4294967998	483	488	-0.1101	13924	13967
719	488	511	0.2096	13988	13998
770	505	509	-0.0835	13984	13932
627	491	506	-0.4618	13994	13946
855	485	505	-0.1765	13972	13505
12884902702	488	512	-0.0700	13890	13830
8589935118	483	21474836978	-0.2623	12721	13660
8589935420	4294967882	4294968219	-0.4924	13777	13993
4294968075	511	4294967882	-0.2718	13796	13647
4294968019	506	4294967882	-0.1315	13795	13837
4294967865	512	4294967882	-0.2850	13795	13970
4294967948	491	4294967882	0.0539	13794	13991
17179869871	509	12884902793	-0.2814	13584	13969
4294968159	477	4294967882	-0.4946	13792	14000
8589935217	483	4294967882	-0.1277	13790	13862
4294967833	509	4294967882	-0.4169	13790	13782
4294968164	485	4294967882	0.1372	13754	13986
12884902824	17179870069	21474836978	-0.2566	12847	13875
8589935184	509	17179870069	-0.0285	12885	13992
8589935506	488	4294967882	0.9696	13741	13996
8589935437	8589935299	21474836978	-0.1838	12819	13968
8589935435	12884902793	17179870069	-0.1018	12887	13991
4294968146	477	8589935232	-0.4360	13642	13788
17179870016	477	21474836978	-0.1535	12819	13964
