# tick 16000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
4294968219	9486.1504	-0.1402	15950	0.4000	0,2,2	0.5000	10
12884902793	11967.6846	-0.2740	15600	0.4000	2,1,3	0.5000	39
477	19293.5410	0.4054	16001	0.4000	1,2,2	0.5000	26
505	14702.7793	-0.1928	16001	0.4000	1,3,1	0.5000	29
509	19071.2988	0.3803	16001	0.4000	3,1,1	0.5000	53
506	18962.3926	0.4635	16001	0.4000	2,3,0	0.5000	44
511	16593.2930	0.4995	16001	0.4000	3,0,1	0.5000	49
512	17765.8555	-0.1087	16001	0.4000	3,3,1	0.5000	61
483	17018.6934	0.2462	16001	0.4000	3,2,1	0.5000	57
488	15320.8291	0.3795	16001	0.4000	0,0,1	0.5000	1
485	14106.0469	-0.1134	16001	0.4000	1,1,3	0.5000	23
21474836978	11126.5430	0.4228	14850	0.4000	0,2,0	0.5000	8
491	1466.4209	0.2100	16001	0.4000	1,1,3	0.5000	23
4294967882	8151.0400	0.0743	15800	0.4000	3,2,3	0.5000	59
8589935232	9422.9473	-0.0146	15650	0.4000	1,1,2	0.5000	22
38654706307	21662.6680	0.3058	15350	0.4000	3,1,1	0.5000	53
12884902564	8243.9795	-0.0971	14800	0.4000	3,0,0	0.5000	48
8589935381	3183.5942	0.0456	15000	0.4000	1,2,1	0.5000	25
8589935299	20753.1191	0.4547	15100	0.4000	3,1,0	0.5000	52
17179870069	5316.1035	0.2581	14950	0.4000	3,0,1	0.5000	49
30064771996	12143.5566	-0.1423	14400	0.4000	0,0,0	0.5000	0
8589935520	10804.3516	0.3359	14000	0.4000	1,1,3	0.5000	23
17179869818	9279.9971	-0.1446	14200	0.4000	1,0,1	0.5000	17
17179869842	6606.4219	0.3539	14050	0.4000	1,3,2	0.5000	30
8589935160	10598.9355	0.1519	13300	0.4000	0,3,3	0.5000	15
17179869877	8645.8066	0.1014	13750	0.4000	3,3,1	0.5000	61
25769804669	11348.0762	-0.0155	13250	0.4000	1,0,0	0.5000	16
12884902763	11009.0781	-0.0562	12850	0.4000	2,2,3	0.5000	43
21474837223	10818.4785	-0.2971	12500	0.4000	0,3,3	0.5000	15
17179869911	13972.1230	-0.2124	12700	0.4000	0,0,1	0.5000	1
21474837465	8652.3125	-0.2439	11750	0.4000	2,0,1	0.5000	33
30064772199	8613.1436	-0.2045	9800	0.4000	1,3,3	0.5000	31
17179870203	4973.0562	0.4179	11800	0.4000	2,0,2	0.5000	34
17179870256	12046.1211	-0.1799	11200	0.4000	2,2,3	0.5000	43
8589935728	11549.8066	0.4194	10750	0.4000	3,3,1	0.5000	61
42949673971	4542.9507	0.1528	10650	0.4000	0,3,3	0.5000	15
55834575910	8069.8027	0.1372	9600	0.4000	1,3,1	0.5000	29
8589935846	7204.2451	0.3727	9000	0.4000	2,2,2	0.5000	42
17179870591	5287.1650	0.3894	7750	0.4000	2,3,1	0.5000	45
4294968589	3569.9238	0.0533	8750	0.4000	3,3,1	0.5000	61
38654706966	2551.0322	-0.2509	8250	0.4000	1,1,0	0.5000	20
4294968807	8149.1030	0.4666	6700	0.4000	2,2,0	0.5000	40
21474837946	4884.6499	0.0700	7100	0.4000	3,2,3	0.5000	59
34359739836	2842.1260	-0.1685	6300	0.4000	3,1,3	0.5000	55
12884903431	4841.7793	-0.1946	6400	0.4000	2,2,0	0.5000	40
21474838068	3022.5464	-0.0260	5600	0.4000	1,3,2	0.5000	30
4294968951	3313.9299	0.2066	5250	0.4000	1,2,3	0.5000	27
1788	2325.1023	0.2745	5050	0.4000	0,1,3	0.5000	7
8589936285	3011.9128	0.2843	4950	0.4000	1,0,3	0.5000	19
30064772723	2718.0264	-0.1192	4400	0.4000	3,3,2	0.5000	62
1835	2346.8945	0.0705	4600	0.4000	0,3,1	0.5000	13
21474838408	2150.1426	0.3980	2450	0.4000	3,2,1	0.5000	57
30064773118	86.1449	0.1076	50	0.4000	0,1,2	0.5000	6
51539609477	220.4390	0.4967	1300	0.4000	3,1,2	0.5000	54
68719478771	373.0617	0.4052	550	0.4000	1,2,3	0.5000	27

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
515	477	505	-0.4194	16000	15941
4294968121	509	4294968219	0.6805	15929	15989
17179869953	4294968219	21474836978	-0.2388	14847	15959
8589935358	8589935232	12884902564	0.7643	14782	15999
519	483	512	-0.1393	16000	15989
733	483	506	-0.4600	15987	15900
8589935186	505	4294967882	-0.6546	15780	15977
12884902372	491	21474836978	0.9802	14847	15990
8589935095	506	512	-0.4321	15955	15855
618	491	512	-0.1789	15994	15820
8589935394	512	4294968219	-0.3982	15910	15921
4294968043	477	483	-0.1119	15947	15951
8589935403	480	511	-0.0000	15910	90
694	483	511	0.1212	15989	15978
8589935350	488	4294968219	-0.3347	15925	15928
4294968091	477	511	-0.4546	15947	15985
4294967953	488	12884902793	1.0000	15559	16000
8589935326	4294968219	12884902564	-0.2361	14713	15899
4294967981	477	512	-0.2802	15941	15821
4294967971	485	12884902793	-0.1840	15560	15957
8589935386	483	485	-0.2801	15917	15991
597	477	506	-0.1948	15995	15769
4294968041	505	512	-0.2489	15960	15978
8589935183	506	12884902793	-0.0130	15523	15688
4294968044	491	511	-0.4007	15918	15932
873	509	511	-0.0192	15971	15933
4294967960	8589935299	12884902564	-0.4888	14760	15960
8589935067	8589935232	8589935381	-0.2099	14873	15833
4294968161	485	512	-0.2921	15967	15893
787	488	491	-0.3096	15980	15957
4294968092	488	509	-0.2499	15961	15893
12884902415	511	4294968219	-0.3286	15893	15896
8589935125	505	511	-0.2227	15920	15939
846	485	506	-0.2202	15972	15771
4294968061	491	4294968219	0.6496	15905	15964
4294967795	485	509	-0.3882	15939	15902
4294968225	505	12884902793	-0.0412	15573	15937
8589935089	488	506	0.2279	15918	15969
4294967979	491	505	-0.4797	15924	15925
554	483	505	-0.3032	15998	15945
4294967843	483	491	-0.2207	15965	15786
4294968191	483	4294968219	-0.3519	15900	15977
4294968156	485	4294968219	0.0387	15949	15897
4294968165	477	4294968219	-0.4742	15936	15966
930	485	491	0.6758	15956	15989
4294968162	505	4294968219	-0.4825	15912	15968
4294968008	511	512	-0.3588	15900	15817
648	477	491	-0.2190	15992	15692
907	491	509	1.0000	15962	16000
25769804472	491	12884902793	-0.1524	15578	15976
931	477	488	-0.3286	15956	15693
752	483	509	-0.0043	15985	15914
906	477	485	-0.4181	15962	15935
4294968020	477	509	0.3619	15869	15943
674	506	509	0.9608	15991	15980
12884902384	483	12884902793	-0.3682	15579	15942
899	506	511	0.5545	15964	15962
12884902735	477	12884902793	-0.2574	15529	15899
4294968002	485	511	-0.1153	15942	15990
12884902681	511	8589935232	0.1113	15580	15947
17179869928	4294967882	12884902793	-0.4333	15582	15949
821	509	512	-0.3454	15977	15937
808	488	505	-0.4017	15978	15988
4294967974	506	4294968219	0.1329	15887	15862
4294968176	485	488	0.0204	15935	15955
17179869843	8589935232	12884902793	-0.3008	15583	15704
842	505	506	-0.3447	15973	15859
17179870076	511	12884902793	-0.1349	15583	15676
4294967998	483	488	0.7659	15924	15954
719	488	511	-0.4511	15988	15975
770	505	509	-0.1584	15984	15796
627	491	506	-0.3833	15994	15985
855	485	505	-0.1830	15972	15912
12884902702	488	512	-0.2953	15890	15850
8589935118	483	21474836978	-0.1328	14721	15226
8589935420	4294967882	4294968219	0.0201	15777	15791
4294968075	511	4294967882	-0.3642	15796	15873
4294968019	506	4294967882	-0.3224	15795	15813
4294967865	512	4294967882	-0.5842	15795	15978
4294967948	491	4294967882	0.1087	15794	15932
17179869871	509	12884902793	-0.2854	15584	15836
4294968159	477	4294967882	-0.2851	15792	15824
8589935217	483	4294967882	-0.3363	15790	15928
4294967833	509	4294967882	-0.3405	15790	15948
4294968164	485	4294967882	0.1971	15754	15987
12884902824	17179870069	21474836978	-0.1600	14847	15977
8589935184	509	17179870069	-0.0324	14885	15943
8589935506	488	4294967882	-0.1938	15741	15945
8589935437	8589935299	21474836978	-0.2082	14819	15806
8589935435	12884902793	17179870069	-0.3778	14887	15788
4294968146	477	8589935232	-0.2543	15642	15796
17179870016	477	21474836978	0.0896	14819	15816
12884902483	4294968219	8589935232	-0.3298	15644	15930
4294967899	485	8589935232	-0.3040	15645	15885
4294968087	506	8589935232	-0.2263	15646	15935
