# tick 18000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
4294968219	10184.1504	-0.1402	17950	0.4000	0,2,2	0.5000	10
12884902793	12386.6846	-0.2740	17600	0.4000	2,1,3	0.5000	39
477	18249.5410	0.4054	18001	0.4000	1,2,2	0.5000	26
505	16220.7793	-0.1928	18001	0.4000	1,3,1	0.5000	29
509	21211.2988	0.3803	18001	0.4000	3,1,1	0.5000	53
506	19791.3926	0.4635	18001	0.4000	2,3,0	0.5000	44
511	18117.2930	0.4995	18001	0.4000	3,0,1	0.5000	49
512	18721.8555	-0.1087	18001	0.4000	3,3,1	0.5000	61
483	17754.6934	0.2462	18001	0.4000	3,2,1	0.5000	57
488	16496.8281	0.3795	18001	0.4000	0,0,1	0.5000	1
485	14452.0469	-0.1134	18001	0.4000	1,1,3	0.5000	23
21474836978	12715.5430	0.4228	16850	0.4000	0,2,0	0.5000	8
491	2344.4209	0.2100	18001	0.4000	1,1,3	0.5000	23
4294967882	7157.0400	0.0743	17800	0.4000	3,2,3	0.5000	59
8589935232	10196.9473	-0.0146	17650	0.4000	1,1,2	0.5000	22
38654706307	20771.6680	0.3058	17350	0.4000	3,1,1	0.5000	53
12884902564	10106.9795	-0.0971	16800	0.4000	3,0,0	0.5000	48
8589935381	5069.5942	0.0456	17000	0.4000	1,2,1	0.5000	25
8589935299	20406.1191	0.4547	17100	0.4000	3,1,0	0.5000	52
17179870069	6777.1035	0.2581	16950	0.4000	3,0,1	0.5000	49
30064771996	13646.5566	-0.1423	16400	0.4000	0,0,0	0.5000	0
8589935520	12813.3516	0.3359	16000	0.4000	1,1,3	0.5000	23
17179869818	9308.9971	-0.1446	16200	0.4000	1,0,1	0.5000	17
17179869842	7601.4219	0.3539	16050	0.4000	1,3,2	0.5000	30
8589935160	11251.9355	0.1519	15300	0.4000	0,3,3	0.5000	15
17179869877	10470.8066	0.1014	15750	0.4000	3,3,1	0.5000	61
25769804669	11780.0762	-0.0155	15250	0.4000	1,0,0	0.5000	16
12884902763	13476.0781	-0.0562	14850	0.4000	2,2,3	0.5000	43
21474837223	11909.4785	-0.2971	14500	0.4000	0,3,3	0.5000	15
17179869911	13934.1230	-0.2124	14700	0.4000	0,0,1	0.5000	1
21474837465	10152.3125	-0.2439	13750	0.4000	2,0,1	0.5000	33
30064772199	10146.1436	-0.2045	11800	0.4000	1,3,3	0.5000	31
17179870203	6057.0562	0.4179	13800	0.4000	2,0,2	0.5000	34
17179870256	14268.1211	-0.1799	13200	0.4000	2,2,3	0.5000	43
8589935728	12806.8066	0.4194	12750	0.4000	3,3,1	0.5000	61
42949673971	5881.9507	0.1528	12650	0.4000	0,3,3	0.5000	15
55834575910	8773.8027	0.1372	11600	0.4000	1,3,1	0.5000	29
8589935846	8720.2451	0.3727	11000	0.4000	2,2,2	0.5000	42
17179870591	6544.1650	0.3894	9750	0.4000	2,3,1	0.5000	45
4294968589	3749.9238	0.0533	10750	0.4000	3,3,1	0.5000	61
38654706966	785.0322	-0.2509	10250	0.4000	1,1,0	0.5000	20
4294968807	8533.1035	0.4666	8700	0.4000	2,2,0	0.5000	40
21474837946	6140.6499	0.0700	9100	0.4000	3,2,3	0.5000	59
34359739836	2541.1260	-0.1685	8300	0.4000	3,1,3	0.5000	55
12884903431	5174.7793	-0.1946	8400	0.4000	2,2,0	0.5000	40
21474838068	3523.5464	-0.0260	7600	0.4000	1,3,2	0.5000	30
4294968951	5466.9297	0.2066	7250	0.4000	1,2,3	0.5000	27
1788	4708.1025	0.2745	7050	0.4000	0,1,3	0.5000	7
8589936285	3385.9128	0.2843	6950	0.4000	1,0,3	0.5000	19
30064772723	3955.0264	-0.1192	6400	0.4000	3,3,2	0.5000	62
1835	3974.8945	0.0705	6600	0.4000	0,3,1	0.5000	13
21474838408	4400.1426	0.3980	4450	0.4000	3,2,1	0.5000	57
47244642398	31.6873	0.2979	100	0.4000	2,3,3	0.5000	47
51539609477	1717.4390	0.4967	3300	0.4000	3,1,2	0.5000	54
68719478771	1812.0618	0.4052	2550	0.4000	1,2,3	0.5000	27
73014446167	40.1340	0.3668	50	0.4000	3,3,2	0.5000	62

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
515	477	505	-0.1892	18000	17783
4294968121	509	4294968219	0.0996	17929	17984
17179869953	4294968219	21474836978	-0.4535	16847	17979
8589935358	8589935232	12884902564	0.1288	16782	17836
519	483	512	-0.3867	18000	17960
733	483	506	-0.0514	17987	17822
8589935186	505	4294967882	-0.2862	17780	17882
12884902372	491	21474836978	0.9940	16847	17997
8589935095	506	512	-0.4015	17955	17827
618	491	512	-0.2889	17994	17906
8589935394	512	4294968219	-0.0860	17910	17866
4294968043	477	483	-0.4848	17947	17863
8589935403	480	511	-0.0000	17910	90
694	483	511	-0.1316	17989	17854
8589935350	488	4294968219	-0.2424	17925	17907
4294968091	477	511	-0.3111	17947	17974
4294967953	488	12884902793	0.9608	17559	17980
8589935326	4294968219	12884902564	-0.2148	16713	17932
4294967981	477	512	-0.2608	17941	17889
4294967971	485	12884902793	-0.1778	17560	17736
8589935386	483	485	0.5535	17917	17992
597	477	506	-0.0923	17995	17987
4294968041	505	512	-0.2270	17960	17860
8589935183	506	12884902793	-0.3972	17523	17904
4294968044	491	511	-0.1246	17918	17753
873	509	511	-0.2550	17971	17993
4294967960	8589935299	12884902564	-0.4613	16760	17965
8589935067	8589935232	8589935381	-0.2300	16873	17946
4294968161	485	512	0.8831	17967	17995
787	488	491	-0.2272	17980	17869
4294968092	488	509	-0.0882	17961	17959
12884902415	511	4294968219	-0.0580	17893	17971
8589935125	505	511	-0.1355	17920	17972
846	485	506	-0.1117	17972	17720
4294968061	491	4294968219	0.2282	17905	17992
4294967795	485	509	-0.2692	17939	17902
4294968225	505	12884902793	-0.3343	17573	17990
8589935089	488	506	-0.0184	17918	17529
4294967979	491	505	-0.2894	17924	17961
554	483	505	-0.3339	17998	17909
4294967843	483	491	-0.2024	17965	17661
4294968191	483	4294968219	-0.2710	17900	17868
4294968156	485	4294968219	-0.3344	17949	17904
4294968165	477	4294968219	-0.2579	17936	17744
930	485	491	-0.0407	17956	17974
4294968162	505	4294968219	-0.3466	17912	17939
4294968008	511	512	-0.2129	17900	17990
648	477	491	-0.0706	17992	17999
907	491	509	0.9436	17962	17971
25769804472	491	12884902793	-0.3150	17578	17973
931	477	488	-0.3754	17956	17978
752	483	509	0.9763	17985	17988
906	477	485	-0.5296	17962	17901
4294968020	477	509	-0.4339	17869	17715
674	506	509	-0.3800	17991	17872
12884902384	483	12884902793	-0.0777	17579	17948
899	506	511	-0.0539	17964	17992
12884902735	477	12884902793	-0.4320	17529	17988
4294968002	485	511	0.0108	17942	17955
12884902681	511	8589935232	-0.2791	17580	17982
17179869928	4294967882	12884902793	-0.3139	17582	17996
821	509	512	-0.1868	17977	17767
808	488	505	-0.2192	17978	17998
4294967974	506	4294968219	-0.0815	17887	17961
4294968176	485	488	-0.1992	17935	17979
17179869843	8589935232	12884902793	-0.1611	17583	17976
842	505	506	-0.4986	17973	17926
17179870076	511	12884902793	-0.6692	17583	17953
4294967998	483	488	0.7731	17924	17999
719	488	511	0.8771	17988	17996
770	505	509	0.9474	17984	17973
627	491	506	-0.1402	17994	17899
855	485	505	-0.3194	17972	17983
12884902702	488	512	-0.1224	17890	17950
8589935118	483	21474836978	0.1586	16721	17917
8589935420	4294967882	4294968219	-0.4340	17777	17850
4294968075	511	4294967882	-0.3389	17796	17866
4294968019	506	4294967882	-0.4432	17795	17732
4294967865	512	4294967882	-0.4717	17795	17905
4294967948	491	4294967882	-0.2473	17794	17860
17179869871	509	12884902793	0.1664	17584	17995
4294968159	477	4294967882	-0.2486	17792	17742
8589935217	483	4294967882	-0.1877	17790	17728
4294967833	509	4294967882	-0.4080	17790	17844
4294968164	485	4294967882	-0.2710	17754	17648
12884902824	17179870069	21474836978	-0.3588	16847	17991
8589935184	509	17179870069	-0.5436	16885	17909
8589935506	488	4294967882	-0.2671	17741	18000
8589935437	8589935299	21474836978	-0.2841	16819	17918
8589935435	12884902793	17179870069	-0.1659	16887	17914
4294968146	477	8589935232	-0.3212	17642	17686
17179870016	477	21474836978	0.8604	16819	17992
12884902483	4294968219	8589935232	-0.4242	17644	17927
4294967899	485	8589935232	-0.3893	17645	17978
4294968087	506	8589935232	-0.2863	17646	17861
17179870007	21474836978	38654706307	-0.0060	16825	17968
