# tick 20000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
4294968219	11681.1504	-0.1402	19950	0.4000	0,2,2	0.5000	10
12884902793	12452.6846	-0.2740	19600	0.4000	2,1,3	0.5000	39
477	18956.5410	0.4054	20001	0.4000	1,2,2	0.5000	26
505	18506.7793	-0.1928	20001	0.4000	1,3,1	0.5000	29
509	22464.2988	0.3803	20001	0.4000	3,1,1	0.5000	53
506	20020.3926	0.4635	20001	0.4000	2,3,0	0.5000	44
511	19514.2930	0.4995	20001	0.4000	3,0,1	0.5000	49
512	20381.8555	-0.1087	20001	0.4000	3,3,1	0.5000	61
483	18124.6934	0.2462	20001	0.4000	3,2,1	0.5000	57
488	17460.8281	0.3795	20001	0.4000	0,0,1	0.5000	1
485	14121.0469	-0.1134	20001	0.4000	1,1,3	0.5000	23
21474836978	12133.5430	0.4228	18850	0.4000	0,2,0	0.5000	8
491	3308.4209	0.2100	20001	0.4000	1,1,3	0.5000	23
4294967882	6973.0400	0.0743	19800	0.4000	3,2,3	0.5000	59
8589935232	11949.9473	-0.0146	19650	0.4000	1,1,2	0.5000	22
38654706307	19469.6680	0.3058	19350	0.4000	3,1,1	0.5000	53
12884902564	11407.9795	-0.0971	18800	0.4000	3,0,0	0.5000	48
8589935381	5254.5942	0.0456	19000	0.4000	1,2,1	0.5000	25
8589935299	20367.1191	0.4547	19100	0.4000	3,1,0	0.5000	52
17179870069	7789.1035	0.2581	18950	0.4000	3,0,1	0.5000	49
30064771996	16351.5566	-0.1423	18400	0.4000	0,0,0	0.5000	0
8589935520	14071.3516	0.3359	18000	0.4000	1,1,3	0.5000	23
17179869818	10827.9971	-0.1446	18200	0.4000	1,0,1	0.5000	17
17179869842	8044.4219	0.3539	18050	0.4000	1,3,2	0.5000	30
8589935160	13021.9355	0.1519	17300	0.4000	0,3,3	0.5000	15
17179869877	12734.8066	0.1014	17750	0.4000	3,3,1	0.5000	61
25769804669	12275.0762	-0.0155	17250	0.4000	1,0,0	0.5000	16
12884902763	13885.0781	-0.0562	16850	0.4000	2,2,3	0.5000	43
21474837223	13755.4785	-0.2971	16500	0.4000	0,3,3	0.5000	15
17179869911	13635.1230	-0.2124	16700	0.4000	0,0,1	0.5000	1
21474837465	12356.3125	-0.2439	15750	0.4000	2,0,1	0.5000	33
30064772199	12650.1436	-0.2045	13800	0.4000	1,3,3	0.5000	31
17179870203	6795.0562	0.4179	15800	0.4000	2,0,2	0.5000	34
17179870256	15183.1211	-0.1799	15200	0.4000	2,2,3	0.5000	43
8589935728	14360.8066	0.4194	14750	0.4000	3,3,1	0.5000	61
42949673971	7745.9507	0.1528	14650	0.4000	0,3,3	0.5000	15
55834575910	8725.8027	0.1372	13600	0.4000	1,3,1	0.5000	29
8589935846	9800.2451	0.3727	13000	0.4000	2,2,2	0.5000	42
17179870591	7494.1650	0.3894	11750	0.4000	2,3,1	0.5000	45
4294968589	4861.9238	0.0533	12750	0.4000	3,3,1	0.5000	61
38654706966	429.0322	-0.2509	12250	0.4000	1,1,0	0.5000	20
4294968807	9211.1035	0.4666	10700	0.4000	2,2,0	0.5000	40
21474837946	5700.6499	0.0700	11100	0.4000	3,2,3	0.5000	59
34359739836	3506.1260	-0.1685	10300	0.4000	3,1,3	0.5000	55
12884903431	6512.7793	-0.1946	10400	0.4000	2,2,0	0.5000	40
21474838068	4152.5464	-0.0260	9600	0.4000	1,3,2	0.5000	30
4294968951	7208.9297	0.2066	9250	0.4000	1,2,3	0.5000	27
1788	7426.1025	0.2745	9050	0.4000	0,1,3	0.5000	7
8589936285	3970.9131	0.2843	8950	0.4000	1,0,3	0.5000	19
30064772723	5522.0264	-0.1192	8400	0.4000	3,3,2	0.5000	62
1835	4200.8945	0.0705	8600	0.4000	0,3,1	0.5000	13
21474838408	7012.1426	0.3980	6450	0.4000	3,2,1	0.5000	57
4294969487	1173.1003	0.0141	1600	0.4000	2,3,3	0.5000	47
51539609477	3740.4390	0.4967	5300	0.4000	3,1,2	0.5000	54
68719478771	3576.0618	0.4052	4550	0.4000	1,2,3	0.5000	27
73014446167	1415.1340	0.3668	2050	0.4000	3,3,2	0.5000	62
2260	324.2116	0.2464	1150	0.4000	0,0,3	0.5000	3
4294969708	336.9926	-0.1614	500	0.4000	1,0,3	0.5000	19
133143988029	1229.1858	0.3261	1000	0.4000	1,2,0	0.5000	24
21474838822	177.0442	0.3896	50	0.4000	2,2,1	0.5000	41
2556	81.7178	-0.0176	100	0.4000	2,1,0	0.5000	36
17179871598	17.5417	0.4236	250	0.4000	3,3,2	0.5000	62

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
515	477	505	-0.1984	20000	19756
4294968121	509	4294968219	-0.2839	19929	19955
17179869953	4294968219	21474836978	-0.0959	18847	19911
8589935358	8589935232	12884902564	-0.3274	18782	19951
519	483	512	0.6781	20000	19962
733	483	506	-0.2684	19987	19901
8589935186	505	4294967882	0.3499	19780	19921
12884902372	491	21474836978	0.9433	18847	19992
8589935095	506	512	-0.3531	19955	19880
618	491	512	-0.1577	19994	19973
8589935394	512	4294968219	0.1836	19910	19943
4294968043	477	483	-0.2496	19947	19974
8589935403	480	511	-0.0000	19910	90
694	483	511	-0.3158	19989	19939
8589935350	488	4294968219	-0.1888	19925	19950
4294968091	477	511	0.9681	19947	19991
4294967953	488	12884902793	-0.0652	19559	19892
8589935326	4294968219	12884902564	-0.0896	18713	19988
4294967981	477	512	-0.3548	19941	19871
4294967971	485	12884902793	-0.3434	19560	19994
8589935386	483	485	-0.1875	19917	19862
597	477	506	-0.2283	19995	19862
4294968041	505	512	-0.1157	19960	19841
8589935183	506	12884902793	-0.1461	19523	19640
4294968044	491	511	0.0915	19918	19904
873	509	511	-0.1209	19971	19804
4294967960	8589935299	12884902564	-0.0595	18760	19911
8589935067	8589935232	8589935381	-0.2336	18873	19710
4294968161	485	512	0.8975	19967	19946
787	488	491	-0.2163	19980	19911
4294968092	488	509	-0.1093	19961	19945
12884902415	511	4294968219	-0.0164	19893	19980
8589935125	505	511	-0.1922	19920	19728
846	485	506	-0.4258	19972	19946
4294968061	491	4294968219	-0.1845	19905	19756
4294967795	485	509	-0.3267	19939	19997
4294968225	505	12884902793	-0.0322	19573	19855
8589935089	488	506	-0.3445	19918	19808
4294967979	491	505	-0.1525	19924	19600
554	483	505	0.0126	19998	19968
4294967843	483	491	-0.2061	19965	19725
4294968191	483	4294968219	0.9704	19900	19985
4294968156	485	4294968219	-0.3034	19949	19869
4294968165	477	4294968219	-0.2519	19936	19682
930	485	491	-0.2558	19956	19738
4294968162	505	4294968219	-0.3721	19912	19965
4294968008	511	512	-0.0165	19900	19878
648	477	491	-0.4457	19992	19993
907	491	509	-0.1064	19962	19983
25769804472	491	12884902793	-0.2928	19578	19799
931	477	488	-0.2304	19956	19870
752	483	509	0.4896	19985	19990
906	477	485	-0.1379	19962	19963
4294968020	477	509	-0.1329	19869	19847
674	506	509	-0.2982	19991	19974
12884902384	483	12884902793	-0.0920	19579	19999
899	506	511	-0.1939	19964	19770
12884902735	477	12884902793	-0.5666	19529	19996
4294968002	485	511	-0.2600	19942	19950
12884902681	511	8589935232	-0.1261	19580	19653
17179869928	4294967882	12884902793	-0.3104	19582	19897
821	509	512	-0.0779	19977	19461
808	488	505	-0.3209	19978	19954
4294967974	506	4294968219	-0.2401	19887	19768
4294968176	485	488	0.1634	19935	19910
17179869843	8589935232	12884902793	0.9920	19583	19996
842	505	506	-0.0932	19973	19884
17179870076	511	12884902793	-0.1820	19583	19909
4294967998	483	488	0.1357	19924	19915
719	488	511	0.9960	19988	19998
770	505	509	0.9900	19984	19995
627	491	506	-0.3443	19994	19823
855	485	505	-0.2588	19972	19946
12884902702	488	512	-0.1944	19890	19816
8589935118	483	21474836978	-0.2725	18721	19932
8589935420	4294967882	4294968219	-0.0523	19777	19803
4294968075	511	4294967882	-0.0012	19796	19979
4294968019	506	4294967882	-0.3551	19795	19876
4294967865	512	4294967882	-0.2929	19795	19967
4294967948	491	4294967882	-0.0750	19794	20000
17179869871	509	12884902793	-0.1589	19584	19668
4294968159	477	4294967882	-0.1156	19792	19960
8589935217	483	4294967882	-0.3326	19790	19831
4294967833	509	4294967882	-0.2173	19790	19838
4294968164	485	4294967882	-0.0506	19754	19737
12884902824	17179870069	21474836978	-0.1630	18847	19942
8589935184	509	17179870069	-0.1682	18885	19632
8589935506	488	4294967882	-0.2696	19741	19875
8589935437	8589935299	21474836978	-0.2253	18819	19879
8589935435	12884902793	17179870069	0.0186	18887	19903
4294968146	477	8589935232	0.1838	19642	19919
17179870016	477	21474836978	-0.1407	18819	19807
12884902483	4294968219	8589935232	-0.2174	19644	19917
4294967899	485	8589935232	-0.2651	19645	19836
4294968087	506	8589935232	-0.2347	19646	19877
17179870007	21474836978	38654706307	-0.2349	18825	19898
12884902808	512	12884902793	-0.1669	19597	19833
4294968192	483	8589935232	-0.1222	19647	19857
8589935073	4294967882	8589935232	0.9960	19648	19998
4294967925	512	8589935232	-0.4895	19649	19968
4294967791	491	8589935232	-0.4652	19649	19926
12884902747	488	8589935232	-0.0732	19632	19899
21474837200	509	8589935232	-0.1893	19631	19901
17179870061	505	8589935232	0.1745	19630	19812
12884902588	485	17179870069	-0.1444	18908	19987
