# tick 22000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
4294968219	13510.1504	-0.1402	21950	0.4000	0,2,2	0.5000	10
12884902793	11163.6846	-0.2740	21600	0.4000	2,1,3	0.5000	39
477	20182.5410	0.4054	22001	0.4000	1,2,2	0.5000	26
505	18767.7793	-0.1928	22001	0.4000	1,3,1	0.5000	29
509	23478.2988	0.3803	22001	0.4000	3,1,1	0.5000	53
506	20895.3926	0.4635	22001	0.4000	2,3,0	0.5000	44
511	20048.2930	0.4995	22001	0.4000	3,0,1	0.5000	49
512	22322.8555	-0.1087	22001	0.4000	3,3,1	0.5000	61
483	17391.6934	0.2462	22001	0.4000	3,2,1	0.5000	57
488	18490.8281	0.3795	22001	0.4000	0,0,1	0.5000	1
485	12987.0469	-0.1134	22001	0.4000	1,1,3	0.5000	23
21474836978	13450.5430	0.4228	20850	0.4000	0,2,0	0.5000	8
491	4000.4209	0.2100	22001	0.4000	1,1,3	0.5000	23
4294967882	7338.0400	0.0743	21800	0.4000	3,2,3	0.5000	59
8589935232	12748.9473	-0.0146	21650	0.4000	1,1,2	0.5000	22
38654706307	19726.6680	0.3058	21350	0.4000	3,1,1	0.5000	53
12884902564	12722.9795	-0.0971	20800	0.4000	3,0,0	0.5000	48
8589935381	5426.5942	0.0456	21000	0.4000	1,2,1	0.5000	25
8589935299	20858.1191	0.4547	21100	0.4000	3,1,0	0.5000	52
17179870069	8274.1035	0.2581	20950	0.4000	3,0,1	0.5000	49
30064771996	16065.5566	-0.1423	20400	0.4000	0,0,0	0.5000	0
8589935520	15521.3516	0.3359	20000	0.4000	1,1,3	0.5000	23
17179869818	11715.9971	-0.1446	20200	0.4000	1,0,1	0.5000	17
17179869842	8654.4219	0.3539	20050	0.4000	1,3,2	0.5000	30
8589935160	13772.9355	0.1519	19300	0.4000	0,3,3	0.5000	15
17179869877	12393.8066	0.1014	19750	0.4000	3,3,1	0.5000	61
25769804669	12872.0762	-0.0155	19250	0.4000	1,0,0	0.5000	16
12884902763	12683.0781	-0.0562	18850	0.4000	2,2,3	0.5000	43
21474837223	13478.4785	-0.2971	18500	0.4000	0,3,3	0.5000	15
17179869911	12853.1230	-0.2124	18700	0.4000	0,0,1	0.5000	1
21474837465	13296.3125	-0.2439	17750	0.4000	2,0,1	0.5000	33
30064772199	14519.1436	-0.2045	15800	0.4000	1,3,3	0.5000	31
17179870203	5503.0562	0.4179	17800	0.4000	2,0,2	0.5000	34
17179870256	15911.1211	-0.1799	17200	0.4000	2,2,3	0.5000	43
8589935728	15750.8066	0.4194	16750	0.4000	3,3,1	0.5000	61
42949673971	9856.9512	0.1528	16650	0.4000	0,3,3	0.5000	15
55834575910	6861.8027	0.1372	15600	0.4000	1,3,1	0.5000	29
8589935846	10246.2451	0.3727	15000	0.4000	2,2,2	0.5000	42
17179870591	9340.1650	0.3894	13750	0.4000	2,3,1	0.5000	45
4294968589	6413.9238	0.0533	14750	0.4000	3,3,1	0.5000	61
133143988029	2024.1858	0.3261	3000	0.4000	1,2,0	0.5000	24
4294968807	9695.1035	0.4666	12700	0.4000	2,2,0	0.5000	40
21474837946	5083.6499	0.0700	13100	0.4000	3,2,3	0.5000	59
34359739836	3769.1260	-0.1685	12300	0.4000	3,1,3	0.5000	55
12884903431	8096.7793	-0.1946	12400	0.4000	2,2,0	0.5000	40
21474838068	5218.5464	-0.0260	11600	0.4000	1,3,2	0.5000	30
4294968951	7580.9297	0.2066	11250	0.4000	1,2,3	0.5000	27
1788	7349.1025	0.2745	11050	0.4000	0,1,3	0.5000	7
8589936285	3441.9131	0.2843	10950	0.4000	1,0,3	0.5000	19
30064772723	5929.0264	-0.1192	10400	0.4000	3,3,2	0.5000	62
1835	3917.8945	0.0705	10600	0.4000	0,3,1	0.5000	13
21474838408	8892.1426	0.3980	8450	0.4000	3,2,1	0.5000	57
4294969487	1973.1003	0.0141	3600	0.4000	2,3,3	0.5000	47
51539609477	6477.4390	0.4967	7300	0.4000	3,1,2	0.5000	54
68719478771	4150.0615	0.4052	6550	0.4000	1,2,3	0.5000	27
73014446167	2566.1340	0.3668	4050	0.4000	3,3,2	0.5000	62
2260	1479.2115	0.2464	3150	0.4000	0,0,3	0.5000	3
4294969708	900.9926	-0.1614	2500	0.4000	1,0,3	0.5000	19
51539609916	50.8464	-0.0929	200	0.4000	3,1,2	0.5000	54
98784249864	261.2965	0.1977	650	0.4000	3,3,2	0.5000	62
21474838858	81.8197	-0.1114	250	0.4000	0,3,2	0.5000	14
124554052561	32.3889	0.2610	100	0.4000	2,1,2	0.5000	38
51539609902	98.2195	0.2815	50	0.4000	2,1,2	0.5000	38

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
515	477	505	-0.4028	22000	21892
4294968121	509	4294968219	-0.3716	21929	21917
17179869953	4294968219	21474836978	-0.2696	20847	21953
8589935358	8589935232	12884902564	0.5955	20782	21984
519	483	512	0.3554	22000	21983
733	483	506	-0.1895	21987	21780
8589935186	505	4294967882	0.9960	21780	21998
12884902372	491	21474836978	0.8407	20847	21994
8589935095	506	512	-0.2281	21955	21718
618	491	512	-0.3032	21994	21960
8589935394	512	4294968219	-0.3189	21910	21874
4294968043	477	483	-0.3167	21947	21959
8589935403	480	511	-0.0000	21910	90
694	483	511	-0.1765	21989	21873
8589935350	488	4294968219	-0.2662	21925	21909
4294968091	477	511	-0.1913	21947	21865
4294967953	488	12884902793	-0.2216	21559	21812
8589935326	4294968219	12884902564	-0.0969	20713	21919
4294967981	477	512	-0.1248	21941	21893
4294967971	485	12884902793	-0.2816	21560	21830
8589935386	483	485	-0.2194	21917	21626
597	477	506	-0.0561	21995	21903
4294968041	505	512	-0.2710	21960	21966
8589935183	506	12884902793	-0.1311	21523	21940
4294968044	491	511	-0.3700	21918	21916
873	509	511	-0.2086	21971	21987
4294967960	8589935299	12884902564	-0.0048	20760	21987
8589935067	8589935232	8589935381	0.3557	20873	21958
4294968161	485	512	-0.3914	21967	21986
787	488	491	-0.0657	21980	21950
4294968092	488	509	-0.3719	21961	21893
12884902415	511	4294968219	-0.3467	21893	21984
8589935125	505	511	-0.2850	21920	21956
846	485	506	-0.0831	21972	21375
4294968061	491	4294968219	-0.4869	21905	21959
4294967795	485	509	-0.3068	21939	21983
4294968225	505	12884902793	-0.3910	21573	21977
8589935089	488	506	-0.0168	21918	21863
4294967979	491	505	-0.1277	21924	21764
554	483	505	-0.3506	21998	21920
4294967843	483	491	-0.3934	21965	21915
4294968191	483	4294968219	0.9465	21900	21992
4294968156	485	4294968219	-0.2880	21949	21989
4294968165	477	4294968219	-0.0274	21936	21519
930	485	491	-0.4602	21956	21968
4294968162	505	4294968219	-0.4005	21912	21935
4294968008	511	512	-0.1155	21900	21617
648	477	491	-0.1032	21992	21884
907	491	509	-0.4509	21962	21969
25769804472	491	12884902793	-0.4825	21578	21964
931	477	488	-0.2364	21956	21898
752	483	509	-0.0317	21985	21984
906	477	485	-0.1635	21962	21951
4294968020	477	509	-0.2660	21869	21758
674	506	509	-0.0894	21991	21418
12884902384	483	12884902793	-0.6032	21579	21934
899	506	511	-0.4313	21964	21916
12884902735	477	12884902793	-0.2440	21529	21976
4294968002	485	511	-0.6326	21942	21968
12884902681	511	8589935232	-0.1309	21580	21733
17179869928	4294967882	12884902793	-0.2247	21582	21915
821	509	512	0.0446	21977	21802
808	488	505	-0.3384	21978	21918
4294967974	506	4294968219	-0.3854	21887	21855
4294968176	485	488	-0.2590	21935	21975
17179869843	8589935232	12884902793	-0.0563	21583	21702
842	505	506	-0.1015	21973	21982
17179870076	511	12884902793	-0.0696	21583	21980
4294967998	483	488	-0.2485	21924	21927
719	488	511	0.9980	21988	21999
770	505	509	0.5330	21984	21944
627	491	506	-0.3982	21994	21981
855	485	505	-0.3083	21972	21930
12884902702	488	512	0.0025	21890	21966
8589935118	483	21474836978	-0.3310	20721	21915
8589935420	4294967882	4294968219	-0.2205	21777	21963
4294968075	511	4294967882	-0.2240	21796	21880
4294968019	506	4294967882	0.2421	21795	21990
4294967865	512	4294967882	-0.1989	21795	21610
4294967948	491	4294967882	-0.0666	21794	21994
17179869871	509	12884902793	-0.3120	21584	21922
4294968159	477	4294967882	0.4694	21792	21999
8589935217	483	4294967882	-0.2920	21790	21870
4294967833	509	4294967882	0.0359	21790	21894
4294968164	485	4294967882	-0.4913	21754	21829
12884902824	17179870069	21474836978	-0.1459	20847	21938
8589935184	509	17179870069	-0.2980	20885	22000
8589935506	488	4294967882	-0.2348	21741	21931
8589935437	8589935299	21474836978	-0.1808	20819	21933
8589935435	12884902793	17179870069	-0.4374	20887	21957
4294968146	477	8589935232	-0.2954	21642	21922
17179870016	477	21474836978	-0.1551	20819	21979
12884902483	4294968219	8589935232	-0.3814	21644	21946
4294967899	485	8589935232	-0.2767	21645	21992
4294968087	506	8589935232	-0.1933	21646	21912
17179870007	21474836978	38654706307	-0.2386	20825	21989
12884902808	512	12884902793	-0.2450	21597	21883
4294968192	483	8589935232	-0.4608	21647	21999
8589935073	4294967882	8589935232	0.0862	21648	21953
4294967925	512	8589935232	-0.3154	21649	21949
4294967791	491	8589935232	-0.0101	21649	21937
12884902747	488	8589935232	-0.3397	21632	21946
21474837200	509	8589935232	-0.3047	21631	21910
17179870061	505	8589935232	-0.2905	21630	21766
12884902588	485	17179870069	-0.3200	20908	21956
17179870035	511	38654706307	-0.1018	21333	21947
