# tick 24000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
4294968219	13933.1504	-0.1402	23950	0.4000	0,2,2	0.5000	10
12884902793	9631.6846	-0.2740	23600	0.4000	2,1,3	0.5000	39
477	19865.5410	0.4054	24001	0.4000	1,2,2	0.5000	26
505	18913.7793	-0.1928	24001	0.4000	1,3,1	0.5000	29
509	23116.2988	0.3803	24001	0.4000	3,1,1	0.5000	53
506	21718.3926	0.4635	24001	0.4000	2,3,0	0.5000	44
511	21280.2930	0.4995	24001	0.4000	3,0,1	0.5000	49
512	23383.8555	-0.1087	24001	0.4000	3,3,1	0.5000	61
483	17401.6934	0.2462	24001	0.4000	3,2,1	0.5000	57
488	19369.8281	0.3795	24001	0.4000	0,0,1	0.5000	1
485	11945.0469	-0.1134	24001	0.4000	1,1,3	0.5000	23
21474836978	14613.5430	0.4228	22850	0.4000	0,2,0	0.5000	8
491	5391.4209	0.2100	24001	0.4000	1,1,3	0.5000	23
4294967882	9582.0400	0.0743	23800	0.4000	3,2,3	0.5000	59
8589935232	12638.9473	-0.0146	23650	0.4000	1,1,2	0.5000	22
38654706307	18451.6680	0.3058	23350	0.4000	3,1,1	0.5000	53
12884902564	14355.9795	-0.0971	22800	0.4000	3,0,0	0.5000	48
8589935381	4685.5942	0.0456	23000	0.4000	1,2,1	0.5000	25
8589935299	22552.1191	0.4547	23100	0.4000	3,1,0	0.5000	52
17179870069	9800.1035	0.2581	22950	0.4000	3,0,1	0.5000	49
30064771996	15179.5566	-0.1423	22400	0.4000	0,0,0	0.5000	0
8589935520	16813.3516	0.3359	22000	0.4000	1,1,3	0.5000	23
17179869818	12077.9971	-0.1446	22200	0.4000	1,0,1	0.5000	17
17179869842	7980.4219	0.3539	22050	0.4000	1,3,2	0.5000	30
8589935160	15484.9355	0.1519	21300	0.4000	0,3,3	0.5000	15
17179869877	12502.8066	0.1014	21750	0.4000	3,3,1	0.5000	61
25769804669	12485.0762	-0.0155	21250	0.4000	1,0,0	0.5000	16
12884902763	12786.0781	-0.0562	20850	0.4000	2,2,3	0.5000	43
21474837223	14347.4785	-0.2971	20500	0.4000	0,3,3	0.5000	15
17179869911	12997.1230	-0.2124	20700	0.4000	0,0,1	0.5000	1
21474837465	14835.3125	-0.2439	19750	0.4000	2,0,1	0.5000	33
30064772199	14924.1436	-0.2045	17800	0.4000	1,3,3	0.5000	31
17179870203	5347.0562	0.4179	19800	0.4000	2,0,2	0.5000	34
17179870256	15831.1211	-0.1799	19200	0.4000	2,2,3	0.5000	43
8589935728	16579.8066	0.4194	18750	0.4000	3,3,1	0.5000	61
42949673971	11485.9512	0.1528	18650	0.4000	0,3,3	0.5000	15
55834575910	7227.8027	0.1372	17600	0.4000	1,3,1	0.5000	29
8589935846	9426.2451	0.3727	17000	0.4000	2,2,2	0.5000	42
17179870591	11776.1650	0.3894	15750	0.4000	2,3,1	0.5000	45
4294968589	8400.9238	0.0533	16750	0.4000	3,3,1	0.5000	61
133143988029	2331.1858	0.3261	5000	0.4000	1,2,0	0.5000	24
4294968807	9892.1035	0.4666	14700	0.4000	2,2,0	0.5000	40
21474837946	4545.6499	0.0700	15100	0.4000	3,2,3	0.5000	59
34359739836	4679.1260	-0.1685	14300	0.4000	3,1,3	0.5000	55
12884903431	8948.7793	-0.1946	14400	0.4000	2,2,0	0.5000	40
21474838068	6228.5464	-0.0260	13600	0.4000	1,3,2	0.5000	30
4294968951	7704.9297	0.2066	13250	0.4000	1,2,3	0.5000	27
1788	8963.1025	0.2745	13050	0.4000	0,1,3	0.5000	7
8589936285	4946.9131	0.2843	12950	0.4000	1,0,3	0.5000	19
30064772723	6355.0264	-0.1192	12400	0.4000	3,3,2	0.5000	62
1835	3809.8945	0.0705	12600	0.4000	0,3,1	0.5000	13
21474838408	9833.1426	0.3980	10450	0.4000	3,2,1	0.5000	57
4294969487	1350.1003	0.0141	5600	0.4000	2,3,3	0.5000	47
51539609477	8218.4395	0.4967	9300	0.4000	3,1,2	0.5000	54
68719478771	4275.0615	0.4052	8550	0.4000	1,2,3	0.5000	27
73014446167	5443.1338	0.3668	6050	0.4000	3,3,2	0.5000	62
2260	1804.2115	0.2464	5150	0.4000	0,0,3	0.5000	3
4294969708	767.9926	-0.1614	4500	0.4000	1,0,3	0.5000	19
60129544487	518.0511	0.1869	1700	0.4000	3,3,0	0.5000	60
98784249864	1992.2965	0.1977	2650	0.4000	3,3,2	0.5000	62
21474839257	76.0873	0.1426	100	0.4000	3,1,1	0.5000	53
4294969870	1420.8618	0.4770	2000	0.4000	2,1,3	0.5000	39
12884904595	499.3896	0.1903	1050	0.4000	0,3,2	0.5000	14
25769806592	60.2789	-0.1904	50	0.4000	1,3,2	0.5000	30

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
515	477	505	-0.2334	24000	23779
4294968121	509	4294968219	0.1084	23929	23972
17179869953	4294968219	21474836978	-0.3280	22847	23828
8589935358	8589935232	12884902564	-0.3814	22782	23926
519	483	512	0.0190	24000	23921
733	483	506	-0.3449	23987	23881
8589935186	505	4294967882	-0.3184	23780	23914
12884902372	491	21474836978	0.0624	22847	23958
8589935095	506	512	-0.3195	23955	23793
618	491	512	-0.1225	23994	23933
8589935394	512	4294968219	0.8357	23910	23973
4294968043	477	483	-0.2799	23947	23855
8589935403	480	511	-0.0000	23910	90
694	483	511	-0.1642	23989	23823
8589935350	488	4294968219	-0.1323	23925	23928
4294968091	477	511	-0.1836	23947	23910
4294967953	488	12884902793	-0.0249	23559	23937
8589935326	4294968219	12884902564	-0.0522	22713	23753
4294967981	477	512	-0.2574	23941	23951
4294967971	485	12884902793	-0.3256	23560	23939
8589935386	483	485	0.5789	23917	23979
597	477	506	-0.2521	23995	23919
4294968041	505	512	-0.4673	23960	23839
8589935183	506	12884902793	-0.3145	23523	23882
4294968044	491	511	0.0442	23918	23989
873	509	511	-0.4299	23971	23902
4294967960	8589935299	12884902564	-0.2691	22760	23880
8589935067	8589935232	8589935381	-0.1239	22873	23643
4294968161	485	512	-0.3118	23967	23786
787	488	491	0.1134	23980	23934
4294968092	488	509	-0.4146	23961	23956
12884902415	511	4294968219	-0.2314	23893	23676
8589935125	505	511	-0.0642	23920	23885
846	485	506	-0.1919	23972	23864
4294968061	491	4294968219	-0.3174	23905	23765
4294967795	485	509	-0.2274	23939	23821
4294968225	505	12884902793	-0.1497	23573	23977
8589935089	488	506	-0.5200	23918	23906
4294967979	491	505	-0.2763	23924	23816
554	483	505	-0.2585	23998	23950
4294967843	483	491	0.0802	23965	23932
4294968191	483	4294968219	-0.1027	23900	23923
4294968156	485	4294968219	0.0182	23949	23929
4294968165	477	4294968219	-0.4624	23936	23977
930	485	491	-0.0726	23956	23832
4294968162	505	4294968219	-0.1989	23912	23920
4294968008	511	512	-0.2308	23900	23840
648	477	491	-0.4493	23992	23923
907	491	509	-0.2113	23962	23903
25769804472	491	12884902793	-0.6108	23578	23951
931	477	488	-0.3053	23956	23897
752	483	509	-0.4202	23985	23866
906	477	485	-0.1773	23962	23497
4294968020	477	509	-0.0853	23869	23957
674	506	509	0.6482	23991	23993
12884902384	483	12884902793	-0.3617	23579	23833
899	506	511	-0.0505	23964	23960
12884902735	477	12884902793	-0.2285	23529	23849
4294968002	485	511	0.1848	23942	23931
12884902681	511	8589935232	-0.4790	23580	23981
17179869928	4294967882	12884902793	-0.1000	23582	23992
821	509	512	-0.2586	23977	23972
808	488	505	-0.4175	23978	23935
4294967974	506	4294968219	-0.3701	23887	23978
4294968176	485	488	-0.0836	23935	23686
17179869843	8589935232	12884902793	-0.4043	23583	23855
842	505	506	-0.3576	23973	23917
17179870076	511	12884902793	-0.3259	23583	23643
4294967998	483	488	-0.0861	23924	23630
719	488	511	0.1990	23988	23969
770	505	509	-0.2344	23984	23933
627	491	506	-0.2598	23994	23887
855	485	505	-0.1681	23972	23775
12884902702	488	512	-0.1710	23890	23974
8589935118	483	21474836978	-0.3234	22721	23922
8589935420	4294967882	4294968219	-0.1362	23777	23496
4294968075	511	4294967882	-0.2353	23796	23975
4294968019	506	4294967882	-0.3504	23795	23954
4294967865	512	4294967882	-0.3316	23795	23883
4294967948	491	4294967882	-0.1295	23794	23799
17179869871	509	12884902793	0.0606	23584	23996
4294968159	477	4294967882	-0.2010	23792	23956
8589935217	483	4294967882	-0.2434	23790	23826
4294967833	509	4294967882	0.3281	23790	23937
4294968164	485	4294967882	0.9960	23754	23998
12884902824	17179870069	21474836978	-0.4584	22847	23993
8589935184	509	17179870069	-0.2068	22885	23734
8589935506	488	4294967882	-0.2669	23741	23876
8589935437	8589935299	21474836978	0.0345	22819	23916
8589935435	12884902793	17179870069	-0.1327	22887	23626
4294968146	477	8589935232	0.9980	23642	23999
17179870016	477	21474836978	0.5399	22819	23971
12884902483	4294968219	8589935232	0.1184	23644	23893
4294967899	485	8589935232	-0.0443	23645	23880
4294968087	506	8589935232	-0.2398	23646	23992
17179870007	21474836978	38654706307	-0.2554	22825	23992
12884902808	512	12884902793	0.1173	23597	23980
4294968192	483	8589935232	-0.3575	23647	23776
8589935073	4294967882	8589935232	0.2083	23648	23831
4294967925	512	8589935232	-0.1012	23649	23999
4294967791	491	8589935232	-0.2434	23649	23899
12884902747	488	8589935232	-0.2508	23632	23975
21474837200	509	8589935232	-0.3696	23631	23913
17179870061	505	8589935232	-0.0796	23630	23837
12884902588	485	17179870069	-0.5456	22908	23946
17179870035	511	38654706307	0.2080	23333	23732
17179869821	12884902793	38654706307	-0.2310	23337	23755
12884902542	4294968219	12884902793	-0.2163	23481	23638
