# tick 26000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
4294968219	14249.1504	-0.1402	25950	0.4000	0,2,2	0.5000	10
12884902793	10111.6846	-0.2740	25600	0.4000	2,1,3	0.5000	39
477	20264.5410	0.4054	26001	0.4000	1,2,2	0.5000	26
505	18582.7793	-0.1928	26001	0.4000	1,3,1	0.5000	29
509	22921.2988	0.3803	26001	0.4000	3,1,1	0.5000	53
506	22741.3926	0.4635	26001	0.4000	2,3,0	0.5000	44
511	22621.2930	0.4995	26001	0.4000	3,0,1	0.5000	49
512	24172.8555	-0.1087	26001	0.4000	3,3,1	0.5000	61
483	17692.6934	0.2462	26001	0.4000	3,2,1	0.5000	57
488	19537.8281	0.3795	26001	0.4000	0,0,1	0.5000	1
485	12170.0469	-0.1134	26001	0.4000	1,1,3	0.5000	23
21474836978	15008.5430	0.4228	24850	0.4000	0,2,0	0.5000	8
491	5577.4209	0.2100	26001	0.4000	1,1,3	0.5000	23
4294967882	10513.0400	0.0743	25800	0.4000	3,2,3	0.5000	59
8589935232	12924.9473	-0.0146	25650	0.4000	1,1,2	0.5000	22
38654706307	17735.6680	0.3058	25350	0.4000	3,1,1	0.5000	53
12884902564	14875.9795	-0.0971	24800	0.4000	3,0,0	0.5000	48
8589935381	3778.5942	0.0456	25000	0.4000	1,2,1	0.5000	25
8589935299	22048.1191	0.4547	25100	0.4000	3,1,0	0.5000	52
17179870069	12325.1035	0.2581	24950	0.4000	3,0,1	0.5000	49
30064771996	15758.5566	-0.1423	24400	0.4000	0,0,0	0.5000	0
8589935520	18421.3516	0.3359	24000	0.4000	1,1,3	0.5000	23
17179869818	13252.9971	-0.1446	24200	0.4000	1,0,1	0.5000	17
17179869842	6829.4219	0.3539	24050	0.4000	1,3,2	0.5000	30
8589935160	17105.9355	0.1519	23300	0.4000	0,3,3	0.5000	15
17179869877	12772.8066	0.1014	23750	0.4000	3,3,1	0.5000	61
25769804669	10756.0762	-0.0155	23250	0.4000	1,0,0	0.5000	16
12884902763	13424.0781	-0.0562	22850	0.4000	2,2,3	0.5000	43
21474837223	14767.4785	-0.2971	22500	0.4000	0,3,3	0.5000	15
17179869911	13264.1230	-0.2124	22700	0.4000	0,0,1	0.5000	1
21474837465	16038.3125	-0.2439	21750	0.4000	2,0,1	0.5000	33
30064772199	15608.1436	-0.2045	19800	0.4000	1,3,3	0.5000	31
17179870203	5541.0562	0.4179	21800	0.4000	2,0,2	0.5000	34
17179870256	15844.1211	-0.1799	21200	0.4000	2,2,3	0.5000	43
8589935728	16363.8066	0.4194	20750	0.4000	3,3,1	0.5000	61
42949673971	11951.9512	0.1528	20650	0.4000	0,3,3	0.5000	15
55834575910	7613.8027	0.1372	19600	0.4000	1,3,1	0.5000	29
8589935846	7287.2451	0.3727	19000	0.4000	2,2,2	0.5000	42
17179870591	12729.1650	0.3894	17750	0.4000	2,3,1	0.5000	45
4294968589	9152.9238	0.0533	18750	0.4000	3,3,1	0.5000	61
133143988029	3256.1858	0.3261	7000	0.4000	1,2,0	0.5000	24
4294968807	10163.1035	0.4666	16700	0.4000	2,2,0	0.5000	40
21474837946	3999.6499	0.0700	17100	0.4000	3,2,3	0.5000	59
34359739836	4860.1260	-0.1685	16300	0.4000	3,1,3	0.5000	55
12884903431	10971.7793	-0.1946	16400	0.4000	2,2,0	0.5000	40
21474838068	6518.5464	-0.0260	15600	0.4000	1,3,2	0.5000	30
4294968951	8743.9297	0.2066	15250	0.4000	1,2,3	0.5000	27
1788	10150.1025	0.2745	15050	0.4000	0,1,3	0.5000	7
8589936285	6874.9131	0.2843	14950	0.4000	1,0,3	0.5000	19
30064772723	5982.0264	-0.1192	14400	0.4000	3,3,2	0.5000	62
1835	4341.8945	0.0705	14600	0.4000	0,3,1	0.5000	13
21474838408	10617.1426	0.3980	12450	0.4000	3,2,1	0.5000	57
4294969487	1534.1003	0.0141	7600	0.4000	2,3,3	0.5000	47
51539609477	8838.4395	0.4967	11300	0.4000	3,1,2	0.5000	54
68719478771	3519.0615	0.4052	10550	0.4000	1,2,3	0.5000	27
73014446167	7600.1338	0.3668	8050	0.4000	3,3,2	0.5000	62
2260	2611.2114	0.2464	7150	0.4000	0,0,3	0.5000	3
4294969708	593.9926	-0.1614	6500	0.4000	1,0,3	0.5000	19
60129544487	1245.0511	0.1869	3700	0.4000	3,3,0	0.5000	60
98784249864	3525.2964	0.1977	4650	0.4000	3,3,2	0.5000	62
103079217614	512.9459	0.4055	1150	0.4000	2,3,2	0.5000	46
4294969870	1669.8618	0.4770	4000	0.4000	2,1,3	0.5000	39
12884904595	1869.3896	0.1903	3050	0.4000	0,3,2	0.5000	14
38654708351	757.1417	0.4677	1900	0.4000	1,3,0	0.5000	28
2929	45.8603	0.0291	250	0.4000	0,2,2	0.5000	10
38654708251	253.4116	0.0512	1100	0.4000	2,3,3	0.5000	47
34359741074	16.6577	0.3816	750	0.4000	3,3,3	0.5000	63
25769806537	17.3103	0.0921	200	0.4000	0,2,1	0.5000	9
2985	94.7103	0.1592	50	0.4000	0,0,0	0.5000	0

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
515	477	505	-0.4429	26000	25880
4294968121	509	4294968219	0.9841	25929	25992
17179869953	4294968219	21474836978	-0.1892	24847	25676
8589935358	8589935232	12884902564	-0.2963	24782	25851
519	483	512	-0.1794	26000	25891
733	483	506	0.0730	25987	25924
8589935186	505	4294967882	-0.2192	25780	25997
12884902372	491	21474836978	0.0160	24847	25946
8589935095	506	512	-0.3136	25955	25782
618	491	512	-0.0422	25994	25986
8589935394	512	4294968219	-0.2463	25910	25992
4294968043	477	483	0.4206	25947	25921
8589935403	480	511	-0.0000	25910	90
694	483	511	-0.3631	25989	25830
8589935350	488	4294968219	0.2088	25925	25888
4294968091	477	511	-0.1227	25947	25963
4294967953	488	12884902793	-0.2212	25559	25816
8589935326	4294968219	12884902564	-0.0613	24713	25911
4294967981	477	512	-0.3613	25941	25954
4294967971	485	12884902793	-0.0543	25560	25805
8589935386	483	485	0.9569	25917	25978
597	477	506	-0.2561	25995	25869
4294968041	505	512	-0.4304	25960	25928
8589935183	506	12884902793	-0.1765	25523	25736
4294968044	491	511	-0.2808	25918	25817
873	509	511	-0.2242	25971	25996
4294967960	8589935299	12884902564	-0.2595	24760	25643
8589935067	8589935232	8589935381	-0.2143	24873	25937
4294968161	485	512	0.0013	25967	25665
787	488	491	-0.0376	25980	25911
4294968092	488	509	0.6472	25961	25971
12884902415	511	4294968219	-0.1277	25893	25732
8589935125	505	511	-0.1402	25920	25700
846	485	506	-0.0700	25972	25889
4294968061	491	4294968219	-0.1363	25905	25989
4294967795	485	509	-0.2867	25939	25987
4294968225	505	12884902793	-0.0667	25573	25898
8589935089	488	506	-0.1536	25918	25919
4294967979	491	505	-0.1563	25924	25594
554	483	505	-0.3474	25998	25738
4294967843	483	491	-0.2222	25965	25995
4294968191	483	4294968219	-0.2348	25900	25954
4294968156	485	4294968219	0.4212	25949	25993
4294968165	477	4294968219	-0.5286	25936	25943
930	485	491	0.0801	25956	25982
4294968162	505	4294968219	0.0454	25912	25986
4294968008	511	512	-0.2076	25900	25717
648	477	491	0.0356	25992	25924
907	491	509	-0.0872	25962	25915
25769804472	491	12884902793	-0.3799	25578	25934
931	477	488	-0.1518	25956	25756
752	483	509	-0.0377	25985	25945
906	477	485	0.0662	25962	25972
4294968020	477	509	-0.2633	25869	25764
674	506	509	0.7694	25991	25954
12884902384	483	12884902793	0.0735	25579	25739
899	506	511	0.1546	25964	25988
12884902735	477	12884902793	-0.0655	25529	25870
4294968002	485	511	-0.1988	25942	25942
12884902681	511	8589935232	-0.1138	25580	25478
17179869928	4294967882	12884902793	0.8363	25582	25990
821	509	512	-0.2595	25977	25753
808	488	505	-0.3629	25978	25899
4294967974	506	4294968219	-0.2773	25887	25921
4294968176	485	488	0.3437	25935	25995
17179869843	8589935232	12884902793	-0.0020	25583	25886
842	505	506	-0.3172	25973	25855
17179870076	511	12884902793	-0.2420	25583	25966
4294967998	483	488	-0.2954	25924	25854
719	488	511	-0.1997	25988	25838
770	505	509	-0.1908	25984	25872
627	491	506	-0.0243	25994	25528
855	485	505	-0.3693	25972	25963
12884902702	488	512	-0.3159	25890	25957
8589935118	483	21474836978	0.0167	24721	25839
8589935420	4294967882	4294968219	-0.1889	25777	25659
4294968075	511	4294967882	-0.4707	25796	25944
4294968019	506	4294967882	-0.3401	25795	25920
4294967865	512	4294967882	-0.3590	25795	25996
4294967948	491	4294967882	-0.2594	25794	25905
17179869871	509	12884902793	-0.0534	25584	25773
4294968159	477	4294967882	-0.2718	25792	25988
8589935217	483	4294967882	0.0265	25790	25913
4294967833	509	4294967882	0.8868	25790	25940
4294968164	485	4294967882	0.1737	25754	25860
12884902824	17179870069	21474836978	-0.2270	24847	25993
8589935184	509	17179870069	0.0173	24885	25942
8589935506	488	4294967882	-0.2108	25741	25554
8589935437	8589935299	21474836978	-0.3509	24819	25951
8589935435	12884902793	17179870069	-0.2488	24887	25999
4294968146	477	8589935232	0.9940	25642	25997
17179870016	477	21474836978	-0.4368	24819	25878
12884902483	4294968219	8589935232	-0.0704	25644	25865
4294967899	485	8589935232	-0.0450	25645	25918
4294968087	506	8589935232	-0.1659	25646	25952
17179870007	21474836978	38654706307	0.7582	24825	25995
12884902808	512	12884902793	-0.2205	25597	25956
4294968192	483	8589935232	-0.0646	25647	25961
8589935073	4294967882	8589935232	-0.1716	25648	25812
4294967925	512	8589935232	-0.3555	25649	25985
4294967791	491	8589935232	-0.2179	25649	25956
12884902747	488	8589935232	-0.4035	25632	25941
21474837200	509	8589935232	0.0091	25631	25842
17179870061	505	8589935232	-0.3277	25630	25957
12884902588	485	17179870069	-0.5327	24908	25997
17179870035	511	38654706307	-0.3486	25333	25985
17179869821	12884902793	38654706307	-0.1106	25337	25832
12884902542	4294968219	12884902793	-0.3710	25481	25968
17179870078	506	38654706307	-0.1119	25339	25830
17179870097	491	38654706307	0.2445	25341	25990
21474837194	477	38654706307	-0.3277	25344	25887
8589935354	485	38654706307	-0.4131	25346	25862
17179869736	509	38654706307	-0.4845	25348	25870
4294967884	506	21474836978	-0.0827	24797	25768
21474837295	505	38654706307	0.1786	25327	25915
21474837217	483	38654706307	-0.2336	25324	25890
