# tick 28000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
4294968219	15124.1504	-0.1402	27950	0.4000	0,2,2	0.5000	10
12884902793	9496.6846	-0.2740	27600	0.4000	2,1,3	0.5000	39
477	22392.5410	0.4054	28001	0.4000	1,2,2	0.5000	26
505	19041.7793	-0.1928	28001	0.4000	1,3,1	0.5000	29
509	23919.2988	0.3803	28001	0.4000	3,1,1	0.5000	53
506	24231.3926	0.4635	28001	0.4000	2,3,0	0.5000	44
511	23624.2930	0.4995	28001	0.4000	3,0,1	0.5000	49
512	24218.8555	-0.1087	28001	0.4000	3,3,1	0.5000	61
483	18206.6934	0.2462	28001	0.4000	3,2,1	0.5000	57
488	20346.8281	0.3795	28001	0.4000	0,0,1	0.5000	1
485	11301.0469	-0.1134	28001	0.4000	1,1,3	0.5000	23
21474836978	15026.5430	0.4228	26850	0.4000	0,2,0	0.5000	8
491	5853.4209	0.2100	28001	0.4000	1,1,3	0.5000	23
4294967882	10424.0400	0.0743	27800	0.4000	3,2,3	0.5000	59
8589935232	13907.9473	-0.0146	27650	0.4000	1,1,2	0.5000	22
38654706307	19161.6680	0.3058	27350	0.4000	3,1,1	0.5000	53
12884902564	16613.9805	-0.0971	26800	0.4000	3,0,0	0.5000	48
8589935381	3610.5942	0.0456	27000	0.4000	1,2,1	0.5000	25
8589935299	21397.1191	0.4547	27100	0.4000	3,1,0	0.5000	52
17179870069	13105.1035	0.2581	26950	0.4000	3,0,1	0.5000	49
30064771996	16963.5566	-0.1423	26400	0.4000	0,0,0	0.5000	0
8589935520	20119.3516	0.3359	26000	0.4000	1,1,3	0.5000	23
17179869818	14581.9971	-0.1446	26200	0.4000	1,0,1	0.5000	17
17179869842	6193.4219	0.3539	26050	0.4000	1,3,2	0.5000	30
8589935160	18481.9355	0.1519	25300	0.4000	0,3,3	0.5000	15
17179869877	12708.8066	0.1014	25750	0.4000	3,3,1	0.5000	61
25769804669	10127.0762	-0.0155	25250	0.4000	1,0,0	0.5000	16
12884902763	14563.0781	-0.0562	24850	0.4000	2,2,3	0.5000	43
21474837223	14884.4785	-0.2971	24500	0.4000	0,3,3	0.5000	15
17179869911	14805.1230	-0.2124	24700	0.4000	0,0,1	0.5000	1
21474837465	16990.3125	-0.2439	23750	0.4000	2,0,1	0.5000	33
30064772199	16158.1436	-0.2045	21800	0.4000	1,3,3	0.5000	31
17179870203	6201.0562	0.4179	23800	0.4000	2,0,2	0.5000	34
17179870256	14879.1211	-0.1799	23200	0.4000	2,2,3	0.5000	43
8589935728	17136.8066	0.4194	22750	0.4000	3,3,1	0.5000	61
42949673971	11125.9512	0.1528	22650	0.4000	0,3,3	0.5000	15
55834575910	8832.8027	0.1372	21600	0.4000	1,3,1	0.5000	29
8589935846	4966.2451	0.3727	21000	0.4000	2,2,2	0.5000	42
17179870591	13328.1650	0.3894	19750	0.4000	2,3,1	0.5000	45
4294968589	8805.9238	0.0533	20750	0.4000	3,3,1	0.5000	61
133143988029	3601.1858	0.3261	9000	0.4000	1,2,0	0.5000	24
4294968807	11265.1035	0.4666	18700	0.4000	2,2,0	0.5000	40
21474837946	3367.6499	0.0700	19100	0.4000	3,2,3	0.5000	59
34359739836	4218.1260	-0.1685	18300	0.4000	3,1,3	0.5000	55
12884903431	11645.7793	-0.1946	18400	0.4000	2,2,0	0.5000	40
21474838068	7529.5464	-0.0260	17600	0.4000	1,3,2	0.5000	30
4294968951	9955.9297	0.2066	17250	0.4000	1,2,3	0.5000	27
1788	10337.1025	0.2745	17050	0.4000	0,1,3	0.5000	7
8589936285	8930.9131	0.2843	16950	0.4000	1,0,3	0.5000	19
30064772723	5726.0264	-0.1192	16400	0.4000	3,3,2	0.5000	62
1835	4922.8945	0.0705	16600	0.4000	0,3,1	0.5000	13
21474838408	11299.1426	0.3980	14450	0.4000	3,2,1	0.5000	57
4294969487	1184.1003	0.0141	9600	0.4000	2,3,3	0.5000	47
51539609477	9893.4395	0.4967	13300	0.4000	3,1,2	0.5000	54
68719478771	2235.0615	0.4052	12550	0.4000	1,2,3	0.5000	27
73014446167	9196.1338	0.3668	10050	0.4000	3,3,2	0.5000	62
2260	4328.2114	0.2464	9150	0.4000	0,0,3	0.5000	3
38654708251	1351.4116	0.0512	3100	0.4000	2,3,3	0.5000	47
60129544487	2462.0513	0.1869	5700	0.4000	3,3,0	0.5000	60
98784249864	3899.2964	0.1977	6650	0.4000	3,3,2	0.5000	62
103079217614	520.9459	0.4055	3150	0.4000	2,3,2	0.5000	46
4294969870	2165.8618	0.4770	6000	0.4000	2,1,3	0.5000	39
12884904595	2772.3896	0.1903	5050	0.4000	0,3,2	0.5000	14
38654708351	1091.1417	0.4677	3900	0.4000	1,3,0	0.5000	28
17179871594	772.7632	0.4811	800	0.4000	3,2,1	0.5000	57
21474838973	97.4375	0.3554	400	0.4000	2,0,3	0.5000	35
94489283326	83.8872	0.0620	100	0.4000	0,0,1	0.5000	1
38654707877	103.9027	0.0085	50	0.4000	1,0,0	0.5000	16

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
515	477	505	0.0059	28000	27828
4294968121	509	4294968219	0.6447	27929	27956
17179869953	4294968219	21474836978	-0.1770	26847	28000
8589935358	8589935232	12884902564	-0.2038	26782	27833
519	483	512	-0.0330	28000	27961
733	483	506	-0.1293	27987	27957
8589935186	505	4294967882	-0.2499	27780	27893
12884902372	491	21474836978	-0.2718	26847	27994
8589935095	506	512	-0.0880	27955	27980
618	491	512	-0.2183	27994	27728
8589935394	512	4294968219	-0.2071	27910	27974
4294968043	477	483	0.9980	27947	27999
8589935403	480	511	-0.0000	27910	90
694	483	511	0.0380	27989	27866
8589935350	488	4294968219	-0.3672	27925	27659
4294968091	477	511	0.2404	27947	27886
4294967953	488	12884902793	-0.2772	27559	27981
8589935326	4294968219	12884902564	-0.3784	26713	27935
4294967981	477	512	-0.3407	27941	27970
4294967971	485	12884902793	-0.2489	27560	27914
8589935386	483	485	0.8272	27917	27990
597	477	506	-0.3606	27995	27909
4294968041	505	512	-0.4466	27960	27921
8589935183	506	12884902793	-0.1727	27523	27906
4294968044	491	511	-0.2989	27918	27902
873	509	511	-0.2052	27971	27873
4294967960	8589935299	12884902564	-0.1991	26760	27981
8589935067	8589935232	8589935381	-0.0159	26873	27897
4294968161	485	512	-0.6627	27967	27961
787	488	491	-0.1175	27980	27843
4294968092	488	509	-0.3406	27961	27971
12884902415	511	4294968219	-0.1642	27893	27743
8589935125	505	511	0.2287	27920	27915
846	485	506	-0.0192	27972	27670
4294968061	491	4294968219	-0.2506	27905	27834
4294967795	485	509	-0.0676	27939	27973
4294968225	505	12884902793	-0.3744	27573	27832
8589935089	488	506	-0.0728	27918	27950
4294967979	491	505	-0.2479	27924	27939
554	483	505	-0.0827	27998	27924
4294967843	483	491	-0.3597	27965	27982
4294968191	483	4294968219	-0.2064	27900	27984
4294968156	485	4294968219	-0.5701	27949	27998
4294968165	477	4294968219	-0.1465	27936	27903
930	485	491	-0.2253	27956	27839
4294968162	505	4294968219	-0.0047	27912	27674
4294968008	511	512	-0.1317	27900	27540
648	477	491	0.8957	27992	27945
907	491	509	-0.2341	27962	27710
25769804472	491	12884902793	-0.0102	27578	27684
931	477	488	-0.2893	27956	27929
752	483	509	-0.2583	27985	27947
906	477	485	-0.1949	27962	27767
4294968020	477	509	-0.0365	27869	27965
674	506	509	-0.1063	27991	27956
12884902384	483	12884902793	-0.0215	27579	27830
899	506	511	-0.1423	27964	27886
12884902735	477	12884902793	-0.0195	27529	27947
4294968002	485	511	-0.4157	27942	27985
12884902681	511	8589935232	-0.2696	27580	27929
17179869928	4294967882	12884902793	-0.2243	27582	27902
821	509	512	-0.3222	27977	27894
808	488	505	-0.3692	27978	27855
4294967974	506	4294968219	-0.3411	27887	27936
4294968176	485	488	-0.3111	27935	27849
17179869843	8589935232	12884902793	-0.2012	27583	27808
842	505	506	0.9455	27973	27972
17179870076	511	12884902793	-0.0940	27583	27872
4294967998	483	488	-0.2268	27924	27852
719	488	511	0.2963	27988	27996
770	505	509	-0.2894	27984	27890
627	491	506	-0.2751	27994	27708
855	485	505	0.3003	27972	28000
12884902702	488	512	0.9980	27890	27999
8589935118	483	21474836978	-0.3057	26721	27898
8589935420	4294967882	4294968219	-0.0564	27777	27901
4294968075	511	4294967882	-0.1809	27796	27599
4294968019	506	4294967882	-0.1008	27795	27898
4294967865	512	4294967882	-0.2431	27795	27827
4294967948	491	4294967882	-0.2259	27794	27721
17179869871	509	12884902793	-0.1127	27584	27703
4294968159	477	4294967882	0.2354	27792	27931
8589935217	483	4294967882	-0.2586	27790	27903
4294967833	509	4294967882	0.0949	27790	27858
4294968164	485	4294967882	-0.2986	27754	27913
12884902824	17179870069	21474836978	-0.0154	26847	27910
8589935184	509	17179870069	-0.0271	26885	27897
8589935506	488	4294967882	-0.3123	27741	27983
8589935437	8589935299	21474836978	-0.4023	26819	27969
8589935435	12884902793	17179870069	-0.2123	26887	27811
4294968146	477	8589935232	-0.1355	27642	27883
17179870016	477	21474836978	-0.2143	26819	27737
12884902483	4294968219	8589935232	0.4129	27644	27996
4294967899	485	8589935232	-0.1429	27645	27990
4294968087	506	8589935232	-0.0332	27646	27801
17179870007	21474836978	38654706307	0.7317	26825	27966
12884902808	512	12884902793	-0.3784	27597	27944
4294968192	483	8589935232	-0.2538	27647	27868
8589935073	4294967882	8589935232	-0.3800	27648	27998
4294967925	512	8589935232	-0.3073	27649	27940
4294967791	491	8589935232	-0.0772	27649	27979
12884902747	488	8589935232	0.0396	27632	27916
21474837200	509	8589935232	0.3567	27631	27960
17179870061	505	8589935232	-0.4363	27630	27998
12884902588	485	17179870069	-0.1971	26908	27913
17179870035	511	38654706307	-0.2630	27333	27908
17179869821	12884902793	38654706307	-0.1566	27337	27760
12884902542	4294968219	12884902793	-0.2631	27481	27635
17179870078	506	38654706307	-0.2870	27339	27920
17179870097	491	38654706307	0.0118	27341	27878
21474837194	477	38654706307	-0.2066	27344	27916
8589935354	485	38654706307	-0.5551	27346	27998
17179869736	509	38654706307	-0.1099	27348	27980
4294967884	506	21474836978	-0.2195	26797	27951
