# tick 2000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
492	3335.8809	0.1962	2001	0.4000	1,1,1	0.5000	21
476	1866.2999	-0.1187	2001	0.4000	3,1,0	0.5000	52
505	1516.2928	0.4825	2001	0.4000	0,2,2	0.5000	10
478	2403.1699	-0.2204	2001	0.4000	2,0,3	0.5000	35
479	4071.7471	-0.1646	2001	0.4000	1,3,3	0.5000	31
480	1458.8174	0.3208	2001	0.4000	3,2,3	0.5000	59
481	3249.0400	0.2647	2001	0.4000	0,3,2	0.5000	14
496	685.1666	-0.1676	2001	0.4000	1,0,2	0.5000	18
21474837057	1805.9070	-0.0943	1400	0.4000	0,1,3	0.5000	7
502	1182.9855	0.2070	2001	0.4000	0,0,2	0.5000	2
503	1156.5559	0.0071	2001	0.4000	2,2,2	0.5000	42
486	4174.1860	0.1128	2001	0.4000	0,3,2	0.5000	14
513	6366.3052	0.2027	2001	0.4000	3,3,1	0.5000	61
511	2184.2903	-0.0719	2001	0.4000	1,1,3	0.5000	23
494	2970.7905	0.0567	2001	0.4000	2,2,1	0.5000	41
509	2361.5071	0.0388	2001	0.4000	1,2,1	0.5000	25
506	2476.0659	-0.2442	2001	0.4000	1,3,2	0.5000	30
12884902460	1597.1149	-0.1697	1650	0.4000	3,3,3	0.5000	63
25769804295	1692.8981	0.2029	1350	0.4000	3,1,2	0.5000	54
4294967829	945.8202	-0.2039	1200	0.4000	1,2,2	0.5000	26
21474837099	1008.1720	0.4770	1100	0.4000	3,0,2	0.5000	50
4294968161	1618.8024	0.1714	1000	0.4000	0,0,1	0.5000	1
12884902776	1388.5535	0.4569	950	0.4000	0,1,1	0.5000	5
4294968020	92.5575	-0.2191	700	0.4000	3,1,0	0.5000	52
21474837190	299.0685	0.3939	550	0.4000	0,2,3	0.5000	11
17179869890	294.7828	0.2207	500	0.4000	0,1,3	0.5000	7
12884902480	21.5915	0.1628	100	0.4000	3,2,0	0.5000	56
30064771932	34.1688	0.2441	50	0.4000	2,3,3	0.5000	47

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967887	494	513	-0.3848	1943	1969
4294968049	480	4294968054	-0.0022	1906	94
517	481	505	-0.6297	2000	1964
8589935087	480	511	-0.6372	1822	1993
8589935251	505	21474837057	-0.3144	1377	1992
8589935366	481	496	0.9821	1909	1991
4294967810	492	506	-0.4706	1922	1793
4294967997	481	486	-0.3786	1911	1876
12884902463	506	21474837057	-0.2522	1379	1905
4294967780	480	496	-0.7071	1942	1984
4294967967	476	494	-0.5922	1970	1855
526	480	505	-0.6287	2000	1984
8589935424	492	509	-0.3903	1957	1909
737	476	492	0.8952	1985	1993
529	502	509	-0.5421	2000	1945
849	479	513	-0.4984	1972	1960
4294968019	476	496	-0.4081	1912	1734
4294967985	492	503	0.9821	1946	1991
4294967781	476	513	0.9861	1864	1993
8589935141	503	511	-0.3847	1940	1905
4294967987	481	511	-0.3733	1877	1970
4294967921	492	505	-0.5270	1891	1999
826	480	506	-0.7430	1974	1967
855	496	513	1.0000	1967	2000
8589935090	478	479	-0.2092	1815	1810
4294967933	505	506	-0.3199	1953	1794
4294968035	506	509	-0.4707	1978	1972
676	480	509	0.9995	1990	2000
817	486	494	0.9681	1975	2000
4294967925	496	505	-0.6695	1892	1986
545	496	503	-0.5751	1999	1996
4294968082	492	496	-0.6105	1938	1967
4294968041	503	506	-0.5432	1978	1979
675	479	486	0.6680	1990	1943
12884902591	481	494	-0.0703	1819	1983
550	478	511	-0.5988	1999	1924
827	481	513	0.7647	1974	1997
4294967803	476	481	-0.3409	1907	1744
714	479	494	0.9841	1987	1992
554	480	503	-0.6413	1998	1982
555	479	481	-0.6203	1998	1938
661	480	513	-0.6003	1991	1768
4294968146	492	513	-0.4241	1944	1979
8589935245	480	502	-0.7054	1929	1980
4294967937	477	509	-0.0021	1934	66
560	481	492	-0.5407	1998	1987
674	476	506	-0.5003	1990	1992
803	494	511	-0.5510	1979	1931
846	478	509	-0.5699	1972	1796
905	486	502	0.9861	1958	1993
565	476	502	-0.5414	1998	1956
794	476	505	0.0334	1979	1984
8589935151	494	509	-0.1908	1913	1825
885	479	480	-0.5367	1961	1991
569	502	506	0.6299	1998	1975
660	476	478	-0.7905	1991	1943
882	496	509	-0.5052	1962	1965
8589935365	478	505	0.8883	1956	1999
8589935422	476	486	-0.5860	1899	1997
4294968083	478	480	-0.6376	1893	1944
806	502	513	-0.3858	1979	1880
4294968133	494	502	-0.4693	1885	1852
658	486	513	0.9920	1992	1996
4294967783	479	502	-0.3093	1968	1890
4294968132	478	494	-0.4105	1971	1815
690	481	502	-0.3624	1989	1770
845	503	505	-0.4735	1972	1826
4294967787	494	505	0.9900	1919	1995
583	505	513	-0.4392	1997	1936
4294968127	494	503	-0.4947	1941	1807
585	476	509	-0.2413	1996	1923
12884902418	478	492	-0.3346	1900	1986
4294967977	478	502	-0.3588	1953	1927
872	505	509	-0.7294	1964	1989
4294967917	481	509	-0.0800	1945	1966
590	486	511	-0.3922	1996	1695
4294968094	479	496	-0.4736	1967	1876
857	478	506	-0.4215	1966	1938
4294968117	496	506	-0.5731	1939	1958
801	480	492	-0.6244	1979	1990
4294968018	503	513	-0.7307	1894	1970
777	486	509	-0.3769	1982	1943
729	480	481	0.9881	1986	1994
8589935093	486	496	-0.3130	1903	1953
862	478	503	-0.3333	1965	1984
8589935350	502	503	-0.2161	1904	1878
657	509	511	-0.5413	1992	1996
815	479	506	-0.3531	1975	1861
12884902660	479	492	0.9900	1952	1995
8589935320	486	492	-0.3132	1971	1734
856	476	511	-0.4637	1966	1991
606	476	503	-0.6207	1995	1888
744	506	511	0.9960	1985	1998
608	511	513	0.5708	1995	1995
609	476	479	-0.1358	1994	1865
610	481	503	-0.1667	1994	1946
767	502	511	-0.6214	1983	1994
4294968037	479	503	0.0441	1937	1997
685	486	506	0.1875	1990	1888
781	492	494	0.0044	1981	1987
4294968029	479	505	-0.5258	1968	1870
8589935380	506	513	0.9646	1949	1982
884	478	481	-0.4170	1961	1811
667	496	502	-0.5841	1991	1976
838	479	511	-0.1088	1972	1997
620	502	505	-0.4485	1994	1894
778	478	513	0.4194	1982	1998
702	478	486	1.0000	1988	2000
4294968004	478	496	-0.6383	1935	1984
679	480	486	-0.5560	1990	1965
4294968055	492	511	0.6652	1971	1977
4294968155	481	506	0.9920	1957	1996
652	486	503	0.1252	1992	1992
4294968027	494	496	-0.4758	1935	1785
769	476	480	-0.4694	1982	1877
770	486	505	-0.6609	1982	1958
883	503	509	0.9743	1962	1987
829	492	502	-0.4758	1974	1982
633	496	511	-0.2945	1993	1930
700	509	513	-0.3048	1989	1642
871	505	511	-0.4012	1964	1944
867	480	494	-0.6049	1964	1972
825	479	509	-0.7071	1974	1961
4294968052	494	506	-0.5202	1916	1836
17179869722	509	21474837099	0.2743	1086	1940
8589935188	478	4294967829	-0.3085	1121	1775
21474837355	481	21474837099	-0.5294	1086	1981
21474837265	513	21474837099	0.9685	1087	1984
4294968174	492	21474837057	-0.4385	1320	1878
12884902667	513	25769804295	0.3925	1220	1954
25769804667	478	21474837057	0.9802	1309	1990
12884902554	494	25769804295	-0.3004	1317	1981
30064771653	486	21474837057	-0.4298	1360	1938
17179869926	513	12884902460	0.8710	1649	1987
12884902388	486	12884902460	-0.0318	1649	1990
21474837374	479	21474837057	1.0000	1372	2000
17179869876	492	12884902460	-0.0089	1648	1950
12884902654	480	12884902460	-0.4449	1646	1844
12884902377	496	12884902460	-0.3731	1645	1999
12884902511	503	12884902460	-0.6068	1644	1883
25769804456	478	12884902460	-0.4773	1644	1996
12884902506	511	12884902460	-0.3628	1643	1707
12884902685	494	12884902460	0.7682	1642	1998
8589935309	502	21474837057	-0.5422	1390	1918
8589935468	479	12884902460	0.9960	1638	1998
4294968116	480	21474837057	-0.4663	1390	1982
21474837231	502	12884902460	-0.4271	1636	1937
25769804469	505	12884902460	-0.5586	1632	1986
8589935231	476	21474837057	-0.4361	1392	1882
17179869666	481	12884902460	-0.5159	1627	1938
30064771837	476	12884902460	-0.3745	1610	1858
12884902643	509	12884902460	-0.4268	1606	1912
12884902543	506	12884902460	-0.2263	1604	1936
17179869919	503	21474837057	-0.4759	1399	1927
21474837177	509	21474837057	0.3006	1398	1990
17179869737	503	25769804295	0.9881	1323	1994
8589935208	492	25769804295	-0.4966	1327	1973
21474837081	496	21474837057	-0.6612	1398	1961
4294968092	511	25769804295	-0.4684	1327	1910
4294967895	12884902460	21474837057	-0.2085	1328	1807
12884902746	480	25769804295	-0.5749	1333	1996
8589935196	478	25769804295	-0.2491	1334	1993
12884902599	476	25769804295	-0.4078	1334	1916
25769804454	12884902460	25769804295	0.8599	1339	1997
12884902635	21474837057	25769804295	0.9844	1339	2000
17179870080	502	25769804295	-0.5629	1341	1992
17179869796	486	25769804295	-0.3244	1342	1992
21474837149	479	25769804295	-0.3187	1349	1971
25769804284	509	25769804295	-0.2839	1344	1841
17179869812	506	25769804295	-0.5110	1345	1915
17179869900	505	25769804295	-0.5496	1345	1950
4294967872	513	21474837057	0.8678	1395	1966
21474837334	481	25769804295	-0.4072	1348	1876
4294968148	494	21474837057	-0.4663	1382	1957
17179870090	503	21474837099	-0.3754	1091	2000
8589935069	494	4294967829	-0.4918	1128	1901
8589935148	486	4294967829	-0.2658	1128	1937
12884902475	479	4294967829	0.9980	1177	1999
38654706511	496	25769804295	-0.6542	1289	1920
17179869870	511	4294967829	-0.4011	1167	1787
17179869721	502	21474837099	-0.3747	1093	1991
8589935443	481	21474837057	-0.1445	1282	1927
17179869914	479	21474837099	-0.4648	1094	1886
12884902519	502	4294967829	-0.2955	1159	1981
34359738911	21474837099	25769804295	-0.4040	1097	1930
30064771877	478	21474837099	0.7847	1098	2000
21474837167	4294967829	25769804295	-0.4250	1156	1774
8589935462	511	21474837057	-0.4290	1265	1973
17179870079	506	4294967829	-0.2129	1197	1900
12884902582	496	4294967829	-0.6104	1195	1945
17179869762	513	4294967829	-0.2173	1192	1819
17179870083	481	4294967829	-0.4074	1191	1852
12884902698	503	4294967829	0.7459	1191	1994
12884902796	480	4294967829	-0.7475	1190	1992
17179869763	492	4294967829	-0.4234	1189	1925
17179870061	505	4294967829	-0.4081	1186	2000
17179869904	476	4294967829	-0.3776	1186	1973
17179869960	509	4294967829	-0.1233	1185	1979
17179869786	4294967829	21474837057	-0.4519	1182	1975
25769804422	511	21474837099	-0.4343	1080	1965
21474837229	496	21474837099	-0.4276	1079	1957
17179870037	494	21474837099	-0.1265	1078	1937
21474837093	480	21474837099	-0.2653	1064	1942
21474837144	4294967829	21474837099	-0.4301	1063	1743
17179869916	4294967829	12884902460	-0.6760	1062	1940
21474837370	476	21474837099	-0.4949	1061	1969
12884902710	506	21474837099	-0.5172	1057	1881
8589935375	12884902460	21474837099	-0.3481	1053	1973
8589935338	21474837057	21474837099	-0.1795	1050	1721
4294967995	4294968161	25769804295	-0.3401	959	1972
4294968003	509	4294968161	0.9940	965	1997
4294968189	486	4294968161	-0.4878	968	1990
17179869995	486	21474837099	0.9481	1045	1997
12884902614	492	21474837099	-0.2434	1044	1989
4294968021	502	4294968161	0.9920	970	1996
4294968064	479	4294968161	-0.5823	973	1963
4294967966	505	21474837099	-0.5182	1016	1861
4294967891	494	4294968161	-0.5794	997	1976
8589935326	496	4294968161	-0.4420	979	1906
4294967771	513	4294968161	-0.4706	983	1955
8589935372	476	4294968161	-0.5838	985	1806
4294967824	511	4294968161	-0.5201	991	1949
4294967903	480	4294968161	-0.5772	998	1997
4294967866	4294968161	12884902460	0.3970	992	1877
8589935113	506	4294968161	-0.5497	994	1981
4294967876	503	4294968161	-0.4536	994	1828
4294967890	481	4294968161	-0.1459	995	1931
17179869672	478	4294968161	-0.3723	953	1893
21474837168	505	4294968161	-0.5450	951	1984
12884902398	4294967829	4294968161	-0.3556	950	1945
8589935383	509	12884902776	-0.5867	949	1945
8589935255	492	4294968161	-0.2210	948	1964
12884902648	12884902776	21474837099	-0.3288	947	1808
8589935460	494	12884902776	-0.3579	946	1884
8589935415	4294967829	12884902776	-0.2862	945	1940
17179869974	479	12884902776	-0.5879	944	1971
17179869997	478	12884902776	0.9474	943	1973
21474836992	12884902776	21474837057	-0.2778	942	1894
17179869819	480	12884902776	0.9782	940	1989
25769804391	4294968161	21474837099	1.0000	939	2000
21474837279	486	12884902776	-0.2961	936	1965
25769804402	511	12884902776	-0.1369	936	1879
12884902626	4294968161	12884902776	0.0039	931	1893
17179869835	492	12884902776	-0.4097	929	1982
17179869920	513	12884902776	-0.1919	928	1992
17179870024	496	12884902776	1.0000	927	2000
12884902459	503	12884902776	0.5529	925	1991
17179869834	4294968161	21474837057	0.9960	923	1998
4294968169	476	12884902776	-0.3801	916	1994
4294968175	502	12884902776	-0.1574	914	1999
8589935114	12884902460	12884902776	0.3078	909	1980
4294968089	481	12884902776	-0.4599	904	1999
8589935190	506	12884902776	-0.5649	852	1932
4294967832	505	12884902776	0.7394	868	1986
8589935394	4294968020	12884902776	-0.1916	650	1964
8589935143	502	4294968020	-0.3314	655	1931
4294968198	478	4294968020	-0.4607	656	1904
8589935265	4294968020	21474837057	-0.0616	659	1939
4294968159	503	4294968020	-0.6932	696	1959
4294967980	505	4294968020	-0.6743	697	1953
4294967934	481	4294968020	-0.4442	693	1884
4294967938	4294967829	4294968020	0.0897	665	1922
8589935246	12884902776	25769804295	0.9980	782	1999
8589935410	511	4294968020	-0.0548	667	1981
8589935411	476	4294968020	-0.4790	672	1944
4294968008	506	4294968020	-0.4942	673	1782
8589935354	4294968020	4294968161	0.9980	691	1999
4294968129	492	4294968020	0.9940	675	1997
12884902670	480	4294968020	-0.3103	679	1980
4294968170	494	4294968020	-0.4644	698	1955
8589935381	4294968020	25769804295	0.2164	684	1950
8589935091	4294968020	21474837099	0.6257	688	2000
4294968103	496	4294968020	0.3525	682	1978
4294967863	486	4294968020	-0.2704	683	1914
8589935427	513	4294968020	-0.4952	699	1883
8589935363	509	4294968020	-0.5123	686	1998
12884902493	12884902598	21474837099	-0.0295	609	1391
8589935473	479	4294968020	-0.5232	645	1976
