# tick 4000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
492	7184.8809	0.1962	4001	0.4000	1,1,1	0.5000	21
476	2393.2998	-0.1187	4001	0.4000	3,1,0	0.5000	52
505	1734.2928	0.4825	4001	0.4000	0,2,2	0.5000	10
478	5018.1699	-0.2204	4001	0.4000	2,0,3	0.5000	35
479	8197.7471	-0.1646	4001	0.4000	1,3,3	0.5000	31
480	3391.8174	0.3208	4001	0.4000	3,2,3	0.5000	59
481	5832.0400	0.2647	4001	0.4000	0,3,2	0.5000	14
496	1835.1665	-0.1676	4001	0.4000	1,0,2	0.5000	18
21474837057	3700.9070	-0.0943	3400	0.4000	0,1,3	0.5000	7
502	1185.9855	0.2070	4001	0.4000	0,0,2	0.5000	2
503	5590.5557	0.0071	4001	0.4000	2,2,2	0.5000	42
486	7729.1860	0.1128	4001	0.4000	0,3,2	0.5000	14
513	12029.3047	0.2027	4001	0.4000	3,3,1	0.5000	61
511	4440.2900	-0.0719	4001	0.4000	1,1,3	0.5000	23
494	4160.7905	0.0567	4001	0.4000	2,2,1	0.5000	41
509	3823.5071	0.0388	4001	0.4000	1,2,1	0.5000	25
506	4880.0659	-0.2442	4001	0.4000	1,3,2	0.5000	30
12884902460	5647.1147	-0.1697	3650	0.4000	3,3,3	0.5000	63
25769804295	4569.8979	0.2029	3350	0.4000	3,1,2	0.5000	54
4294967829	3564.8203	-0.2039	3200	0.4000	1,2,2	0.5000	26
21474837099	2571.1719	0.4770	3100	0.4000	3,0,2	0.5000	50
4294968161	5012.8022	0.1714	3000	0.4000	0,0,1	0.5000	1
12884902776	4340.5537	0.4569	2950	0.4000	0,1,1	0.5000	5
4294968020	588.5575	-0.2191	2700	0.4000	3,1,0	0.5000	52
21474837190	1318.0685	0.3939	2550	0.4000	0,2,3	0.5000	11
17179869890	3360.7827	0.2207	2500	0.4000	0,1,3	0.5000	7
30064771776	1886.8855	-0.2866	1850	0.4000	2,3,2	0.5000	46
4294968286	1441.0732	-0.1645	1300	0.4000	0,2,1	0.5000	9
8589935149	1977.9399	0.2902	1900	0.4000	2,0,1	0.5000	33
25769804369	2171.8687	-0.1367	1350	0.4000	2,2,1	0.5000	41
4294968345	853.5030	-0.0426	900	0.4000	1,3,0	0.5000	28
12884902954	157.9139	0.1827	150	0.4000	2,0,2	0.5000	34
68719477283	110.3700	0.2612	100	0.4000	0,1,0	0.5000	4
30064772120	75.5359	-0.2719	50	0.4000	1,1,3	0.5000	23

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967887	494	513	-0.3971	3943	3926
4294968049	480	4294968054	-0.0000	3906	94
517	481	505	-0.1451	4000	3829
8589935087	480	511	-0.2998	3822	3810
8589935251	505	21474837057	-0.1370	3377	3927
8589935366	481	496	0.9960	3909	3998
4294967810	492	506	-0.4614	3922	3954
4294967997	481	486	-0.4100	3911	3899
12884902463	506	21474837057	-0.6347	3379	3893
4294967780	480	496	-0.6159	3942	3971
4294967967	476	494	-0.4028	3970	3913
526	480	505	-0.6633	4000	3980
8589935424	492	509	-0.3813	3957	3997
737	476	492	0.9980	3985	3999
529	502	509	-0.4777	4000	3987
849	479	513	-0.2992	3972	3995
4294968019	476	496	-0.2361	3912	3869
4294967985	492	503	0.9980	3946	3999
4294967781	476	513	0.9807	3864	3997
8589935141	503	511	-0.1802	3940	3544
4294967987	481	511	0.1408	3877	3993
4294967921	492	505	-0.4396	3891	3921
826	480	506	-0.3370	3974	3951
855	496	513	0.9881	3967	3994
8589935090	478	479	-0.3729	3815	3892
4294967933	505	506	-0.4519	3953	3870
4294968035	506	509	-0.2847	3978	3996
676	480	509	0.9920	3990	3996
817	486	494	0.9724	3975	3986
4294967925	496	505	-0.7310	3892	3976
545	496	503	-0.3797	3999	3729
4294968082	492	496	-0.4436	3938	3910
4294968041	503	506	-0.5142	3978	3976
675	479	486	0.9940	3990	3997
12884902591	481	494	-0.5741	3819	3991
550	478	511	-0.5180	3999	3919
827	481	513	0.8219	3974	3958
4294967803	476	481	-0.5207	3907	3961
714	479	494	-0.2626	3987	3984
554	480	503	-0.3434	3998	3931
555	479	481	-0.6428	3998	3994
661	480	513	-0.5982	3991	3943
4294968146	492	513	-0.4478	3944	3854
8589935245	480	502	-0.2841	3929	3937
4294967937	477	509	-0.0000	3934	66
560	481	492	-0.3581	3998	3986
674	476	506	-0.3453	3990	3934
803	494	511	-0.5267	3979	3778
846	478	509	-0.4237	3972	3850
905	486	502	1.0000	3958	4000
565	476	502	-0.6562	3998	3989
794	476	505	-0.4713	3979	3764
8589935151	494	509	-0.4179	3913	3944
885	479	480	-0.7970	3961	3975
569	502	506	-0.7386	3998	3971
660	476	478	-0.3967	3991	3892
882	496	509	0.0129	3962	3873
8589935365	478	505	0.6559	3956	3987
8589935422	476	486	-0.4491	3899	3912
4294968083	478	480	-0.5969	3893	3941
806	502	513	-0.3607	3979	3913
4294968133	494	502	-0.5499	3885	3994
658	486	513	0.1632	3992	3910
4294967783	479	502	-0.3066	3968	3966
4294968132	478	494	-0.2324	3971	3967
690	481	502	-0.5553	3989	3929
845	503	505	-0.2453	3972	3877
4294967787	494	505	0.9763	3919	3988
583	505	513	-0.2529	3997	3682
4294968127	494	503	-0.4167	3941	3993
585	476	509	-0.5477	3996	3960
12884902418	478	492	-0.4623	3900	3857
4294967977	478	502	-0.5393	3953	3925
872	505	509	-0.5174	3964	3968
4294967917	481	509	-0.4647	3945	3921
590	486	511	-0.4696	3996	3976
4294968094	479	496	-0.1829	3967	3878
857	478	506	-0.3423	3966	3954
4294968117	496	506	-0.4942	3939	3934
801	480	492	-0.1069	3979	3765
4294968018	503	513	-0.3502	3894	3902
777	486	509	-0.3405	3982	3873
729	480	481	-0.0813	3986	3948
8589935093	486	496	-0.5774	3903	3998
862	478	503	-0.3838	3965	3924
8589935350	502	503	-0.4212	3904	3965
657	509	511	-0.4215	3992	3931
815	479	506	-0.1929	3975	3986
12884902660	479	492	0.8523	3952	3975
8589935320	486	492	-0.2596	3971	3633
856	476	511	-0.2970	3966	3886
606	476	503	-0.2839	3995	3977
744	506	511	0.9900	3985	3995
608	511	513	0.9980	3995	3999
609	476	479	-0.1629	3994	3648
610	481	503	-0.5536	3994	3980
767	502	511	-0.3635	3983	3910
4294968037	479	503	-0.0663	3937	3988
685	486	506	0.9743	3990	3987
781	492	494	-0.2990	3981	3955
4294968029	479	505	0.0279	3968	3910
8589935380	506	513	0.8964	3949	3998
884	478	481	-0.2447	3961	3939
667	496	502	-0.2557	3991	3545
838	479	511	-0.4599	3972	3967
620	502	505	-0.3256	3994	3895
778	478	513	-0.6367	3982	3941
702	478	486	0.9821	3988	3991
4294968004	478	496	-0.5552	3935	3907
679	480	486	-0.2472	3990	3749
