# tick 6000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
492	9961.8809	0.1962	6001	0.4000	1,1,1	0.5000	21
476	2861.2998	-0.1187	6001	0.4000	3,1,0	0.5000	52
505	2647.2930	0.4825	6001	0.4000	0,2,2	0.5000	10
478	6170.1699	-0.2204	6001	0.4000	2,0,3	0.5000	35
479	9721.7471	-0.1646	6001	0.4000	1,3,3	0.5000	31
480	4519.8174	0.3208	6001	0.4000	3,2,3	0.5000	59
481	7390.0400	0.2647	6001	0.4000	0,3,2	0.5000	14
496	2955.1665	-0.1676	6001	0.4000	1,0,2	0.5000	18
21474837057	5299.9072	-0.0943	5400	0.4000	0,1,3	0.5000	7
502	846.9855	0.2070	6001	0.4000	0,0,2	0.5000	2
503	8677.5557	0.0071	6001	0.4000	2,2,2	0.5000	42
486	11855.1855	0.1128	6001	0.4000	0,3,2	0.5000	14
513	15550.3047	0.2027	6001	0.4000	3,3,1	0.5000	61
511	6807.2900	-0.0719	6001	0.4000	1,1,3	0.5000	23
494	4819.7905	0.0567	6001	0.4000	2,2,1	0.5000	41
509	6663.5068	0.0388	6001	0.4000	1,2,1	0.5000	25
506	6196.0659	-0.2442	6001	0.4000	1,3,2	0.5000	30
12884902460	10619.1152	-0.1697	5650	0.4000	3,3,3	0.5000	63
25769804295	7751.8979	0.2029	5350	0.4000	3,1,2	0.5000	54
4294967829	4410.8203	-0.2039	5200	0.4000	1,2,2	0.5000	26
21474837099	2644.1719	0.4770	5100	0.4000	3,0,2	0.5000	50
4294968161	8223.8027	0.1714	5000	0.4000	0,0,1	0.5000	1
12884902776	6459.5537	0.4569	4950	0.4000	0,1,1	0.5000	5
21474837667	122.1457	0.4719	250	0.4000	2,1,2	0.5000	38
21474837190	1726.0685	0.3939	4550	0.4000	0,2,3	0.5000	11
17179869890	7175.7827	0.2207	4500	0.4000	0,1,3	0.5000	7
30064771776	3033.8855	-0.2866	3850	0.4000	2,3,2	0.5000	46
4294968286	4479.0732	-0.1645	3300	0.4000	0,2,1	0.5000	9
8589935149	3318.9399	0.2902	3900	0.4000	2,0,1	0.5000	33
25769804369	4310.8687	-0.1367	3350	0.4000	2,2,1	0.5000	41
4294968345	3599.5029	-0.0426	2900	0.4000	1,3,0	0.5000	28
12884902954	1738.9139	0.1827	2150	0.4000	2,0,2	0.5000	34
68719477283	1824.3701	0.2612	2100	0.4000	0,1,0	0.5000	4
17179870208	883.0706	0.4561	1900	0.4000	0,0,3	0.5000	3
12884902897	1366.5498	0.0084	1650	0.4000	2,1,0	0.5000	36
8589935818	876.4906	0.4511	1400	0.4000	3,1,3	0.5000	55
25769804840	2297.3591	-0.1586	1350	0.4000	2,3,3	0.5000	47
8589935863	102.2138	0.3975	450	0.4000	0,3,2	0.5000	14
12884902769	127.3635	0.4871	350	0.4000	1,1,1	0.5000	21
8589935159	34.0671	-0.0950	300	0.4000	0,3,0	0.5000	12
25769804926	97.3967	0.4042	200	0.4000	0,2,3	0.5000	11
1331	5.0707	0.0058	150	0.4000	3,3,0	0.5000	60
1365	78.4065	0.1010	100	0.4000	0,1,0	0.5000	4
1405	74.6336	0.1386	50	0.4000	0,2,2	0.5000	10

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967887	494	513	-0.2719	5943	5962
4294968049	480	4294968054	-0.0000	5906	94
517	481	505	-0.4807	6000	5953
8589935087	480	511	-0.2013	5822	5681
8589935251	505	21474837057	-0.3002	5377	5971
8589935366	481	496	0.0369	5909	5956
4294967810	492	506	-0.4279	5922	5896
4294967997	481	486	0.1488	5911	5977
12884902463	506	21474837057	-0.2617	5379	5973
4294967780	480	496	-0.2688	5942	5964
4294967967	476	494	-0.0963	5970	5998
526	480	505	-0.4109	6000	5963
8589935424	492	509	-0.4905	5957	5892
737	476	492	0.9861	5985	5999
529	502	509	-0.2501	6000	5819
849	479	513	-0.3249	5972	5820
4294968019	476	496	-0.4928	5912	5904
4294967985	492	503	0.4738	5946	5990
4294967781	476	513	-0.0916	5864	5975
8589935141	503	511	-0.3766	5940	5995
4294967987	481	511	-0.3601	5877	5959
4294967921	492	505	-0.1699	5891	5956
826	480	506	-0.3892	5974	5927
855	496	513	0.9323	5967	5965
8589935090	478	479	-0.0412	5815	5881
4294967933	505	506	-0.3226	5953	5789
4294968035	506	509	0.4905	5978	5998
676	480	509	0.8794	5990	5994
817	486	494	0.1064	5975	5959
4294967925	496	505	-0.3282	5892	5829
545	496	503	-0.4728	5999	5953
4294968082	492	496	-0.4090	5938	5969
4294968041	503	506	-0.3110	5978	5928
675	479	486	0.9980	5990	5999
12884902591	481	494	-0.3296	5819	5936
550	478	511	-0.4049	5999	5917
827	481	513	0.9782	5974	5989
4294967803	476	481	-0.1043	5907	5983
714	479	494	-0.3865	5987	5922
554	480	503	-0.3206	5998	5920
555	479	481	-0.5416	5998	5966
661	480	513	-0.5026	5991	5917
4294968146	492	513	-0.3634	5944	5784
8589935245	480	502	-0.4986	5929	5900
4294967937	477	509	-0.0000	5934	66
560	481	492	-0.5028	5998	5882
674	476	506	-0.1933	5990	5813
803	494	511	-0.3203	5979	5808
846	478	509	-0.1815	5972	5661
905	486	502	0.2527	5958	5984
565	476	502	-0.1083	5998	5850
794	476	505	-0.3186	5979	5952
8589935151	494	509	-0.3529	5913	5994
885	479	480	-0.2405	5961	5692
569	502	506	-0.3086	5998	5947
660	476	478	-0.4234	5991	5895
882	496	509	0.9724	5962	5986
8589935365	478	505	-0.6086	5956	5873
8589935422	476	486	-0.1948	5899	5859
4294968083	478	480	-0.3692	5893	5952
806	502	513	-0.6545	5979	5926
4294968133	494	502	-0.2999	5885	5933
658	486	513	0.9900	5992	5995
4294967783	479	502	-0.2970	5968	5769
4294968132	478	494	-0.6077	5971	5991
690	481	502	-0.5235	5989	5933
845	503	505	-0.2621	5972	5791
4294967787	494	505	0.7921	5919	5998
583	505	513	-0.4760	5997	5993
4294968127	494	503	-0.4130	5941	5845
585	476	509	-0.0499	5996	5905
12884902418	478	492	-0.4349	5900	5990
4294967977	478	502	-0.1851	5953	5973
872	505	509	0.1901	5964	5964
4294967917	481	509	-0.4762	5945	5946
590	486	511	-0.1138	5996	5985
4294968094	479	496	-0.2858	5967	5889
857	478	506	-0.4438	5966	5923
4294968117	496	506	-0.2977	5939	5913
801	480	492	-0.2615	5979	5921
4294968018	503	513	-0.2879	5894	5889
777	486	509	-0.3089	5982	5729
729	480	481	-0.4079	5986	5991
8589935093	486	496	-0.6180	5903	5954
862	478	503	-0.3718	5965	5968
8589935350	502	503	-0.3921	5904	5971
657	509	511	-0.1184	5992	5848
815	479	506	-0.4452	5975	5854
12884902660	479	492	0.9627	5952	5981
8589935320	486	492	-0.2158	5971	5821
856	476	511	-0.2072	5966	5745
606	476	503	-0.4088	5995	5934
744	506	511	0.8370	5985	5976
608	511	513	0.9724	5995	5986
609	476	479	-0.5135	5994	5965
610	481	503	-0.3100	5994	5718
767	502	511	-0.3710	5983	5839
4294968037	479	503	-0.3936	5937	5986
685	486	506	-0.1872	5990	5920
781	492	494	-0.2334	5981	5945
4294968029	479	505	-0.3563	5968	5919
8589935380	506	513	-0.5661	5949	5894
884	478	481	-0.1452	5961	5542
667	496	502	-0.3262	5991	5890
838	479	511	-0.1385	5972	5934
620	502	505	-0.4440	5994	5929
778	478	513	0.1168	5982	5981
702	478	486	0.9039	5988	5994
4294968004	478	496	-0.3584	5935	5838
679	480	486	-0.3351	5990	5630
4294968055	492	511	0.9305	5971	5964
4294968155	481	506	-0.5522	5957	5970
652	486	503	-0.2378	5992	5819
4294968027	494	496	-0.3296	5935	5781
769	476	480	-0.4588	5982	5782
770	486	505	-0.3993	5982	5817
883	503	509	0.9980	5962	5999
