# tick 8000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
492	11891.8809	0.1962	8001	0.4000	1,1,1	0.5000	21
476	3852.2998	-0.1187	8001	0.4000	3,1,0	0.5000	52
505	3421.2930	0.4825	8001	0.4000	0,2,2	0.5000	10
478	7002.1699	-0.2204	8001	0.4000	2,0,3	0.5000	35
479	12103.7471	-0.1646	8001	0.4000	1,3,3	0.5000	31
480	7726.8174	0.3208	8001	0.4000	3,2,3	0.5000	59
481	8188.0400	0.2647	8001	0.4000	0,3,2	0.5000	14
496	5210.1665	-0.1676	8001	0.4000	1,0,2	0.5000	18
21474837057	6974.9072	-0.0943	7400	0.4000	0,1,3	0.5000	7
502	2508.9854	0.2070	8001	0.4000	0,0,2	0.5000	2
503	9507.5557	0.0071	8001	0.4000	2,2,2	0.5000	42
486	14318.1855	0.1128	8001	0.4000	0,3,2	0.5000	14
513	18559.3047	0.2027	8001	0.4000	3,3,1	0.5000	61
511	8922.2900	-0.0719	8001	0.4000	1,1,3	0.5000	23
494	5571.7905	0.0567	8001	0.4000	2,2,1	0.5000	41
509	8687.5068	0.0388	8001	0.4000	1,2,1	0.5000	25
506	7825.0659	-0.2442	8001	0.4000	1,3,2	0.5000	30
12884902460	14777.1152	-0.1697	7650	0.4000	3,3,3	0.5000	63
25769804295	9286.8984	0.2029	7350	0.4000	3,1,2	0.5000	54
4294967829	4731.8203	-0.2039	7200	0.4000	1,2,2	0.5000	26
21474837099	5148.1719	0.4770	7100	0.4000	3,0,2	0.5000	50
4294968161	10961.8027	0.1714	7000	0.4000	0,0,1	0.5000	1
12884902776	7238.5537	0.4569	6950	0.4000	0,1,1	0.5000	5
21474837667	2524.1455	0.4719	2250	0.4000	2,1,2	0.5000	38
21474837190	2460.0684	0.3939	6550	0.4000	0,2,3	0.5000	11
17179869890	9692.7832	0.2207	6500	0.4000	0,1,3	0.5000	7
30064771776	4685.8857	-0.2866	5850	0.4000	2,3,2	0.5000	46
4294968286	6772.0732	-0.1645	5300	0.4000	0,2,1	0.5000	9
8589935149	5320.9399	0.2902	5900	0.4000	2,0,1	0.5000	33
25769804369	6698.8687	-0.1367	5350	0.4000	2,2,1	0.5000	41
4294968345	5297.5029	-0.0426	4900	0.4000	1,3,0	0.5000	28
12884902954	3757.9141	0.1827	4150	0.4000	2,0,2	0.5000	34
68719477283	3571.3701	0.2612	4100	0.4000	0,1,0	0.5000	4
17179870208	1405.0706	0.4561	3900	0.4000	0,0,3	0.5000	3
12884902897	2912.5498	0.0084	3650	0.4000	2,1,0	0.5000	36
8589935818	3675.4907	0.4511	3400	0.4000	3,1,3	0.5000	55
25769804840	4430.3594	-0.1586	3350	0.4000	2,3,3	0.5000	47
8589935863	1515.2139	0.3975	2450	0.4000	0,3,2	0.5000	14
12884902769	825.3635	0.4871	2350	0.4000	1,1,1	0.5000	21
25769805164	628.6293	0.3680	1550	0.4000	0,2,0	0.5000	8
25769804926	2159.3967	0.4042	2200	0.4000	0,2,3	0.5000	11
17179870574	131.8075	-0.0710	1650	0.4000	2,3,1	0.5000	45
12884903416	1025.4973	0.1010	950	0.4000	2,1,0	0.5000	36
17179870706	481.9157	0.4215	750	0.4000	3,1,0	0.5000	52
30064772526	503.9382	0.4836	700	0.4000	2,2,2	0.5000	42
17179870528	158.5800	0.3138	500	0.4000	0,3,0	0.5000	12
77309412385	74.4619	-0.1134	550	0.4000	3,1,2	0.5000	54
1768	35.8706	0.2954	150	0.4000	0,3,1	0.5000	13
8589936278	135.3430	0.4922	100	0.4000	1,2,1	0.5000	25
8589936240	93.9700	-0.2956	50	0.4000	0,3,1	0.5000	13

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967887	494	513	-0.2120	7943	7884
4294968049	480	4294968054	-0.0000	7906	94
517	481	505	-0.2240	8000	7897
8589935087	480	511	-0.6736	7822	7965
8589935251	505	21474837057	-0.1847	7377	7855
8589935366	481	496	0.9474	7909	7973
4294967810	492	506	-0.3782	7922	7852
4294967997	481	486	-0.1441	7911	7472
12884902463	506	21474837057	-0.0968	7379	7856
4294967780	480	496	-0.4825	7942	7953
4294967967	476	494	-0.4113	7970	7734
526	480	505	-0.2395	8000	7773
8589935424	492	509	0.1218	7957	7956
737	476	492	0.9821	7985	7991
529	502	509	-0.1992	8000	7958
849	479	513	-0.4834	7972	7970
4294968019	476	496	-0.4881	7912	7992
4294967985	492	503	-0.4427	7946	7968
4294967781	476	513	-0.0757	7864	7994
8589935141	503	511	-0.4731	7940	7966
4294967987	481	511	-0.1876	7877	7866
4294967921	492	505	-0.1810	7891	7531
826	480	506	-0.3275	7974	7843
855	496	513	0.3309	7967	7916
8589935090	478	479	-0.0242	7815	7943
4294967933	505	506	-0.2348	7953	7916
4294968035	506	509	-0.2212	7978	7856
676	480	509	-0.1516	7990	7876
817	486	494	-0.2454	7975	7513
4294967925	496	505	-0.3543	7892	7929
545	496	503	-0.0853	7999	7839
4294968082	492	496	-0.2666	7938	7944
4294968041	503	506	-0.6596	7978	7990
675	479	486	0.7595	7990	7955
12884902591	481	494	0.9305	7819	7964
550	478	511	-0.3239	7999	7957
827	481	513	0.5349	7974	7931
4294967803	476	481	-0.2061	7907	7749
714	479	494	-0.3808	7987	7988
554	480	503	-0.2270	7998	7683
555	479	481	-0.3389	7998	7767
661	480	513	-0.2827	7991	7802
4294968146	492	513	-0.3332	7944	7986
8589935245	480	502	-0.2750	7929	7764
4294967937	477	509	-0.0000	7934	66
560	481	492	-0.1307	7998	7985
674	476	506	-0.2503	7990	7959
803	494	511	-0.3723	7979	7731
846	478	509	0.7125	7972	7976
905	486	502	0.9980	7958	7999
565	476	502	-0.0318	7998	7795
794	476	505	-0.2388	7979	7724
8589935151	494	509	-0.3207	7913	7939
885	479	480	-0.2547	7961	7714
569	502	506	-0.1884	7998	7909
660	476	478	-0.4909	7991	7984
882	496	509	-0.0030	7962	7920
8589935365	478	505	0.0150	7956	7988
8589935422	476	486	-0.4006	7899	8000
4294968083	478	480	0.0202	7893	7901
806	502	513	-0.1839	7979	7871
4294968133	494	502	-0.2234	7885	7849
658	486	513	-0.2882	7992	7884
4294967783	479	502	-0.1554	7968	7991
4294968132	478	494	-0.3357	7971	7973
690	481	502	-0.5660	7989	8000
845	503	505	-0.3773	7972	7995
4294967787	494	505	0.9665	7919	7983
583	505	513	-0.4424	7997	7946
4294968127	494	503	-0.0486	7941	7806
585	476	509	-0.3955	7996	7922
12884902418	478	492	-0.4966	7900	7996
4294967977	478	502	-0.2696	7953	7800
872	505	509	-0.2957	7964	7992
4294967917	481	509	-0.1922	7945	7909
590	486	511	-0.0950	7996	7983
4294968094	479	496	-0.0107	7967	7726
857	478	506	-0.3995	7966	7925
4294968117	496	506	-0.2288	7939	7975
801	480	492	-0.1821	7979	7833
4294968018	503	513	-0.1670	7894	7942
777	486	509	-0.2389	7982	7656
729	480	481	-0.1136	7986	7867
8589935093	486	496	0.3008	7903	7987
862	478	503	-0.4416	7965	7976
8589935350	502	503	-0.0871	7904	7933
657	509	511	-0.3981	7992	7918
815	479	506	-0.4017	7975	7849
12884902660	479	492	0.9940	7952	7997
8589935320	486	492	-0.3463	7971	7922
856	476	511	-0.2780	7966	7896
606	476	503	-0.4602	7995	7998
744	506	511	-0.1048	7985	7910
608	511	513	0.8944	7995	7998
609	476	479	-0.2551	7994	7917
610	481	503	-0.5157	7994	8000
