# tick 10000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
492	13562.8809	0.1962	10001	0.4000	1,1,1	0.5000	21
476	4004.2998	-0.1187	10001	0.4000	3,1,0	0.5000	52
505	4001.2930	0.4825	10001	0.4000	0,2,2	0.5000	10
478	7114.1699	-0.2204	10001	0.4000	2,0,3	0.5000	35
479	13110.7471	-0.1646	10001	0.4000	1,3,3	0.5000	31
480	8772.8174	0.3208	10001	0.4000	3,2,3	0.5000	59
481	8692.0400	0.2647	10001	0.4000	0,3,2	0.5000	14
496	6274.1665	-0.1676	10001	0.4000	1,0,2	0.5000	18
21474837057	8356.9072	-0.0943	9400	0.4000	0,1,3	0.5000	7
502	3445.9854	0.2070	10001	0.4000	0,0,2	0.5000	2
503	10855.5557	0.0071	10001	0.4000	2,2,2	0.5000	42
486	15688.1855	0.1128	10001	0.4000	0,3,2	0.5000	14
513	19282.3047	0.2027	10001	0.4000	3,3,1	0.5000	61
511	9259.2900	-0.0719	10001	0.4000	1,1,3	0.5000	23
494	5736.7905	0.0567	10001	0.4000	2,2,1	0.5000	41
509	10801.5068	0.0388	10001	0.4000	1,2,1	0.5000	25
506	9162.0664	-0.2442	10001	0.4000	1,3,2	0.5000	30
12884902460	16578.1152	-0.1697	9650	0.4000	3,3,3	0.5000	63
25769804295	9894.8984	0.2029	9350	0.4000	3,1,2	0.5000	54
4294967829	2773.8203	-0.2039	9200	0.4000	1,2,2	0.5000	26
21474837099	7331.1719	0.4770	9100	0.4000	3,0,2	0.5000	50
4294968161	12139.8027	0.1714	9000	0.4000	0,0,1	0.5000	1
12884902776	8995.5537	0.4569	8950	0.4000	0,1,1	0.5000	5
21474837667	4941.1455	0.4719	4250	0.4000	2,1,2	0.5000	38
21474837190	2585.0684	0.3939	8550	0.4000	0,2,3	0.5000	11
17179869890	11128.7832	0.2207	8500	0.4000	0,1,3	0.5000	7
30064771776	6818.8857	-0.2866	7850	0.4000	2,3,2	0.5000	46
4294968286	9188.0732	-0.1645	7300	0.4000	0,2,1	0.5000	9
8589935149	6241.9399	0.2902	7900	0.4000	2,0,1	0.5000	33
25769804369	8358.8691	-0.1367	7350	0.4000	2,2,1	0.5000	41
4294968345	7407.5029	-0.0426	6900	0.4000	1,3,0	0.5000	28
12884902954	4838.9141	0.1827	6150	0.4000	2,0,2	0.5000	34
68719477283	4148.3701	0.2612	6100	0.4000	0,1,0	0.5000	4
17179870208	2898.0706	0.4561	5900	0.4000	0,0,3	0.5000	3
12884902897	4446.5498	0.0084	5650	0.4000	2,1,0	0.5000	36
8589935818	5134.4907	0.4511	5400	0.4000	3,1,3	0.5000	55
25769804840	2984.3594	-0.1586	5350	0.4000	2,3,3	0.5000	47
8589935863	2913.2139	0.3975	4450	0.4000	0,3,2	0.5000	14
12884902769	356.3635	0.4871	4350	0.4000	1,1,1	0.5000	21
25769805164	1826.6293	0.3680	3550	0.4000	0,2,0	0.5000	8
25769804926	4445.3965	0.4042	4200	0.4000	0,2,3	0.5000	11
17179870574	313.8075	-0.0710	3650	0.4000	2,3,1	0.5000	45
12884903416	4016.4973	0.1010	2950	0.4000	2,1,0	0.5000	36
17179870706	3181.9158	0.4215	2750	0.4000	3,1,0	0.5000	52
30064772526	2163.9382	0.4836	2700	0.4000	2,2,2	0.5000	42
17179870528	364.5800	0.3138	2500	0.4000	0,3,0	0.5000	12
77309412385	1462.4619	-0.1134	2550	0.4000	3,1,2	0.5000	54
1768	1969.8706	0.2954	2150	0.4000	0,3,1	0.5000	13
17179870832	687.6413	-0.1638	1850	0.4000	1,3,3	0.5000	31
38654707534	63.5657	0.3686	200	0.4000	3,2,2	0.5000	58
1834	426.7097	-0.0434	1600	0.4000	3,2,0	0.5000	56
47244642070	113.7354	0.2339	100	0.4000	3,0,2	0.5000	50
25769805383	78.8438	0.2153	50	0.4000	3,0,3	0.5000	51

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967887	494	513	-0.4602	9943	9992
4294968049	480	4294968054	-0.0000	9906	94
517	481	505	-0.5198	10000	9984
8589935087	480	511	-0.3302	9822	9819
8589935251	505	21474837057	-0.1117	9377	9143
8589935366	481	496	-0.0809	9909	9867
4294967810	492	506	0.6418	9922	9998
4294967997	481	486	-0.2313	9911	9935
12884902463	506	21474837057	0.9704	9379	9985
4294967780	480	496	-0.3111	9942	9978
4294967967	476	494	-0.4662	9970	9972
526	480	505	-0.0828	10000	10000
8589935424	492	509	-0.1485	9957	9953
737	476	492	0.7701	9985	9977
529	502	509	-0.1317	10000	9815
849	479	513	-0.2710	9972	9938
4294968019	476	496	-0.3862	9912	9918
4294967985	492	503	0.4673	9946	9988
4294967781	476	513	-0.4821	9864	9997
8589935141	503	511	-0.2425	9940	9913
4294967987	481	511	-0.1909	9877	9888
4294967921	492	505	-0.4459	9891	9974
826	480	506	-0.3317	9974	9981
855	496	513	-0.4609	9967	9969
8589935090	478	479	-0.4191	9815	9857
4294967933	505	506	0.1481	9953	9996
4294968035	506	509	-0.0070	9978	9925
676	480	509	-0.0802	9990	9981
817	486	494	-0.2225	9975	9943
4294967925	496	505	-0.3718	9892	9884
545	496	503	0.7685	9999	9930
4294968082	492	496	-0.4272	9938	9910
4294968041	503	506	0.0821	9978	9786
675	479	486	0.9920	9990	9996
12884902591	481	494	0.9436	9819	9971
550	478	511	-0.2449	9999	9934
827	481	513	-0.2131	9974	9735
4294967803	476	481	-0.3006	9907	9960
714	479	494	-0.3022	9987	9926
554	480	503	-0.3765	9998	9879
555	479	481	-0.2814	9998	9957
661	480	513	-0.4632	9991	9982
4294968146	492	513	-0.2786	9944	9998
8589935245	480	502	-0.4160	9929	9997
4294967937	477	509	-0.0000	9934	66
560	481	492	-0.3786	9998	9963
674	476	506	-0.3996	9990	9989
803	494	511	-0.2607	9979	9977
846	478	509	0.9816	9972	9995
905	486	502	0.0946	9958	9967
565	476	502	0.9881	9998	9994
794	476	505	-0.0090	9979	9955
8589935151	494	509	-0.4696	9913	9967
885	479	480	-0.3098	9961	9966
569	502	506	-0.4429	9998	9881
660	476	478	-0.3046	9991	9966
882	496	509	-0.0795	9962	9786
8589935365	478	505	-0.2148	9956	9925
8589935422	476	486	-0.1780	9899	9818
4294968083	478	480	-0.1228	9893	9986
806	502	513	-0.4949	9979	9861
4294968133	494	502	-0.4507	9885	9966
658	486	513	-0.2730	9992	9998
4294967783	479	502	-0.3033	9968	9877
4294968132	478	494	-0.1327	9971	9682
690	481	502	-0.4317	9989	9902
845	503	505	-0.4878	9972	9947
4294967787	494	505	-0.3917	9919	9866
583	505	513	-0.3250	9997	9640
4294968127	494	503	-0.1645	9941	9746
585	476	509	-0.5847	9996	9957
12884902418	478	492	0.3453	9900	9950
4294967977	478	502	-0.2728	9953	9836
872	505	509	0.0640	9964	9964
4294967917	481	509	-0.0309	9945	9945
590	486	511	-0.2601	9996	9842
4294968094	479	496	-0.2241	9967	9950
857	478	506	-0.2890	9966	9988
4294968117	496	506	-0.3007	9939	9945
801	480	492	-0.2566	9979	9906
4294968018	503	513	-0.3612	9894	9939
777	486	509	-0.3248	9982	9964
729	480	481	-0.3685	9986	9989
8589935093	486	496	-0.0672	9903	9863
862	478	503	-0.0863	9965	9857
8589935350	502	503	-0.1967	9904	9866
657	509	511	-0.3432	9992	9774
815	479	506	-0.2467	9975	9937
12884902660	479	492	0.9881	9952	9994
8589935320	486	492	-0.5581	9971	9985
856	476	511	-0.3368	9966	9751
606	476	503	-0.5534	9995	9978
744	506	511	-0.2875	9985	9947
608	511	513	0.3307	9995	9891
609	476	479	-0.1102	9994	9977
610	481	503	0.0710	9994	9982
767	502	511	0.8643	9983	9982
4294968037	479	503	-0.3244	9937	9721
685	486	506	-0.3428	9990	9963
781	492	494	-0.2542	9981	9999
4294968029	479	505	-0.0254	9968	9859
8589935380	506	513	-0.2458	9949	9903
884	478	481	-0.5391	9961	9992
