# tick 12000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
492	14613.8809	0.1962	12001	0.4000	1,1,1	0.5000	21
476	4463.2998	-0.1187	12001	0.4000	3,1,0	0.5000	52
505	4395.2930	0.4825	12001	0.4000	0,2,2	0.5000	10
478	8420.1699	-0.2204	12001	0.4000	2,0,3	0.5000	35
479	14211.7471	-0.1646	12001	0.4000	1,3,3	0.5000	31
480	9226.8174	0.3208	12001	0.4000	3,2,3	0.5000	59
481	8469.0400	0.2647	12001	0.4000	0,3,2	0.5000	14
496	6012.1665	-0.1676	12001	0.4000	1,0,2	0.5000	18
21474837057	9444.9072	-0.0943	11400	0.4000	0,1,3	0.5000	7
502	4295.9854	0.2070	12001	0.4000	0,0,2	0.5000	2
503	12356.5557	0.0071	12001	0.4000	2,2,2	0.5000	42
486	17634.1855	0.1128	12001	0.4000	0,3,2	0.5000	14
513	18285.3047	0.2027	12001	0.4000	3,3,1	0.5000	61
511	8479.2900	-0.0719	12001	0.4000	1,1,3	0.5000	23
494	6445.7905	0.0567	12001	0.4000	2,2,1	0.5000	41
509	13017.5068	0.0388	12001	0.4000	1,2,1	0.5000	25
506	12722.0664	-0.2442	12001	0.4000	1,3,2	0.5000	30
12884902460	16957.1152	-0.1697	11650	0.4000	3,3,3	0.5000	63
25769804295	10732.8984	0.2029	11350	0.4000	3,1,2	0.5000	54
4294967829	1086.8203	-0.2039	11200	0.4000	1,2,2	0.5000	26
21474837099	7881.1719	0.4770	11100	0.4000	3,0,2	0.5000	50
4294968161	13190.8027	0.1714	11000	0.4000	0,0,1	0.5000	1
12884902776	9958.5537	0.4569	10950	0.4000	0,1,1	0.5000	5
21474837667	6042.1455	0.4719	6250	0.4000	2,1,2	0.5000	38
21474837190	3277.0684	0.3939	10550	0.4000	0,2,3	0.5000	11
17179869890	12701.7832	0.2207	10500	0.4000	0,1,3	0.5000	7
30064771776	9379.8857	-0.2866	9850	0.4000	2,3,2	0.5000	46
4294968286	11553.0732	-0.1645	9300	0.4000	0,2,1	0.5000	9
8589935149	5537.9399	0.2902	9900	0.4000	2,0,1	0.5000	33
25769804369	10198.8691	-0.1367	9350	0.4000	2,2,1	0.5000	41
4294968345	8216.5029	-0.0426	8900	0.4000	1,3,0	0.5000	28
12884902954	6453.9141	0.1827	8150	0.4000	2,0,2	0.5000	34
68719477283	5040.3701	0.2612	8100	0.4000	0,1,0	0.5000	4
17179870208	2130.0706	0.4561	7900	0.4000	0,0,3	0.5000	3
12884902897	4806.5498	0.0084	7650	0.4000	2,1,0	0.5000	36
8589935818	7534.4907	0.4511	7400	0.4000	3,1,3	0.5000	55
25769804840	3222.3594	-0.1586	7350	0.4000	2,3,3	0.5000	47
8589935863	5754.2139	0.3975	6450	0.4000	0,3,2	0.5000	14
12884902769	1958.3635	0.4871	6350	0.4000	1,1,1	0.5000	21
25769805164	1494.6294	0.3680	5550	0.4000	0,2,0	0.5000	8
25769804926	7075.3965	0.4042	6200	0.4000	0,2,3	0.5000	11
17179870574	2585.8076	-0.0710	5650	0.4000	2,3,1	0.5000	45
12884903416	5073.4971	0.1010	4950	0.4000	2,1,0	0.5000	36
17179870706	5236.9160	0.4215	4750	0.4000	3,1,0	0.5000	52
30064772526	4015.9382	0.4836	4700	0.4000	2,2,2	0.5000	42
17179870528	1660.5801	0.3138	4500	0.4000	0,3,0	0.5000	12
77309412385	4357.4619	-0.1134	4550	0.4000	3,1,2	0.5000	54
1768	4025.8706	0.2954	4150	0.4000	0,3,1	0.5000	13
17179870832	1086.6414	-0.1638	3850	0.4000	1,3,3	0.5000	31
90194314972	275.8112	-0.2708	650	0.4000	3,2,0	0.5000	56
1834	1045.7097	-0.0434	3600	0.4000	3,2,0	0.5000	56
47244642070	1828.7354	0.2339	2100	0.4000	3,0,2	0.5000	50
2106	96.0327	0.1443	300	0.4000	0,0,1	0.5000	1
73014445945	357.3727	0.4869	600	0.4000	2,2,3	0.5000	43
4294969370	13.9875	0.2969	200	0.4000	3,1,2	0.5000	54
4294969260	193.5946	0.3909	400	0.4000	1,1,0	0.5000	20
4294969484	62.0714	-0.1737	50	0.4000	2,1,0	0.5000	36

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967887	494	513	-0.3329	11943	11997
4294968049	480	4294968054	-0.0000	11906	94
517	481	505	-0.3414	12000	12000
8589935087	480	511	0.2619	11822	11894
8589935251	505	21474837057	-0.5006	11377	11981
8589935366	481	496	-0.1070	11909	11941
4294967810	492	506	0.0209	11922	11892
4294967997	481	486	-0.5736	11911	11968
12884902463	506	21474837057	-0.1193	11379	11857
4294967780	480	496	-0.4787	11942	11904
4294967967	476	494	-0.3547	11970	11911
526	480	505	-0.3950	12000	11976
8589935424	492	509	-0.5025	11957	11990
737	476	492	0.7197	11985	11968
529	502	509	-0.1305	12000	11873
849	479	513	0.0708	11972	11991
4294968019	476	496	-0.2207	11912	11985
4294967985	492	503	-0.2463	11946	11982
4294967781	476	513	-0.1740	11864	11849
8589935141	503	511	-0.3269	11940	11882
4294967987	481	511	-0.1757	11877	11765
4294967921	492	505	-0.2043	11891	11882
826	480	506	-0.2738	11974	11686
855	496	513	0.2501	11967	11947
8589935090	478	479	-0.3132	11815	11922
4294967933	505	506	0.3963	11953	11949
4294968035	506	509	-0.3397	11978	11996
676	480	509	-0.2306	11990	11663
817	486	494	-0.3153	11975	11774
4294967925	496	505	-0.1757	11892	11907
545	496	503	0.5704	11999	11956
4294968082	492	496	-0.2201	11938	11715
4294968041	503	506	-0.2128	11978	11751
675	479	486	0.9960	11990	11998
12884902591	481	494	-0.3142	11819	11817
550	478	511	-0.3539	11999	11987
827	481	513	-0.2377	11974	11687
4294967803	476	481	-0.3629	11907	11986
714	479	494	-0.4640	11987	11972
554	480	503	0.9608	11998	11980
555	479	481	-0.1940	11998	11855
661	480	513	-0.2599	11991	11841
4294968146	492	513	-0.3380	11944	11878
8589935245	480	502	-0.3468	11929	11983
4294967937	477	509	-0.0000	11934	66
560	481	492	-0.2975	11998	11873
674	476	506	0.2330	11990	11864
803	494	511	-0.3657	11979	11823
846	478	509	0.0161	11972	11889
905	486	502	0.6771	11958	11979
565	476	502	0.9881	11998	11994
794	476	505	0.1248	11979	11961
8589935151	494	509	-0.0782	11913	11784
885	479	480	-0.3665	11961	11945
569	502	506	-0.3097	11998	11800
660	476	478	-0.0021	11991	11969
882	496	509	-0.2339	11962	11820
8589935365	478	505	-0.5408	11956	11968
8589935422	476	486	0.0845	11899	11902
4294968083	478	480	0.7687	11893	11996
806	502	513	-0.4839	11979	11993
4294968133	494	502	-0.2245	11885	11968
658	486	513	0.0179	11992	11940
4294967783	479	502	-0.5777	11968	11957
4294968132	478	494	-0.2342	11971	11957
690	481	502	-0.3347	11989	11851
845	503	505	-0.4366	11972	11929
4294967787	494	505	-0.3555	11919	11977
583	505	513	-0.3906	11997	11835
4294968127	494	503	-0.1067	11941	11799
585	476	509	-0.3238	11996	11970
12884902418	478	492	0.0350	11900	11944
4294967977	478	502	-0.1183	11953	11750
872	505	509	-0.1831	11964	11855
4294967917	481	509	0.3932	11945	11797
590	486	511	-0.3516	11996	11891
4294968094	479	496	0.0602	11967	11992
857	478	506	-0.2199	11966	11804
4294968117	496	506	-0.3561	11939	11679
801	480	492	-0.0372	11979	11916
4294968018	503	513	-0.5219	11894	11972
777	486	509	-0.1016	11982	11754
729	480	481	-0.4021	11986	11911
8589935093	486	496	-0.2069	11903	11914
862	478	503	-0.3256	11965	11997
8589935350	502	503	-0.2174	11904	11973
657	509	511	-0.1379	11992	11881
815	479	506	-0.1508	11975	11876
12884902660	479	492	0.9474	11952	11973
8589935320	486	492	-0.2930	11971	11958
856	476	511	-0.4253	11966	11832
606	476	503	0.3270	11995	11919
744	506	511	-0.4750	11985	11948
608	511	513	-0.5584	11995	11940
609	476	479	-0.3479	11994	12000
610	481	503	0.0915	11994	11994
767	502	511	0.1629	11983	11972
4294968037	479	503	-0.2986	11937	11910
685	486	506	-0.4005	11990	11952
781	492	494	-0.2320	11981	11977
4294968029	479	505	-0.3883	11968	11941
8589935380	506	513	-0.0540	11949	11865
884	478	481	-0.3068	11961	11896
667	496	502	-0.4721	11991	11797
838	479	511	-0.2491	11972	11559
620	502	505	-0.2309	11994	11882
778	478	513	-0.3301	11982	11857
702	478	486	-0.5037	11988	11971
4294968004	478	496	-0.1872	11935	11741
679	480	486	0.9940	11990	11997
4294968055	492	511	0.8538	11971	11987
