# tick 14000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
492	14954.8809	0.1962	14001	0.4000	1,1,1	0.5000	21
476	6081.2998	-0.1187	14001	0.4000	3,1,0	0.5000	52
505	6030.2930	0.4825	14001	0.4000	0,2,2	0.5000	10
478	9089.1699	-0.2204	14001	0.4000	2,0,3	0.5000	35
479	15762.7471	-0.1646	14001	0.4000	1,3,3	0.5000	31
480	9838.8174	0.3208	14001	0.4000	3,2,3	0.5000	59
481	8531.0400	0.2647	14001	0.4000	0,3,2	0.5000	14
496	4891.1665	-0.1676	14001	0.4000	1,0,2	0.5000	18
21474837057	9915.9072	-0.0943	13400	0.4000	0,1,3	0.5000	7
502	5353.9854	0.2070	14001	0.4000	0,0,2	0.5000	2
503	13229.5557	0.0071	14001	0.4000	2,2,2	0.5000	42
486	19255.1855	0.1128	14001	0.4000	0,3,2	0.5000	14
513	17062.3047	0.2027	14001	0.4000	3,3,1	0.5000	61
511	7848.2900	-0.0719	14001	0.4000	1,1,3	0.5000	23
494	6876.7905	0.0567	14001	0.4000	2,2,1	0.5000	41
509	12809.5068	0.0388	14001	0.4000	1,2,1	0.5000	25
506	12845.0664	-0.2442	14001	0.4000	1,3,2	0.5000	30
12884902460	16469.1152	-0.1697	13650	0.4000	3,3,3	0.5000	63
25769804295	11867.8984	0.2029	13350	0.4000	3,1,2	0.5000	54
4294967829	1384.8203	-0.2039	13200	0.4000	1,2,2	0.5000	26
21474837099	7036.1719	0.4770	13100	0.4000	3,0,2	0.5000	50
4294968161	14194.8027	0.1714	13000	0.4000	0,0,1	0.5000	1
12884902776	10411.5537	0.4569	12950	0.4000	0,1,1	0.5000	5
21474837667	6300.1455	0.4719	8250	0.4000	2,1,2	0.5000	38
21474837190	3297.0684	0.3939	12550	0.4000	0,2,3	0.5000	11
17179869890	13958.7832	0.2207	12500	0.4000	0,1,3	0.5000	7
30064771776	10991.8857	-0.2866	11850	0.4000	2,3,2	0.5000	46
4294968286	13168.0732	-0.1645	11300	0.4000	0,2,1	0.5000	9
8589935149	5915.9399	0.2902	11900	0.4000	2,0,1	0.5000	33
25769804369	11617.8691	-0.1367	11350	0.4000	2,2,1	0.5000	41
4294968345	11194.5029	-0.0426	10900	0.4000	1,3,0	0.5000	28
12884902954	8071.9141	0.1827	10150	0.4000	2,0,2	0.5000	34
68719477283	6378.3701	0.2612	10100	0.4000	0,1,0	0.5000	4
17179870208	1618.0706	0.4561	9900	0.4000	0,0,3	0.5000	3
12884902897	5157.5498	0.0084	9650	0.4000	2,1,0	0.5000	36
8589935818	10042.4902	0.4511	9400	0.4000	3,1,3	0.5000	55
25769804840	2649.3594	-0.1586	9350	0.4000	2,3,3	0.5000	47
8589935863	8219.2139	0.3975	8450	0.4000	0,3,2	0.5000	14
12884902769	3818.3635	0.4871	8350	0.4000	1,1,1	0.5000	21
25769805164	820.6294	0.3680	7550	0.4000	0,2,0	0.5000	8
25769804926	9769.3965	0.4042	8200	0.4000	0,2,3	0.5000	11
17179870574	4414.8076	-0.0710	7650	0.4000	2,3,1	0.5000	45
12884903416	5577.4971	0.1010	6950	0.4000	2,1,0	0.5000	36
17179870706	6545.9160	0.4215	6750	0.4000	3,1,0	0.5000	52
30064772526	5585.9385	0.4836	6700	0.4000	2,2,2	0.5000	42
17179870528	2009.5801	0.3138	6500	0.4000	0,3,0	0.5000	12
77309412385	4572.4619	-0.1134	6550	0.4000	3,1,2	0.5000	54
1768	5027.8706	0.2954	6150	0.4000	0,3,1	0.5000	13
17179870832	2019.6414	-0.1638	5850	0.4000	1,3,3	0.5000	31
90194314972	538.8112	-0.2708	2650	0.4000	3,2,0	0.5000	56
1834	828.7097	-0.0434	5600	0.4000	3,2,0	0.5000	56
47244642070	2979.7354	0.2339	4100	0.4000	3,0,2	0.5000	50
2106	1689.0327	0.1443	2300	0.4000	0,0,1	0.5000	1
73014445945	1380.3728	0.4869	2600	0.4000	2,2,3	0.5000	43
17179871376	659.4226	0.0785	1200	0.4000	0,0,1	0.5000	1
4294969260	1085.5946	0.3909	2400	0.4000	1,1,0	0.5000	20
17179871528	76.8711	0.3671	250	0.4000	2,1,2	0.5000	38
25769805834	574.7028	0.4781	1350	0.4000	0,2,2	0.5000	10
8589936863	637.4958	0.0325	900	0.4000	0,1,1	0.5000	5
8589936968	33.3846	0.2243	50	0.4000	0,2,3	0.5000	11

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967887	494	513	-0.2014	13943	13739
4294968049	480	4294968054	-0.0000	13906	94
517	481	505	-0.1837	14000	13850
8589935087	480	511	-0.2462	13822	13950
8589935251	505	21474837057	-0.4992	13377	13945
8589935366	481	496	-0.1428	13909	13713
4294967810	492	506	0.1686	13922	13952
4294967997	481	486	-0.3095	13911	13805
12884902463	506	21474837057	-0.3833	13379	13904
4294967780	480	496	-0.1797	13942	13969
4294967967	476	494	-0.0398	13970	13666
526	480	505	-0.1215	14000	13995
8589935424	492	509	-0.3508	13957	13725
737	476	492	1.0000	13985	14000
529	502	509	-0.4181	14000	13944
849	479	513	-0.0210	13972	13997
4294968019	476	496	-0.1978	13912	13661
4294967985	492	503	-0.2808	13946	13982
4294967781	476	513	-0.1122	13864	13996
8589935141	503	511	-0.4090	13940	13868
4294967987	481	511	-0.3292	13877	13961
4294967921	492	505	-0.1727	13891	13672
826	480	506	-0.5273	13974	13981
855	496	513	-0.3600	13967	13977
8589935090	478	479	-0.3322	13815	13957
4294967933	505	506	-0.2327	13953	13890
4294968035	506	509	-0.3795	13978	13976
676	480	509	-0.4146	13990	13896
817	486	494	-0.1686	13975	13591
4294967925	496	505	-0.3486	13892	13971
545	496	503	-0.3953	13999	13917
4294968082	492	496	-0.2550	13938	13857
4294968041	503	506	0.1317	13978	13990
675	479	486	1.0000	13990	14000
12884902591	481	494	-0.2588	13819	13962
550	478	511	-0.4431	13999	13996
827	481	513	-0.2233	13974	13987
4294967803	476	481	-0.4590	13907	13907
714	479	494	-0.1669	13987	13740
554	480	503	-0.1747	13998	13943
555	479	481	-0.0346	13998	13992
661	480	513	0.0569	13991	13935
4294968146	492	513	-0.3636	13944	13922
8589935245	480	502	-0.1711	13929	13895
4294967937	477	509	-0.0000	13934	66
560	481	492	0.5317	13998	13985
674	476	506	0.0396	13990	13969
803	494	511	-0.0326	13979	13895
846	478	509	-0.3470	13972	13891
905	486	502	0.5347	13958	13968
565	476	502	0.8857	13998	13987
794	476	505	0.2022	13979	13912
8589935151	494	509	-0.3488	13913	13925
885	479	480	-0.4573	13961	13932
569	502	506	-0.3987	13998	13930
660	476	478	-0.3766	13991	13866
882	496	509	-0.3475	13962	13856
8589935365	478	505	-0.1427	13956	13985
8589935422	476	486	-0.2326	13899	13705
4294968083	478	480	0.9743	13893	13987
806	502	513	-0.3871	13979	13968
4294968133	494	502	-0.6090	13885	13977
658	486	513	-0.2362	13992	13635
4294967783	479	502	-0.3466	13968	13863
4294968132	478	494	-0.1912	13971	13887
690	481	502	-0.3560	13989	13965
845	503	505	-0.4076	13972	13975
4294967787	494	505	-0.0233	13919	13955
583	505	513	-0.1633	13997	13928
4294968127	494	503	-0.2424	13941	13980
585	476	509	-0.2573	13996	13713
12884902418	478	492	0.0450	13900	13955
4294967977	478	502	0.8449	13953	13974
872	505	509	-0.3430	13964	13847
4294967917	481	509	-0.0498	13945	13923
590	486	511	-0.1350	13996	13915
4294968094	479	496	-0.3273	13967	13906
857	478	506	-0.4140	13966	13980
4294968117	496	506	-0.2826	13939	13958
801	480	492	-0.3465	13979	13855
4294968018	503	513	0.0521	13894	13992
777	486	509	-0.2171	13982	13993
729	480	481	-0.3590	13986	13984
8589935093	486	496	-0.1428	13903	13970
862	478	503	-0.1271	13965	13995
8589935350	502	503	-0.1495	13904	13797
657	509	511	-0.3556	13992	13892
815	479	506	-0.3499	13975	13907
12884902660	479	492	0.3124	13952	13909
8589935320	486	492	-0.2127	13971	13959
856	476	511	-0.4602	13966	13926
606	476	503	0.9608	13995	13997
744	506	511	-0.2508	13985	13962
608	511	513	-0.3157	13995	13896
609	476	479	-0.1909	13994	13841
610	481	503	-0.2762	13994	13870
767	502	511	-0.2961	13983	13991
4294968037	479	503	0.1012	13937	13941
685	486	506	-0.3647	13990	13974
781	492	494	-0.2878	13981	13867
4294968029	479	505	-0.2603	13968	13930
8589935380	506	513	-0.1055	13949	13720
884	478	481	-0.0488	13961	13939
667	496	502	-0.2431	13991	13627
838	479	511	-0.0451	13972	13998
620	502	505	-0.2667	13994	13947
778	478	513	-0.2430	13982	13854
702	478	486	-0.4238	13988	13895
4294968004	478	496	-0.4444	13935	13948
679	480	486	0.4550	13990	13995
4294968055	492	511	-0.0174	13971	13953
4294968155	481	506	-0.3554	13957	13918
652	486	503	-0.5770	13992	13908
4294968027	494	496	-0.2657	13935	13763
769	476	480	-0.0290	13982	13819
770	486	505	-0.2417	13982	13822
