# tick 16000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
492	15309.8809	0.1962	16001	0.4000	1,1,1	0.5000	21
476	8188.2998	-0.1187	16001	0.4000	3,1,0	0.5000	52
505	8381.2930	0.4825	16001	0.4000	0,2,2	0.5000	10
478	11049.1699	-0.2204	16001	0.4000	2,0,3	0.5000	35
479	18662.7461	-0.1646	16001	0.4000	1,3,3	0.5000	31
480	9946.8174	0.3208	16001	0.4000	3,2,3	0.5000	59
481	8495.0400	0.2647	16001	0.4000	0,3,2	0.5000	14
496	6819.1665	-0.1676	16001	0.4000	1,0,2	0.5000	18
21474837057	11484.9072	-0.0943	15400	0.4000	0,1,3	0.5000	7
502	5833.9854	0.2070	16001	0.4000	0,0,2	0.5000	2
503	12844.5557	0.0071	16001	0.4000	2,2,2	0.5000	42
486	19571.1855	0.1128	16001	0.4000	0,3,2	0.5000	14
513	17149.3047	0.2027	16001	0.4000	3,3,1	0.5000	61
511	7091.2900	-0.0719	16001	0.4000	1,1,3	0.5000	23
494	7754.7905	0.0567	16001	0.4000	2,2,1	0.5000	41
509	13036.5068	0.0388	16001	0.4000	1,2,1	0.5000	25
506	13045.0664	-0.2442	16001	0.4000	1,3,2	0.5000	30
12884902460	16662.1152	-0.1697	15650	0.4000	3,3,3	0.5000	63
25769804295	12796.8984	0.2029	15350	0.4000	3,1,2	0.5000	54
4294967829	417.8203	-0.2039	15200	0.4000	1,2,2	0.5000	26
21474837099	5560.1719	0.4770	15100	0.4000	3,0,2	0.5000	50
4294968161	14582.8027	0.1714	15000	0.4000	0,0,1	0.5000	1
12884902776	10807.5537	0.4569	14950	0.4000	0,1,1	0.5000	5
21474837667	8265.1455	0.4719	10250	0.4000	2,1,2	0.5000	38
21474837190	4801.0684	0.3939	14550	0.4000	0,2,3	0.5000	11
17179869890	16211.7832	0.2207	14500	0.4000	0,1,3	0.5000	7
30064771776	12590.8857	-0.2866	13850	0.4000	2,3,2	0.5000	46
4294968286	13981.0732	-0.1645	13300	0.4000	0,2,1	0.5000	9
8589935149	6011.9399	0.2902	13900	0.4000	2,0,1	0.5000	33
25769804369	12653.8691	-0.1367	13350	0.4000	2,2,1	0.5000	41
4294968345	13303.5029	-0.0426	12900	0.4000	1,3,0	0.5000	28
12884902954	9457.9141	0.1827	12150	0.4000	2,0,2	0.5000	34
68719477283	8411.3701	0.2612	12100	0.4000	0,1,0	0.5000	4
17179870208	3183.0706	0.4561	11900	0.4000	0,0,3	0.5000	3
12884902897	8502.5498	0.0084	11650	0.4000	2,1,0	0.5000	36
8589935818	9378.4902	0.4511	11400	0.4000	3,1,3	0.5000	55
25769804840	2419.3594	-0.1586	11350	0.4000	2,3,3	0.5000	47
8589935863	9437.2139	0.3975	10450	0.4000	0,3,2	0.5000	14
12884902769	4506.3633	0.4871	10350	0.4000	1,1,1	0.5000	21
25769805164	406.6294	0.3680	9550	0.4000	0,2,0	0.5000	8
25769804926	10961.3965	0.4042	10200	0.4000	0,2,3	0.5000	11
17179870574	5727.8076	-0.0710	9650	0.4000	2,3,1	0.5000	45
12884903416	7000.4971	0.1010	8950	0.4000	2,1,0	0.5000	36
17179870706	8091.9160	0.4215	8750	0.4000	3,1,0	0.5000	52
30064772526	5732.9385	0.4836	8700	0.4000	2,2,2	0.5000	42
17179870528	3503.5801	0.3138	8500	0.4000	0,3,0	0.5000	12
77309412385	5668.4619	-0.1134	8550	0.4000	3,1,2	0.5000	54
1768	6306.8706	0.2954	8150	0.4000	0,3,1	0.5000	13
17179870832	2577.6414	-0.1638	7850	0.4000	1,3,3	0.5000	31
90194314972	920.8112	-0.2708	4650	0.4000	3,2,0	0.5000	56
1834	1823.7097	-0.0434	7600	0.4000	3,2,0	0.5000	56
47244642070	3210.7354	0.2339	6100	0.4000	3,0,2	0.5000	50
2106	3228.0327	0.1443	4300	0.4000	0,0,1	0.5000	1
73014445945	3104.3728	0.4869	4600	0.4000	2,2,3	0.5000	43
17179871376	3670.4226	0.0785	3200	0.4000	0,0,1	0.5000	1
4294969260	1783.5946	0.3909	4400	0.4000	1,1,0	0.5000	20
51539609827	79.3666	-0.2923	850	0.4000	3,1,2	0.5000	54
25769805834	2325.7026	0.4781	3350	0.4000	0,2,2	0.5000	10
8589936863	1053.4958	0.0325	2900	0.4000	0,1,1	0.5000	5
81604380771	545.7429	-0.0272	1250	0.4000	3,2,2	0.5000	58
30064773369	492.4275	0.0466	1200	0.4000	2,2,3	0.5000	43
12884904462	48.6134	-0.0722	200	0.4000	0,3,2	0.5000	14
17179871852	2.5280	0.3613	100	0.4000	2,1,0	0.5000	36
25769806425	176.1943	0.0275	50	0.4000	3,2,3	0.5000	59

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967887	494	513	-0.2794	15943	15946
4294968049	480	4294968054	-0.0000	15906	94
517	481	505	-0.1809	16000	15913
8589935087	480	511	-0.2982	15822	15869
8589935251	505	21474837057	-0.1435	15377	15598
8589935366	481	496	-0.2773	15909	15788
4294967810	492	506	-0.1749	15922	15994
4294967997	481	486	-0.2619	15911	15872
12884902463	506	21474837057	-0.2483	15379	15938
4294967780	480	496	0.0858	15942	15926
4294967967	476	494	0.0055	15970	15724
526	480	505	-0.0369	16000	15933
8589935424	492	509	-0.4421	15957	15937
737	476	492	0.4107	15985	15987
529	502	509	-0.1266	16000	15815
849	479	513	-0.4450	15972	15843
4294968019	476	496	0.0859	15912	15942
4294967985	492	503	0.9212	15946	15959
4294967781	476	513	0.8646	15864	16000
8589935141	503	511	0.1082	15940	15977
4294967987	481	511	0.0231	15877	15735
4294967921	492	505	-0.2434	15891	15849
826	480	506	-0.4694	15974	15944
855	496	513	-0.1126	15967	15983
8589935090	478	479	-0.3068	15815	15888
4294967933	505	506	-0.2674	15953	15769
4294968035	506	509	0.9646	15978	15982
676	480	509	-0.3023	15990	15993
817	486	494	-0.2435	15975	15835
4294967925	496	505	0.7623	15892	15932
545	496	503	-0.2311	15999	15983
4294968082	492	496	-0.3909	15938	15893
4294968041	503	506	-0.1296	15978	15714
675	479	486	0.7018	15990	15983
12884902591	481	494	-0.2934	15819	15991
550	478	511	-0.3693	15999	15905
827	481	513	-0.2681	15974	15973
4294967803	476	481	-0.1804	15907	15616
714	479	494	-0.1881	15987	15593
554	480	503	-0.2568	15998	15863
555	479	481	-0.3275	15998	15713
661	480	513	-0.4124	15991	15932
4294968146	492	513	-0.1051	15944	15839
8589935245	480	502	-0.2233	15929	15986
4294967937	477	509	-0.0000	15934	66
560	481	492	-0.2561	15998	15898
674	476	506	-0.1832	15990	15998
803	494	511	-0.4951	15979	15981
846	478	509	-0.6209	15972	15956
905	486	502	-0.1390	15958	15858
565	476	502	0.0054	15998	15949
794	476	505	0.4928	15979	15957
8589935151	494	509	-0.1018	15913	15774
885	479	480	-0.1073	15961	15932
569	502	506	-0.0155	15998	15960
660	476	478	-0.1180	15991	15586
882	496	509	-0.1347	15962	15844
8589935365	478	505	-0.2194	15956	15923
8589935422	476	486	-0.2139	15899	15714
4294968083	478	480	0.9881	15893	15994
806	502	513	-0.3106	15979	15887
4294968133	494	502	-0.1064	15885	15721
658	486	513	-0.5283	15992	15923
4294967783	479	502	-0.0747	15968	15761
4294968132	478	494	0.7328	15971	15979
690	481	502	-0.3972	15989	15868
845	503	505	-0.2016	15972	15768
4294967787	494	505	-0.1673	15919	15668
583	505	513	-0.3475	15997	15863
4294968127	494	503	-0.4927	15941	15940
585	476	509	0.1851	15996	15971
12884902418	478	492	-0.4945	15900	15982
4294967977	478	502	0.8666	15953	15998
872	505	509	0.0307	15964	15985
4294967917	481	509	-0.1943	15945	15972
590	486	511	-0.1046	15996	15944
4294968094	479	496	0.9646	15967	15982
857	478	506	0.0121	15966	15918
4294968117	496	506	-0.2345	15939	15985
801	480	492	1.0000	15979	16000
4294968018	503	513	-0.2241	15894	15624
777	486	509	0.0455	15982	15962
729	480	481	0.1830	15986	15954
8589935093	486	496	0.0792	15903	15984
862	478	503	-0.3312	15965	15848
8589935350	502	503	-0.0498	15904	15894
657	509	511	-0.3311	15992	15853
815	479	506	-0.1509	15975	15718
12884902660	479	492	0.1866	15952	15892
8589935320	486	492	-0.2523	15971	15889
856	476	511	0.2177	15966	15965
606	476	503	-0.2086	15995	15980
744	506	511	-0.2383	15985	15943
608	511	513	-0.2273	15995	15841
609	476	479	-0.3402	15994	15954
610	481	503	-0.0815	15994	15878
767	502	511	-0.2921	15983	15928
4294968037	479	503	-0.3592	15937	15946
685	486	506	-0.4398	15990	15876
781	492	494	-0.3198	15981	15917
4294968029	479	505	-0.1382	15968	15768
8589935380	506	513	-0.3043	15949	15966
884	478	481	-0.2053	15961	15918
667	496	502	-0.4865	15991	15901
838	479	511	0.0206	15972	15935
620	502	505	-0.2140	15994	15905
778	478	513	-0.5294	15982	15983
702	478	486	-0.3359	15988	15890
4294968004	478	496	-0.1845	15935	15690
679	480	486	0.1312	15990	15994
4294968055	492	511	-0.2475	15971	15742
4294968155	481	506	-0.2456	15957	15914
652	486	503	-0.5892	15992	15938
4294968027	494	496	-0.0686	15935	15756
769	476	480	-0.4662	15982	15883
770	486	505	-0.0133	15982	15957
883	503	509	-0.1391	15962	15996
829	492	502	-0.2309	15974	15842
633	496	511	-0.3583	15993	15889
700	509	513	-0.2646	15989	15955
871	505	511	-0.2230	15964	15984
867	480	494	-0.3198	15964	15946
825	479	509	-0.1329	15974	15857
4294968052	494	506	-0.2860	15916	15627
17179869722	509	21474837099	-0.4185	15086	15862
8589935188	478	4294967829	-0.0206	15121	15935
21474837355	481	21474837099	-0.4607	15086	15973
21474837265	513	21474837099	-0.4573	15087	15970
4294968174	492	21474837057	0.0309	15320	15824
12884902667	513	25769804295	-0.0953	15220	15750
25769804667	478	21474837057	0.9920	15309	15996
12884902554	494	25769804295	-0.2223	15317	15941
30064771653	486	21474837057	-0.4208	15360	15926
