# tick 18000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
492	16794.8809	0.1962	18001	0.4000	1,1,1	0.5000	21
476	9033.2998	-0.1187	18001	0.4000	3,1,0	0.5000	52
505	9939.2930	0.4825	18001	0.4000	0,2,2	0.5000	10
478	12378.1699	-0.2204	18001	0.4000	2,0,3	0.5000	35
479	20166.7461	-0.1646	18001	0.4000	1,3,3	0.5000	31
480	10583.8174	0.3208	18001	0.4000	3,2,3	0.5000	59
481	9518.0400	0.2647	18001	0.4000	0,3,2	0.5000	14
496	10279.1660	-0.1676	18001	0.4000	1,0,2	0.5000	18
21474837057	14349.9072	-0.0943	17400	0.4000	0,1,3	0.5000	7
502	5961.9854	0.2070	18001	0.4000	0,0,2	0.5000	2
503	14060.5557	0.0071	18001	0.4000	2,2,2	0.5000	42
486	20394.1855	0.1128	18001	0.4000	0,3,2	0.5000	14
513	16593.3047	0.2027	18001	0.4000	3,3,1	0.5000	61
511	7205.2900	-0.0719	18001	0.4000	1,1,3	0.5000	23
494	8185.7910	0.0567	18001	0.4000	2,2,1	0.5000	41
509	13444.5068	0.0388	18001	0.4000	1,2,1	0.5000	25
506	14201.0664	-0.2442	18001	0.4000	1,3,2	0.5000	30
12884902460	17352.1152	-0.1697	17650	0.4000	3,3,3	0.5000	63
25769804295	13439.8984	0.2029	17350	0.4000	3,1,2	0.5000	54
4294967829	583.8203	-0.2039	17200	0.4000	1,2,2	0.5000	26
21474837099	4989.1719	0.4770	17100	0.4000	3,0,2	0.5000	50
4294968161	13630.8027	0.1714	17000	0.4000	0,0,1	0.5000	1
12884902776	10898.5537	0.4569	16950	0.4000	0,1,1	0.5000	5
21474837667	10337.1455	0.4719	12250	0.4000	2,1,2	0.5000	38
21474837190	5814.0684	0.3939	16550	0.4000	0,2,3	0.5000	11
17179869890	17845.7832	0.2207	16500	0.4000	0,1,3	0.5000	7
30064771776	12555.8857	-0.2866	15850	0.4000	2,3,2	0.5000	46
4294968286	14766.0732	-0.1645	15300	0.4000	0,2,1	0.5000	9
8589935149	5820.9399	0.2902	15900	0.4000	2,0,1	0.5000	33
25769804369	13702.8691	-0.1367	15350	0.4000	2,2,1	0.5000	41
4294968345	16635.5039	-0.0426	14900	0.4000	1,3,0	0.5000	28
12884902954	10778.9141	0.1827	14150	0.4000	2,0,2	0.5000	34
68719477283	9228.3701	0.2612	14100	0.4000	0,1,0	0.5000	4
17179870208	3059.0706	0.4561	13900	0.4000	0,0,3	0.5000	3
12884902897	10465.5498	0.0084	13650	0.4000	2,1,0	0.5000	36
8589935818	9649.4902	0.4511	13400	0.4000	3,1,3	0.5000	55
25769804840	2103.3594	-0.1586	13350	0.4000	2,3,3	0.5000	47
8589935863	9056.2139	0.3975	12450	0.4000	0,3,2	0.5000	14
12884902769	5586.3633	0.4871	12350	0.4000	1,1,1	0.5000	21
25769805164	364.6294	0.3680	11550	0.4000	0,2,0	0.5000	8
25769804926	13023.3965	0.4042	12200	0.4000	0,2,3	0.5000	11
17179870574	5507.8076	-0.0710	11650	0.4000	2,3,1	0.5000	45
12884903416	7332.4971	0.1010	10950	0.4000	2,1,0	0.5000	36
17179870706	9139.9160	0.4215	10750	0.4000	3,1,0	0.5000	52
30064772526	6182.9385	0.4836	10700	0.4000	2,2,2	0.5000	42
17179870528	5820.5801	0.3138	10500	0.4000	0,3,0	0.5000	12
77309412385	6044.4619	-0.1134	10550	0.4000	3,1,2	0.5000	54
1768	6800.8706	0.2954	10150	0.4000	0,3,1	0.5000	13
17179870832	540.6414	-0.1638	9850	0.4000	1,3,3	0.5000	31
38654708241	38.1775	0.1148	350	0.4000	1,3,3	0.5000	31
1834	2432.7097	-0.0434	9600	0.4000	3,2,0	0.5000	56
47244642070	2309.7354	0.2339	8100	0.4000	3,0,2	0.5000	50
2106	4155.0327	0.1443	6300	0.4000	0,0,1	0.5000	1
73014445945	3629.3728	0.4869	6600	0.4000	2,2,3	0.5000	43
17179871376	5412.4229	0.0785	5200	0.4000	0,0,1	0.5000	1
4294969260	2339.5947	0.3909	6400	0.4000	1,1,0	0.5000	20
90194315545	15.0867	-0.0040	150	0.4000	2,0,3	0.5000	35
25769805834	1107.7026	0.4781	5350	0.4000	0,2,2	0.5000	10
8589936863	370.4958	0.0325	4900	0.4000	0,1,1	0.5000	5
81604380771	1435.7429	-0.0272	3250	0.4000	3,2,2	0.5000	58
30064773369	431.4275	0.0466	3200	0.4000	2,2,3	0.5000	43
68719479139	43.4104	-0.1254	50	0.4000	1,2,2	0.5000	26

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967887	494	513	0.5487	17943	17998
4294968049	480	4294968054	-0.0000	17906	94
517	481	505	-0.2110	18000	17940
8589935087	480	511	0.1107	17822	17749
8589935251	505	21474837057	0.0068	17377	17966
8589935366	481	496	0.8871	17909	17995
4294967810	492	506	-0.2747	17922	18000
4294967997	481	486	-0.1297	17911	17662
12884902463	506	21474837057	-0.1764	17379	17922
4294967780	480	496	-0.5072	17942	17942
4294967967	476	494	-0.2474	17970	17770
526	480	505	-0.0208	18000	17886
8589935424	492	509	-0.6194	17957	17980
737	476	492	0.9550	17985	17977
529	502	509	-0.2111	18000	17598
849	479	513	-0.1445	17972	17674
4294968019	476	496	0.0943	17912	17792
4294967985	492	503	-0.0490	17946	17863
4294967781	476	513	-0.2895	17864	17889
8589935141	503	511	0.0129	17940	17913
4294967987	481	511	-0.2823	17877	17707
4294967921	492	505	-0.3919	17891	17907
826	480	506	0.0572	17974	17916
855	496	513	-0.2804	17967	17910
8589935090	478	479	-0.0432	17815	17902
4294967933	505	506	0.0192	17953	17911
4294968035	506	509	0.9960	17978	17998
676	480	509	-0.0781	17990	17855
817	486	494	0.1276	17975	17987
4294967925	496	505	0.9802	17892	17990
545	496	503	-0.1746	17999	17802
4294968082	492	496	-0.0380	17938	17968
4294968041	503	506	-0.1650	17978	17599
675	479	486	0.1121	17990	17755
12884902591	481	494	-0.1766	17819	17909
550	478	511	-0.2025	17999	17735
827	481	513	-0.1145	17974	17718
4294967803	476	481	-0.1833	17907	17925
714	479	494	-0.2632	17987	17904
554	480	503	-0.2962	17998	17938
555	479	481	-0.0866	17998	17874
661	480	513	-0.2179	17991	17962
4294968146	492	513	-0.0787	17944	17983
8589935245	480	502	-0.2805	17929	17923
4294967937	477	509	-0.0000	17934	66
560	481	492	-0.3428	17998	17874
674	476	506	-0.3159	17990	17901
803	494	511	-0.4385	17979	17984
846	478	509	0.1161	17972	17934
905	486	502	0.0770	17958	17895
565	476	502	0.3040	17998	17835
794	476	505	-0.1673	17979	17954
8589935151	494	509	-0.1307	17913	17577
885	479	480	-0.5090	17961	17993
569	502	506	0.2086	17998	17977
660	476	478	-0.2315	17991	17983
882	496	509	0.0983	17962	17888
8589935365	478	505	-0.2199	17956	17894
8589935422	476	486	-0.2612	17899	17615
4294968083	478	480	0.9212	17893	17959
806	502	513	-0.1930	17979	17964
4294968133	494	502	-0.3037	17885	17910
658	486	513	0.0709	17992	17931
4294967783	479	502	-0.2460	17968	17748
4294968132	478	494	-0.1467	17971	18000
690	481	502	-0.1585	17989	17905
845	503	505	-0.2519	17972	18000
4294967787	494	505	-0.1603	17919	17941
583	505	513	-0.0146	17997	17763
4294968127	494	503	-0.1327	17941	17649
585	476	509	-0.2507	17996	17665
12884902418	478	492	0.1094	17900	17949
4294967977	478	502	0.9569	17953	17978
872	505	509	-0.2416	17964	17738
4294967917	481	509	-0.3551	17945	17984
590	486	511	0.9900	17996	17995
4294968094	479	496	0.9743	17967	17987
857	478	506	0.2477	17966	17962
4294968117	496	506	-0.2575	17939	17980
801	480	492	0.2240	17979	17942
4294968018	503	513	-0.0660	17894	17973
777	486	509	-0.2719	17982	17710
729	480	481	-0.1022	17986	17930
8589935093	486	496	0.0008	17903	17998
862	478	503	-0.1718	17965	17780
8589935350	502	503	-0.4992	17904	17983
657	509	511	-0.1150	17992	17615
815	479	506	-0.2394	17975	17683
12884902660	479	492	-0.1305	17952	17494
8589935320	486	492	-0.1885	17971	17666
856	476	511	-0.4171	17966	17927
606	476	503	-0.4068	17995	17980
744	506	511	-0.2749	17985	17946
608	511	513	-0.6800	17995	17922
609	476	479	-0.1271	17994	17848
610	481	503	-0.3194	17994	17924
767	502	511	-0.4217	17983	17941
4294968037	479	503	-0.2333	17937	17970
685	486	506	-0.0229	17990	17945
781	492	494	-0.1650	17981	17966
4294968029	479	505	-0.2557	17968	17962
8589935380	506	513	-0.2042	17949	17664
884	478	481	-0.2906	17961	17862
667	496	502	-0.3859	17991	17978
838	479	511	-0.4539	17972	17917
620	502	505	-0.0065	17994	17813
778	478	513	-0.3558	17982	17844
702	478	486	-0.2778	17988	17969
4294968004	478	496	-0.0294	17935	17800
679	480	486	0.9646	17990	17982
4294968055	492	511	-0.1806	17971	17783
4294968155	481	506	-0.1158	17957	17889
652	486	503	-0.0853	17992	17829
4294968027	494	496	-0.2453	17935	17886
769	476	480	-0.1990	17982	17947
770	486	505	-0.1351	17982	17795
883	503	509	0.2293	17962	17940
829	492	502	0.9249	17974	17961
633	496	511	-0.0081	17993	17908
700	509	513	-0.3716	17989	17886
871	505	511	-0.3789	17964	17884
867	480	494	-0.1317	17964	17870
825	479	509	0.0331	17974	17963
4294968052	494	506	-0.3546	17916	17910
17179869722	509	21474837099	-0.4391	17086	17995
8589935188	478	4294967829	-0.1539	17121	17492
21474837355	481	21474837099	-0.1078	17086	17712
21474837265	513	21474837099	-0.2700	17087	17762
4294968174	492	21474837057	-0.0318	17320	17831
12884902667	513	25769804295	-0.4625	17220	17948
25769804667	478	21474837057	-0.3256	17309	17982
12884902554	494	25769804295	-0.0260	17317	17879
30064771653	486	21474837057	-0.1547	17360	17655
17179869926	513	12884902460	-0.2285	17649	17769
12884902388	486	12884902460	-0.0604	17649	17964
21474837374	479	21474837057	-0.1359	17372	17779
17179869876	492	12884902460	-0.4306	17648	17986
12884902654	480	12884902460	0.0708	17646	17932
12884902377	496	12884902460	-0.2532	17645	17922
12884902511	503	12884902460	-0.1654	17644	17953
25769804456	478	12884902460	0.0389	17644	17966
12884902506	511	12884902460	-0.2370	17643	17954
12884902685	494	12884902460	-0.0470	17642	17787
8589935309	502	21474837057	0.7024	17390	17953
8589935468	479	12884902460	0.9608	17638	17980
4294968116	480	21474837057	-0.4229	17390	17940
21474837231	502	12884902460	-0.0386	17636	17978
25769804469	505	12884902460	-0.2291	17632	17889
8589935231	476	21474837057	0.9449	17392	17981
17179869666	481	12884902460	-0.2198	17627	17926
30064771837	476	12884902460	0.0654	17610	17851
12884902643	509	12884902460	0.7442	17606	17994
12884902543	506	12884902460	0.6436	17604	17995
17179869919	503	21474837057	-0.3718	17399	17961
21474837177	509	21474837057	0.8812	17398	17995
17179869737	503	25769804295	-0.4177	17323	17959
8589935208	492	25769804295	-0.2430	17327	17951
21474837081	496	21474837057	-0.1733	17398	17702
4294968092	511	25769804295	-0.1753	17327	17702
4294967895	12884902460	21474837057	-0.2511	17328	17833
12884902746	480	25769804295	-0.2246	17333	17965
8589935196	478	25769804295	-0.2870	17334	17911
12884902599	476	25769804295	-0.0419	17334	17920
25769804454	12884902460	25769804295	-0.2515	17339	17658
12884902635	21474837057	25769804295	0.4700	17339	17977
17179870080	502	25769804295	-0.3662	17341	17873
17179869796	486	25769804295	-0.2157	17342	17984
21474837149	479	25769804295	-0.2274	17349	17886
25769804284	509	25769804295	-0.2904	17344	17979
17179869812	506	25769804295	0.2209	17345	17949
17179869900	505	25769804295	-0.1493	17345	17878
4294967872	513	21474837057	-0.1637	17395	17802
21474837334	481	25769804295	-0.2179	17348	17709
4294968148	494	21474837057	0.0358	17382	17941
17179870090	503	21474837099	-0.3690	17091	17999
8589935069	494	4294967829	0.0873	17128	17807
8589935148	486	4294967829	-0.3297	17128	17863
12884902475	479	4294967829	0.0226	17177	17861
38654706511	496	25769804295	-0.2685	17289	17889
17179869870	511	4294967829	-0.1470	17167	17597
17179869721	502	21474837099	0.0767	17093	17933
8589935443	481	21474837057	0.5384	17282	17984
17179869914	479	21474837099	-0.2927	17094	17938
12884902519	502	4294967829	-0.2804	17159	17830
34359738911	21474837099	25769804295	-0.0920	17097	17987
30064771877	478	21474837099	-0.4032	17098	17968
21474837167	4294967829	25769804295	0.3338	17156	17977
8589935462	511	21474837057	0.8736	17265	17987
17179870079	506	4294967829	-0.4736	17197	17961
12884902582	496	4294967829	-0.3861	17195	17906
17179869762	513	4294967829	0.9861	17192	17993
17179870083	481	4294967829	-0.1613	17191	17825
12884902698	503	4294967829	-0.0397	17191	17767
12884902796	480	4294967829	-0.4443	17190	17862
17179869763	492	4294967829	-0.3313	17189	17901
17179870061	505	4294967829	0.8946	17186	17993
17179869904	476	4294967829	-0.4376	17186	17965
17179869960	509	4294967829	-0.3536	17185	17901
17179869786	4294967829	21474837057	0.8589	17182	17980
25769804422	511	21474837099	-0.3844	17080	17955
21474837229	496	21474837099	-0.1900	17079	17881
17179870037	494	21474837099	-0.2477	17078	17783
21474837093	480	21474837099	-0.0666	17064	17991
21474837144	4294967829	21474837099	-0.2771	17063	17947
17179869916	4294967829	12884902460	0.0072	17062	17870
21474837370	476	21474837099	0.8588	17061	17999
12884902710	506	21474837099	-0.2605	17057	17955
8589935375	12884902460	21474837099	0.9627	17053	17981
8589935338	21474837057	21474837099	0.2986	17050	17934
4294967995	4294968161	25769804295	-0.2789	16959	17958
4294968003	509	4294968161	-0.2928	16965	17861
4294968189	486	4294968161	-0.0510	16968	17996
