# tick 20000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
492	17629.8809	0.1962	20001	0.4000	1,1,1	0.5000	21
476	8651.2998	-0.1187	20001	0.4000	3,1,0	0.5000	52
505	12064.2930	0.4825	20001	0.4000	0,2,2	0.5000	10
478	13190.1699	-0.2204	20001	0.4000	2,0,3	0.5000	35
479	20248.7461	-0.1646	20001	0.4000	1,3,3	0.5000	31
480	11567.8174	0.3208	20001	0.4000	3,2,3	0.5000	59
481	11022.0400	0.2647	20001	0.4000	0,3,2	0.5000	14
496	12085.1660	-0.1676	20001	0.4000	1,0,2	0.5000	18
21474837057	16439.9062	-0.0943	19400	0.4000	0,1,3	0.5000	7
502	7953.9854	0.2070	20001	0.4000	0,0,2	0.5000	2
503	13713.5557	0.0071	20001	0.4000	2,2,2	0.5000	42
486	20194.1855	0.1128	20001	0.4000	0,3,2	0.5000	14
513	15521.3047	0.2027	20001	0.4000	3,3,1	0.5000	61
511	7364.2900	-0.0719	20001	0.4000	1,1,3	0.5000	23
494	7549.7910	0.0567	20001	0.4000	2,2,1	0.5000	41
509	13429.5068	0.0388	20001	0.4000	1,2,1	0.5000	25
506	14710.0664	-0.2442	20001	0.4000	1,3,2	0.5000	30
12884902460	18665.1152	-0.1697	19650	0.4000	3,3,3	0.5000	63
25769804295	14144.8984	0.2029	19350	0.4000	3,1,2	0.5000	54
4294967829	414.8203	-0.2039	19200	0.4000	1,2,2	0.5000	26
21474837099	4595.1719	0.4770	19100	0.4000	3,0,2	0.5000	50
4294968161	12790.8027	0.1714	19000	0.4000	0,0,1	0.5000	1
12884902776	10238.5537	0.4569	18950	0.4000	0,1,1	0.5000	5
21474837667	12094.1455	0.4719	14250	0.4000	2,1,2	0.5000	38
21474837190	5386.0684	0.3939	18550	0.4000	0,2,3	0.5000	11
17179869890	18840.7832	0.2207	18500	0.4000	0,1,3	0.5000	7
30064771776	12465.8857	-0.2866	17850	0.4000	2,3,2	0.5000	46
4294968286	15084.0732	-0.1645	17300	0.4000	0,2,1	0.5000	9
8589935149	6700.9399	0.2902	17900	0.4000	2,0,1	0.5000	33
25769804369	14470.8691	-0.1367	17350	0.4000	2,2,1	0.5000	41
4294968345	16680.5039	-0.0426	16900	0.4000	1,3,0	0.5000	28
12884902954	11903.9141	0.1827	16150	0.4000	2,0,2	0.5000	34
68719477283	9191.3701	0.2612	16100	0.4000	0,1,0	0.5000	4
17179870208	2725.0706	0.4561	15900	0.4000	0,0,3	0.5000	3
12884902897	11116.5498	0.0084	15650	0.4000	2,1,0	0.5000	36
8589935818	10831.4902	0.4511	15400	0.4000	3,1,3	0.5000	55
25769804840	2515.3594	-0.1586	15350	0.4000	2,3,3	0.5000	47
8589935863	10058.2139	0.3975	14450	0.4000	0,3,2	0.5000	14
12884902769	6051.3633	0.4871	14350	0.4000	1,1,1	0.5000	21
25769805164	842.6294	0.3680	13550	0.4000	0,2,0	0.5000	8
25769804926	13300.3965	0.4042	14200	0.4000	0,2,3	0.5000	11
17179870574	6700.8076	-0.0710	13650	0.4000	2,3,1	0.5000	45
12884903416	7307.4971	0.1010	12950	0.4000	2,1,0	0.5000	36
17179870706	10903.9160	0.4215	12750	0.4000	3,1,0	0.5000	52
30064772526	6616.9385	0.4836	12700	0.4000	2,2,2	0.5000	42
17179870528	4753.5801	0.3138	12500	0.4000	0,3,0	0.5000	12
77309412385	5295.4619	-0.1134	12550	0.4000	3,1,2	0.5000	54
1768	7019.8706	0.2954	12150	0.4000	0,3,1	0.5000	13
51539610214	25.2745	0.0998	50	0.4000	1,0,1	0.5000	17
81604381234	329.3661	-0.1831	700	0.4000	1,1,1	0.5000	21
1834	2337.7097	-0.0434	11600	0.4000	3,2,0	0.5000	56
47244642070	3138.7354	0.2339	10100	0.4000	3,0,2	0.5000	50
2106	5019.0327	0.1443	8300	0.4000	0,0,1	0.5000	1
73014445945	3232.3728	0.4869	8600	0.4000	2,2,3	0.5000	43
17179871376	6628.4229	0.0785	7200	0.4000	0,0,1	0.5000	1
4294969260	2096.5947	0.3909	8400	0.4000	1,1,0	0.5000	20
30064773369	654.4275	0.0466	5200	0.4000	2,2,3	0.5000	43
25769805834	319.7026	0.4781	7350	0.4000	0,2,2	0.5000	10
8589936863	921.4958	0.0325	6900	0.4000	0,1,1	0.5000	5
81604380771	2169.7429	-0.0272	5250	0.4000	3,2,2	0.5000	58
98784249677	14.5937	-0.2700	600	0.4000	3,1,1	0.5000	53
77309413968	111.8040	0.1116	100	0.4000	1,3,3	0.5000	31
103079217427	59.2595	-0.0321	300	0.4000	3,3,2	0.5000	62
73014445860	80.2411	0.4902	200	0.4000	0,2,0	0.5000	8

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967887	494	513	-0.6656	19943	19919
4294968049	480	4294968054	-0.0000	19906	94
517	481	505	0.0288	20000	19828
8589935087	480	511	-0.1772	19822	19578
8589935251	505	21474837057	-0.2288	19377	19996
8589935366	481	496	0.6130	19909	19974
4294967810	492	506	-0.2588	19922	19943
4294967997	481	486	-0.1569	19911	19596
12884902463	506	21474837057	-0.1315	19379	19833
4294967780	480	496	-0.2074	19942	19930
4294967967	476	494	-0.2429	19970	19972
526	480	505	0.0521	20000	19755
8589935424	492	509	0.0707	19957	19960
737	476	492	0.0481	19985	19996
529	502	509	-0.1634	20000	19864
849	479	513	-0.3006	19972	19831
4294968019	476	496	-0.0945	19912	19956
4294967985	492	503	-0.2436	19946	19862
4294967781	476	513	-0.4944	19864	19904
8589935141	503	511	-0.0823	19940	19953
4294967987	481	511	-0.3187	19877	19634
4294967921	492	505	-0.4380	19891	19902
826	480	506	0.0115	19974	19993
855	496	513	0.0250	19967	19753
8589935090	478	479	-0.2364	19815	19974
4294967933	505	506	0.1636	19953	19986
4294968035	506	509	0.7121	19978	19973
676	480	509	-0.0700	19990	19958
817	486	494	-0.2535	19975	19904
4294967925	496	505	-0.0134	19892	19810
545	496	503	-0.4092	19999	19778
4294968082	492	496	-0.0519	19938	19656
4294968041	503	506	-0.2038	19978	19978
675	479	486	-0.2729	19990	19775
12884902591	481	494	-0.2797	19819	19961
550	478	511	-0.2455	19999	19964
827	481	513	-0.2495	19974	19795
4294967803	476	481	-0.2254	19907	19998
714	479	494	-0.0600	19987	19987
554	480	503	-0.4468	19998	19998
555	479	481	-0.4403	19998	19949
661	480	513	-0.1772	19991	19927
4294968146	492	513	-0.0792	19944	19981
8589935245	480	502	-0.4482	19929	19910
4294967937	477	509	-0.0000	19934	66
560	481	492	-0.2463	19998	19813
674	476	506	-0.2679	19990	19799
803	494	511	-0.1765	19979	19905
846	478	509	-0.4169	19972	19952
905	486	502	-0.2460	19958	19993
565	476	502	-0.1606	19998	19901
794	476	505	-0.3122	19979	19912
8589935151	494	509	-0.3031	19913	19892
885	479	480	-0.2534	19961	19652
569	502	506	-0.1743	19998	19739
660	476	478	-0.2217	19991	19890
882	496	509	-0.2399	19962	19906
8589935365	478	505	-0.2992	19956	19987
8589935422	476	486	-0.3061	19899	19857
4294968083	478	480	0.3083	19893	19996
806	502	513	-0.0990	19979	19885
4294968133	494	502	-0.3548	19885	19996
658	486	513	-0.6234	19992	19958
4294967783	479	502	-0.4591	19968	19972
4294968132	478	494	0.2205	19971	19831
690	481	502	0.3046	19989	19987
845	503	505	-0.1719	19972	19721
4294967787	494	505	-0.3648	19919	19978
583	505	513	0.0563	19997	20000
4294968127	494	503	-0.3259	19941	19870
585	476	509	-0.0266	19996	19558
12884902418	478	492	0.9546	19900	19992
4294967977	478	502	0.9920	19953	19997
872	505	509	-0.4249	19964	19940
4294967917	481	509	-0.4195	19945	19923
590	486	511	-0.3923	19996	19984
4294968094	479	496	0.9821	19967	19991
857	478	506	-0.2068	19966	19950
4294968117	496	506	-0.3384	19939	19879
801	480	492	-0.2931	19979	19986
4294968018	503	513	-0.0742	19894	19708
777	486	509	-0.3776	19982	19940
729	480	481	0.1043	19986	19874
8589935093	486	496	-0.1255	19903	19585
862	478	503	0.2355	19965	19774
8589935350	502	503	-0.3172	19904	19847
657	509	511	-0.1777	19992	19790
815	479	506	0.0094	19975	19988
12884902660	479	492	0.0574	19952	19999
8589935320	486	492	-0.0581	19971	19810
856	476	511	-0.5127	19966	19880
606	476	503	0.2372	19995	19967
744	506	511	-0.0282	19985	19955
608	511	513	-0.4597	19995	19925
609	476	479	-0.1956	19994	19809
610	481	503	-0.2116	19994	19895
767	502	511	-0.2085	19983	19803
4294968037	479	503	-0.2436	19937	19929
685	486	506	-0.1267	19990	19849
781	492	494	0.0533	19981	19986
4294968029	479	505	-0.0051	19968	19966
8589935380	506	513	-0.6185	19949	19943
884	478	481	-0.1346	19961	19985
667	496	502	-0.3275	19991	19964
838	479	511	-0.3522	19972	19895
620	502	505	0.1571	19994	19961
778	478	513	-0.4512	19982	19878
702	478	486	-0.3985	19988	19836
4294968004	478	496	-0.1931	19935	19938
679	480	486	0.9512	19990	19975
4294968055	492	511	-0.2044	19971	19705
4294968155	481	506	-0.4161	19957	19989
652	486	503	0.6049	19992	19918
4294968027	494	496	0.0933	19935	19989
769	476	480	0.2593	19982	19974
770	486	505	-0.3211	19982	19910
883	503	509	-0.1115	19962	19993
829	492	502	0.9881	19974	19994
633	496	511	-0.2707	19993	19911
700	509	513	-0.1245	19989	19865
871	505	511	-0.3722	19964	19860
867	480	494	-0.2691	19964	19693
825	479	509	-0.1223	19974	19982
4294968052	494	506	-0.3645	19916	19984
