# tick 22000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
492	20063.8809	0.1962	22001	0.4000	1,1,1	0.5000	21
476	7751.2998	-0.1187	22001	0.4000	3,1,0	0.5000	52
505	13274.2930	0.4825	22001	0.4000	0,2,2	0.5000	10
478	14936.1699	-0.2204	22001	0.4000	2,0,3	0.5000	35
479	19621.7461	-0.1646	22001	0.4000	1,3,3	0.5000	31
480	12021.8174	0.3208	22001	0.4000	3,2,3	0.5000	59
481	11634.0400	0.2647	22001	0.4000	0,3,2	0.5000	14
496	12492.1660	-0.1676	22001	0.4000	1,0,2	0.5000	18
21474837057	17194.9062	-0.0943	21400	0.4000	0,1,3	0.5000	7
502	8419.9854	0.2070	22001	0.4000	0,0,2	0.5000	2
503	15234.5557	0.0071	22001	0.4000	2,2,2	0.5000	42
486	21305.1855	0.1128	22001	0.4000	0,3,2	0.5000	14
513	14205.3047	0.2027	22001	0.4000	3,3,1	0.5000	61
511	8060.2900	-0.0719	22001	0.4000	1,1,3	0.5000	23
494	8395.7910	0.0567	22001	0.4000	2,2,1	0.5000	41
509	14794.5068	0.0388	22001	0.4000	1,2,1	0.5000	25
506	15704.0664	-0.2442	22001	0.4000	1,3,2	0.5000	30
12884902460	19717.1152	-0.1697	21650	0.4000	3,3,3	0.5000	63
25769804295	14380.8984	0.2029	21350	0.4000	3,1,2	0.5000	54
4294967829	1320.8203	-0.2039	21200	0.4000	1,2,2	0.5000	26
21474837099	5294.1719	0.4770	21100	0.4000	3,0,2	0.5000	50
4294968161	13881.8027	0.1714	21000	0.4000	0,0,1	0.5000	1
12884902776	11092.5537	0.4569	20950	0.4000	0,1,1	0.5000	5
21474837667	13079.1455	0.4719	16250	0.4000	2,1,2	0.5000	38
21474837190	5860.0684	0.3939	20550	0.4000	0,2,3	0.5000	11
17179869890	20343.7832	0.2207	20500	0.4000	0,1,3	0.5000	7
30064771776	12383.8857	-0.2866	19850	0.4000	2,3,2	0.5000	46
4294968286	14872.0732	-0.1645	19300	0.4000	0,2,1	0.5000	9
8589935149	7555.9399	0.2902	19900	0.4000	2,0,1	0.5000	33
25769804369	16130.8691	-0.1367	19350	0.4000	2,2,1	0.5000	41
4294968345	17374.5039	-0.0426	18900	0.4000	1,3,0	0.5000	28
12884902954	12665.9141	0.1827	18150	0.4000	2,0,2	0.5000	34
68719477283	7895.3701	0.2612	18100	0.4000	0,1,0	0.5000	4
17179870208	3426.0706	0.4561	17900	0.4000	0,0,3	0.5000	3
12884902897	10691.5498	0.0084	17650	0.4000	2,1,0	0.5000	36
8589935818	11035.4902	0.4511	17400	0.4000	3,1,3	0.5000	55
25769804840	3874.3594	-0.1586	17350	0.4000	2,3,3	0.5000	47
8589935863	11378.2139	0.3975	16450	0.4000	0,3,2	0.5000	14
12884902769	5715.3633	0.4871	16350	0.4000	1,1,1	0.5000	21
25769805164	2347.6294	0.3680	15550	0.4000	0,2,0	0.5000	8
25769804926	14847.3965	0.4042	16200	0.4000	0,2,3	0.5000	11
17179870574	8821.8076	-0.0710	15650	0.4000	2,3,1	0.5000	45
12884903416	6217.4971	0.1010	14950	0.4000	2,1,0	0.5000	36
17179870706	12370.9160	0.4215	14750	0.4000	3,1,0	0.5000	52
30064772526	6659.9385	0.4836	14700	0.4000	2,2,2	0.5000	42
17179870528	4586.5801	0.3138	14500	0.4000	0,3,0	0.5000	12
77309412385	5542.4619	-0.1134	14550	0.4000	3,1,2	0.5000	54
1768	8583.8711	0.2954	14150	0.4000	0,3,1	0.5000	13
98784249677	1406.5936	-0.2700	2600	0.4000	3,1,1	0.5000	53
81604381234	2037.3662	-0.1831	2700	0.4000	1,1,1	0.5000	21
1834	1727.7097	-0.0434	13600	0.4000	3,2,0	0.5000	56
47244642070	3910.7354	0.2339	12100	0.4000	3,0,2	0.5000	50
2106	6621.0327	0.1443	10300	0.4000	0,0,1	0.5000	1
73014445945	4331.3730	0.4869	10600	0.4000	2,2,3	0.5000	43
17179871376	7375.4229	0.0785	9200	0.4000	0,0,1	0.5000	1
4294969260	1326.5947	0.3909	10400	0.4000	1,1,0	0.5000	20
30064773369	1365.4275	0.0466	7200	0.4000	2,2,3	0.5000	43
30064773561	57.7440	0.3857	850	0.4000	3,2,0	0.5000	56
8589936863	2078.4958	0.0325	8900	0.4000	0,1,1	0.5000	5
81604380771	3079.7429	-0.0272	7250	0.4000	3,2,2	0.5000	58
98784250375	201.1402	-0.0495	500	0.4000	2,0,1	0.5000	33

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967887	494	513	-0.1230	21943	21888
4294968049	480	4294968054	-0.0000	21906	94
517	481	505	-0.3763	22000	21917
8589935087	480	511	-0.2765	21822	21956
8589935251	505	21474837057	-0.2845	21377	21926
8589935366	481	496	0.2383	21909	21997
4294967810	492	506	-0.0700	21922	21818
4294967997	481	486	0.1596	21911	21981
12884902463	506	21474837057	-0.0337	21379	21792
4294967780	480	496	-0.2001	21942	21761
4294967967	476	494	-0.3451	21970	21924
526	480	505	-0.1340	22000	21814
8589935424	492	509	-0.1606	21957	21763
737	476	492	-0.3050	21985	21701
529	502	509	-0.5014	22000	21973
849	479	513	-0.3545	21972	21908
4294968019	476	496	0.1444	21912	21986
4294967985	492	503	-0.1163	21946	21999
4294967781	476	513	-0.3953	21864	21862
8589935141	503	511	-0.1526	21940	21690
4294967987	481	511	-0.3800	21877	22000
4294967921	492	505	-0.3575	21891	21872
826	480	506	0.7333	21974	21977
855	496	513	-0.3924	21967	21946
8589935090	478	479	-0.2979	21815	21851
4294967933	505	506	0.5849	21953	21990
4294968035	506	509	0.9841	21978	21992
676	480	509	0.3615	21990	21988
817	486	494	-0.0726	21975	21986
4294967925	496	505	-0.1148	21892	21658
545	496	503	-0.3335	21999	21980
4294968082	492	496	-0.4295	21938	21959
4294968041	503	506	-0.1139	21978	21884
675	479	486	-0.2087	21990	21922
12884902591	481	494	-0.0523	21819	21940
550	478	511	-0.3610	21999	21983
827	481	513	-0.6646	21974	21997
4294967803	476	481	-0.1279	21907	21795
714	479	494	-0.2750	21987	21986
554	480	503	-0.1067	21998	21960
555	479	481	0.0313	21998	21985
661	480	513	0.0242	21991	21968
4294968146	492	513	-0.3067	21944	21615
8589935245	480	502	-0.2794	21929	21712
4294967937	477	509	-0.0000	21934	66
560	481	492	-0.1683	21998	21978
674	476	506	-0.1251	21990	21968
803	494	511	0.1231	21979	21994
846	478	509	-0.1187	21972	21931
905	486	502	-0.3011	21958	21981
565	476	502	0.1024	21998	21951
794	476	505	-0.4000	21979	21904
8589935151	494	509	0.0668	21913	21889
885	479	480	-0.4787	21961	21970
569	502	506	-0.3188	21998	21923
660	476	478	-0.1958	21991	21905
882	496	509	0.1030	21962	21945
8589935365	478	505	-0.1976	21956	21745
8589935422	476	486	-0.2825	21899	21970
4294968083	478	480	-0.1245	21893	21906
806	502	513	-0.0187	21979	21939
4294968133	494	502	0.0258	21885	21893
658	486	513	-0.1704	21992	21927
4294967783	479	502	-0.3766	21968	21920
4294968132	478	494	-0.0867	21971	21956
690	481	502	-0.0316	21989	21910
845	503	505	-0.1401	21972	21803
4294967787	494	505	-0.3045	21919	21884
583	505	513	0.3220	21997	21981
4294968127	494	503	-0.1214	21941	21745
585	476	509	-0.1871	21996	21962
12884902418	478	492	0.7870	21900	21943
4294967977	478	502	0.0848	21953	21835
872	505	509	0.6787	21964	21929
4294967917	481	509	-0.1840	21945	21916
590	486	511	0.0472	21996	21942
4294968094	479	496	-0.2959	21967	21935
857	478	506	-0.1437	21966	21626
4294968117	496	506	-0.3805	21939	21988
801	480	492	-0.3799	21979	21892
4294968018	503	513	-0.3212	21894	21984
777	486	509	-0.1825	21982	21797
729	480	481	-0.3517	21986	21997
8589935093	486	496	-0.3743	21903	21971
862	478	503	-0.2453	21965	21777
8589935350	502	503	-0.3283	21904	21901
657	509	511	-0.0179	21992	21738
815	479	506	-0.3278	21975	21879
12884902660	479	492	-0.2552	21952	21844
8589935320	486	492	0.0059	21971	21268
856	476	511	0.0873	21966	21897
606	476	503	-0.1609	21995	21720
744	506	511	-0.3928	21985	21918
608	511	513	-0.2560	21995	21814
609	476	479	-0.2441	21994	21844
610	481	503	-0.3161	21994	21942
767	502	511	-0.3326	21983	21978
4294968037	479	503	-0.2324	21937	21842
685	486	506	-0.2074	21990	21857
781	492	494	-0.2784	21981	21971
4294968029	479	505	-0.3365	21968	21954
8589935380	506	513	-0.3348	21949	21881
884	478	481	-0.2686	21961	21994
667	496	502	-0.3371	21991	21836
838	479	511	-0.2999	21972	21950
620	502	505	-0.0321	21994	21739
778	478	513	-0.1996	21982	21825
702	478	486	0.6448	21988	21999
4294968004	478	496	-0.0867	21935	21958
679	480	486	0.3743	21990	21988
4294968055	492	511	0.6828	21971	21938
4294968155	481	506	-0.2643	21957	21901
652	486	503	0.9743	21992	21987
4294968027	494	496	-0.2241	21935	21814
769	476	480	-0.0258	21982	21949
770	486	505	-0.4424	21982	21937
883	503	509	-0.1858	21962	21830
829	492	502	0.9960	21974	21998
633	496	511	-0.4326	21993	21965
