# tick 24000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
492	21386.8809	0.1962	24001	0.4000	1,1,1	0.5000	21
476	7473.2998	-0.1187	24001	0.4000	3,1,0	0.5000	52
505	15079.2930	0.4825	24001	0.4000	0,2,2	0.5000	10
478	15869.1699	-0.2204	24001	0.4000	2,0,3	0.5000	35
479	19592.7461	-0.1646	24001	0.4000	1,3,3	0.5000	31
480	12189.8174	0.3208	24001	0.4000	3,2,3	0.5000	59
481	11725.0400	0.2647	24001	0.4000	0,3,2	0.5000	14
496	13079.1660	-0.1676	24001	0.4000	1,0,2	0.5000	18
21474837057	16887.9062	-0.0943	23400	0.4000	0,1,3	0.5000	7
502	10008.9854	0.2070	24001	0.4000	0,0,2	0.5000	2
503	16412.5547	0.0071	24001	0.4000	2,2,2	0.5000	42
486	21128.1855	0.1128	24001	0.4000	0,3,2	0.5000	14
513	12700.3047	0.2027	24001	0.4000	3,3,1	0.5000	61
511	8433.2900	-0.0719	24001	0.4000	1,1,3	0.5000	23
494	9360.7910	0.0567	24001	0.4000	2,2,1	0.5000	41
509	15304.5068	0.0388	24001	0.4000	1,2,1	0.5000	25
506	16355.0664	-0.2442	24001	0.4000	1,3,2	0.5000	30
12884902460	19835.1152	-0.1697	23650	0.4000	3,3,3	0.5000	63
25769804295	14543.8984	0.2029	23350	0.4000	3,1,2	0.5000	54
4294967829	1398.8203	-0.2039	23200	0.4000	1,2,2	0.5000	26
21474837099	7977.1719	0.4770	23100	0.4000	3,0,2	0.5000	50
4294968161	14582.8027	0.1714	23000	0.4000	0,0,1	0.5000	1
12884902776	11465.5537	0.4569	22950	0.4000	0,1,1	0.5000	5
21474837667	13908.1455	0.4719	18250	0.4000	2,1,2	0.5000	38
21474837190	4811.0684	0.3939	22550	0.4000	0,2,3	0.5000	11
17179869890	22116.7832	0.2207	22500	0.4000	0,1,3	0.5000	7
30064771776	13112.8857	-0.2866	21850	0.4000	2,3,2	0.5000	46
4294968286	14662.0732	-0.1645	21300	0.4000	0,2,1	0.5000	9
8589935149	8017.9399	0.2902	21900	0.4000	2,0,1	0.5000	33
25769804369	18678.8691	-0.1367	21350	0.4000	2,2,1	0.5000	41
4294968345	18302.5039	-0.0426	20900	0.4000	1,3,0	0.5000	28
12884902954	13141.9141	0.1827	20150	0.4000	2,0,2	0.5000	34
68719477283	7952.3701	0.2612	20100	0.4000	0,1,0	0.5000	4
17179870208	3537.0706	0.4561	19900	0.4000	0,0,3	0.5000	3
12884902897	11400.5498	0.0084	19650	0.4000	2,1,0	0.5000	36
8589935818	11682.4902	0.4511	19400	0.4000	3,1,3	0.5000	55
25769804840	3747.3594	-0.1586	19350	0.4000	2,3,3	0.5000	47
8589935863	12182.2139	0.3975	18450	0.4000	0,3,2	0.5000	14
12884902769	5785.3633	0.4871	18350	0.4000	1,1,1	0.5000	21
25769805164	3498.6294	0.3680	17550	0.4000	0,2,0	0.5000	8
25769804926	15756.3965	0.4042	18200	0.4000	0,2,3	0.5000	11
17179870574	9357.8076	-0.0710	17650	0.4000	2,3,1	0.5000	45
12884903416	7061.4971	0.1010	16950	0.4000	2,1,0	0.5000	36
17179870706	14499.9160	0.4215	16750	0.4000	3,1,0	0.5000	52
30064772526	6694.9385	0.4836	16700	0.4000	2,2,2	0.5000	42
17179870528	5676.5801	0.3138	16500	0.4000	0,3,0	0.5000	12
77309412385	6871.4619	-0.1134	16550	0.4000	3,1,2	0.5000	54
1768	9383.8711	0.2954	16150	0.4000	0,3,1	0.5000	13
98784249677	1212.5936	-0.2700	4600	0.4000	3,1,1	0.5000	53
81604381234	2040.3662	-0.1831	4700	0.4000	1,1,1	0.5000	21
1834	1713.7097	-0.0434	15600	0.4000	3,2,0	0.5000	56
47244642070	4158.7354	0.2339	14100	0.4000	3,0,2	0.5000	50
2106	8317.0332	0.1443	12300	0.4000	0,0,1	0.5000	1
73014445945	4467.3730	0.4869	12600	0.4000	2,2,3	0.5000	43
17179871376	7695.4229	0.0785	11200	0.4000	0,0,1	0.5000	1
154618824455	34.6781	0.0493	250	0.4000	1,0,1	0.5000	17
30064773369	929.4275	0.0466	9200	0.4000	2,2,3	0.5000	43
81604380771	3669.7429	-0.0272	9250	0.4000	3,2,2	0.5000	58
8589936863	3268.4958	0.0325	10900	0.4000	0,1,1	0.5000	5
94489282283	128.3984	-0.2398	150	0.4000	2,2,2	0.5000	42
85899347666	23.6638	0.2124	100	0.4000	3,3,3	0.5000	63
47244642260	26.2541	-0.2132	50	0.4000	0,3,0	0.5000	12

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967887	494	513	-0.3790	23943	23874
4294968049	480	4294968054	-0.0000	23906	94
517	481	505	-0.2334	24000	23952
8589935087	480	511	-0.2791	23822	23997
8589935251	505	21474837057	-0.3545	23377	23999
8589935366	481	496	0.7701	23909	23986
4294967810	492	506	-0.2478	23922	23857
4294967997	481	486	-0.0351	23911	23870
12884902463	506	21474837057	-0.1818	23379	23835
4294967780	480	496	0.1153	23942	23882
4294967967	476	494	0.8349	23970	23997
526	480	505	-0.2354	24000	23831
8589935424	492	509	0.1584	23957	23735
737	476	492	-0.1725	23985	23652
529	502	509	-0.2252	24000	23976
849	479	513	-0.3296	23972	23993
4294968019	476	496	-0.2269	23912	23826
4294967985	492	503	-0.0100	23946	23785
4294967781	476	513	-0.2473	23864	23820
8589935141	503	511	0.5762	23940	23874
4294967987	481	511	-0.2782	23877	23986
4294967921	492	505	-0.2521	23891	23730
826	480	506	0.8227	23974	23983
855	496	513	-0.2222	23967	23928
8589935090	478	479	-0.2179	23815	23678
4294967933	505	506	-0.3628	23953	23936
4294968035	506	509	0.4623	23978	23906
676	480	509	-0.1140	23990	23896
817	486	494	0.3917	23975	23981
4294967925	496	505	-0.1073	23892	23811
545	496	503	-0.1614	23999	23793
4294968082	492	496	0.0430	23938	23991
4294968041	503	506	0.0679	23978	23937
675	479	486	-0.1006	23990	23691
12884902591	481	494	-0.4302	23819	23846
550	478	511	-0.3157	23999	23953
827	481	513	-0.3894	23974	23980
4294967803	476	481	-0.0531	23907	23204
714	479	494	-0.1724	23987	23923
554	480	503	-0.2205	23998	23712
555	479	481	0.2024	23998	23921
661	480	513	-0.2694	23991	23736
4294968146	492	513	-0.3075	23944	23919
8589935245	480	502	-0.2279	23929	23730
4294967937	477	509	-0.0000	23934	66
560	481	492	-0.0399	23998	23958
674	476	506	-0.2429	23990	23976
803	494	511	-0.3557	23979	23976
846	478	509	-0.2025	23972	23771
905	486	502	0.1580	23958	23784
565	476	502	-0.2911	23998	23813
794	476	505	-0.4599	23979	24000
8589935151	494	509	-0.3446	23913	23913
885	479	480	-0.1761	23961	23679
569	502	506	-0.4636	23998	23974
660	476	478	-0.4323	23991	23885
882	496	509	-0.4468	23962	23960
8589935365	478	505	-0.3232	23956	23859
8589935422	476	486	-0.1697	23899	23994
4294968083	478	480	-0.1518	23893	23933
806	502	513	-0.0714	23979	23998
4294968133	494	502	-0.3260	23885	23958
658	486	513	0.5714	23992	23975
4294967783	479	502	-0.2765	23968	23907
4294968132	478	494	-0.2287	23971	23937
690	481	502	-0.5402	23989	23973
845	503	505	-0.1200	23972	23896
4294967787	494	505	-0.1213	23919	23922
583	505	513	-0.1818	23997	23787
4294968127	494	503	-0.2982	23941	23997
585	476	509	-0.2921	23996	23876
12884902418	478	492	-0.1704	23900	23787
4294967977	478	502	-0.1254	23953	23883
872	505	509	0.9861	23964	23993
4294967917	481	509	-0.0364	23945	23966
590	486	511	-0.1973	23996	23980
4294968094	479	496	-0.3170	23967	23977
857	478	506	-0.5638	23966	23938
4294968117	496	506	-0.3528	23939	23904
801	480	492	-0.1474	23979	23767
4294968018	503	513	-0.2455	23894	23960
777	486	509	-0.3654	23982	23936
729	480	481	-0.3816	23986	23895
8589935093	486	496	-0.3098	23903	23926
862	478	503	-0.3085	23965	23901
8589935350	502	503	-0.3089	23904	23911
657	509	511	-0.1962	23992	23929
815	479	506	-0.1306	23975	23909
12884902660	479	492	-0.1513	23952	23982
8589935320	486	492	-0.4892	23971	23807
856	476	511	-0.2925	23966	23989
606	476	503	-0.3838	23995	23953
744	506	511	-0.2177	23985	23794
608	511	513	-0.2424	23995	23688
609	476	479	-0.2759	23994	23775
610	481	503	0.3198	23994	23996
767	502	511	-0.0810	23983	23833
4294968037	479	503	-0.2278	23937	23694
685	486	506	-0.3806	23990	23849
781	492	494	-0.2720	23981	23967
4294968029	479	505	-0.0897	23968	23364
8589935380	506	513	-0.3365	23949	23827
884	478	481	-0.0712	23961	23935
667	496	502	-0.1272	23991	23591
838	479	511	-0.2448	23972	23927
620	502	505	-0.4873	23994	23949
778	478	513	-0.2495	23982	23881
702	478	486	-0.0144	23988	23997
4294968004	478	496	-0.4038	23935	23923
679	480	486	0.6312	23990	23985
4294968055	492	511	0.3475	23971	23953
4294968155	481	506	0.1912	23957	23963
652	486	503	-0.3488	23992	23916
4294968027	494	496	-0.6189	23935	23963
769	476	480	-0.3820	23982	23983
770	486	505	-0.2935	23982	23963
883	503	509	-0.2122	23962	23880
829	492	502	0.9940	23974	23997
633	496	511	-0.1407	23993	23871
700	509	513	-0.1948	23989	23421
871	505	511	-0.1082	23964	23969
