# tick 26000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
492	22011.8809	0.1962	26001	0.4000	1,1,1	0.5000	21
476	9202.2998	-0.1187	26001	0.4000	3,1,0	0.5000	52
505	17781.2930	0.4825	26001	0.4000	0,2,2	0.5000	10
478	17287.1699	-0.2204	26001	0.4000	2,0,3	0.5000	35
479	19574.7461	-0.1646	26001	0.4000	1,3,3	0.5000	31
480	13478.8174	0.3208	26001	0.4000	3,2,3	0.5000	59
481	12993.0400	0.2647	26001	0.4000	0,3,2	0.5000	14
496	13122.1660	-0.1676	26001	0.4000	1,0,2	0.5000	18
21474837057	17105.9062	-0.0943	25400	0.4000	0,1,3	0.5000	7
502	11566.9854	0.2070	26001	0.4000	0,0,2	0.5000	2
503	18418.5547	0.0071	26001	0.4000	2,2,2	0.5000	42
486	20638.1855	0.1128	26001	0.4000	0,3,2	0.5000	14
513	13182.3047	0.2027	26001	0.4000	3,3,1	0.5000	61
511	10411.2900	-0.0719	26001	0.4000	1,1,3	0.5000	23
494	10512.7910	0.0567	26001	0.4000	2,2,1	0.5000	41
509	15999.5068	0.0388	26001	0.4000	1,2,1	0.5000	25
506	17000.0664	-0.2442	26001	0.4000	1,3,2	0.5000	30
12884902460	20839.1152	-0.1697	25650	0.4000	3,3,3	0.5000	63
25769804295	14952.8984	0.2029	25350	0.4000	3,1,2	0.5000	54
4294967829	1202.8203	-0.2039	25200	0.4000	1,2,2	0.5000	26
21474837099	10537.1719	0.4770	25100	0.4000	3,0,2	0.5000	50
4294968161	15150.8027	0.1714	25000	0.4000	0,0,1	0.5000	1
12884902776	11241.5537	0.4569	24950	0.4000	0,1,1	0.5000	5
21474837667	14946.1455	0.4719	20250	0.4000	2,1,2	0.5000	38
21474837190	5653.0684	0.3939	24550	0.4000	0,2,3	0.5000	11
17179869890	22269.7832	0.2207	24500	0.4000	0,1,3	0.5000	7
30064771776	13766.8857	-0.2866	23850	0.4000	2,3,2	0.5000	46
4294968286	14558.0732	-0.1645	23300	0.4000	0,2,1	0.5000	9
8589935149	9229.9395	0.2902	23900	0.4000	2,0,1	0.5000	33
25769804369	19463.8691	-0.1367	23350	0.4000	2,2,1	0.5000	41
4294968345	19609.5039	-0.0426	22900	0.4000	1,3,0	0.5000	28
12884902954	13384.9141	0.1827	22150	0.4000	2,0,2	0.5000	34
68719477283	8467.3701	0.2612	22100	0.4000	0,1,0	0.5000	4
17179870208	4903.0703	0.4561	21900	0.4000	0,0,3	0.5000	3
12884902897	13125.5498	0.0084	21650	0.4000	2,1,0	0.5000	36
8589935818	12310.4902	0.4511	21400	0.4000	3,1,3	0.5000	55
25769804840	3481.3594	-0.1586	21350	0.4000	2,3,3	0.5000	47
8589935863	13162.2139	0.3975	20450	0.4000	0,3,2	0.5000	14
12884902769	6947.3633	0.4871	20350	0.4000	1,1,1	0.5000	21
25769805164	4021.6294	0.3680	19550	0.4000	0,2,0	0.5000	8
25769804926	17195.3965	0.4042	20200	0.4000	0,2,3	0.5000	11
17179870574	8358.8076	-0.0710	19650	0.4000	2,3,1	0.5000	45
12884903416	7626.4971	0.1010	18950	0.4000	2,1,0	0.5000	36
17179870706	17069.9160	0.4215	18750	0.4000	3,1,0	0.5000	52
30064772526	7893.9385	0.4836	18700	0.4000	2,2,2	0.5000	42
17179870528	6406.5801	0.3138	18500	0.4000	0,3,0	0.5000	12
77309412385	7812.4619	-0.1134	18550	0.4000	3,1,2	0.5000	54
1768	9435.8711	0.2954	18150	0.4000	0,3,1	0.5000	13
98784249677	834.5936	-0.2700	6600	0.4000	3,1,1	0.5000	53
81604381234	2846.3662	-0.1831	6700	0.4000	1,1,1	0.5000	21
1834	1876.7097	-0.0434	17600	0.4000	3,2,0	0.5000	56
47244642070	4175.7354	0.2339	16100	0.4000	3,0,2	0.5000	50
2106	9705.0332	0.1443	14300	0.4000	0,0,1	0.5000	1
73014445945	3423.3730	0.4869	14600	0.4000	2,2,3	0.5000	43
17179871376	9476.4229	0.0785	13200	0.4000	0,0,1	0.5000	1
107374185001	68.1900	0.1163	1250	0.4000	3,3,3	0.5000	63
30064773369	2158.4275	0.0466	11200	0.4000	2,2,3	0.5000	43
81604380771	4578.7432	-0.0272	11250	0.4000	3,2,2	0.5000	58
8589936863	4281.4961	0.0325	12900	0.4000	0,1,1	0.5000	5
115964118790	25.3492	0.3518	100	0.4000	0,1,2	0.5000	6
214748367184	110.3190	0.3958	200	0.4000	3,2,3	0.5000	59
94489283191	36.9691	-0.0609	150	0.4000	0,0,3	0.5000	3
77309413562	81.7756	-0.0817	50	0.4000	3,0,0	0.5000	48

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967887	494	513	-0.2903	25943	25793
4294968049	480	4294968054	-0.0000	25906	94
517	481	505	-0.2367	26000	25884
8589935087	480	511	0.2205	25822	25978
8589935251	505	21474837057	-0.2638	25377	25939
8589935366	481	496	0.1045	25909	25946
4294967810	492	506	-0.3029	25922	25976
4294967997	481	486	-0.0891	25911	25887
12884902463	506	21474837057	-0.1143	25379	25862
4294967780	480	496	-0.1205	25942	25998
4294967967	476	494	0.2530	25970	25954
526	480	505	-0.2325	26000	25852
8589935424	492	509	-0.3080	25957	25991
737	476	492	-0.2935	25985	25951
529	502	509	-0.2038	26000	25998
849	479	513	-0.0278	25972	25785
4294968019	476	496	0.9782	25912	25989
4294967985	492	503	0.9980	25946	25999
4294967781	476	513	0.1176	25864	25937
8589935141	503	511	0.9305	25940	25964
4294967987	481	511	-0.2476	25877	25889
4294967921	492	505	0.2332	25891	25937
826	480	506	0.9474	25974	25973
855	496	513	0.0267	25967	25996
8589935090	478	479	-0.2976	25815	25961
4294967933	505	506	-0.1731	25953	25966
4294968035	506	509	0.3820	25978	25969
676	480	509	0.8697	25990	25984
817	486	494	0.9900	25975	25995
4294967925	496	505	-0.1359	25892	25974
545	496	503	-0.2923	25999	25987
4294968082	492	496	0.0115	25938	25997
4294968041	503	506	-0.4170	25978	25942
675	479	486	0.0328	25990	25945
12884902591	481	494	0.9940	25819	25997
550	478	511	0.0404	25999	25948
827	481	513	-0.2622	25974	25914
4294967803	476	481	0.9920	25907	25996
714	479	494	-0.1542	25987	25738
554	480	503	-0.2461	25998	25685
555	479	481	0.6127	25998	25987
661	480	513	-0.2858	25991	25981
4294968146	492	513	-0.5368	25944	25928
8589935245	480	502	-0.2198	25929	25958
4294967937	477	509	-0.0000	25934	66
560	481	492	-0.4908	25998	25935
674	476	506	-0.3261	25990	25796
803	494	511	-0.0566	25979	25417
846	478	509	0.0528	25972	25857
905	486	502	-0.0300	25958	25873
565	476	502	-0.0825	25998	25949
794	476	505	0.3974	25979	25988
8589935151	494	509	-0.2387	25913	25679
885	479	480	-0.3369	25961	25904
569	502	506	-0.2712	25998	25838
660	476	478	-0.5085	25991	25871
882	496	509	-0.2941	25962	25773
8589935365	478	505	-0.1268	25956	25913
8589935422	476	486	0.1327	25899	25999
4294968083	478	480	0.0555	25893	25952
806	502	513	0.2123	25979	25960
4294968133	494	502	-0.1859	25885	25688
658	486	513	0.2310	25992	25922
4294967783	479	502	-0.2221	25968	25707
4294968132	478	494	-0.1440	25971	25938
690	481	502	-0.5834	25989	25959
845	503	505	-0.1644	25972	25895
4294967787	494	505	-0.0307	25919	25946
583	505	513	-0.1551	25997	25999
4294968127	494	503	-0.1643	25941	25599
585	476	509	0.1957	25996	25868
12884902418	478	492	-0.3150	25900	25884
4294967977	478	502	-0.2333	25953	25550
872	505	509	0.4238	25964	25902
4294967917	481	509	-0.1177	25945	25977
590	486	511	0.0479	25996	25804
4294968094	479	496	-0.1175	25967	25891
857	478	506	-0.3115	25966	25844
4294968117	496	506	-0.0981	25939	25960
801	480	492	-0.3232	25979	25714
4294968018	503	513	-0.1906	25894	25953
777	486	509	-0.2990	25982	25936
729	480	481	-0.4245	25986	25930
8589935093	486	496	-0.0818	25903	25681
862	478	503	-0.1470	25965	25982
8589935350	502	503	-0.1490	25904	25870
657	509	511	-0.1723	25992	25765
815	479	506	-0.0436	25975	25967
12884902660	479	492	-0.3397	25952	25870
8589935320	486	492	-0.2278	25971	25882
856	476	511	-0.1609	25966	25920
606	476	503	-0.3173	25995	25929
744	506	511	-0.1495	25985	25952
608	511	513	0.3331	25995	25893
609	476	479	-0.4103	25994	25974
610	481	503	0.2852	25994	25959
767	502	511	0.9900	25983	25995
4294968037	479	503	0.1510	25937	25910
685	486	506	-0.3586	25990	25894
781	492	494	-0.1399	25981	25672
4294968029	479	505	-0.2325	25968	25779
8589935380	506	513	-0.1173	25949	25527
884	478	481	-0.6251	25961	25934
667	496	502	-0.2254	25991	25622
838	479	511	-0.1727	25972	25678
620	502	505	-0.3407	25994	25847
778	478	513	0.7152	25982	25999
702	478	486	-0.1307	25988	25565
4294968004	478	496	-0.2167	25935	25913
679	480	486	-0.2331	25990	25932
4294968055	492	511	0.4853	25971	25974
4294968155	481	506	-0.2220	25957	25988
652	486	503	-0.3680	25992	25988
4294968027	494	496	-0.2555	25935	25975
769	476	480	0.7624	25982	25995
770	486	505	0.9920	25982	25996
883	503	509	-0.2326	25962	25946
829	492	502	-0.1259	25974	25832
633	496	511	-0.1378	25993	25809
700	509	513	-0.2880	25989	25599
871	505	511	0.1361	25964	25989
867	480	494	-0.2345	25964	25909
825	479	509	-0.3766	25974	25947
