# tick 28000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
492	22493.8809	0.1962	28001	0.4000	1,1,1	0.5000	21
476	11913.2998	-0.1187	28001	0.4000	3,1,0	0.5000	52
505	19586.2930	0.4825	28001	0.4000	0,2,2	0.5000	10
478	17347.1699	-0.2204	28001	0.4000	2,0,3	0.5000	35
479	20212.7461	-0.1646	28001	0.4000	1,3,3	0.5000	31
480	14534.8174	0.3208	28001	0.4000	3,2,3	0.5000	59
481	14093.0400	0.2647	28001	0.4000	0,3,2	0.5000	14
496	12775.1660	-0.1676	28001	0.4000	1,0,2	0.5000	18
21474837057	17812.9062	-0.0943	27400	0.4000	0,1,3	0.5000	7
502	11624.9854	0.2070	28001	0.4000	0,0,2	0.5000	2
503	18850.5547	0.0071	28001	0.4000	2,2,2	0.5000	42
486	21882.1855	0.1128	28001	0.4000	0,3,2	0.5000	14
513	13677.3047	0.2027	28001	0.4000	3,3,1	0.5000	61
511	11756.2900	-0.0719	28001	0.4000	1,1,3	0.5000	23
494	11919.7910	0.0567	28001	0.4000	2,2,1	0.5000	41
509	16945.5078	0.0388	28001	0.4000	1,2,1	0.5000	25
506	17605.0664	-0.2442	28001	0.4000	1,3,2	0.5000	30
12884902460	20809.1152	-0.1697	27650	0.4000	3,3,3	0.5000	63
25769804295	15221.8984	0.2029	27350	0.4000	3,1,2	0.5000	54
4294967829	1692.8203	-0.2039	27200	0.4000	1,2,2	0.5000	26
21474837099	12787.1719	0.4770	27100	0.4000	3,0,2	0.5000	50
4294968161	14819.8027	0.1714	27000	0.4000	0,0,1	0.5000	1
12884902776	11925.5537	0.4569	26950	0.4000	0,1,1	0.5000	5
21474837667	14990.1455	0.4719	22250	0.4000	2,1,2	0.5000	38
21474837190	5861.0684	0.3939	26550	0.4000	0,2,3	0.5000	11
17179869890	22428.7832	0.2207	26500	0.4000	0,1,3	0.5000	7
30064771776	14324.8857	-0.2866	25850	0.4000	2,3,2	0.5000	46
4294968286	15048.0732	-0.1645	25300	0.4000	0,2,1	0.5000	9
8589935149	11730.9395	0.2902	25900	0.4000	2,0,1	0.5000	33
25769804369	20126.8691	-0.1367	25350	0.4000	2,2,1	0.5000	41
4294968345	20142.5039	-0.0426	24900	0.4000	1,3,0	0.5000	28
12884902954	13379.9141	0.1827	24150	0.4000	2,0,2	0.5000	34
68719477283	10499.3701	0.2612	24100	0.4000	0,1,0	0.5000	4
17179870208	5701.0703	0.4561	23900	0.4000	0,0,3	0.5000	3
12884902897	14842.5498	0.0084	23650	0.4000	2,1,0	0.5000	36
8589935818	11854.4902	0.4511	23400	0.4000	3,1,3	0.5000	55
25769804840	3623.3594	-0.1586	23350	0.4000	2,3,3	0.5000	47
8589935863	13902.2139	0.3975	22450	0.4000	0,3,2	0.5000	14
12884902769	7931.3633	0.4871	22350	0.4000	1,1,1	0.5000	21
25769805164	2941.6294	0.3680	21550	0.4000	0,2,0	0.5000	8
25769804926	17982.3965	0.4042	22200	0.4000	0,2,3	0.5000	11
17179870574	8722.8076	-0.0710	21650	0.4000	2,3,1	0.5000	45
12884903416	8998.4971	0.1010	20950	0.4000	2,1,0	0.5000	36
17179870706	19017.9160	0.4215	20750	0.4000	3,1,0	0.5000	52
30064772526	7330.9385	0.4836	20700	0.4000	2,2,2	0.5000	42
17179870528	7070.5801	0.3138	20500	0.4000	0,3,0	0.5000	12
77309412385	9690.4619	-0.1134	20550	0.4000	3,1,2	0.5000	54
1768	9419.8711	0.2954	20150	0.4000	0,3,1	0.5000	13
98784249677	340.5936	-0.2700	8600	0.4000	3,1,1	0.5000	53
81604381234	4793.3662	-0.1831	8700	0.4000	1,1,1	0.5000	21
1834	1768.7097	-0.0434	19600	0.4000	3,2,0	0.5000	56
47244642070	4262.7354	0.2339	18100	0.4000	3,0,2	0.5000	50
2106	10010.0332	0.1443	16300	0.4000	0,0,1	0.5000	1
73014445945	1945.3730	0.4869	16600	0.4000	2,2,3	0.5000	43
17179871376	10519.4229	0.0785	15200	0.4000	0,0,1	0.5000	1
55834576889	41.8651	0.2596	200	0.4000	3,0,1	0.5000	49
30064773369	2814.4275	0.0466	13200	0.4000	2,2,3	0.5000	43
81604380771	3127.7432	-0.0272	13250	0.4000	3,2,2	0.5000	58
8589936863	4684.4961	0.0325	14900	0.4000	0,1,1	0.5000	5
171798694433	111.3804	0.3865	250	0.4000	1,1,3	0.5000	23
197568498244	108.0614	0.0767	150	0.4000	3,3,0	0.5000	60
77309413297	83.4909	0.1340	50	0.4000	3,3,0	0.5000	60

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967887	494	513	0.1201	27943	27947
4294968049	480	4294968054	-0.0000	27906	94
517	481	505	0.0470	28000	27946
8589935087	480	511	-0.3003	27822	27683
8589935251	505	21474837057	-0.3551	27377	27968
8589935366	481	496	0.1733	27909	27996
4294967810	492	506	-0.2577	27922	27962
4294967997	481	486	0.1484	27911	27937
12884902463	506	21474837057	-0.3673	27379	27966
4294967780	480	496	-0.4403	27942	27918
4294967967	476	494	-0.1803	27970	27622
526	480	505	-0.1001	28000	27776
8589935424	492	509	-0.4787	27957	27907
737	476	492	-0.2122	27985	27893
529	502	509	-0.2814	28000	27920
849	479	513	-0.1558	27972	27944
4294968019	476	496	0.8531	27912	28000
4294967985	492	503	0.2711	27946	27957
4294967781	476	513	-0.2330	27864	27767
8589935141	503	511	0.7781	27940	27968
4294967987	481	511	0.9608	27877	27980
4294967921	492	505	-0.1307	27891	27998
826	480	506	0.3480	27974	27974
855	496	513	-0.1791	27967	27699
8589935090	478	479	-0.4025	27815	27973
4294967933	505	506	-0.1182	27953	27620
4294968035	506	509	-0.1088	27978	27739
676	480	509	0.0062	27990	27820
817	486	494	0.6894	27975	27986
4294967925	496	505	-0.2711	27892	27848
545	496	503	-0.2695	27999	27904
4294968082	492	496	-0.3434	27938	27995
4294968041	503	506	0.1649	27978	27945
675	479	486	-0.2688	27990	27942
12884902591	481	494	0.9802	27819	27990
550	478	511	-0.4241	27999	27961
827	481	513	0.0491	27974	27970
4294967803	476	481	0.6891	27907	27961
714	479	494	0.0584	27987	27814
554	480	503	0.0150	27998	27984
555	479	481	-0.3465	27998	27887
661	480	513	-0.5259	27991	27971
4294968146	492	513	-0.2838	27944	27813
8589935245	480	502	-0.3035	27929	27865
4294967937	477	509	-0.0000	27934	66
560	481	492	-0.3567	27998	27921
674	476	506	-0.1213	27990	27602
803	494	511	-0.0632	27979	27995
846	478	509	-0.3151	27972	27905
905	486	502	-0.1218	27958	27865
565	476	502	-0.3041	27998	27986
794	476	505	0.9531	27979	27976
8589935151	494	509	0.3795	27913	27902
885	479	480	-0.0357	27961	27902
569	502	506	-0.0531	27998	27795
660	476	478	0.0109	27991	27991
882	496	509	-0.3897	27962	27896
8589935365	478	505	-0.2624	27956	27977
8589935422	476	486	-0.0121	27899	27954
4294968083	478	480	0.0441	27893	27903
806	502	513	0.2104	27979	27970
4294968133	494	502	-0.2398	27885	27839
658	486	513	0.0577	27992	27762
4294967783	479	502	-0.4052	27968	27833
4294968132	478	494	-0.3535	27971	27835
690	481	502	-0.4567	27989	27971
845	503	505	-0.5960	27972	27972
4294967787	494	505	-0.4036	27919	27906
583	505	513	-0.2753	27997	27952
4294968127	494	503	-0.3709	27941	27834
585	476	509	0.3203	27996	27918
12884902418	478	492	-0.4238	27900	27998
4294967977	478	502	-0.1763	27953	27999
872	505	509	0.9402	27964	27983
4294967917	481	509	0.1403	27945	27754
590	486	511	0.2779	27996	27995
4294968094	479	496	-0.2452	27967	27879
857	478	506	-0.0377	27966	27865
4294968117	496	506	-0.0743	27939	27804
801	480	492	-0.2968	27979	27880
4294968018	503	513	-0.3358	27894	27873
777	486	509	-0.1433	27982	27844
729	480	481	-0.1832	27986	27734
8589935093	486	496	-0.4788	27903	27939
862	478	503	-0.1470	27965	27724
8589935350	502	503	0.1267	27904	27999
657	509	511	-0.2305	27992	27935
815	479	506	-0.2011	27975	27711
12884902660	479	492	-0.0996	27952	27911
8589935320	486	492	0.4054	27971	27981
856	476	511	-0.0024	27966	27905
606	476	503	-0.2229	27995	27899
744	506	511	-0.4320	27985	27968
608	511	513	-0.7695	27995	27942
609	476	479	-0.4681	27994	27862
610	481	503	-0.1164	27994	27874
767	502	511	0.7627	27983	27943
4294968037	479	503	-0.0298	27937	27965
685	486	506	-0.2315	27990	27919
781	492	494	-0.3257	27981	27973
4294968029	479	505	0.0641	27968	28000
8589935380	506	513	-0.2365	27949	27692
884	478	481	-0.0685	27961	27930
667	496	502	-0.3285	27991	27816
838	479	511	-0.2602	27972	27905
620	502	505	0.0879	27994	27684
778	478	513	0.5421	27982	27969
702	478	486	-0.3788	27988	27983
4294968004	478	496	-0.1135	27935	27630
679	480	486	-0.3656	27990	27968
4294968055	492	511	0.0434	27971	27948
4294968155	481	506	-0.2698	27957	27842
652	486	503	-0.1326	27992	27766
4294968027	494	496	-0.3298	27935	27922
769	476	480	0.3196	27982	27980
770	486	505	0.7596	27982	27988
883	503	509	-0.1840	27962	27677
829	492	502	-0.5565	27974	27974
633	496	511	-0.3238	27993	27928
700	509	513	-0.3921	27989	27998
871	505	511	-0.2064	27964	27855
867	480	494	-0.4585	27964	27968
825	479	509	-0.3065	27974	27980
4294968052	494	506	-0.3779	27916	27774
17179869722	509	21474837099	-0.1339	27086	27933
8589935188	478	4294967829	1.0000	27121	28000
21474837355	481	21474837099	0.7404	27086	27964
21474837265	513	21474837099	0.9900	27087	27995
4294968174	492	21474837057	0.9569	27320	27978
12884902667	513	25769804295	-0.2674	27220	27914
25769804667	478	21474837057	-0.3376	27309	27805
12884902554	494	25769804295	0.0700	27317	27875
30064771653	486	21474837057	-0.2435	27360	27972
17179869926	513	12884902460	-0.1378	27649	27979
12884902388	486	12884902460	-0.0451	27649	27973
21474837374	479	21474837057	-0.2081	27372	27922
17179869876	492	12884902460	-0.4471	27648	27986
12884902654	480	12884902460	-0.2534	27646	27692
12884902377	496	12884902460	-0.2254	27645	27974
12884902511	503	12884902460	-0.1792	27644	27979
25769804456	478	12884902460	-0.3825	27644	27954
12884902506	511	12884902460	-0.4811	27643	27999
12884902685	494	12884902460	-0.0939	27642	27985
8589935309	502	21474837057	-0.0828	27390	27997
8589935468	479	12884902460	-0.2657	27638	27955
4294968116	480	21474837057	0.4824	27390	27953
21474837231	502	12884902460	-0.5178	27636	27949
25769804469	505	12884902460	-0.0904	27632	27967
8589935231	476	21474837057	0.1093	27392	27969
17179869666	481	12884902460	-0.0804	27627	27908
30064771837	476	12884902460	-0.0729	27610	27992
12884902643	509	12884902460	-0.3608	27606	27906
12884902543	506	12884902460	-0.3063	27604	27947
17179869919	503	21474837057	-0.4663	27399	27958
21474837177	509	21474837057	0.0113	27398	27642
17179869737	503	25769804295	-0.0996	27323	27990
8589935208	492	25769804295	-0.4245	27327	27987
21474837081	496	21474837057	-0.2954	27398	27933
4294968092	511	25769804295	-0.0503	27327	27777
4294967895	12884902460	21474837057	-0.3990	27328	27838
12884902746	480	25769804295	-0.4222	27333	27904
8589935196	478	25769804295	-0.0362	27334	27933
12884902599	476	25769804295	-0.2281	27334	27884
25769804454	12884902460	25769804295	-0.3369	27339	27876
12884902635	21474837057	25769804295	-0.3472	27339	27911
17179870080	502	25769804295	-0.3489	27341	27883
17179869796	486	25769804295	-0.1845	27342	27849
21474837149	479	25769804295	-0.0065	27349	27864
25769804284	509	25769804295	-0.2530	27344	27898
17179869812	506	25769804295	-0.4222	27345	27789
17179869900	505	25769804295	0.1283	27345	27983
4294967872	513	21474837057	0.0464	27395	27931
21474837334	481	25769804295	0.9940	27348	27997
4294968148	494	21474837057	-0.1433	27382	27996
17179870090	503	21474837099	-0.4826	27091	27941
8589935069	494	4294967829	-0.2190	27128	27721
8589935148	486	4294967829	-0.3823	27128	27932
12884902475	479	4294967829	-0.1038	27177	27963
38654706511	496	25769804295	-0.2965	27289	27844
17179869870	511	4294967829	-0.2993	27167	27975
17179869721	502	21474837099	0.1774	27093	27969
8589935443	481	21474837057	-0.0697	27282	27854
17179869914	479	21474837099	-0.2451	27094	27914
12884902519	502	4294967829	-0.2270	27159	27895
34359738911	21474837099	25769804295	0.4462	27097	27993
30064771877	478	21474837099	-0.3251	27098	27955
21474837167	4294967829	25769804295	-0.0295	27156	27855
8589935462	511	21474837057	0.1638	27265	27998
17179870079	506	4294967829	-0.3671	27197	27904
12884902582	496	4294967829	-0.2955	27195	27991
17179869762	513	4294967829	-0.3010	27192	27983
17179870083	481	4294967829	-0.2689	27191	27750
12884902698	503	4294967829	0.0248	27191	27674
12884902796	480	4294967829	-0.2725	27190	27946
17179869763	492	4294967829	-0.2841	27189	27961
