# tick 2000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
507	3334.0371	0.4703	2001	0.4000	3,3,1	0.5000	61
12884902573	3053.5686	0.1939	1800	0.4000	1,1,0	0.5000	20
511	1892.6489	-0.1187	2001	0.4000	3,0,2	0.5000	50
478	1987.6691	0.4735	2001	0.4000	2,0,1	0.5000	33
506	2199.9065	0.4118	2001	0.4000	0,0,1	0.5000	1
480	3646.0530	-0.0377	2001	0.4000	0,2,3	0.5000	11
514	2055.6182	0.2923	2001	0.4000	0,0,3	0.5000	3
8589935310	1412.1663	0.4677	1150	0.4000	2,3,2	0.5000	46
483	2089.0752	-0.2529	2001	0.4000	0,2,0	0.5000	8
509	1541.5222	0.2946	2001	0.4000	3,3,0	0.5000	60
485	4655.2017	-0.0239	2001	0.4000	2,0,1	0.5000	33
12884902569	2022.6321	0.0755	1600	0.4000	3,3,3	0.5000	63
487	974.7216	0.1223	2001	0.4000	2,1,2	0.5000	38
488	1040.5529	0.4547	2001	0.4000	3,3,3	0.5000	63
489	3253.8325	0.4933	2001	0.4000	3,1,3	0.5000	55
500	1933.9788	0.4662	2001	0.4000	0,3,1	0.5000	13
4294968016	2138.6177	-0.2642	1950	0.4000	2,1,0	0.5000	36
492	1387.2522	0.2863	2001	0.4000	1,1,2	0.5000	22
497	3978.5474	-0.1173	2001	0.4000	3,0,0	0.5000	48
494	3142.0288	-0.1895	2001	0.4000	2,3,0	0.5000	44
17179869687	151.0274	-0.1646	1000	0.4000	3,1,1	0.5000	53
12884902859	627.3122	-0.0281	750	0.4000	3,2,3	0.5000	59
4294968143	195.1002	0.2370	450	0.4000	1,2,2	0.5000	26
30064771983	340.8039	0.3793	500	0.4000	2,2,1	0.5000	41
4294968155	305.6411	-0.2985	300	0.4000	3,0,3	0.5000	51
4294967891	96.2565	0.4567	350	0.4000	2,0,2	0.5000	34
8589935194	59.1931	0.4368	250	0.4000	2,2,1	0.5000	41
8589935280	58.7223	-0.0154	50	0.4000	0,3,1	0.5000	13
4294967885	7.2112	0.3019	100	0.4000	0,1,1	0.5000	5

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
1003	509	511	-0.1012	1933	1940
516	480	485	-0.1421	2000	1896
4294967900	487	492	-0.2657	1881	1996
8589935068	4294968016	12884902573	-0.3440	1785	1955
4294968255	511	4294968016	-0.4105	1932	1775
8589935159	8589935310	12884902573	0.0043	1113	1907
4294968286	492	514	-0.4887	1867	1810
798	497	500	-0.6809	1978	1950
523	494	506	-0.2347	2000	1912
524	488	497	0.9900	2000	1995
4294968124	500	4294968016	-0.4506	1877	1956
950	507	514	0.7752	1953	1989
8589935085	511	12884902573	-0.7563	1781	1992
528	488	507	-0.3087	2000	1905
21474837167	478	8589935310	0.9782	1144	1989
4294968009	494	12884902573	-0.5714	1799	1897
8589935152	483	12884902569	-0.7497	1578	1985
8589935422	487	12884902573	0.9402	1792	1985
4294968157	485	492	-0.4290	1930	1989
4294967777	488	4294968016	-0.3126	1880	1952
8589935516	489	12884902573	-0.6085	1792	1845
8589935460	485	500	0.8290	1857	1997
4294968131	507	12884902573	0.9841	1799	1992
538	489	507	-0.4329	1999	1845
796	488	492	-0.5634	1978	1990
4294967920	497	4294968016	-0.5133	1925	1977
541	478	489	-0.5716	1998	1881
8589935464	509	12884902573	0.4959	1795	2000
795	487	509	-0.4925	1978	1910
8589935100	497	12884902573	0.9980	1796	1999
8589935540	489	492	-0.3169	1869	1846
8589935509	485	488	-0.5302	1897	1969
17179870010	514	12884902569	-0.2493	1580	1875
4294968222	483	487	-0.5480	1948	1919
8589935321	487	514	-0.6787	1897	1961
4294968209	485	494	-0.5742	1960	1975
821	492	494	0.1467	1976	1993
8589935411	483	12884902573	-0.4485	1796	1907
794	483	511	-0.5115	1978	1911
4294968106	494	507	-0.4727	1950	1992
4294967921	485	487	-0.6740	1925	1964
820	487	488	-0.5543	1976	1832
4294967926	480	487	-0.4013	1956	1919
558	483	489	-0.2732	1997	1970
30064771951	506	8589935310	-0.8421	1139	1930
12884902667	497	12884902569	-0.3903	1587	1985
561	487	497	0.9704	1997	1985
937	478	487	-0.7107	1954	1987
17179869880	485	4294968016	0.9665	1797	1983
991	487	500	-0.4840	1935	1935
565	478	500	-0.4998	1997	1963
1001	494	501	-0.0021	1933	67
12884902461	507	8589935310	-0.5640	1134	1881
973	478	497	-0.5317	1939	1900
946	480	494	0.9010	1953	1996
570	506	507	-0.5362	1997	1838
17179869659	492	8589935310	0.9881	1135	1994
4294967947	480	514	-0.2414	1926	1967
8589935338	489	12884902569	0.9861	1589	1993
1000	478	488	-0.4228	1933	1704
8589935191	478	509	-0.4421	1907	1802
17179869715	480	8589935310	-0.0560	1141	1962
4294968178	485	511	0.8970	1900	1999
8589935508	488	12884902569	-0.4438	1591	1941
8589935385	485	8589935310	-0.3874	1130	1989
17179869888	492	12884902569	-0.5734	1592	1972
8589935203	487	8589935310	-0.3193	1130	1957
4294967795	492	4294968016	-0.5471	1850	1991
4294968280	506	514	-0.5420	1919	1949
4294968114	483	492	-0.4004	1869	1816
856	489	500	0.9980	1973	1999
962	487	511	-0.3724	1944	1998
929	478	513	-0.0020	1966	34
8589935323	506	511	-0.4255	1816	1967
714	483	497	-0.3391	1986	1833
939	483	509	-0.5443	1954	1911
591	485	489	0.6438	1995	1962
997	514	4294968016	-0.5922	1934	1915
778	483	488	-0.0242	1980	2000
8589935184	506	4294968016	-0.3078	1931	1878
712	478	514	-0.3656	1986	1925
996	489	509	-0.5099	1934	1988
17179869668	494	8589935310	-0.4301	1090	1881
8589935210	483	514	-0.6548	1895	1887
8589935171	488	8589935310	-0.8186	1149	1938
928	488	509	-0.6614	1966	1940
972	507	511	-0.3342	1940	1759
4294968230	489	497	-0.4816	1929	1931
4294968007	492	500	-0.2649	1960	1927
923	485	509	-0.4284	1966	1922
12884902753	514	8589935310	0.9743	1109	1987
606	488	514	-0.4517	1994	1953
4294967974	494	4294968016	-0.2494	1887	1888
17179869933	12884902569	12884902573	-0.5135	1596	1943
609	478	492	-0.5717	1994	1870
17179870065	4294968016	12884902569	0.9980	1597	1999
30064771991	4294968016	8589935310	-0.5197	1064	1912
4294967913	487	507	-0.4873	1962	1917
4294967990	478	4294968016	0.7447	1887	1992
817	478	494	1.0000	1976	2000
4294968099	480	488	-0.4721	1965	1867
4294968005	500	514	-0.4838	1889	1968
8589935423	485	12884902573	0.5266	1704	1996
12884902731	478	12884902569	-0.2826	1597	1936
811	492	497	-0.6238	1977	1970
4294968013	492	509	-0.3587	1963	1740
741	483	506	0.5515	1984	1975
12884902880	509	8589935310	0.9920	1121	1996
4294967787	487	494	-0.5332	1865	1932
889	511	514	-0.6208	1970	1883
4294967955	487	506	-0.5479	1949	1911
626	480	506	-0.4965	1993	1961
17179869965	8589935310	12884902569	-0.5668	1124	1943
898	488	506	-0.7091	1969	1986
4294968130	489	514	0.6550	1958	1927
8589935179	489	506	-0.4681	1951	1977
883	480	497	0.9666	1970	1998
12884902532	487	12884902569	0.2979	1599	1996
943	480	483	0.9685	1953	1984
634	488	494	-0.5683	1992	1935
848	478	506	-0.7725	1974	1927
17179869924	500	8589935310	-0.4743	1146	1974
994	487	4294968016	-0.6133	1934	1952
12884902752	511	8589935310	-0.4048	1133	1968
639	485	507	0.9881	1992	1994
958	483	507	-0.4382	1945	1767
4294968119	487	489	-0.4093	1818	1792
4294967822	497	509	-0.2538	1947	1923
8589935372	514	12884902573	-0.4227	1776	1919
17179869916	506	12884902573	-0.4354	1775	1945
4294967991	488	511	0.9940	1917	1997
8589935383	494	509	-0.4758	1908	1824
960	494	511	-0.0919	1945	1909
833	494	497	-0.5202	1975	1870
804	485	514	-0.0706	1978	2000
887	497	507	0.2255	1970	1979
758	492	506	-0.4815	1982	1852
652	485	506	-0.3993	1991	1877
653	480	509	-0.3939	1991	1822
8589935557	509	514	-0.4533	1905	1796
12884902465	492	12884902573	-0.1505	1766	1931
752	478	507	-0.1835	1983	1985
4294967896	500	506	-0.4362	1956	1761
658	478	485	-0.2857	1990	1853
12884902768	480	12884902573	-0.4921	1767	1950
8589935256	500	12884902573	-0.3873	1736	1953
12884902454	500	507	-0.4592	1820	1814
4294968017	483	494	-0.5240	1960	1943
4294968018	492	511	-0.8045	1918	1995
8589935404	488	12884902573	-0.5215	1774	1994
665	485	497	-0.2575	1990	1780
17179869993	483	8589935310	-0.2631	1138	1836
667	494	500	-0.5231	1990	2000
967	489	4294968016	-0.8173	1942	1976
669	506	509	1.0000	1990	2000
4294968294	480	507	-0.6432	1914	1984
4294968024	480	4294968016	-0.4027	1889	1998
12884902784	509	21474837340	-0.0063	1377	623
4294967836	497	511	-0.1817	1912	1966
4294968204	480	489	-0.1892	1958	1833
4294967815	500	511	-0.5476	1911	1868
874	488	500	-0.4651	1971	1858
4294968206	483	500	-0.5620	1961	1927
730	478	511	-0.3203	1985	1975
808	480	511	-0.4558	1977	1808
4294967934	494	514	-0.6469	1962	1915
756	478	483	-0.3736	1982	1892
4294967904	483	485	0.9900	1959	1995
4294967850	489	511	-0.4536	1947	1835
941	507	509	-0.5461	1954	1927
4294968103	497	514	-0.5278	1957	1881
4294968148	489	494	0.9704	1920	1985
699	478	480	0.6546	1987	1986
21474837398	489	8589935310	-0.3512	1142	1956
689	480	492	-0.6774	1988	1999
4294968038	509	4294968016	-0.2066	1890	1860
4294967865	483	4294968016	0.8662	1947	2000
850	500	509	-0.4700	1974	1930
940	497	506	-0.4612	1954	1884
8589935406	488	489	-0.7503	1892	1910
956	492	507	-0.5844	1946	1970
4294968272	480	500	0.6691	1923	1994
978	507	4294968016	-0.1945	1939	1940
8589935470	478	12884902573	0.9763	1782	1988
17179869834	485	12884902569	-0.3890	1562	1978
21474837432	509	12884902569	-0.5345	1561	1938
17179869983	507	12884902569	0.9900	1560	1995
12884902788	506	12884902569	-0.3920	1554	1804
12884902635	511	12884902569	-0.6732	1538	1994
17179869796	494	12884902569	-0.3947	1545	1941
4294968245	514	12884902761	-0.0052	1476	524
12884902724	500	12884902569	-0.3930	1526	1882
12884902370	480	12884902569	-0.1864	1529	2000
17179869739	497	8589935310	-0.3588	1070	1952
21474837060	487	17179869687	-0.5930	999	1980
12884902530	511	17179869687	-0.5237	996	1916
12884902523	507	17179869687	-0.4390	993	1898
12884902733	492	17179869687	0.3871	991	1997
21474837465	497	17179869687	-0.2443	991	1994
12884902471	8589935310	17179869687	-0.6047	986	1985
21474837231	12884902573	17179869687	-0.2973	985	1792
12884902800	489	17179869687	-0.3780	984	1958
12884902451	478	17179869687	-0.3462	983	1995
12884902408	483	17179869687	-0.4057	981	1938
12884902613	488	17179869687	-0.5773	980	1990
12884902476	500	17179869687	-0.5588	978	1950
30064771700	509	17179869687	0.3567	974	1941
17179869981	494	17179869687	-0.3860	966	1914
17179870072	514	17179869687	-0.6321	964	1916
34359739303	485	17179869687	0.7690	955	1992
21474837411	507	12884902859	-0.3676	723	1789
12884902624	506	17179869687	-0.3480	945	1819
21474837262	497	12884902859	0.0026	725	1815
17179869755	12884902859	17179869687	-0.5949	726	1989
21474837135	480	17179869687	-0.5422	941	1969
12884902415	12884902569	17179869687	-0.4873	916	1953
17179870028	511	12884902859	-0.5545	728	1990
25769804631	480	12884902859	0.3667	729	1990
34359738924	506	12884902859	0.5814	732	1984
21474836966	489	12884902859	-0.4151	738	1906
12884902780	4294968016	17179869687	-0.4116	936	1917
30064771945	487	12884902859	-0.4823	743	1889
30064771779	12884902573	12884902859	-0.4727	747	1998
21474837405	500	12884902859	-0.4205	744	1999
34359739228	8589935310	12884902859	-0.2599	744	1882
21474837374	12884902859	30064771628	-0.0231	733	1267
25769804396	514	12884902859	-0.4490	743	1976
12884902654	4294968016	12884902859	-0.1460	712	1987
21474836998	488	12884902859	0.1763	711	1978
