# tick 4000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
507	5935.0371	0.4703	4001	0.4000	3,3,1	0.5000	61
12884902573	6745.5684	0.1939	3800	0.4000	1,1,0	0.5000	20
511	3541.6489	-0.1187	4001	0.4000	3,0,2	0.5000	50
478	3993.6689	0.4735	4001	0.4000	2,0,1	0.5000	33
506	4389.9062	0.4118	4001	0.4000	0,0,1	0.5000	1
480	6532.0527	-0.0377	4001	0.4000	0,2,3	0.5000	11
514	3221.6182	0.2923	4001	0.4000	0,0,3	0.5000	3
8589935310	4646.1660	0.4677	3150	0.4000	2,3,2	0.5000	46
483	4861.0752	-0.2529	4001	0.4000	0,2,0	0.5000	8
509	3593.5222	0.2946	4001	0.4000	3,3,0	0.5000	60
485	8790.2012	-0.0239	4001	0.4000	2,0,1	0.5000	33
12884902569	3873.6321	0.0755	3600	0.4000	3,3,3	0.5000	63
487	3500.7217	0.1223	4001	0.4000	2,1,2	0.5000	38
488	3153.5527	0.4547	4001	0.4000	3,3,3	0.5000	63
489	6729.8325	0.4933	4001	0.4000	3,1,3	0.5000	55
500	2480.9788	0.4662	4001	0.4000	0,3,1	0.5000	13
4294968016	3371.6177	-0.2642	3950	0.4000	2,1,0	0.5000	36
492	1179.2522	0.2863	4001	0.4000	1,1,2	0.5000	22
497	7659.5474	-0.1173	4001	0.4000	3,0,0	0.5000	48
494	3657.0288	-0.1895	4001	0.4000	2,3,0	0.5000	44
4294968420	1134.4585	0.4500	1000	0.4000	0,3,0	0.5000	12
12884902859	2757.3123	-0.0281	2750	0.4000	3,2,3	0.5000	59
4294968143	3113.1001	0.2370	2450	0.4000	1,2,2	0.5000	26
30064771983	3138.8040	0.3793	2500	0.4000	2,2,1	0.5000	41
4294968155	2889.6411	-0.2985	2300	0.4000	3,0,3	0.5000	51
4294967891	1823.2566	0.4567	2350	0.4000	2,0,2	0.5000	34
12884902403	3863.8252	0.1428	1900	0.4000	2,3,3	0.5000	47
8589935280	495.7223	-0.0154	2050	0.4000	0,3,1	0.5000	13
12884902490	282.4226	0.0864	1950	0.4000	0,3,3	0.5000	15
8589935352	1381.1823	0.2921	1500	0.4000	3,1,3	0.5000	55
12884902401	961.9379	0.3978	1750	0.4000	0,3,1	0.5000	13
1032	1637.9438	-0.2252	1550	0.4000	3,0,0	0.5000	48
8589935375	407.5601	0.3333	1600	0.4000	0,3,0	0.5000	12
25769804796	317.6950	0.2216	550	0.4000	1,2,1	0.5000	25
1059	1258.0750	-0.1609	1400	0.4000	1,3,1	0.5000	29
8589935766	313.0694	-0.1913	650	0.4000	1,2,0	0.5000	24
4294968519	164.4627	-0.0980	150	0.4000	0,3,2	0.5000	14
1240	90.3869	0.4700	300	0.4000	3,3,2	0.5000	62
4294968516	105.0956	0.3653	200	0.4000	2,2,0	0.5000	40
8589935801	30.0277	0.1163	100	0.4000	0,1,3	0.5000	7
1281	23.0633	0.3230	50	0.4000	2,1,2	0.5000	38

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
1003	509	511	-0.3731	3933	3976
516	480	485	-0.3433	4000	3926
4294967900	487	492	-0.3154	3881	3867
8589935068	4294968016	12884902573	-0.4346	3785	3878
4294968255	511	4294968016	0.2037	3932	3972
8589935159	8589935310	12884902573	-0.2007	3113	3860
4294968286	492	514	-0.2022	3867	3673
798	497	500	-0.4752	3978	3929
523	494	506	-0.5172	4000	3916
524	488	497	-0.0703	4000	3983
4294968124	500	4294968016	-0.4294	3877	3902
950	507	514	-0.3917	3953	3850
8589935085	511	12884902573	-0.2854	3781	3945
528	488	507	-0.2545	4000	3838
21474837167	478	8589935310	0.8166	3144	3994
4294968009	494	12884902573	-0.3599	3799	3907
8589935152	483	12884902569	-0.2582	3578	3639
8589935422	487	12884902573	0.9960	3792	3998
4294968157	485	492	-0.1613	3930	3994
4294967777	488	4294968016	-0.3624	3880	3777
8589935516	489	12884902573	-0.4437	3792	3817
8589935460	485	500	-0.2467	3857	3943
4294968131	507	12884902573	0.3498	3799	3956
538	489	507	-0.2850	3999	3968
796	488	492	-0.5629	3978	3819
4294967920	497	4294968016	-0.3769	3925	3860
541	478	489	-0.3646	3998	3971
8589935464	509	12884902573	0.9782	3795	3989
795	487	509	-0.4148	3978	3971
8589935100	497	12884902573	0.9669	3796	3994
8589935540	489	492	-0.3539	3869	3877
8589935509	485	488	-0.1989	3897	3964
17179870010	514	12884902569	-0.4535	3580	3919
4294968222	483	487	0.2527	3948	3932
8589935321	487	514	-0.2212	3897	4000
4294968209	485	494	-0.3202	3960	3955
821	492	494	-0.2324	3976	3932
8589935411	483	12884902573	-0.2010	3796	3851
794	483	511	-0.4134	3978	3862
4294968106	494	507	-0.0522	3950	3981
4294967921	485	487	-0.1578	3925	3855
820	487	488	-0.4558	3976	4000
4294967926	480	487	-0.4103	3956	3981
558	483	489	-0.3742	3997	3862
30064771951	506	8589935310	-0.2215	3139	3835
12884902667	497	12884902569	-0.0803	3587	3989
561	487	497	0.7059	3997	3997
937	478	487	-0.2187	3954	3724
17179869880	485	4294968016	0.9940	3797	3997
991	487	500	-0.4389	3935	3953
565	478	500	-0.6337	3997	3954
1001	494	501	-0.0000	3933	67
12884902461	507	8589935310	0.7810	3134	3999
973	478	497	-0.1904	3939	3857
946	480	494	-0.4043	3953	3969
570	506	507	-0.2814	3997	3949
17179869659	492	8589935310	0.9802	3135	3990
4294967947	480	514	-0.6227	3926	3946
8589935338	489	12884902569	0.7083	3589	3995
1000	478	488	-0.6859	3933	3949
8589935191	478	509	0.1169	3907	3963
17179869715	480	8589935310	-0.4125	3141	3938
4294968178	485	511	0.5388	3900	3990
8589935508	488	12884902569	-0.5292	3591	3977
8589935385	485	8589935310	-0.0926	3130	3988
17179869888	492	12884902569	-0.3867	3592	3895
8589935203	487	8589935310	-0.4800	3130	3960
4294967795	492	4294968016	-0.3721	3850	3897
4294968280	506	514	-0.0084	3919	3965
4294968114	483	492	-0.4329	3869	3737
856	489	500	0.9685	3973	3984
962	487	511	0.0203	3944	3932
929	478	513	-0.0000	3966	34
