# tick 6000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
507	9210.0371	0.4703	6001	0.4000	3,3,1	0.5000	61
12884902573	10237.5684	0.1939	5800	0.4000	1,1,0	0.5000	20
511	4819.6489	-0.1187	6001	0.4000	3,0,2	0.5000	50
478	6154.6689	0.4735	6001	0.4000	2,0,1	0.5000	33
506	7481.9062	0.4118	6001	0.4000	0,0,1	0.5000	1
480	7909.0527	-0.0377	6001	0.4000	0,2,3	0.5000	11
514	5379.6182	0.2923	6001	0.4000	0,0,3	0.5000	3
8589935310	6300.1660	0.4677	5150	0.4000	2,3,2	0.5000	46
483	7957.0752	-0.2529	6001	0.4000	0,2,0	0.5000	8
509	4450.5225	0.2946	6001	0.4000	3,3,0	0.5000	60
485	11914.2012	-0.0239	6001	0.4000	2,0,1	0.5000	33
12884902569	6641.6318	0.0755	5600	0.4000	3,3,3	0.5000	63
487	6208.7217	0.1223	6001	0.4000	2,1,2	0.5000	38
488	6346.5527	0.4547	6001	0.4000	3,3,3	0.5000	63
489	10721.8320	0.4933	6001	0.4000	3,1,3	0.5000	55
500	3401.9788	0.4662	6001	0.4000	0,3,1	0.5000	13
4294968016	4439.6177	-0.2642	5950	0.4000	2,1,0	0.5000	36
492	3498.2522	0.2863	6001	0.4000	1,1,2	0.5000	22
497	11029.5469	-0.1173	6001	0.4000	3,0,0	0.5000	48
494	2902.0288	-0.1895	6001	0.4000	2,3,0	0.5000	44
4294968420	3469.4585	0.4500	3000	0.4000	0,3,0	0.5000	12
12884902859	5030.3125	-0.0281	4750	0.4000	3,2,3	0.5000	59
4294968143	3983.1001	0.2370	4450	0.4000	1,2,2	0.5000	26
30064771983	5043.8037	0.3793	4500	0.4000	2,2,1	0.5000	41
4294968155	6792.6411	-0.2985	4300	0.4000	3,0,3	0.5000	51
4294967891	4348.2568	0.4567	4350	0.4000	2,0,2	0.5000	34
12884902403	9149.8252	0.1428	3900	0.4000	2,3,3	0.5000	47
8589935280	513.7223	-0.0154	4050	0.4000	0,3,1	0.5000	13
12884902490	345.4226	0.0864	3950	0.4000	0,3,3	0.5000	15
8589935352	3921.1821	0.2921	3500	0.4000	3,1,3	0.5000	55
12884902401	2043.9380	0.3978	3750	0.4000	0,3,1	0.5000	13
1032	2516.9438	-0.2252	3550	0.4000	3,0,0	0.5000	48
8589935375	730.5601	0.3333	3600	0.4000	0,3,0	0.5000	12
25769804796	1661.6951	0.2216	2550	0.4000	1,2,1	0.5000	25
1059	3179.0750	-0.1609	3400	0.4000	1,3,1	0.5000	29
8589935766	2348.0693	-0.1913	2650	0.4000	1,2,0	0.5000	24
4294968519	854.4627	-0.0980	2150	0.4000	0,3,2	0.5000	14
1240	1857.3870	0.4700	2300	0.4000	3,3,2	0.5000	62
4294968516	602.0956	0.3653	2200	0.4000	2,2,0	0.5000	40
60129543425	759.9313	0.1006	700	0.4000	0,2,3	0.5000	11
8589935960	687.7546	0.4143	850	0.4000	2,1,0	0.5000	36
4294968732	44.8903	0.3717	150	0.4000	3,0,1	0.5000	49
4294968768	107.5117	-0.0750	300	0.4000	3,2,2	0.5000	58
64424510752	414.7992	-0.1128	450	0.4000	2,1,2	0.5000	38
12884903293	108.6032	-0.0972	50	0.4000	3,1,2	0.5000	54

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
1003	509	511	-0.4225	5933	5990
516	480	485	0.0097	6000	5966
4294967900	487	492	-0.7240	5881	5916
8589935068	4294968016	12884902573	-0.3307	5785	5973
4294968255	511	4294968016	-0.1798	5932	5997
8589935159	8589935310	12884902573	-0.0727	5113	5839
4294968286	492	514	-0.1515	5867	5963
798	497	500	-0.0110	5978	5578
523	494	506	-0.0819	6000	5815
524	488	497	0.9210	6000	5978
4294968124	500	4294968016	-0.5095	5877	5919
950	507	514	-0.2898	5953	5834
8589935085	511	12884902573	-0.2918	5781	5998
528	488	507	-0.2595	6000	5832
21474837167	478	8589935310	0.9861	5144	5993
4294968009	494	12884902573	-0.5143	5799	5854
8589935152	483	12884902569	-0.1976	5578	5879
8589935422	487	12884902573	0.9900	5792	5995
4294968157	485	492	-0.1625	5930	5979
4294967777	488	4294968016	0.0708	5880	5972
8589935516	489	12884902573	0.4159	5792	5981
8589935460	485	500	-0.2523	5857	5947
4294968131	507	12884902573	0.4330	5799	5917
538	489	507	-0.2003	5999	5999
796	488	492	-0.6408	5978	5967
4294967920	497	4294968016	-0.4057	5925	5994
541	478	489	-0.4314	5998	5970
8589935464	509	12884902573	0.8425	5795	5996
795	487	509	-0.3207	5978	5958
8589935100	497	12884902573	0.9743	5796	5987
8589935540	489	492	0.9743	5869	5987
8589935509	485	488	-0.2806	5897	5985
17179870010	514	12884902569	-0.0488	5580	5788
4294968222	483	487	0.9010	5948	5992
8589935321	487	514	-0.4154	5897	5961
4294968209	485	494	-0.6675	5960	5980
821	492	494	-0.3665	5976	5907
8589935411	483	12884902573	-0.2207	5796	5977
794	483	511	-0.2525	5978	5880
4294968106	494	507	-0.3061	5950	5708
4294967921	485	487	0.0899	5925	5997
820	487	488	-0.3226	5976	5952
4294967926	480	487	-0.2594	5956	5987
558	483	489	-0.2132	5997	5850
30064771951	506	8589935310	-0.2831	5139	5961
12884902667	497	12884902569	-0.0182	5587	5902
561	487	497	0.9432	5997	5983
937	478	487	-0.1228	5954	5978
17179869880	485	4294968016	-0.2632	5797	5955
991	487	500	-0.2773	5935	5574
565	478	500	-0.1458	5997	5943
1001	494	501	-0.0000	5933	67
12884902461	507	8589935310	-0.0953	5134	5916
973	478	497	-0.4035	5939	5944
946	480	494	0.1000	5953	5883
570	506	507	-0.3038	5997	5899
17179869659	492	8589935310	0.9841	5135	5992
4294967947	480	514	-0.3733	5926	5842
8589935338	489	12884902569	0.9920	5589	5996
1000	478	488	-0.4170	5933	6000
8589935191	478	509	-0.4822	5907	5894
17179869715	480	8589935310	-0.0866	5141	5590
4294968178	485	511	0.8652	5900	5987
8589935508	488	12884902569	-0.0875	5591	5946
8589935385	485	8589935310	-0.0497	5130	5983
17179869888	492	12884902569	-0.2718	5592	5994
8589935203	487	8589935310	-0.3473	5130	5993
4294967795	492	4294968016	-0.3524	5850	5899
4294968280	506	514	0.9243	5919	6000
4294968114	483	492	-0.1055	5869	5747
856	489	500	0.5805	5973	5934
962	487	511	-0.0204	5944	5973
929	478	513	-0.0000	5966	34
8589935323	506	511	-0.4316	5816	5951
714	483	497	-0.1537	5986	5989
939	483	509	0.4987	5954	5965
591	485	489	0.9763	5995	5988
997	514	4294968016	-0.2160	5934	5686
778	483	488	-0.3537	5980	5931
8589935184	506	4294968016	-0.1286	5931	5917
712	478	514	0.0322	5986	5940
