# tick 8000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
507	9409.0371	0.4703	8001	0.4000	3,3,1	0.5000	61
12884902573	12799.5684	0.1939	7800	0.4000	1,1,0	0.5000	20
511	6047.6489	-0.1187	8001	0.4000	3,0,2	0.5000	50
478	7788.6689	0.4735	8001	0.4000	2,0,1	0.5000	33
506	12197.9062	0.4118	8001	0.4000	0,0,1	0.5000	1
480	8686.0527	-0.0377	8001	0.4000	0,2,3	0.5000	11
514	6501.6182	0.2923	8001	0.4000	0,0,3	0.5000	3
8589935310	7827.1660	0.4677	7150	0.4000	2,3,2	0.5000	46
483	9854.0752	-0.2529	8001	0.4000	0,2,0	0.5000	8
509	5913.5225	0.2946	8001	0.4000	3,3,0	0.5000	60
485	13480.2012	-0.0239	8001	0.4000	2,0,1	0.5000	33
12884902569	9188.6318	0.0755	7600	0.4000	3,3,3	0.5000	63
487	7219.7217	0.1223	8001	0.4000	2,1,2	0.5000	38
488	8991.5527	0.4547	8001	0.4000	3,3,3	0.5000	63
489	13786.8320	0.4933	8001	0.4000	3,1,3	0.5000	55
500	5694.9785	0.4662	8001	0.4000	0,3,1	0.5000	13
4294968016	5098.6177	-0.2642	7950	0.4000	2,1,0	0.5000	36
492	5435.2520	0.2863	8001	0.4000	1,1,2	0.5000	22
497	14055.5469	-0.1173	8001	0.4000	3,0,0	0.5000	48
494	4074.0288	-0.1895	8001	0.4000	2,3,0	0.5000	44
4294968420	3594.4585	0.4500	5000	0.4000	0,3,0	0.5000	12
12884902859	6804.3125	-0.0281	6750	0.4000	3,2,3	0.5000	59
4294968143	5050.1001	0.2370	6450	0.4000	1,2,2	0.5000	26
30064771983	5703.8037	0.3793	6500	0.4000	2,2,1	0.5000	41
4294968155	9696.6406	-0.2985	6300	0.4000	3,0,3	0.5000	51
4294967891	5431.2568	0.4567	6350	0.4000	2,0,2	0.5000	34
12884902403	12340.8252	0.1428	5900	0.4000	2,3,3	0.5000	47
8589935280	1278.7223	-0.0154	6050	0.4000	0,3,1	0.5000	13
12884902490	1382.4226	0.0864	5950	0.4000	0,3,3	0.5000	15
8589935352	7270.1821	0.2921	5500	0.4000	3,1,3	0.5000	55
12884902401	4109.9380	0.3978	5750	0.4000	0,3,1	0.5000	13
1032	2880.9438	-0.2252	5550	0.4000	3,0,0	0.5000	48
8589935375	2479.5601	0.3333	5600	0.4000	0,3,0	0.5000	12
25769804796	2227.6951	0.2216	4550	0.4000	1,2,1	0.5000	25
1059	4868.0752	-0.1609	5400	0.4000	1,3,1	0.5000	29
8589935766	4492.0693	-0.1913	4650	0.4000	1,2,0	0.5000	24
4294968519	2000.4626	-0.0980	4150	0.4000	0,3,2	0.5000	14
1240	4175.3867	0.4700	4300	0.4000	3,3,2	0.5000	62
4294968516	810.0956	0.3653	4200	0.4000	2,2,0	0.5000	40
60129543425	3114.9312	0.1006	2700	0.4000	0,2,3	0.5000	11
8589935960	913.7546	0.4143	2850	0.4000	2,1,0	0.5000	36
17179870641	369.1364	0.3297	1850	0.4000	3,3,2	0.5000	62
8589936004	1531.6823	0.3618	1750	0.4000	3,1,2	0.5000	54
64424510752	3461.7993	-0.1128	2450	0.4000	2,1,2	0.5000	38
17179870581	914.1786	-0.2653	1700	0.4000	0,2,2	0.5000	10
17179870801	38.0541	0.0855	50	0.4000	0,1,1	0.5000	5
73014445533	30.3037	-0.1068	100	0.4000	2,0,3	0.5000	35

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
1003	509	511	-0.2561	7933	7685
516	480	485	-0.5215	8000	7995
4294967900	487	492	-0.3215	7881	7752
8589935068	4294968016	12884902573	-0.5569	7785	7969
4294968255	511	4294968016	-0.3125	7932	7987
8589935159	8589935310	12884902573	-0.4059	7113	7977
4294968286	492	514	-0.3645	7867	7958
798	497	500	-0.2425	7978	7723
523	494	506	-0.3445	8000	7756
524	488	497	0.7547	8000	7997
4294968124	500	4294968016	-0.1887	7877	7911
950	507	514	-0.5096	7953	7891
8589935085	511	12884902573	-0.3163	7781	7954
528	488	507	-0.4879	8000	7951
21474837167	478	8589935310	0.8685	7144	7990
4294968009	494	12884902573	-0.4237	7799	7930
8589935152	483	12884902569	-0.3813	7578	7970
8589935422	487	12884902573	-0.0811	7792	7947
4294968157	485	492	0.8601	7930	7984
4294967777	488	4294968016	-0.4459	7880	7909
8589935516	489	12884902573	-0.2344	7792	7966
8589935460	485	500	-0.3301	7857	7718
4294968131	507	12884902573	-0.1938	7799	7987
538	489	507	-0.1939	7999	7772
796	488	492	-0.0059	7978	7985
4294967920	497	4294968016	-0.1847	7925	7873
541	478	489	-0.3023	7998	7859
8589935464	509	12884902573	-0.2611	7795	7957
795	487	509	-0.2337	7978	7914
8589935100	497	12884902573	0.9268	7796	7999
8589935540	489	492	-0.1704	7869	7958
8589935509	485	488	-0.4187	7897	7894
17179870010	514	12884902569	-0.2630	7580	7868
4294968222	483	487	0.8790	7948	7996
8589935321	487	514	-0.4333	7897	7948
4294968209	485	494	-0.3300	7960	7855
821	492	494	-0.3747	7976	7849
8589935411	483	12884902573	-0.3025	7796	7806
794	483	511	-0.4404	7978	7889
4294968106	494	507	-0.4786	7950	7985
4294967921	485	487	-0.3174	7925	7909
820	487	488	-0.3389	7976	7953
4294967926	480	487	-0.2419	7956	7837
558	483	489	0.0093	7997	7953
30064771951	506	8589935310	-0.4199	7139	7821
12884902667	497	12884902569	-0.5110	7587	7978
561	487	497	0.9588	7997	7979
937	478	487	0.6574	7954	7998
17179869880	485	4294968016	-0.3610	7797	7990
991	487	500	-0.4407	7935	7941
565	478	500	-0.3007	7997	7766
1001	494	501	-0.0000	7933	67
12884902461	507	8589935310	-0.1935	7134	7966
973	478	497	-0.2071	7939	7976
946	480	494	-0.0309	7953	7978
570	506	507	-0.3229	7997	7868
17179869659	492	8589935310	-0.0441	7135	7965
4294967947	480	514	-0.2486	7926	7977
8589935338	489	12884902569	0.9980	7589	7999
1000	478	488	-0.4157	7933	7925
8589935191	478	509	-0.2556	7907	7564
17179869715	480	8589935310	-0.4187	7141	7866
4294968178	485	511	0.5152	7900	8000
8589935508	488	12884902569	-0.0644	7591	7940
8589935385	485	8589935310	-0.1421	7130	7986
17179869888	492	12884902569	-0.0663	7592	7792
8589935203	487	8589935310	-0.1349	7130	7892
4294967795	492	4294968016	-0.5113	7850	7999
4294968280	506	514	0.9646	7919	7982
4294968114	483	492	-0.4758	7869	7939
856	489	500	-0.3395	7973	7991
962	487	511	-0.4215	7944	7942
929	478	513	-0.0000	7966	34
8589935323	506	511	-0.2718	7816	7746
714	483	497	-0.2482	7986	7771
939	483	509	-0.0975	7954	7990
591	485	489	0.7952	7995	7960
997	514	4294968016	-0.3148	7934	7869
778	483	488	-0.4022	7980	7924
8589935184	506	4294968016	-0.0315	7931	7928
712	478	514	-0.2970	7986	7839
996	489	509	-0.3396	7934	7958
17179869668	494	8589935310	-0.3747	7090	7875
8589935210	483	514	0.4148	7895	7997
