# tick 10000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
507	8686.0371	0.4703	10001	0.4000	3,3,1	0.5000	61
12884902573	14991.5684	0.1939	9800	0.4000	1,1,0	0.5000	20
511	7024.6489	-0.1187	10001	0.4000	3,0,2	0.5000	50
478	10099.6689	0.4735	10001	0.4000	2,0,1	0.5000	33
506	13361.9062	0.4118	10001	0.4000	0,0,1	0.5000	1
480	9937.0527	-0.0377	10001	0.4000	0,2,3	0.5000	11
514	7686.6182	0.2923	10001	0.4000	0,0,3	0.5000	3
8589935310	9153.1660	0.4677	9150	0.4000	2,3,2	0.5000	46
483	10614.0752	-0.2529	10001	0.4000	0,2,0	0.5000	8
509	7303.5225	0.2946	10001	0.4000	3,3,0	0.5000	60
485	13315.2012	-0.0239	10001	0.4000	2,0,1	0.5000	33
12884902569	12529.6318	0.0755	9600	0.4000	3,3,3	0.5000	63
487	8229.7217	0.1223	10001	0.4000	2,1,2	0.5000	38
488	9569.5527	0.4547	10001	0.4000	3,3,3	0.5000	63
489	17151.8320	0.4933	10001	0.4000	3,1,3	0.5000	55
500	7226.9785	0.4662	10001	0.4000	0,3,1	0.5000	13
4294968016	6235.6177	-0.2642	9950	0.4000	2,1,0	0.5000	36
492	6399.2520	0.2863	10001	0.4000	1,1,2	0.5000	22
497	16134.5469	-0.1173	10001	0.4000	3,0,0	0.5000	48
494	5211.0288	-0.1895	10001	0.4000	2,3,0	0.5000	44
4294968420	4106.4585	0.4500	7000	0.4000	0,3,0	0.5000	12
12884902859	6775.3125	-0.0281	8750	0.4000	3,2,3	0.5000	59
4294968143	5678.1001	0.2370	8450	0.4000	1,2,2	0.5000	26
30064771983	7097.8037	0.3793	8500	0.4000	2,2,1	0.5000	41
4294968155	14134.6406	-0.2985	8300	0.4000	3,0,3	0.5000	51
4294967891	6428.2568	0.4567	8350	0.4000	2,0,2	0.5000	34
12884902403	15616.8252	0.1428	7900	0.4000	2,3,3	0.5000	47
8589935280	2922.7222	-0.0154	8050	0.4000	0,3,1	0.5000	13
12884902490	2519.4226	0.0864	7950	0.4000	0,3,3	0.5000	15
8589935352	8926.1816	0.2921	7500	0.4000	3,1,3	0.5000	55
12884902401	6057.9380	0.3978	7750	0.4000	0,3,1	0.5000	13
1032	3006.9438	-0.2252	7550	0.4000	3,0,0	0.5000	48
8589935375	3254.5601	0.3333	7600	0.4000	0,3,0	0.5000	12
25769804796	5336.6953	0.2216	6550	0.4000	1,2,1	0.5000	25
1059	5664.0752	-0.1609	7400	0.4000	1,3,1	0.5000	29
8589935766	6722.0693	-0.1913	6650	0.4000	1,2,0	0.5000	24
4294968519	2992.4626	-0.0980	6150	0.4000	0,3,2	0.5000	14
1240	6231.3867	0.4700	6300	0.4000	3,3,2	0.5000	62
4294968516	1021.0956	0.3653	6200	0.4000	2,2,0	0.5000	40
60129543425	5106.9312	0.1006	4700	0.4000	0,2,3	0.5000	11
8589935960	504.7546	0.4143	4850	0.4000	2,1,0	0.5000	36
17179870641	1619.1365	0.3297	3850	0.4000	3,3,2	0.5000	62
8589936004	2809.6821	0.3618	3750	0.4000	3,1,2	0.5000	54
64424510752	6894.7993	-0.1128	4450	0.4000	2,1,2	0.5000	38
17179870581	2693.1787	-0.2653	3700	0.4000	0,2,2	0.5000	10
68719478350	16.1899	-0.2531	100	0.4000	3,1,0	0.5000	52
55834576484	500.4717	0.1146	850	0.4000	0,2,2	0.5000	10
55834576539	161.5718	0.4911	250	0.4000	3,3,2	0.5000	62
25769805477	284.1730	0.3616	300	0.4000	0,1,2	0.5000	6
21474838182	70.0813	0.3041	50	0.4000	3,0,1	0.5000	49

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
1003	509	511	0.1083	9933	9955
516	480	485	-0.2043	10000	9946
4294967900	487	492	-0.1114	9881	9931
8589935068	4294968016	12884902573	-0.4339	9785	9848
4294968255	511	4294968016	-0.2042	9932	9691
8589935159	8589935310	12884902573	-0.3618	9113	9958
4294968286	492	514	-0.3685	9867	9783
798	497	500	0.5401	9978	9931
523	494	506	-0.0875	10000	9959
524	488	497	-0.2256	10000	9624
4294968124	500	4294968016	0.9455	9877	9972
950	507	514	-0.2684	9953	9760
8589935085	511	12884902573	-0.4433	9781	9846
528	488	507	-0.2984	10000	9641
21474837167	478	8589935310	0.9212	9144	9959
4294968009	494	12884902573	-0.2328	9799	9858
8589935152	483	12884902569	0.4478	9578	9991
8589935422	487	12884902573	-0.2781	9792	9893
4294968157	485	492	0.8771	9930	9996
4294967777	488	4294968016	-0.6018	9880	9982
8589935516	489	12884902573	-0.2808	9792	9988
8589935460	485	500	-0.2973	9857	9893
4294968131	507	12884902573	-0.4966	9799	9960
538	489	507	-0.2905	9999	9819
796	488	492	-0.1308	9978	9830
4294967920	497	4294968016	-0.3234	9925	9724
541	478	489	-0.2576	9998	9867
8589935464	509	12884902573	-0.1900	9795	9998
795	487	509	-0.2497	9978	9804
8589935100	497	12884902573	0.6831	9796	9968
8589935540	489	492	-0.3028	9869	9600
8589935509	485	488	-0.3829	9897	9904
17179870010	514	12884902569	-0.1453	9580	9994
4294968222	483	487	-0.2675	9948	9884
8589935321	487	514	0.9173	9897	9995
4294968209	485	494	-0.2761	9960	9750
821	492	494	-0.2694	9976	9899
8589935411	483	12884902573	-0.3630	9796	9923
794	483	511	-0.2893	9978	9720
4294968106	494	507	-0.2858	9950	9933
4294967921	485	487	-0.3149	9925	9982
820	487	488	-0.3950	9976	10000
4294967926	480	487	-0.3317	9956	9890
558	483	489	-0.2566	9997	9911
30064771951	506	8589935310	-0.2833	9139	9856
12884902667	497	12884902569	-0.3162	9587	9844
561	487	497	-0.2571	9997	9736
937	478	487	0.1410	9954	9957
17179869880	485	4294968016	-0.3196	9797	9845
991	487	500	-0.5662	9935	9931
565	478	500	-0.2844	9997	9929
1001	494	501	-0.0000	9933	67
12884902461	507	8589935310	-0.4751	9134	9997
973	478	497	-0.2797	9939	9956
946	480	494	-0.4412	9953	9900
570	506	507	-0.5548	9997	9991
17179869659	492	8589935310	0.0226	9135	9958
4294967947	480	514	-0.4721	9926	9952
8589935338	489	12884902569	0.4473	9589	9958
1000	478	488	-0.3447	9933	9979
8589935191	478	509	-0.4930	9907	9912
17179869715	480	8589935310	-0.2898	9141	9958
4294968178	485	511	-0.2064	9900	9878
8589935508	488	12884902569	0.2849	9591	9966
8589935385	485	8589935310	-0.4143	9130	9752
17179869888	492	12884902569	-0.0612	9592	9681
8589935203	487	8589935310	-0.3243	9130	9772
4294967795	492	4294968016	-0.5328	9850	9953
4294968280	506	514	-0.3309	9919	9729
4294968114	483	492	-0.2100	9869	9590
856	489	500	-0.2844	9973	9951
962	487	511	0.1057	9944	9946
929	478	513	-0.0000	9966	34
8589935323	506	511	-0.0075	9816	10000
714	483	497	-0.0842	9986	9970
939	483	509	-0.1201	9954	9928
591	485	489	-0.2571	9995	9991
997	514	4294968016	0.0494	9934	9998
778	483	488	-0.3627	9980	9960
8589935184	506	4294968016	-0.0956	9931	9937
712	478	514	-0.1685	9986	9835
996	489	509	-0.3129	9934	9904
17179869668	494	8589935310	-0.5816	9090	9994
8589935210	483	514	-0.4954	9895	9940
8589935171	488	8589935310	-0.6171	9149	9961
928	488	509	0.1610	9966	9918
972	507	511	-0.1905	9940	9764
4294968230	489	497	0.9608	9929	9980
4294968007	492	500	0.9569	9960	9978
923	485	509	-0.3701	9966	9994
