# tick 12000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
507	9290.0371	0.4703	12001	0.4000	3,3,1	0.5000	61
12884902573	16233.5684	0.1939	11800	0.4000	1,1,0	0.5000	20
511	9121.6484	-0.1187	12001	0.4000	3,0,2	0.5000	50
478	11312.6689	0.4735	12001	0.4000	2,0,1	0.5000	33
506	14864.9062	0.4118	12001	0.4000	0,0,1	0.5000	1
480	10914.0527	-0.0377	12001	0.4000	0,2,3	0.5000	11
514	7647.6182	0.2923	12001	0.4000	0,0,3	0.5000	3
8589935310	10134.1660	0.4677	11150	0.4000	2,3,2	0.5000	46
483	11648.0752	-0.2529	12001	0.4000	0,2,0	0.5000	8
509	9115.5225	0.2946	12001	0.4000	3,3,0	0.5000	60
485	14036.2012	-0.0239	12001	0.4000	2,0,1	0.5000	33
12884902569	14693.6318	0.0755	11600	0.4000	3,3,3	0.5000	63
487	9273.7217	0.1223	12001	0.4000	2,1,2	0.5000	38
488	9390.5527	0.4547	12001	0.4000	3,3,3	0.5000	63
489	19896.8320	0.4933	12001	0.4000	3,1,3	0.5000	55
500	8929.9785	0.4662	12001	0.4000	0,3,1	0.5000	13
4294968016	8368.6172	-0.2642	11950	0.4000	2,1,0	0.5000	36
492	6928.2520	0.2863	12001	0.4000	1,1,2	0.5000	22
497	18294.5469	-0.1173	12001	0.4000	3,0,0	0.5000	48
494	6339.0288	-0.1895	12001	0.4000	2,3,0	0.5000	44
4294968420	4309.4585	0.4500	9000	0.4000	0,3,0	0.5000	12
12884902859	8238.3125	-0.0281	10750	0.4000	3,2,3	0.5000	59
4294968143	5757.1001	0.2370	10450	0.4000	1,2,2	0.5000	26
30064771983	9025.8037	0.3793	10500	0.4000	2,2,1	0.5000	41
4294968155	16374.6406	-0.2985	10300	0.4000	3,0,3	0.5000	51
4294967891	7631.2568	0.4567	10350	0.4000	2,0,2	0.5000	34
12884902403	17010.8242	0.1428	9900	0.4000	2,3,3	0.5000	47
8589935280	3693.7222	-0.0154	10050	0.4000	0,3,1	0.5000	13
12884902490	2169.4226	0.0864	9950	0.4000	0,3,3	0.5000	15
8589935352	9577.1816	0.2921	9500	0.4000	3,1,3	0.5000	55
12884902401	9460.9375	0.3978	9750	0.4000	0,3,1	0.5000	13
1032	3980.9438	-0.2252	9550	0.4000	3,0,0	0.5000	48
8589935375	3905.5601	0.3333	9600	0.4000	0,3,0	0.5000	12
25769804796	6765.6953	0.2216	8550	0.4000	1,2,1	0.5000	25
1059	4833.0752	-0.1609	9400	0.4000	1,3,1	0.5000	29
8589935766	7980.0693	-0.1913	8650	0.4000	1,2,0	0.5000	24
4294968519	3417.4626	-0.0980	8150	0.4000	0,3,2	0.5000	14
1240	6586.3867	0.4700	8300	0.4000	3,3,2	0.5000	62
4294968516	602.0956	0.3653	8200	0.4000	2,2,0	0.5000	40
60129543425	7672.9312	0.1006	6700	0.4000	0,2,3	0.5000	11
8589935960	1128.7546	0.4143	6850	0.4000	2,1,0	0.5000	36
17179870641	2794.1365	0.3297	5850	0.4000	3,3,2	0.5000	62
8589936004	5821.6821	0.3618	5750	0.4000	3,1,2	0.5000	54
64424510752	8953.7988	-0.1128	6450	0.4000	2,1,2	0.5000	38
17179870581	3382.1787	-0.2653	5700	0.4000	0,2,2	0.5000	10
21474838182	1508.0813	0.3041	2050	0.4000	3,0,1	0.5000	49
55834576484	1778.4717	0.1146	2850	0.4000	0,2,2	0.5000	10
55834576539	1837.5718	0.4911	2250	0.4000	3,3,2	0.5000	62
25769805477	1177.1730	0.3616	2300	0.4000	0,1,2	0.5000	6
1801	1582.4008	-0.0799	1800	0.4000	1,1,0	0.5000	20
25769805700	136.6507	0.2618	600	0.4000	2,2,1	0.5000	41
4294969264	74.1715	-0.0481	50	0.4000	1,0,0	0.5000	16

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
1003	509	511	-0.2568	11933	11950
516	480	485	0.8869	12000	11996
4294967900	487	492	-0.3316	11881	11808
8589935068	4294968016	12884902573	-0.2770	11785	11908
4294968255	511	4294968016	-0.0081	11932	11914
8589935159	8589935310	12884902573	-0.0972	11113	11329
4294968286	492	514	-0.0629	11867	11997
798	497	500	0.9628	11978	11986
523	494	506	0.1996	12000	11933
524	488	497	-0.3307	12000	11909
4294968124	500	4294968016	0.0758	11877	11980
950	507	514	-0.4340	11953	11975
8589935085	511	12884902573	-0.2927	11781	11989
528	488	507	-0.1945	12000	12000
21474837167	478	8589935310	0.7569	11144	11993
4294968009	494	12884902573	-0.4326	11799	11932
8589935152	483	12884902569	-0.5173	11578	11916
8589935422	487	12884902573	0.8006	11792	11988
4294968157	485	492	0.9960	11930	11998
4294967777	488	4294968016	-0.2579	11880	11830
8589935516	489	12884902573	-0.0296	11792	11708
8589935460	485	500	-0.2342	11857	11965
4294968131	507	12884902573	0.0193	11799	11996
538	489	507	-0.3557	11999	11982
796	488	492	-0.0845	11978	11996
4294967920	497	4294968016	-0.2380	11925	11970
541	478	489	-0.3173	11998	11984
8589935464	509	12884902573	-0.2009	11795	11937
795	487	509	-0.1206	11978	11829
8589935100	497	12884902573	0.7309	11796	11982
8589935540	489	492	-0.5556	11869	11993
8589935509	485	488	-0.2097	11897	11939
17179870010	514	12884902569	-0.2570	11580	11957
4294968222	483	487	-0.6112	11948	11957
8589935321	487	514	-0.4654	11897	11875
4294968209	485	494	-0.2496	11960	11901
821	492	494	-0.3001	11976	11943
8589935411	483	12884902573	-0.4081	11796	11838
794	483	511	-0.0392	11978	11871
4294968106	494	507	-0.1634	11950	11921
4294967921	485	487	-0.4069	11925	11996
820	487	488	-0.1045	11976	11842
4294967926	480	487	-0.2221	11956	11969
558	483	489	-0.2562	11997	11806
30064771951	506	8589935310	-0.2201	11139	11935
12884902667	497	12884902569	-0.2686	11587	11890
561	487	497	-0.6031	11997	11985
937	478	487	-0.2671	11954	11984
17179869880	485	4294968016	-0.3718	11797	11881
991	487	500	-0.3875	11935	11981
565	478	500	-0.2405	11997	11742
1001	494	501	-0.0000	11933	67
12884902461	507	8589935310	-0.0796	11134	11982
973	478	497	-0.1417	11939	11887
946	480	494	-0.2813	11953	11918
570	506	507	-0.4931	11997	11995
17179869659	492	8589935310	-0.3440	11135	11888
4294967947	480	514	0.1267	11926	11902
8589935338	489	12884902569	-0.3488	11589	11973
1000	478	488	-0.4533	11933	11997
8589935191	478	509	-0.5681	11907	11990
17179869715	480	8589935310	-0.0278	11141	11894
4294968178	485	511	-0.0924	11900	11850
8589935508	488	12884902569	-0.3834	11591	11889
8589935385	485	8589935310	-0.1958	11130	11938
17179869888	492	12884902569	-0.1123	11592	11612
8589935203	487	8589935310	-0.2193	11130	11804
4294967795	492	4294968016	-0.3063	11850	11797
4294968280	506	514	-0.3870	11919	11968
4294968114	483	492	-0.1937	11869	11884
856	489	500	0.0530	11973	11973
962	487	511	-0.3695	11944	11910
929	478	513	-0.0000	11966	34
8589935323	506	511	-0.3134	11816	11908
714	483	497	-0.0762	11986	11773
939	483	509	-0.3475	11954	11928
591	485	489	0.1112	11995	11868
997	514	4294968016	-0.0247	11934	11904
778	483	488	-0.4510	11980	11839
8589935184	506	4294968016	-0.3661	11931	11945
712	478	514	-0.5279	11986	11918
996	489	509	0.5687	11934	11964
17179869668	494	8589935310	-0.3877	11090	11995
8589935210	483	514	-0.0203	11895	12000
8589935171	488	8589935310	-0.4098	11149	11850
928	488	509	-0.2435	11966	11989
972	507	511	-0.4464	11940	11909
4294968230	489	497	0.9980	11929	11999
4294968007	492	500	0.9481	11960	11989
923	485	509	-0.0244	11966	11803
12884902753	514	8589935310	-0.1103	11109	11776
606	488	514	-0.5283	11994	11987
4294967974	494	4294968016	0.9802	11887	11990
17179869933	12884902569	12884902573	0.5337	11596	11957
609	478	492	-0.3099	11994	11837
17179870065	4294968016	12884902569	-0.2857	11597	11958
30064771991	4294968016	8589935310	0.8252	11064	11960
4294967913	487	507	-0.0613	11962	11833
4294967990	478	4294968016	-0.0440	11887	11990
817	478	494	0.2173	11976	11895
4294968099	480	488	-0.4675	11965	11983
4294968005	500	514	0.1116	11889	11856
8589935423	485	12884902573	-0.2927	11704	11970
12884902731	478	12884902569	-0.3008	11597	11979
811	492	497	-0.3441	11977	11877
4294968013	492	509	-0.4137	11963	11942
741	483	506	-0.4042	11984	11985
12884902880	509	8589935310	-0.0938	11121	11910
4294967787	487	494	-0.0886	11865	11806
889	511	514	-0.3435	11970	11825
4294967955	487	506	-0.3301	11949	11960
626	480	506	-0.2141	11993	11774
17179869965	8589935310	12884902569	0.1080	11124	11898
898	488	506	-0.5656	11969	11971
4294968130	489	514	0.0020	11958	11956
8589935179	489	506	-0.2295	11951	11838
883	480	497	0.0048	11970	11958
12884902532	487	12884902569	-0.3252	11599	11987
943	480	483	-0.0515	11953	11933
634	488	494	-0.3737	11992	11920
848	478	506	-0.4314	11974	11988
17179869924	500	8589935310	0.0119	11146	11943
994	487	4294968016	-0.3415	11934	11961
12884902752	511	8589935310	-0.1785	11133	11910
639	485	507	-0.1930	11992	11774
958	483	507	-0.2908	11945	11784
4294968119	487	489	-0.3733	11818	11938
4294967822	497	509	-0.4198	11947	11969
8589935372	514	12884902573	-0.2401	11776	11782
17179869916	506	12884902573	-0.2400	11775	11907
4294967991	488	511	-0.0452	11917	11786
8589935383	494	509	-0.7213	11908	11988
960	494	511	0.9379	11945	11968
833	494	497	0.1701	11975	11930
804	485	514	-0.3528	11978	11878
887	497	507	0.9881	11970	11994
758	492	506	-0.3647	11982	11890
652	485	506	-0.2483	11991	11900
653	480	509	-0.2201	11991	11982
8589935557	509	514	-0.2006	11905	11865
12884902465	492	12884902573	0.4202	11766	11971
752	478	507	-0.0711	11983	11967
4294967896	500	506	-0.1206	11956	11709
658	478	485	0.8197	11990	11971
12884902768	480	12884902573	-0.4319	11767	11969
8589935256	500	12884902573	-0.2252	11736	11899
12884902454	500	507	-0.3935	11820	11895
4294968017	483	494	-0.4102	11960	11786
4294968018	492	511	-0.0997	11918	11841
8589935404	488	12884902573	-0.5361	11774	11948
665	485	497	0.0399	11990	11992
17179869993	483	8589935310	1.0000	11138	12000
667	494	500	-0.3865	11990	11940
967	489	4294968016	-0.3407	11942	11876
669	506	509	0.7867	11990	11938
4294968294	480	507	0.5682	11914	11964
4294968024	480	4294968016	-0.2753	11889	11904
12884902784	509	21474837340	-0.0000	11377	623
4294967836	497	511	-0.3047	11912	11921
4294968204	480	489	-0.2474	11958	11982
