# tick 14000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
507	10212.0371	0.4703	14001	0.4000	3,3,1	0.5000	61
12884902573	17310.5684	0.1939	13800	0.4000	1,1,0	0.5000	20
511	12141.6484	-0.1187	14001	0.4000	3,0,2	0.5000	50
478	12483.6689	0.4735	14001	0.4000	2,0,1	0.5000	33
506	15846.9062	0.4118	14001	0.4000	0,0,1	0.5000	1
480	12484.0527	-0.0377	14001	0.4000	0,2,3	0.5000	11
514	5884.6182	0.2923	14001	0.4000	0,0,3	0.5000	3
8589935310	11284.1660	0.4677	13150	0.4000	2,3,2	0.5000	46
483	14680.0752	-0.2529	14001	0.4000	0,2,0	0.5000	8
509	10634.5225	0.2946	14001	0.4000	3,3,0	0.5000	60
485	15316.2012	-0.0239	14001	0.4000	2,0,1	0.5000	33
12884902569	15433.6318	0.0755	13600	0.4000	3,3,3	0.5000	63
487	11275.7217	0.1223	14001	0.4000	2,1,2	0.5000	38
488	9216.5527	0.4547	14001	0.4000	3,3,3	0.5000	63
489	20878.8320	0.4933	14001	0.4000	3,1,3	0.5000	55
500	10608.9785	0.4662	14001	0.4000	0,3,1	0.5000	13
4294968016	10049.6172	-0.2642	13950	0.4000	2,1,0	0.5000	36
492	6649.2520	0.2863	14001	0.4000	1,1,2	0.5000	22
497	18598.5469	-0.1173	14001	0.4000	3,0,0	0.5000	48
494	7022.0288	-0.1895	14001	0.4000	2,3,0	0.5000	44
4294968420	6544.4585	0.4500	11000	0.4000	0,3,0	0.5000	12
12884902859	11186.3125	-0.0281	12750	0.4000	3,2,3	0.5000	59
4294968143	5561.1001	0.2370	12450	0.4000	1,2,2	0.5000	26
30064771983	9226.8037	0.3793	12500	0.4000	2,2,1	0.5000	41
4294968155	17677.6406	-0.2985	12300	0.4000	3,0,3	0.5000	51
4294967891	8549.2568	0.4567	12350	0.4000	2,0,2	0.5000	34
12884902403	18043.8242	0.1428	11900	0.4000	2,3,3	0.5000	47
8589935280	4420.7222	-0.0154	12050	0.4000	0,3,1	0.5000	13
12884902490	2925.4226	0.0864	11950	0.4000	0,3,3	0.5000	15
8589935352	9587.1816	0.2921	11500	0.4000	3,1,3	0.5000	55
12884902401	11115.9375	0.3978	11750	0.4000	0,3,1	0.5000	13
1032	4457.9438	-0.2252	11550	0.4000	3,0,0	0.5000	48
8589935375	6188.5601	0.3333	11600	0.4000	0,3,0	0.5000	12
25769804796	7686.6953	0.2216	10550	0.4000	1,2,1	0.5000	25
1059	5107.0752	-0.1609	11400	0.4000	1,3,1	0.5000	29
8589935766	10854.0693	-0.1913	10650	0.4000	1,2,0	0.5000	24
4294968519	4534.4629	-0.0980	10150	0.4000	0,3,2	0.5000	14
1240	7290.3867	0.4700	10300	0.4000	3,3,2	0.5000	62
64424511397	54.1942	-0.0571	50	0.4000	3,1,3	0.5000	55
60129543425	9362.9316	0.1006	8700	0.4000	0,2,3	0.5000	11
8589935960	2592.7546	0.4143	8850	0.4000	2,1,0	0.5000	36
17179870641	2712.1365	0.3297	7850	0.4000	3,3,2	0.5000	62
8589936004	6688.6821	0.3618	7750	0.4000	3,1,2	0.5000	54
64424510752	9739.7988	-0.1128	8450	0.4000	2,1,2	0.5000	38
17179870581	4623.1787	-0.2653	7700	0.4000	0,2,2	0.5000	10
21474838182	1881.0813	0.3041	4050	0.4000	3,0,1	0.5000	49
55834576484	1702.4717	0.1146	4850	0.4000	0,2,2	0.5000	10
55834576539	2092.5718	0.4911	4250	0.4000	3,3,2	0.5000	62
25769805477	1851.1730	0.3616	4300	0.4000	0,1,2	0.5000	6
1801	4027.4009	-0.0799	3800	0.4000	1,1,0	0.5000	20
25769805700	818.6508	0.2618	2600	0.4000	2,2,1	0.5000	41
77309413186	751.5718	-0.1227	1200	0.4000	2,0,3	0.5000	35
73014445810	272.6792	0.4239	550	0.4000	2,3,1	0.5000	45

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
1003	509	511	-0.1602	13933	13897
516	480	485	0.8671	14000	13994
4294967900	487	492	0.0645	13881	13999
8589935068	4294968016	12884902573	-0.2744	13785	13951
4294968255	511	4294968016	-0.3786	13932	13953
8589935159	8589935310	12884902573	-0.3594	13113	13938
4294968286	492	514	-0.3493	13867	13975
798	497	500	-0.3899	13978	13898
523	494	506	0.9646	14000	13982
524	488	497	-0.2657	14000	13740
4294968124	500	4294968016	0.1679	13877	13994
950	507	514	-0.1600	13953	13741
8589935085	511	12884902573	-0.2160	13781	13811
528	488	507	-0.2774	14000	13936
21474837167	478	8589935310	-0.4934	13144	13982
4294968009	494	12884902573	-0.2032	13799	13916
8589935152	483	12884902569	-0.1158	13578	13835
8589935422	487	12884902573	0.9665	13792	13983
4294968157	485	492	0.8298	13930	13991
4294967777	488	4294968016	-0.1824	13880	13959
8589935516	489	12884902573	-0.3899	13792	13991
8589935460	485	500	-0.2260	13857	13907
4294968131	507	12884902573	-0.3501	13799	13987
538	489	507	-0.2333	13999	13983
796	488	492	-0.1516	13978	13935
4294967920	497	4294968016	-0.1425	13925	13956
541	478	489	-0.5304	13998	13979
8589935464	509	12884902573	-0.1441	13795	13960
795	487	509	-0.0903	13978	13658
8589935100	497	12884902573	0.9881	13796	13994
8589935540	489	492	-0.5083	13869	13988
8589935509	485	488	-0.3180	13897	13958
17179870010	514	12884902569	-0.4227	13580	13857
4294968222	483	487	-0.0204	13948	13997
8589935321	487	514	-0.4786	13897	13849
4294968209	485	494	-0.1226	13960	13997
821	492	494	-0.2738	13976	13782
8589935411	483	12884902573	-0.3216	13796	13914
794	483	511	-0.4354	13978	13947
4294968106	494	507	-0.1347	13950	13911
4294967921	485	487	-0.3490	13925	13973
820	487	488	-0.0524	13976	13739
4294967926	480	487	-0.1692	13956	13778
558	483	489	-0.2181	13997	13933
30064771951	506	8589935310	0.1619	13139	13954
12884902667	497	12884902569	-0.2343	13587	13580
561	487	497	-0.3820	13997	13841
937	478	487	-0.2251	13954	13918
17179869880	485	4294968016	-0.3040	13797	13853
991	487	500	-0.0429	13935	13986
565	478	500	-0.2633	13997	13997
1001	494	501	-0.0000	13933	67
12884902461	507	8589935310	-0.2922	13134	13902
973	478	497	-0.3994	13939	13955
946	480	494	-0.3227	13953	13884
570	506	507	-0.3962	13997	13978
17179869659	492	8589935310	-0.0182	13135	13978
4294967947	480	514	-0.4094	13926	13968
8589935338	489	12884902569	0.0836	13589	13911
1000	478	488	-0.1464	13933	13998
8589935191	478	509	-0.2936	13907	13906
17179869715	480	8589935310	-0.1660	13141	13760
4294968178	485	511	-0.1652	13900	13832
8589935508	488	12884902569	-0.3011	13591	13922
8589935385	485	8589935310	-0.2332	13130	13798
17179869888	492	12884902569	-0.2540	13592	13704
8589935203	487	8589935310	-0.5657	13130	14000
4294967795	492	4294968016	-0.4641	13850	13998
4294968280	506	514	-0.2072	13919	13788
4294968114	483	492	-0.2217	13869	13727
856	489	500	-0.3389	13973	13890
962	487	511	-0.1052	13944	13957
929	478	513	-0.0000	13966	34
8589935323	506	511	-0.0395	13816	13991
714	483	497	-0.2936	13986	13774
939	483	509	0.9853	13954	13994
591	485	489	-0.0990	13995	13903
997	514	4294968016	0.1013	13934	14000
778	483	488	-0.2688	13980	13977
8589935184	506	4294968016	-0.1455	13931	13804
712	478	514	0.0253	13986	13962
996	489	509	0.5986	13934	13997
17179869668	494	8589935310	-0.1824	13090	13767
8589935210	483	514	-0.2745	13895	13967
8589935171	488	8589935310	0.1192	13149	13931
928	488	509	-0.3216	13966	13916
972	507	511	-0.0567	13940	13831
4294968230	489	497	0.6685	13929	13992
4294968007	492	500	-0.0400	13960	13990
923	485	509	-0.1231	13966	13982
12884902753	514	8589935310	-0.2667	13109	13741
606	488	514	0.2920	13994	13968
4294967974	494	4294968016	0.9861	13887	13993
17179869933	12884902569	12884902573	-0.2306	13596	13939
609	478	492	-0.5478	13994	13970
17179870065	4294968016	12884902569	-0.3800	13597	13987
30064771991	4294968016	8589935310	-0.0798	13064	13201
4294967913	487	507	-0.1669	13962	13879
4294967990	478	4294968016	-0.3286	13887	13982
817	478	494	0.0265	13976	13980
4294968099	480	488	0.1515	13965	13963
4294968005	500	514	-0.3559	13889	13831
8589935423	485	12884902573	-0.1388	13704	13918
12884902731	478	12884902569	0.0134	13597	13949
811	492	497	-0.4909	13977	13964
4294968013	492	509	0.0805	13963	13984
741	483	506	-0.1481	13984	13751
12884902880	509	8589935310	-0.1912	13121	13996
4294967787	487	494	-0.5012	13865	13836
889	511	514	-0.0798	13970	13873
4294967955	487	506	-0.0665	13949	13963
626	480	506	0.1379	13993	13978
17179869965	8589935310	12884902569	0.0419	13124	13855
898	488	506	-0.2659	13969	13982
4294968130	489	514	-0.4691	13958	13878
8589935179	489	506	-0.3412	13951	13736
883	480	497	-0.2459	13970	13724
12884902532	487	12884902569	-0.4047	13599	13950
943	480	483	-0.1779	13953	13909
634	488	494	-0.1134	13992	13815
848	478	506	-0.3215	13974	13996
17179869924	500	8589935310	-0.2910	13146	13969
994	487	4294968016	-0.2968	13934	13834
12884902752	511	8589935310	0.0513	13133	13984
639	485	507	-0.2796	13992	13981
958	483	507	-0.3193	13945	13847
4294968119	487	489	-0.2975	13818	13794
4294967822	497	509	-0.1720	13947	13975
8589935372	514	12884902573	-0.5945	13776	13968
17179869916	506	12884902573	-0.2501	13775	13787
4294967991	488	511	0.5194	13917	14000
8589935383	494	509	-0.2664	13908	13767
960	494	511	0.9665	13945	13983
833	494	497	-0.3566	13975	13997
804	485	514	-0.2112	13978	13980
887	497	507	-0.3777	13970	13981
758	492	506	-0.1773	13982	13729
652	485	506	-0.2732	13991	13843
653	480	509	-0.2105	13991	13998
8589935557	509	514	-0.4214	13905	13919
12884902465	492	12884902573	-0.0609	13766	13955
752	478	507	-0.3502	13983	13990
4294967896	500	506	-0.3600	13956	13912
658	478	485	0.8330	13990	13987
12884902768	480	12884902573	-0.2360	13767	13975
8589935256	500	12884902573	-0.4438	13736	13929
12884902454	500	507	0.0076	13820	13903
4294968017	483	494	-0.3294	13960	13896
4294968018	492	511	-0.4179	13918	13928
8589935404	488	12884902573	-0.3885	13774	13785
665	485	497	-0.2053	13990	13991
17179869993	483	8589935310	0.0206	13138	13996
667	494	500	-0.1867	13990	13952
967	489	4294968016	-0.2898	13942	13781
669	506	509	0.9980	13990	13999
4294968294	480	507	0.6375	13914	13961
4294968024	480	4294968016	0.6399	13889	13999
12884902784	509	21474837340	-0.0000	13377	623
4294967836	497	511	-0.4615	13912	13999
4294968204	480	489	-0.3293	13958	13693
4294967815	500	511	-0.0810	13911	13925
874	488	500	0.1775	13971	13978
4294968206	483	500	0.9608	13961	13980
730	478	511	-0.1646	13985	13563
808	480	511	-0.0018	13977	13878
4294967934	494	514	-0.4726	13962	13991
756	478	483	-0.2089	13982	13934
4294967904	483	485	0.2026	13959	13999
4294967850	489	511	0.5908	13947	13998
941	507	509	-0.2501	13954	13735
4294968103	497	514	-0.2254	13957	13970
4294968148	489	494	-0.0687	13920	13897
699	478	480	-0.0851	13987	13446
21474837398	489	8589935310	0.1085	13142	13992
689	480	492	0.0335	13988	13978
4294968038	509	4294968016	-0.4186	13890	13974
4294967865	483	4294968016	-0.2004	13947	13762
850	500	509	-0.2357	13974	13871
940	497	506	-0.1645	13954	13943
8589935406	488	489	0.7175	13892	14000
956	492	507	-0.0385	13946	13994
4294968272	480	500	-0.0660	13923	13992
978	507	4294968016	0.8094	13939	13999
8589935470	478	12884902573	0.0147	13782	13805
17179869834	485	12884902569	-0.2844	13562	13960
21474837432	509	12884902569	-0.4995	13561	13928
17179869983	507	12884902569	0.0236	13560	13954
12884902788	506	12884902569	-0.4962	13554	13991
12884902635	511	12884902569	0.7885	13538	13973
17179869796	494	12884902569	-0.3870	13545	13972
4294968245	514	12884902761	-0.0000	13476	524
12884902724	500	12884902569	-0.3939	13526	13896
12884902370	480	12884902569	-0.3671	13529	13967
17179869739	497	8589935310	-0.4357	13070	13963
60129542791	485	1126	-0.0000	11149	2851
17179869911	494	17179869920	-0.0000	11079	2921
1264	4294968519	8589935352	-0.2684	10140	13808
4294968397	4294968420	12884902490	-0.2628	10881	13533
30064771602	4294968420	12884902573	0.0202	10995	13991
17179870293	489	25769804796	-0.4063	10547	13990
34359739213	494	25769804796	0.0068	10547	13961
4294968426	489	4294968420	0.3214	10996	13966
4294968468	500	8589935744	-0.0000	10763	3237
30064771984	506	25769804796	-0.2840	10547	13955
8589935673	1059	12884902569	-0.4314	11096	13973
4294968425	487	4294968420	0.9940	10996	13997
21474837543	1059	25769804796	0.9763	10549	13988
4294968424	485	4294968420	0.8730	10997	13987
17179871213	1240	73014445810	0.1766	532	13963
1123	1059	8589935280	-0.0995	11256	13966
21474837411	507	12884902859	-0.2329	12723	13941
4294968390	478	4294968420	-0.1661	10895	13990
21474837262	497	12884902859	-0.0958	12725	13522
1199	8589935375	25769804796	-0.0633	10457	13919
1262	4294968519	12884902403	-0.3827	10142	13923
38654706517	4294968143	4294968420	0.1020	10963	13965
17179870028	511	12884902859	-0.2874	12728	13917
25769804631	480	12884902859	0.0464	12729	13969
34359738924	506	12884902859	-0.3288	12732	13932
21474836966	489	12884902859	-0.2874	12738	13958
1118	485	1059	-0.3185	11262	13824
30064771945	487	12884902859	-0.3998	12743	13903
30064771779	12884902573	12884902859	-0.2095	12747	13781
21474837405	500	12884902859	-0.1378	12744	13941
34359739228	8589935310	12884902859	-0.1520	12744	13645
21474837374	12884902859	30064771628	-0.0000	12733	1267
25769804396	514	12884902859	-0.2018	12743	13879
12884902654	4294968016	12884902859	-0.0375	12712	13868
21474836998	488	12884902859	0.0689	12711	13994
30064771567	494	12884902859	-0.2531	12702	13684
34359739048	480	30064771791	-0.0000	12612	1388
17179870009	12884902569	12884902859	0.7406	12696	13991
21474837224	492	12884902859	-0.1785	12681	13480
17179870163	485	12884902859	-0.3636	12677	13967
25769804511	478	12884902859	-0.4588	12693	13902
34359739275	509	12884902859	-0.3498	12691	14000
34359739087	483	12884902859	-0.1145	12603	13988
8589935507	489	4294968143	-0.1602	12432	13990
