# tick 16000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
507	11592.0371	0.4703	16001	0.4000	3,3,1	0.5000	61
12884902573	17772.5684	0.1939	15800	0.4000	1,1,0	0.5000	20
511	14451.6484	-0.1187	16001	0.4000	3,0,2	0.5000	50
478	13968.6689	0.4735	16001	0.4000	2,0,1	0.5000	33
506	16160.9062	0.4118	16001	0.4000	0,0,1	0.5000	1
480	16152.0527	-0.0377	16001	0.4000	0,2,3	0.5000	11
514	5056.6182	0.2923	16001	0.4000	0,0,3	0.5000	3
8589935310	11198.1660	0.4677	15150	0.4000	2,3,2	0.5000	46
483	17283.0742	-0.2529	16001	0.4000	0,2,0	0.5000	8
509	12766.5225	0.2946	16001	0.4000	3,3,0	0.5000	60
485	16247.2012	-0.0239	16001	0.4000	2,0,1	0.5000	33
12884902569	14642.6318	0.0755	15600	0.4000	3,3,3	0.5000	63
487	10951.7217	0.1223	16001	0.4000	2,1,2	0.5000	38
488	10643.5527	0.4547	16001	0.4000	3,3,3	0.5000	63
489	21717.8320	0.4933	16001	0.4000	3,1,3	0.5000	55
500	13616.9785	0.4662	16001	0.4000	0,3,1	0.5000	13
4294968016	12360.6172	-0.2642	15950	0.4000	2,1,0	0.5000	36
492	7779.2520	0.2863	16001	0.4000	1,1,2	0.5000	22
497	18750.5469	-0.1173	16001	0.4000	3,0,0	0.5000	48
494	6948.0288	-0.1895	16001	0.4000	2,3,0	0.5000	44
4294968420	8856.4590	0.4500	13000	0.4000	0,3,0	0.5000	12
12884902859	13715.3125	-0.0281	14750	0.4000	3,2,3	0.5000	59
4294968143	5941.1001	0.2370	14450	0.4000	1,2,2	0.5000	26
30064771983	8964.8037	0.3793	14500	0.4000	2,2,1	0.5000	41
4294968155	19315.6406	-0.2985	14300	0.4000	3,0,3	0.5000	51
4294967891	8809.2568	0.4567	14350	0.4000	2,0,2	0.5000	34
12884902403	17725.8242	0.1428	13900	0.4000	2,3,3	0.5000	47
8589935280	5096.7222	-0.0154	14050	0.4000	0,3,1	0.5000	13
12884902490	3758.4226	0.0864	13950	0.4000	0,3,3	0.5000	15
8589935352	10603.1816	0.2921	13500	0.4000	3,1,3	0.5000	55
12884902401	11576.9375	0.3978	13750	0.4000	0,3,1	0.5000	13
1032	3947.9438	-0.2252	13550	0.4000	3,0,0	0.5000	48
8589935375	6596.5601	0.3333	13600	0.4000	0,3,0	0.5000	12
25769804796	8548.6953	0.2216	12550	0.4000	1,2,1	0.5000	25
1059	6621.0752	-0.1609	13400	0.4000	1,3,1	0.5000	29
8589935766	13265.0693	-0.1913	12650	0.4000	1,2,0	0.5000	24
4294968519	5807.4629	-0.0980	12150	0.4000	0,3,2	0.5000	14
1240	8427.3867	0.4700	12300	0.4000	3,3,2	0.5000	62
17179871301	1461.9175	-0.1494	1250	0.4000	3,2,0	0.5000	56
60129543425	11241.9316	0.1006	10700	0.4000	0,2,3	0.5000	11
8589935960	1923.7546	0.4143	10850	0.4000	2,1,0	0.5000	36
17179870641	4386.1367	0.3297	9850	0.4000	3,3,2	0.5000	62
8589936004	6782.6821	0.3618	9750	0.4000	3,1,2	0.5000	54
64424510752	10613.7988	-0.1128	10450	0.4000	2,1,2	0.5000	38
17179870581	6781.1787	-0.2653	9700	0.4000	0,2,2	0.5000	10
21474838182	3845.0813	0.3041	6050	0.4000	3,0,1	0.5000	49
55834576484	913.4717	0.1146	6850	0.4000	0,2,2	0.5000	10
55834576539	2085.5718	0.4911	6250	0.4000	3,3,2	0.5000	62
25769805477	3633.1729	0.3616	6300	0.4000	0,1,2	0.5000	6
1801	6286.4009	-0.0799	5800	0.4000	1,1,0	0.5000	20
25769805700	3389.6509	0.2618	4600	0.4000	2,2,1	0.5000	41
77309413186	1637.5718	-0.1227	3200	0.4000	2,0,3	0.5000	35
51539609614	92.4198	0.2826	50	0.4000	3,3,2	0.5000	62
17179871197	1631.4202	0.1204	2000	0.4000	0,2,0	0.5000	8
73014445867	24.6413	0.1757	100	0.4000	3,3,0	0.5000	60

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
1003	509	511	-0.0508	15933	15879
516	480	485	0.9782	16000	15989
4294967900	487	492	-0.1708	15881	15852
8589935068	4294968016	12884902573	-0.0807	15785	15992
4294968255	511	4294968016	-0.2869	15932	15973
8589935159	8589935310	12884902573	0.1965	15113	15944
4294968286	492	514	-0.3313	15867	15946
798	497	500	-0.4493	15978	15983
523	494	506	0.9881	16000	15994
524	488	497	-0.2164	16000	15816
4294968124	500	4294968016	-0.2402	15877	15949
950	507	514	-0.2958	15953	15928
8589935085	511	12884902573	-0.1867	15781	15770
528	488	507	-0.0467	16000	15934
21474837167	478	8589935310	-0.0760	15144	15987
4294968009	494	12884902573	-0.1009	15799	15912
8589935152	483	12884902569	-0.1730	15578	15829
8589935422	487	12884902573	-0.2802	15792	15955
4294968157	485	492	0.9393	15930	15971
4294967777	488	4294968016	-0.1930	15880	15879
8589935516	489	12884902573	-0.2872	15792	15956
8589935460	485	500	-0.3192	15857	15882
4294968131	507	12884902573	-0.1360	15799	15703
538	489	507	-0.1005	15999	15852
796	488	492	-0.2777	15978	15801
4294967920	497	4294968016	0.0062	15925	15965
541	478	489	0.0680	15998	15964
8589935464	509	12884902573	-0.3732	15795	15960
795	487	509	-0.2097	15978	15906
8589935100	497	12884902573	0.7344	15796	15999
8589935540	489	492	-0.1714	15869	15952
8589935509	485	488	-0.0801	15897	15956
17179870010	514	12884902569	-0.1204	15580	15900
4294968222	483	487	-0.3476	15948	15891
8589935321	487	514	0.0194	15897	15974
4294968209	485	494	-0.0002	15960	15996
821	492	494	-0.4039	15976	15996
8589935411	483	12884902573	-0.2583	15796	15842
794	483	511	0.0251	15978	15721
4294968106	494	507	-0.2643	15950	15965
4294967921	485	487	-0.3982	15925	15907
820	487	488	-0.1183	15976	15559
4294967926	480	487	-0.1970	15956	15990
558	483	489	-0.3659	15997	15987
30064771951	506	8589935310	-0.2222	15139	15906
12884902667	497	12884902569	-0.0434	15587	15785
561	487	497	-0.0888	15997	15617
937	478	487	-0.2058	15954	15950
17179869880	485	4294968016	-0.1522	15797	15905
991	487	500	-0.3362	15935	15779
565	478	500	-0.2191	15997	15974
1001	494	501	-0.0000	15933	67
12884902461	507	8589935310	-0.1465	15134	15739
973	478	497	-0.1504	15939	15963
946	480	494	-0.2792	15953	15602
570	506	507	-0.1760	15997	15515
17179869659	492	8589935310	-0.3008	15135	15753
4294967947	480	514	-0.2387	15926	15647
8589935338	489	12884902569	-0.0697	15589	15976
1000	478	488	-0.0615	15933	15684
8589935191	478	509	0.0940	15907	15964
17179869715	480	8589935310	-0.3902	15141	15967
4294968178	485	511	-0.2228	15900	15923
8589935508	488	12884902569	-0.3893	15591	15995
8589935385	485	8589935310	0.0568	15130	15979
17179869888	492	12884902569	0.9398	15592	15969
8589935203	487	8589935310	-0.4104	15130	15829
4294967795	492	4294968016	-0.2331	15850	15985
4294968280	506	514	-0.2357	15919	15925
4294968114	483	492	-0.1215	15869	15510
856	489	500	-0.0951	15973	15946
962	487	511	-0.3198	15944	15930
929	478	513	-0.0000	15966	34
8589935323	506	511	-0.4224	15816	15956
714	483	497	0.0703	15986	15855
939	483	509	0.9861	15954	15993
591	485	489	-0.1228	15995	15996
997	514	4294968016	-0.3101	15934	15727
778	483	488	-0.2200	15980	15974
8589935184	506	4294968016	-0.1078	15931	15928
712	478	514	-0.2847	15986	15785
996	489	509	0.9704	15934	15985
17179869668	494	8589935310	-0.4424	15090	15767
8589935210	483	514	-0.4305	15895	15857
8589935171	488	8589935310	-0.2585	15149	15846
928	488	509	0.2221	15966	15971
972	507	511	0.7304	15940	15971
4294968230	489	497	0.9980	15929	15999
4294968007	492	500	-0.2896	15960	15972
923	485	509	-0.2944	15966	15989
12884902753	514	8589935310	-0.3425	15109	15941
606	488	514	-0.1835	15994	15983
4294967974	494	4294968016	0.9861	15887	15993
17179869933	12884902569	12884902573	-0.2794	15596	15996
609	478	492	-0.1016	15994	15856
17179870065	4294968016	12884902569	-0.2650	15597	15881
30064771991	4294968016	8589935310	-0.4596	15064	15962
4294967913	487	507	-0.2527	15962	15611
