# tick 18000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
507	12110.0371	0.4703	18001	0.4000	3,3,1	0.5000	61
12884902573	19224.5684	0.1939	17800	0.4000	1,1,0	0.5000	20
511	15978.6484	-0.1187	18001	0.4000	3,0,2	0.5000	50
478	14212.6689	0.4735	18001	0.4000	2,0,1	0.5000	33
506	16166.9062	0.4118	18001	0.4000	0,0,1	0.5000	1
480	17367.0527	-0.0377	18001	0.4000	0,2,3	0.5000	11
514	4892.6182	0.2923	18001	0.4000	0,0,3	0.5000	3
8589935310	11818.1660	0.4677	17150	0.4000	2,3,2	0.5000	46
483	18107.0742	-0.2529	18001	0.4000	0,2,0	0.5000	8
509	15004.5225	0.2946	18001	0.4000	3,3,0	0.5000	60
485	16152.2012	-0.0239	18001	0.4000	2,0,1	0.5000	33
12884902569	14626.6318	0.0755	17600	0.4000	3,3,3	0.5000	63
487	10301.7217	0.1223	18001	0.4000	2,1,2	0.5000	38
488	11017.5527	0.4547	18001	0.4000	3,3,3	0.5000	63
489	22062.8320	0.4933	18001	0.4000	3,1,3	0.5000	55
500	15048.9785	0.4662	18001	0.4000	0,3,1	0.5000	13
4294968016	14288.6172	-0.2642	17950	0.4000	2,1,0	0.5000	36
492	10396.2520	0.2863	18001	0.4000	1,1,2	0.5000	22
497	19699.5469	-0.1173	18001	0.4000	3,0,0	0.5000	48
494	7100.0288	-0.1895	18001	0.4000	2,3,0	0.5000	44
4294968420	10851.4590	0.4500	15000	0.4000	0,3,0	0.5000	12
12884902859	14344.3125	-0.0281	16750	0.4000	3,2,3	0.5000	59
4294968143	6853.1001	0.2370	16450	0.4000	1,2,2	0.5000	26
30064771983	9131.8037	0.3793	16500	0.4000	2,2,1	0.5000	41
4294968155	19690.6406	-0.2985	16300	0.4000	3,0,3	0.5000	51
4294967891	9041.2568	0.4567	16350	0.4000	2,0,2	0.5000	34
12884902403	16304.8242	0.1428	15900	0.4000	2,3,3	0.5000	47
8589935280	6803.7222	-0.0154	16050	0.4000	0,3,1	0.5000	13
12884902490	2942.4226	0.0864	15950	0.4000	0,3,3	0.5000	15
8589935352	11968.1816	0.2921	15500	0.4000	3,1,3	0.5000	55
12884902401	10710.9375	0.3978	15750	0.4000	0,3,1	0.5000	13
1032	4043.9438	-0.2252	15550	0.4000	3,0,0	0.5000	48
8589935375	7039.5601	0.3333	15600	0.4000	0,3,0	0.5000	12
25769804796	10113.6953	0.2216	14550	0.4000	1,2,1	0.5000	25
1059	7426.0752	-0.1609	15400	0.4000	1,3,1	0.5000	29
8589935766	16059.0693	-0.1913	14650	0.4000	1,2,0	0.5000	24
4294968519	7856.4629	-0.0980	14150	0.4000	0,3,2	0.5000	14
1240	9409.3867	0.4700	14300	0.4000	3,3,2	0.5000	62
17179871301	2947.9175	-0.1494	3250	0.4000	3,2,0	0.5000	56
60129543425	13109.9316	0.1006	12700	0.4000	0,2,3	0.5000	11
8589935960	2415.7546	0.4143	12850	0.4000	2,1,0	0.5000	36
17179870641	6978.1367	0.3297	11850	0.4000	3,3,2	0.5000	62
8589936004	6434.6821	0.3618	11750	0.4000	3,1,2	0.5000	54
64424510752	11425.7988	-0.1128	12450	0.4000	2,1,2	0.5000	38
17179870581	8312.1787	-0.2653	11700	0.4000	0,2,2	0.5000	10
21474838182	5332.0811	0.3041	8050	0.4000	3,0,1	0.5000	49
55834576484	456.4717	0.1146	8850	0.4000	0,2,2	0.5000	10
55834576539	2421.5718	0.4911	8250	0.4000	3,3,2	0.5000	62
25769805477	6183.1729	0.3616	8300	0.4000	0,1,2	0.5000	6
1801	6693.4009	-0.0799	7800	0.4000	1,1,0	0.5000	20
25769805700	6718.6509	0.2618	6600	0.4000	2,2,1	0.5000	41
77309413186	2856.5718	-0.1227	5200	0.4000	2,0,3	0.5000	35
103079217078	496.3823	-0.1721	1800	0.4000	3,1,1	0.5000	53
17179871197	3631.4202	0.1204	4000	0.4000	0,2,0	0.5000	8
4294969494	207.9236	0.0167	600	0.4000	1,1,0	0.5000	20
81604380696	288.7616	0.3754	800	0.4000	0,3,2	0.5000	14
4294969569	109.1624	0.0810	150	0.4000	0,3,0	0.5000	12
12884904135	41.2063	-0.2718	50	0.4000	2,2,3	0.5000	43

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
1003	509	511	-0.1224	17933	17880
516	480	485	1.0000	18000	18000
4294967900	487	492	-0.0750	17881	17596
8589935068	4294968016	12884902573	-0.2209	17785	17849
4294968255	511	4294968016	-0.2000	17932	17958
8589935159	8589935310	12884902573	-0.4065	17113	17928
4294968286	492	514	-0.0426	17867	17972
798	497	500	-0.3149	17978	17884
523	494	506	0.2132	18000	17901
524	488	497	-0.1297	18000	17878
4294968124	500	4294968016	-0.3657	17877	17796
950	507	514	-0.2283	17953	17991
8589935085	511	12884902573	0.9570	17781	17996
528	488	507	-0.4614	18000	17886
21474837167	478	8589935310	-0.3890	17144	17944
4294968009	494	12884902573	-0.0550	17799	17951
8589935152	483	12884902569	-0.3081	17578	17983
8589935422	487	12884902573	-0.2748	17792	17909
4294968157	485	492	0.1306	17930	17955
4294967777	488	4294968016	-0.2410	17880	17658
8589935516	489	12884902573	-0.2902	17792	17952
8589935460	485	500	-0.4151	17857	17968
4294968131	507	12884902573	-0.6215	17799	17999
538	489	507	-0.4796	17999	17915
796	488	492	-0.2763	17978	17854
4294967920	497	4294968016	-0.2134	17925	17982
541	478	489	-0.3405	17998	17824
8589935464	509	12884902573	-0.2817	17795	17974
795	487	509	-0.1225	17978	17890
8589935100	497	12884902573	0.8693	17796	17996
8589935540	489	492	-0.1497	17869	17870
8589935509	485	488	-0.3375	17897	17884
17179870010	514	12884902569	-0.3236	17580	17919
4294968222	483	487	-0.0322	17948	17565
8589935321	487	514	-0.2818	17897	17749
4294968209	485	494	-0.3167	17960	17890
821	492	494	-0.1826	17976	17562
8589935411	483	12884902573	-0.5082	17796	17923
794	483	511	-0.1776	17978	17996
4294968106	494	507	-0.0005	17950	17998
4294967921	485	487	0.0927	17925	17808
820	487	488	-0.0507	17976	17908
4294967926	480	487	-0.2244	17956	17845
558	483	489	-0.1599	17997	17853
30064771951	506	8589935310	-0.2026	17139	17920
12884902667	497	12884902569	-0.2993	17587	17933
561	487	497	-0.2583	17997	17978
937	478	487	-0.1994	17954	17966
17179869880	485	4294968016	-0.3086	17797	17953
991	487	500	-0.2906	17935	17933
565	478	500	0.0023	17997	17788
1001	494	501	-0.0000	17933	67
12884902461	507	8589935310	-0.2716	17134	17814
973	478	497	-0.1992	17939	17746
946	480	494	-0.3069	17953	17871
570	506	507	0.1465	17997	17930
17179869659	492	8589935310	0.2495	17135	17949
4294967947	480	514	-0.4209	17926	17973
8589935338	489	12884902569	-0.3043	17589	17794
1000	478	488	0.1647	17933	17847
8589935191	478	509	-0.2529	17907	17999
17179869715	480	8589935310	-0.3337	17141	17916
4294968178	485	511	-0.3622	17900	17911
8589935508	488	12884902569	-0.2888	17591	17718
8589935385	485	8589935310	-0.3952	17130	17921
17179869888	492	12884902569	0.9588	17592	17979
8589935203	487	8589935310	-0.4811	17130	17926
4294967795	492	4294968016	-0.3533	17850	17938
4294968280	506	514	-0.2762	17919	17868
4294968114	483	492	-0.0888	17869	17982
856	489	500	-0.1042	17973	17459
962	487	511	-0.3902	17944	17997
929	478	513	-0.0000	17966	34
8589935323	506	511	-0.3126	17816	17909
714	483	497	-0.3034	17986	17935
939	483	509	0.8904	17954	17998
591	485	489	-0.1951	17995	17872
997	514	4294968016	-0.2674	17934	17785
778	483	488	-0.0663	17980	17935
8589935184	506	4294968016	-0.2084	17931	17739
712	478	514	0.0352	17986	17855
996	489	509	-0.0425	17934	17968
17179869668	494	8589935310	-0.2219	17090	17669
8589935210	483	514	-0.1382	17895	17782
8589935171	488	8589935310	-0.2785	17149	17965
928	488	509	0.9980	17966	17999
972	507	511	0.6286	17940	17987
4294968230	489	497	0.2917	17929	17971
4294968007	492	500	-0.2819	17960	17638
923	485	509	-0.1972	17966	17693
12884902753	514	8589935310	-0.2503	17109	17825
606	488	514	-0.3066	17994	17892
4294967974	494	4294968016	0.3957	17887	17997
17179869933	12884902569	12884902573	-0.2869	17596	17880
609	478	492	-0.0330	17994	17987
17179870065	4294968016	12884902569	-0.1261	17597	17847
30064771991	4294968016	8589935310	-0.2592	17064	17939
4294967913	487	507	-0.3953	17962	17916
4294967990	478	4294968016	-0.1615	17887	17571
817	478	494	-0.2313	17976	17844
4294968099	480	488	-0.3727	17965	17930
4294968005	500	514	-0.3178	17889	17940
8589935423	485	12884902573	-0.1915	17704	17929
12884902731	478	12884902569	-0.1464	17597	17707
811	492	497	-0.2050	17977	17818
4294968013	492	509	-0.0867	17963	17904
741	483	506	-0.1822	17984	17941
12884902880	509	8589935310	-0.1013	17121	17667
4294967787	487	494	-0.3113	17865	17915
889	511	514	-0.3734	17970	17998
4294967955	487	506	-0.2691	17949	17756
626	480	506	0.1634	17993	17912
17179869965	8589935310	12884902569	-0.1077	17124	17967
898	488	506	-0.1997	17969	17593
4294968130	489	514	-0.3468	17958	17875
8589935179	489	506	-0.4194	17951	17985
883	480	497	0.8233	17970	18000
12884902532	487	12884902569	-0.1991	17599	17910
943	480	483	-0.3976	17953	17975
634	488	494	-0.1013	17992	17983
848	478	506	-0.3527	17974	17956
17179869924	500	8589935310	-0.1110	17146	17922
994	487	4294968016	0.9668	17934	17991
12884902752	511	8589935310	-0.1560	17133	17997
639	485	507	-0.3465	17992	17982
958	483	507	-0.5054	17945	17992
4294968119	487	489	-0.3960	17818	17986
4294967822	497	509	-0.4320	17947	17885
8589935372	514	12884902573	0.0474	17776	17993
17179869916	506	12884902573	-0.2816	17775	17917
4294967991	488	511	-0.2884	17917	17833
8589935383	494	509	-0.4423	17908	17801
960	494	511	0.6323	17945	17973
833	494	497	-0.2871	17975	17996
804	485	514	-0.3606	17978	17992
887	497	507	-0.3394	17970	17895
758	492	506	0.0105	17982	17960
652	485	506	-0.3535	17991	17869
653	480	509	0.1903	17991	17850
8589935557	509	514	-0.3133	17905	17723
12884902465	492	12884902573	-0.3215	17766	17922
752	478	507	0.7374	17983	17978
4294967896	500	506	0.1544	17956	17912
658	478	485	-0.5834	17990	17962
12884902768	480	12884902573	-0.1715	17767	17972
8589935256	500	12884902573	-0.3395	17736	17936
12884902454	500	507	0.9960	17820	17998
4294968017	483	494	-0.3289	17960	18000
4294968018	492	511	-0.0100	17918	17934
8589935404	488	12884902573	-0.4668	17774	17994
665	485	497	-0.1743	17990	17885
17179869993	483	8589935310	-0.1203	17138	17933
667	494	500	-0.1129	17990	17741
967	489	4294968016	-0.1828	17942	17826
669	506	509	0.0589	17990	17948
4294968294	480	507	0.0806	17914	17930
4294968024	480	4294968016	0.7688	17889	17987
12884902784	509	21474837340	-0.0000	17377	623
4294967836	497	511	-0.1746	17912	17789
4294968204	480	489	-0.1638	17958	17880
4294967815	500	511	-0.3000	17911	17987
874	488	500	-0.3473	17971	17908
4294968206	483	500	-0.3397	17961	17807
730	478	511	0.0069	17985	17754
808	480	511	-0.4366	17977	17961
4294967934	494	514	-0.2808	17962	17907
756	478	483	-0.1700	17982	17707
4294967904	483	485	0.1763	17959	17960
4294967850	489	511	-0.1356	17947	17894
941	507	509	0.0792	17954	17884
4294968103	497	514	-0.3517	17957	17813
4294968148	489	494	-0.3227	17920	17976
699	478	480	-0.5241	17987	17950
21474837398	489	8589935310	0.1217	17142	17987
689	480	492	-0.1204	17988	17869
4294968038	509	4294968016	-0.2561	17890	17709
4294967865	483	4294968016	-0.1435	17947	17961
850	500	509	-0.3834	17974	17978
940	497	506	-0.4346	17954	17918
8589935406	488	489	0.2393	17892	17997
956	492	507	-0.1407	17946	17396
4294968272	480	500	-0.0256	17923	17920
978	507	4294968016	-0.4177	17939	17812
8589935470	478	12884902573	-0.0770	17782	17980
17179869834	485	12884902569	-0.1068	17562	17969
21474837432	509	12884902569	0.8431	17561	18000
17179869983	507	12884902569	-0.5112	17560	17989
12884902788	506	12884902569	-0.3008	17554	17883
12884902635	511	12884902569	0.2630	17538	17989
17179869796	494	12884902569	-0.1247	17545	17870
4294968245	514	12884902761	-0.0000	17476	524
12884902724	500	12884902569	-0.0330	17526	17963
12884902370	480	12884902569	-0.3968	17529	17854
17179869739	497	8589935310	0.0913	17070	17950
60129542791	485	1126	-0.0000	15149	2851
17179869911	494	17179869920	-0.0000	15079	2921
1264	4294968519	8589935352	-0.4435	14140	17865
4294968397	4294968420	12884902490	-0.0520	14881	17959
30064771602	4294968420	12884902573	-0.1662	14995	17853
17179870293	489	25769804796	-0.1675	14547	17863
34359739213	494	25769804796	0.9980	14547	17999
4294968426	489	4294968420	-0.3275	14996	17851
4294968468	500	8589935744	-0.0000	14763	3237
30064771984	506	25769804796	-0.4296	14547	17961
8589935673	1059	12884902569	-0.2173	15096	17829
4294968425	487	4294968420	-0.1032	14996	17979
21474837543	1059	25769804796	0.3612	14549	17970
4294968424	485	4294968420	-0.1906	14997	17876
34359740518	478	81604380616	-0.0021	1934	16066
1123	1059	8589935280	-0.2487	15256	18000
21474837411	507	12884902859	-0.1156	16723	17975
4294968390	478	4294968420	-0.2789	14895	17754
21474837262	497	12884902859	-0.2357	16725	17899
1199	8589935375	25769804796	-0.4841	14457	17964
1262	4294968519	12884902403	-0.5429	14142	17935
38654706517	4294968143	4294968420	0.9493	14963	17974
17179870028	511	12884902859	-0.0109	16728	18000
25769804631	480	12884902859	0.1278	16729	17884
34359738924	506	12884902859	-0.1632	16732	17838
21474836966	489	12884902859	-0.2824	16738	17957
1118	485	1059	-0.3126	15262	17922
30064771945	487	12884902859	-0.0994	16743	17882
30064771779	12884902573	12884902859	-0.3151	16747	17996
21474837405	500	12884902859	0.2477	16744	17959
34359739228	8589935310	12884902859	0.9960	16744	17998
21474837374	12884902859	30064771628	-0.0000	16733	1267
25769804396	514	12884902859	-0.2171	16743	17922
12884902654	4294968016	12884902859	0.0672	16712	17855
21474836998	488	12884902859	-0.0683	16711	17745
