# tick 20000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
507	10880.0371	0.4703	20001	0.4000	3,3,1	0.5000	61
12884902573	20843.5684	0.1939	19800	0.4000	1,1,0	0.5000	20
511	14981.6484	-0.1187	20001	0.4000	3,0,2	0.5000	50
478	15507.6689	0.4735	20001	0.4000	2,0,1	0.5000	33
506	17040.9062	0.4118	20001	0.4000	0,0,1	0.5000	1
480	17104.0527	-0.0377	20001	0.4000	0,2,3	0.5000	11
514	4757.6182	0.2923	20001	0.4000	0,0,3	0.5000	3
8589935310	12252.1660	0.4677	19150	0.4000	2,3,2	0.5000	46
483	18876.0742	-0.2529	20001	0.4000	0,2,0	0.5000	8
509	16780.5234	0.2946	20001	0.4000	3,3,0	0.5000	60
485	15860.2012	-0.0239	20001	0.4000	2,0,1	0.5000	33
12884902569	14570.6318	0.0755	19600	0.4000	3,3,3	0.5000	63
487	11240.7217	0.1223	20001	0.4000	2,1,2	0.5000	38
488	10641.5527	0.4547	20001	0.4000	3,3,3	0.5000	63
489	23438.8320	0.4933	20001	0.4000	3,1,3	0.5000	55
500	15645.9785	0.4662	20001	0.4000	0,3,1	0.5000	13
4294968016	15739.6172	-0.2642	19950	0.4000	2,1,0	0.5000	36
492	10094.2520	0.2863	20001	0.4000	1,1,2	0.5000	22
497	20500.5469	-0.1173	20001	0.4000	3,0,0	0.5000	48
494	7154.0288	-0.1895	20001	0.4000	2,3,0	0.5000	44
4294968420	12092.4590	0.4500	17000	0.4000	0,3,0	0.5000	12
12884902859	16561.3125	-0.0281	18750	0.4000	3,2,3	0.5000	59
4294968143	7202.1001	0.2370	18450	0.4000	1,2,2	0.5000	26
30064771983	9651.8037	0.3793	18500	0.4000	2,2,1	0.5000	41
4294968155	20775.6406	-0.2985	18300	0.4000	3,0,3	0.5000	51
4294967891	10304.2568	0.4567	18350	0.4000	2,0,2	0.5000	34
12884902403	16269.8242	0.1428	17900	0.4000	2,3,3	0.5000	47
8589935280	8785.7227	-0.0154	18050	0.4000	0,3,1	0.5000	13
12884902490	3834.4226	0.0864	17950	0.4000	0,3,3	0.5000	15
8589935352	13414.1816	0.2921	17500	0.4000	3,1,3	0.5000	55
12884902401	10190.9375	0.3978	17750	0.4000	0,3,1	0.5000	13
1032	5690.9438	-0.2252	17550	0.4000	3,0,0	0.5000	48
8589935375	7445.5601	0.3333	17600	0.4000	0,3,0	0.5000	12
25769804796	11429.6953	0.2216	16550	0.4000	1,2,1	0.5000	25
1059	8297.0752	-0.1609	17400	0.4000	1,3,1	0.5000	29
8589935766	18504.0703	-0.1913	16650	0.4000	1,2,0	0.5000	24
4294968519	10322.4629	-0.0980	16150	0.4000	0,3,2	0.5000	14
1240	11184.3867	0.4700	16300	0.4000	3,3,2	0.5000	62
17179871301	4919.9175	-0.1494	5250	0.4000	3,2,0	0.5000	56
60129543425	15154.9316	0.1006	14700	0.4000	0,2,3	0.5000	11
8589935960	2531.7546	0.4143	14850	0.4000	2,1,0	0.5000	36
17179870641	7103.1367	0.3297	13850	0.4000	3,3,2	0.5000	62
8589936004	5991.6821	0.3618	13750	0.4000	3,1,2	0.5000	54
64424510752	11454.7988	-0.1128	14450	0.4000	2,1,2	0.5000	38
17179870581	8677.1787	-0.2653	13700	0.4000	0,2,2	0.5000	10
21474838182	5137.0811	0.3041	10050	0.4000	3,0,1	0.5000	49
77309412964	52.5313	0.2186	100	0.4000	2,0,2	0.5000	34
55834576539	2665.5718	0.4911	10250	0.4000	3,3,2	0.5000	62
25769805477	8223.1729	0.3616	10300	0.4000	0,1,2	0.5000	6
1801	7591.4009	-0.0799	9800	0.4000	1,1,0	0.5000	20
25769805700	10223.6504	0.2618	8600	0.4000	2,2,1	0.5000	41
77309413186	3817.5718	-0.1227	7200	0.4000	2,0,3	0.5000	35
103079217078	2130.3823	-0.1721	3800	0.4000	3,1,1	0.5000	53
17179871197	4192.4199	0.1204	6000	0.4000	0,2,0	0.5000	8
4294969494	3220.9236	0.0167	2600	0.4000	1,1,0	0.5000	20
81604380696	2337.7617	0.3754	2800	0.4000	0,3,2	0.5000	14
4294969569	241.1624	0.0810	2150	0.4000	0,3,0	0.5000	12
25769806176	49.5494	0.4221	250	0.4000	2,1,2	0.5000	38

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
1003	509	511	-0.2938	19933	19875
516	480	485	0.0042	20000	19870
4294967900	487	492	-0.4176	19881	19982
8589935068	4294968016	12884902573	-0.1159	19785	19995
4294968255	511	4294968016	-0.2578	19932	19960
8589935159	8589935310	12884902573	-0.3764	19113	19988
4294968286	492	514	-0.3108	19867	19925
798	497	500	-0.3783	19978	19986
523	494	506	-0.1128	20000	19619
524	488	497	-0.0351	20000	19739
4294968124	500	4294968016	-0.0402	19877	19992
950	507	514	-0.2573	19953	19694
8589935085	511	12884902573	-0.1087	19781	19831
528	488	507	-0.1618	20000	19867
21474837167	478	8589935310	-0.4544	19144	19892
4294968009	494	12884902573	-0.0974	19799	19676
8589935152	483	12884902569	-0.3761	19578	19885
8589935422	487	12884902573	-0.3558	19792	19975
4294968157	485	492	-0.1555	19930	19912
4294967777	488	4294968016	-0.3795	19880	19979
8589935516	489	12884902573	0.3291	19792	19972
8589935460	485	500	-0.3818	19857	19900
4294968131	507	12884902573	0.0082	19799	19902
538	489	507	-0.3065	19999	19940
796	488	492	-0.2948	19978	19988
4294967920	497	4294968016	-0.3814	19925	19985
541	478	489	-0.3383	19998	19750
8589935464	509	12884902573	-0.3663	19795	19955
795	487	509	-0.4517	19978	19965
8589935100	497	12884902573	-0.1431	19796	19989
8589935540	489	492	-0.3817	19869	19949
8589935509	485	488	0.2760	19897	19994
17179870010	514	12884902569	-0.2864	19580	19968
4294968222	483	487	-0.1556	19948	19902
8589935321	487	514	-0.3996	19897	19691
4294968209	485	494	0.6646	19960	19997
821	492	494	-0.2744	19976	19904
8589935411	483	12884902573	-0.2886	19796	19901
794	483	511	-0.1097	19978	19886
4294968106	494	507	-0.3376	19950	19820
4294967921	485	487	0.0859	19925	19990
820	487	488	-0.0024	19976	19935
4294967926	480	487	-0.2973	19956	19843
558	483	489	-0.2652	19997	19913
30064771951	506	8589935310	-0.5081	19139	19984
12884902667	497	12884902569	-0.2445	19587	19939
561	487	497	-0.0590	19997	19913
937	478	487	-0.3777	19954	19867
17179869880	485	4294968016	-0.2876	19797	19936
991	487	500	-0.1972	19935	19830
565	478	500	-0.2689	19997	19889
1001	494	501	-0.0000	19933	67
12884902461	507	8589935310	-0.2310	19134	19984
973	478	497	-0.1868	19939	19671
946	480	494	-0.0435	19953	19986
570	506	507	-0.0406	19997	19974
17179869659	492	8589935310	-0.3237	19135	19971
4294967947	480	514	-0.2718	19926	19809
8589935338	489	12884902569	-0.3843	19589	19784
1000	478	488	-0.3085	19933	19939
8589935191	478	509	-0.0075	19907	19873
17179869715	480	8589935310	0.0950	19141	19981
4294968178	485	511	-0.3226	19900	19946
8589935508	488	12884902569	-0.3945	19591	19980
8589935385	485	8589935310	-0.2201	19130	19817
17179869888	492	12884902569	-0.3715	19592	19998
8589935203	487	8589935310	0.9960	19130	19998
4294967795	492	4294968016	-0.2045	19850	19902
4294968280	506	514	-0.3676	19919	19922
4294968114	483	492	0.0864	19869	19934
856	489	500	-0.3499	19973	19940
962	487	511	-0.4257	19944	19992
929	478	513	-0.0000	19966	34
8589935323	506	511	-0.0867	19816	19936
714	483	497	0.0520	19986	19882
939	483	509	0.1805	19954	19971
591	485	489	-0.3143	19995	19780
997	514	4294968016	0.0514	19934	19946
778	483	488	0.0207	19980	19384
8589935184	506	4294968016	-0.2349	19931	19941
712	478	514	-0.2559	19986	19814
996	489	509	-0.1311	19934	19961
17179869668	494	8589935310	-0.2017	19090	19917
8589935210	483	514	0.2930	19895	19996
8589935171	488	8589935310	-0.2142	19149	19949
928	488	509	0.2572	19966	19856
972	507	511	0.0695	19940	19872
4294968230	489	497	-0.1535	19929	19999
4294968007	492	500	-0.3995	19960	19887
923	485	509	-0.2753	19966	19999
12884902753	514	8589935310	-0.3485	19109	19865
606	488	514	-0.2734	19994	19755
4294967974	494	4294968016	0.4817	19887	19931
17179869933	12884902569	12884902573	-0.1277	19596	19817
609	478	492	-0.5669	19994	19910
17179870065	4294968016	12884902569	0.9646	19597	19982
30064771991	4294968016	8589935310	0.5304	19064	19964
4294967913	487	507	-0.3693	19962	19933
4294967990	478	4294968016	-0.1878	19887	19839
817	478	494	-0.1762	19976	19891
4294968099	480	488	-0.3097	19965	19916
4294968005	500	514	-0.2333	19889	19653
8589935423	485	12884902573	0.5838	19704	19992
12884902731	478	12884902569	-0.0986	19597	19716
811	492	497	-0.2665	19977	19802
4294968013	492	509	-0.2650	19963	19820
741	483	506	-0.1736	19984	19802
12884902880	509	8589935310	-0.1153	19121	19758
4294967787	487	494	-0.4260	19865	19983
889	511	514	0.7644	19970	19982
4294967955	487	506	-0.3771	19949	19924
626	480	506	0.0331	19993	19980
17179869965	8589935310	12884902569	-0.3409	19124	19966
898	488	506	0.8677	19969	19994
4294968130	489	514	-0.2553	19958	19889
8589935179	489	506	0.2507	19951	19995
883	480	497	0.1063	19970	19820
12884902532	487	12884902569	-0.2906	19599	19768
943	480	483	-0.3084	19953	19900
634	488	494	-0.3133	19992	19943
848	478	506	-0.3516	19974	19971
17179869924	500	8589935310	-0.0639	19146	19826
994	487	4294968016	0.9361	19934	19967
12884902752	511	8589935310	-0.3044	19133	19865
639	485	507	-0.3935	19992	19962
