# tick 22000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
507	11052.0371	0.4703	22001	0.4000	3,3,1	0.5000	61
12884902573	21655.5684	0.1939	21800	0.4000	1,1,0	0.5000	20
511	14248.6484	-0.1187	22001	0.4000	3,0,2	0.5000	50
478	16092.6689	0.4735	22001	0.4000	2,0,1	0.5000	33
506	18779.9062	0.4118	22001	0.4000	0,0,1	0.5000	1
480	17262.0527	-0.0377	22001	0.4000	0,2,3	0.5000	11
514	7057.6182	0.2923	22001	0.4000	0,0,3	0.5000	3
8589935310	12258.1660	0.4677	21150	0.4000	2,3,2	0.5000	46
483	18828.0742	-0.2529	22001	0.4000	0,2,0	0.5000	8
509	17594.5234	0.2946	22001	0.4000	3,3,0	0.5000	60
485	16728.2012	-0.0239	22001	0.4000	2,0,1	0.5000	33
12884902569	15504.6318	0.0755	21600	0.4000	3,3,3	0.5000	63
487	12337.7217	0.1223	22001	0.4000	2,1,2	0.5000	38
488	11541.5527	0.4547	22001	0.4000	3,3,3	0.5000	63
489	25169.8320	0.4933	22001	0.4000	3,1,3	0.5000	55
500	18300.9785	0.4662	22001	0.4000	0,3,1	0.5000	13
4294968016	18466.6172	-0.2642	21950	0.4000	2,1,0	0.5000	36
492	10233.2520	0.2863	22001	0.4000	1,1,2	0.5000	22
497	21277.5469	-0.1173	22001	0.4000	3,0,0	0.5000	48
494	6999.0288	-0.1895	22001	0.4000	2,3,0	0.5000	44
4294968420	12798.4590	0.4500	19000	0.4000	0,3,0	0.5000	12
12884902859	19072.3125	-0.0281	20750	0.4000	3,2,3	0.5000	59
4294968143	7325.1001	0.2370	20450	0.4000	1,2,2	0.5000	26
30064771983	10145.8037	0.3793	20500	0.4000	2,2,1	0.5000	41
4294968155	21876.6406	-0.2985	20300	0.4000	3,0,3	0.5000	51
4294967891	11994.2568	0.4567	20350	0.4000	2,0,2	0.5000	34
12884902403	15731.8242	0.1428	19900	0.4000	2,3,3	0.5000	47
8589935280	9255.7227	-0.0154	20050	0.4000	0,3,1	0.5000	13
12884902490	5049.4229	0.0864	19950	0.4000	0,3,3	0.5000	15
8589935352	15758.1816	0.2921	19500	0.4000	3,1,3	0.5000	55
12884902401	9869.9375	0.3978	19750	0.4000	0,3,1	0.5000	13
1032	7528.9438	-0.2252	19550	0.4000	3,0,0	0.5000	48
8589935375	8119.5601	0.3333	19600	0.4000	0,3,0	0.5000	12
25769804796	11357.6953	0.2216	18550	0.4000	1,2,1	0.5000	25
1059	8161.0752	-0.1609	19400	0.4000	1,3,1	0.5000	29
8589935766	21334.0703	-0.1913	18650	0.4000	1,2,0	0.5000	24
4294968519	12261.4629	-0.0980	18150	0.4000	0,3,2	0.5000	14
1240	14097.3867	0.4700	18300	0.4000	3,3,2	0.5000	62
17179871301	5950.9175	-0.1494	7250	0.4000	3,2,0	0.5000	56
60129543425	16456.9316	0.1006	16700	0.4000	0,2,3	0.5000	11
8589935960	1055.7546	0.4143	16850	0.4000	2,1,0	0.5000	36
17179870641	6204.1367	0.3297	15850	0.4000	3,3,2	0.5000	62
8589936004	7800.6821	0.3618	15750	0.4000	3,1,2	0.5000	54
64424510752	10319.7988	-0.1128	16450	0.4000	2,1,2	0.5000	38
17179870581	8384.1787	-0.2653	15700	0.4000	0,2,2	0.5000	10
21474838182	3368.0811	0.3041	12050	0.4000	3,0,1	0.5000	49
223338301376	123.3434	-0.2078	100	0.4000	1,2,0	0.5000	24
55834576539	2566.5718	0.4911	12250	0.4000	3,3,2	0.5000	62
25769805477	7912.1729	0.3616	12300	0.4000	0,1,2	0.5000	6
1801	6057.4009	-0.0799	11800	0.4000	1,1,0	0.5000	20
25769805700	11425.6504	0.2618	10600	0.4000	2,2,1	0.5000	41
77309413186	4927.5718	-0.1227	9200	0.4000	2,0,3	0.5000	35
103079217078	3700.3823	-0.1721	5800	0.4000	3,1,1	0.5000	53
17179871197	5441.4199	0.1204	8000	0.4000	0,2,0	0.5000	8
4294969494	4904.9238	0.0167	4600	0.4000	1,1,0	0.5000	20
81604380696	2903.7617	0.3754	4800	0.4000	0,3,2	0.5000	14
25769806176	1219.5493	0.4221	2250	0.4000	2,1,2	0.5000	38
55834577283	428.7447	-0.2796	1350	0.4000	1,2,2	0.5000	26
146028889736	48.6431	-0.1139	50	0.4000	2,2,2	0.5000	42

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
1003	509	511	-0.3513	21933	21907
516	480	485	-0.0975	22000	21648
4294967900	487	492	-0.2546	21881	21828
8589935068	4294968016	12884902573	-0.2174	21785	21747
4294968255	511	4294968016	-0.5867	21932	21987
8589935159	8589935310	12884902573	-0.1069	21113	21882
4294968286	492	514	-0.0545	21867	21917
798	497	500	-0.1990	21978	21781
523	494	506	-0.2653	22000	21656
524	488	497	-0.3477	22000	21876
4294968124	500	4294968016	-0.1840	21877	21893
950	507	514	-0.2867	21953	21863
8589935085	511	12884902573	1.0000	21781	22000
528	488	507	-0.2790	22000	21751
21474837167	478	8589935310	-0.3106	21144	21812
4294968009	494	12884902573	0.1241	21799	21950
8589935152	483	12884902569	0.3981	21578	21999
8589935422	487	12884902573	-0.2447	21792	21933
4294968157	485	492	-0.4904	21930	21992
4294967777	488	4294968016	-0.2475	21880	21964
8589935516	489	12884902573	0.7778	21792	21988
8589935460	485	500	-0.3878	21857	21941
4294968131	507	12884902573	-0.1743	21799	21980
538	489	507	-0.0846	21999	21845
796	488	492	-0.1974	21978	21799
4294967920	497	4294968016	-0.2488	21925	21937
541	478	489	-0.3289	21998	21996
8589935464	509	12884902573	-0.2847	21795	21985
795	487	509	-0.3451	21978	21996
8589935100	497	12884902573	-0.3609	21796	21946
8589935540	489	492	-0.4887	21869	21946
8589935509	485	488	-0.3088	21897	21760
17179870010	514	12884902569	-0.3062	21580	21807
4294968222	483	487	-0.0505	21948	21973
8589935321	487	514	0.0401	21897	21848
4294968209	485	494	-0.0884	21960	21876
821	492	494	-0.0279	21976	21897
8589935411	483	12884902573	-0.3697	21796	21716
794	483	511	-0.5839	21978	21960
4294968106	494	507	-0.1533	21950	21823
4294967921	485	487	-0.2115	21925	21893
820	487	488	-0.0842	21976	21976
4294967926	480	487	-0.4440	21956	21996
558	483	489	0.6339	21997	21994
30064771951	506	8589935310	0.4452	21139	21974
12884902667	497	12884902569	-0.0568	21587	21852
561	487	497	-0.1964	21997	21902
937	478	487	-0.1527	21954	21560
17179869880	485	4294968016	-0.1614	21797	21860
991	487	500	0.8885	21935	21998
565	478	500	-0.2391	21997	21885
1001	494	501	-0.0000	21933	67
12884902461	507	8589935310	-0.5545	21134	21968
973	478	497	-0.5144	21939	21959
946	480	494	-0.0960	21953	21878
570	506	507	-0.1171	21997	21677
17179869659	492	8589935310	-0.3046	21135	21986
4294967947	480	514	-0.2499	21926	21966
8589935338	489	12884902569	0.9980	21589	21999
1000	478	488	-0.4808	21933	21964
8589935191	478	509	-0.2749	21907	21925
17179869715	480	8589935310	-0.1450	21141	21896
4294968178	485	511	-0.0074	21900	21926
8589935508	488	12884902569	-0.4997	21591	21998
8589935385	485	8589935310	-0.2375	21130	21832
17179869888	492	12884902569	-0.1619	21592	21619
8589935203	487	8589935310	0.8321	21130	21953
4294967795	492	4294968016	-0.2363	21850	21681
4294968280	506	514	0.3020	21919	21985
4294968114	483	492	-0.2422	21869	21908
856	489	500	-0.2452	21973	21967
962	487	511	-0.2818	21944	21937
929	478	513	-0.0000	21966	34
8589935323	506	511	-0.2281	21816	21987
714	483	497	-0.2488	21986	21979
939	483	509	0.0290	21954	21895
591	485	489	-0.3063	21995	21918
997	514	4294968016	-0.1178	21934	21813
778	483	488	0.0700	21980	21977
8589935184	506	4294968016	-0.1495	21931	21961
712	478	514	-0.2394	21986	21840
996	489	509	-0.1207	21934	21407
17179869668	494	8589935310	-0.2469	21090	21762
8589935210	483	514	-0.1718	21895	21871
8589935171	488	8589935310	-0.4709	21149	21986
928	488	509	-0.1819	21966	21954
972	507	511	-0.3232	21940	21945
4294968230	489	497	-0.2307	21929	21914
4294968007	492	500	-0.0154	21960	21957
923	485	509	-0.4646	21966	21992
12884902753	514	8589935310	-0.5135	21109	21922
606	488	514	-0.3383	21994	21923
4294967974	494	4294968016	-0.1330	21887	21827
17179869933	12884902569	12884902573	0.8633	21596	21997
609	478	492	-0.7243	21994	21986
17179870065	4294968016	12884902569	0.4052	21597	21935
30064771991	4294968016	8589935310	0.9960	21064	21998
4294967913	487	507	-0.1057	21962	21900
4294967990	478	4294968016	0.6713	21887	21998
817	478	494	0.1207	21976	21956
4294968099	480	488	-0.0620	21965	21894
4294968005	500	514	-0.1488	21889	21736
8589935423	485	12884902573	-0.1933	21704	21969
12884902731	478	12884902569	-0.0282	21597	21987
811	492	497	-0.2643	21977	21887
