# tick 24000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
507	12116.0371	0.4703	24001	0.4000	3,3,1	0.5000	61
12884902573	22018.5684	0.1939	23800	0.4000	1,1,0	0.5000	20
511	14615.6484	-0.1187	24001	0.4000	3,0,2	0.5000	50
478	17854.6680	0.4735	24001	0.4000	2,0,1	0.5000	33
506	19772.9062	0.4118	24001	0.4000	0,0,1	0.5000	1
480	17498.0527	-0.0377	24001	0.4000	0,2,3	0.5000	11
514	7863.6182	0.2923	24001	0.4000	0,0,3	0.5000	3
8589935310	13167.1660	0.4677	23150	0.4000	2,3,2	0.5000	46
483	20186.0742	-0.2529	24001	0.4000	0,2,0	0.5000	8
509	17567.5234	0.2946	24001	0.4000	3,3,0	0.5000	60
485	17784.2012	-0.0239	24001	0.4000	2,0,1	0.5000	33
12884902569	16309.6328	0.0755	23600	0.4000	3,3,3	0.5000	63
487	12569.7217	0.1223	24001	0.4000	2,1,2	0.5000	38
488	13310.5527	0.4547	24001	0.4000	3,3,3	0.5000	63
489	26891.8320	0.4933	24001	0.4000	3,1,3	0.5000	55
500	20003.9785	0.4662	24001	0.4000	0,3,1	0.5000	13
4294968016	19732.6172	-0.2642	23950	0.4000	2,1,0	0.5000	36
492	9940.2520	0.2863	24001	0.4000	1,1,2	0.5000	22
497	22146.5469	-0.1173	24001	0.4000	3,0,0	0.5000	48
494	6543.0288	-0.1895	24001	0.4000	2,3,0	0.5000	44
4294968420	13058.4590	0.4500	21000	0.4000	0,3,0	0.5000	12
12884902859	21847.3125	-0.0281	22750	0.4000	3,2,3	0.5000	59
4294968143	8205.0996	0.2370	22450	0.4000	1,2,2	0.5000	26
30064771983	11159.8037	0.3793	22500	0.4000	2,2,1	0.5000	41
4294968155	22459.6406	-0.2985	22300	0.4000	3,0,3	0.5000	51
4294967891	14038.2568	0.4567	22350	0.4000	2,0,2	0.5000	34
12884902403	14741.8242	0.1428	21900	0.4000	2,3,3	0.5000	47
8589935280	9336.7227	-0.0154	22050	0.4000	0,3,1	0.5000	13
12884902490	7100.4229	0.0864	21950	0.4000	0,3,3	0.5000	15
8589935352	17055.1816	0.2921	21500	0.4000	3,1,3	0.5000	55
12884902401	9427.9375	0.3978	21750	0.4000	0,3,1	0.5000	13
1032	8692.9434	-0.2252	21550	0.4000	3,0,0	0.5000	48
8589935375	9903.5605	0.3333	21600	0.4000	0,3,0	0.5000	12
25769804796	11717.6953	0.2216	20550	0.4000	1,2,1	0.5000	25
1059	9258.0752	-0.1609	21400	0.4000	1,3,1	0.5000	29
8589935766	23271.0703	-0.1913	20650	0.4000	1,2,0	0.5000	24
4294968519	13440.4629	-0.0980	20150	0.4000	0,3,2	0.5000	14
1240	16596.3867	0.4700	20300	0.4000	3,3,2	0.5000	62
17179871301	6683.9175	-0.1494	9250	0.4000	3,2,0	0.5000	56
60129543425	15736.9316	0.1006	18700	0.4000	0,2,3	0.5000	11
8589935960	79.7546	0.4143	18850	0.4000	2,1,0	0.5000	36
17179870641	4919.1367	0.3297	17850	0.4000	3,3,2	0.5000	62
8589936004	8718.6816	0.3618	17750	0.4000	3,1,2	0.5000	54
64424510752	9633.7988	-0.1128	18450	0.4000	2,1,2	0.5000	38
17179870581	8522.1787	-0.2653	17700	0.4000	0,2,2	0.5000	10
21474838182	2690.0811	0.3041	14050	0.4000	3,0,1	0.5000	49
55834577225	171.6186	0.1713	1000	0.4000	1,0,3	0.5000	19
55834576539	3757.5718	0.4911	14250	0.4000	3,3,2	0.5000	62
25769805477	7829.1729	0.3616	14300	0.4000	0,1,2	0.5000	6
1801	5454.4009	-0.0799	13800	0.4000	1,1,0	0.5000	20
25769805700	11659.6504	0.2618	12600	0.4000	2,2,1	0.5000	41
77309413186	6988.5718	-0.1227	11200	0.4000	2,0,3	0.5000	35
103079217078	4329.3823	-0.1721	7800	0.4000	3,1,1	0.5000	53
17179871197	7204.4199	0.1204	10000	0.4000	0,2,0	0.5000	8
4294969494	5814.9238	0.0167	6600	0.4000	1,1,0	0.5000	20
81604380696	4064.7617	0.3754	6800	0.4000	0,3,2	0.5000	14
25769806176	1320.5493	0.4221	4250	0.4000	2,1,2	0.5000	38
55834577283	2265.7446	-0.2796	3350	0.4000	1,2,2	0.5000	26
8589937134	141.3504	-0.0710	50	0.4000	1,0,0	0.5000	16
176093660808	328.5766	0.4682	800	0.4000	0,2,1	0.5000	9
2607	48.5480	0.4764	100	0.4000	1,3,1	0.5000	29

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
1003	509	511	-0.3198	23933	23884
516	480	485	0.1809	24000	23980
4294967900	487	492	-0.3091	23881	23994
8589935068	4294968016	12884902573	-0.1464	23785	23995
4294968255	511	4294968016	-0.1876	23932	23940
8589935159	8589935310	12884902573	-0.0883	23113	23969
4294968286	492	514	-0.4199	23867	23935
798	497	500	-0.1922	23978	23946
523	494	506	-0.4452	24000	23972
524	488	497	-0.5696	24000	23998
4294968124	500	4294968016	-0.1632	23877	23639
950	507	514	-0.3183	23953	23851
8589935085	511	12884902573	0.5504	23781	23961
528	488	507	0.0509	24000	23968
21474837167	478	8589935310	0.9665	23144	23983
4294968009	494	12884902573	-0.1472	23799	23929
8589935152	483	12884902569	-0.0075	23578	23899
8589935422	487	12884902573	-0.4099	23792	23936
4294968157	485	492	-0.2858	23930	23928
4294967777	488	4294968016	-0.2988	23880	23967
8589935516	489	12884902573	0.1150	23792	23968
8589935460	485	500	-0.3347	23857	23988
4294968131	507	12884902573	-0.3692	23799	23713
538	489	507	-0.0959	23999	23677
796	488	492	-0.2396	23978	23778
4294967920	497	4294968016	0.2587	23925	23964
541	478	489	-0.1625	23998	23719
8589935464	509	12884902573	-0.0593	23795	23960
795	487	509	-0.3239	23978	23852
8589935100	497	12884902573	-0.2065	23796	23846
8589935540	489	492	-0.2709	23869	23935
8589935509	485	488	-0.3295	23897	24000
17179870010	514	12884902569	-0.4314	23580	23834
4294968222	483	487	-0.4478	23948	23946
8589935321	487	514	-0.3983	23897	23994
4294968209	485	494	0.1059	23960	23968
821	492	494	-0.3461	23976	23973
8589935411	483	12884902573	-0.2624	23796	23739
794	483	511	-0.0049	23978	23828
4294968106	494	507	-0.2076	23950	23907
4294967921	485	487	-0.3940	23925	23989
820	487	488	-0.1099	23976	23993
4294967926	480	487	-0.3726	23956	23884
558	483	489	0.8887	23997	23970
30064771951	506	8589935310	0.5510	23139	23990
12884902667	497	12884902569	-0.2668	23587	23976
561	487	497	-0.3991	23997	23951
937	478	487	-0.0890	23954	23735
17179869880	485	4294968016	0.1257	23797	23981
991	487	500	-0.2011	23935	23863
565	478	500	0.0430	23997	23957
1001	494	501	-0.0000	23933	67
12884902461	507	8589935310	-0.0725	23134	23841
973	478	497	-0.0198	23939	23995
946	480	494	-0.3503	23953	23864
570	506	507	-0.3629	23997	23858
17179869659	492	8589935310	-0.2345	23135	23551
4294967947	480	514	-0.1808	23926	23927
8589935338	489	12884902569	0.9003	23589	23953
1000	478	488	0.1892	23933	23935
8589935191	478	509	-0.3180	23907	23851
17179869715	480	8589935310	0.0412	23141	23969
4294968178	485	511	-0.1258	23900	23907
8589935508	488	12884902569	-0.2161	23591	23782
8589935385	485	8589935310	-0.1628	23130	23985
17179869888	492	12884902569	0.2668	23592	23889
8589935203	487	8589935310	0.8957	23130	23945
4294967795	492	4294968016	-0.1274	23850	23996
4294968280	506	514	-0.3048	23919	23980
4294968114	483	492	-0.0632	23869	23688
856	489	500	0.1212	23973	23887
962	487	511	0.0469	23944	23958
929	478	513	-0.0000	23966	34
8589935323	506	511	0.0451	23816	23998
714	483	497	-0.2606	23986	23967
939	483	509	-0.3506	23954	23951
591	485	489	-0.1310	23995	23413
997	514	4294968016	-0.2687	23934	23859
778	483	488	0.3382	23980	23959
8589935184	506	4294968016	-0.3401	23931	23891
712	478	514	-0.4539	23986	23986
996	489	509	-0.2958	23934	23996
17179869668	494	8589935310	-0.0071	23090	23924
8589935210	483	514	-0.4241	23895	23963
8589935171	488	8589935310	-0.1883	23149	23736
928	488	509	-0.5683	23966	23996
972	507	511	-0.0165	23940	23764
4294968230	489	497	0.1645	23929	23990
4294968007	492	500	-0.2801	23960	23842
923	485	509	-0.3907	23966	23934
12884902753	514	8589935310	-0.0760	23109	23980
606	488	514	-0.0670	23994	23894
4294967974	494	4294968016	-0.1564	23887	23591
17179869933	12884902569	12884902573	-0.1609	23596	23961
609	478	492	-0.1326	23994	23931
17179870065	4294968016	12884902569	-0.1572	23597	23633
30064771991	4294968016	8589935310	0.8184	23064	23957
4294967913	487	507	-0.1703	23962	23971
4294967990	478	4294968016	-0.2691	23887	23837
817	478	494	-0.2259	23976	23854
4294968099	480	488	-0.0430	23965	23992
4294968005	500	514	0.0254	23889	23945
8589935423	485	12884902573	-0.1022	23704	23739
12884902731	478	12884902569	-0.0110	23597	23745
811	492	497	-0.2832	23977	23980
4294968013	492	509	-0.4831	23963	23874
741	483	506	0.1927	23984	23968
12884902880	509	8589935310	0.1921	23121	23989
4294967787	487	494	-0.2485	23865	23916
