# tick 26000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
507	12342.0371	0.4703	26001	0.4000	3,3,1	0.5000	61
12884902573	22918.5684	0.1939	25800	0.4000	1,1,0	0.5000	20
511	15268.6484	-0.1187	26001	0.4000	3,0,2	0.5000	50
478	19350.6680	0.4735	26001	0.4000	2,0,1	0.5000	33
506	18615.9062	0.4118	26001	0.4000	0,0,1	0.5000	1
480	17600.0527	-0.0377	26001	0.4000	0,2,3	0.5000	11
514	7304.6182	0.2923	26001	0.4000	0,0,3	0.5000	3
8589935310	14429.1660	0.4677	25150	0.4000	2,3,2	0.5000	46
483	21576.0742	-0.2529	26001	0.4000	0,2,0	0.5000	8
509	18004.5234	0.2946	26001	0.4000	3,3,0	0.5000	60
485	18910.2012	-0.0239	26001	0.4000	2,0,1	0.5000	33
12884902569	16662.6328	0.0755	25600	0.4000	3,3,3	0.5000	63
487	14124.7217	0.1223	26001	0.4000	2,1,2	0.5000	38
488	15306.5527	0.4547	26001	0.4000	3,3,3	0.5000	63
489	26940.8320	0.4933	26001	0.4000	3,1,3	0.5000	55
500	21378.9785	0.4662	26001	0.4000	0,3,1	0.5000	13
4294968016	20634.6172	-0.2642	25950	0.4000	2,1,0	0.5000	36
492	11936.2520	0.2863	26001	0.4000	1,1,2	0.5000	22
497	23316.5469	-0.1173	26001	0.4000	3,0,0	0.5000	48
494	5957.0288	-0.1895	26001	0.4000	2,3,0	0.5000	44
4294968420	13842.4590	0.4500	23000	0.4000	0,3,0	0.5000	12
12884902859	23238.3125	-0.0281	24750	0.4000	3,2,3	0.5000	59
4294968143	9030.0996	0.2370	24450	0.4000	1,2,2	0.5000	26
30064771983	10152.8037	0.3793	24500	0.4000	2,2,1	0.5000	41
4294968155	23436.6406	-0.2985	24300	0.4000	3,0,3	0.5000	51
4294967891	14415.2568	0.4567	24350	0.4000	2,0,2	0.5000	34
12884902403	15219.8242	0.1428	23900	0.4000	2,3,3	0.5000	47
8589935280	9538.7227	-0.0154	24050	0.4000	0,3,1	0.5000	13
12884902490	7558.4229	0.0864	23950	0.4000	0,3,3	0.5000	15
8589935352	18493.1816	0.2921	23500	0.4000	3,1,3	0.5000	55
12884902401	10022.9375	0.3978	23750	0.4000	0,3,1	0.5000	13
1032	10373.9434	-0.2252	23550	0.4000	3,0,0	0.5000	48
8589935375	12536.5605	0.3333	23600	0.4000	0,3,0	0.5000	12
25769804796	11610.6953	0.2216	22550	0.4000	1,2,1	0.5000	25
1059	10393.0752	-0.1609	23400	0.4000	1,3,1	0.5000	29
8589935766	25540.0703	-0.1913	22650	0.4000	1,2,0	0.5000	24
4294968519	14590.4629	-0.0980	22150	0.4000	0,3,2	0.5000	14
1240	18094.3867	0.4700	22300	0.4000	3,3,2	0.5000	62
17179871301	7558.9175	-0.1494	11250	0.4000	3,2,0	0.5000	56
60129543425	16195.9316	0.1006	20700	0.4000	0,2,3	0.5000	11
8589935960	430.7546	0.4143	20850	0.4000	2,1,0	0.5000	36
17179870641	4543.1367	0.3297	19850	0.4000	3,3,2	0.5000	62
8589936004	9312.6816	0.3618	19750	0.4000	3,1,2	0.5000	54
64424510752	10974.7988	-0.1128	20450	0.4000	2,1,2	0.5000	38
17179870581	7830.1787	-0.2653	19700	0.4000	0,2,2	0.5000	10
21474838182	637.0811	0.3041	16050	0.4000	3,0,1	0.5000	49
176093660808	677.5765	0.4682	2800	0.4000	0,2,1	0.5000	9
55834576539	3920.5718	0.4911	16250	0.4000	3,3,2	0.5000	62
25769805477	8564.1729	0.3616	16300	0.4000	0,1,2	0.5000	6
1801	5482.4009	-0.0799	15800	0.4000	1,1,0	0.5000	20
25769805700	11014.6504	0.2618	14600	0.4000	2,2,1	0.5000	41
77309413186	7227.5718	-0.1227	13200	0.4000	2,0,3	0.5000	35
103079217078	4915.3823	-0.1721	9800	0.4000	3,1,1	0.5000	53
17179871197	8591.4199	0.1204	12000	0.4000	0,2,0	0.5000	8
4294969494	5941.9238	0.0167	8600	0.4000	1,1,0	0.5000	20
81604380696	6042.7617	0.3754	8800	0.4000	0,3,2	0.5000	14
25769806176	2043.5493	0.4221	6250	0.4000	2,1,2	0.5000	38
55834577283	3780.7446	-0.2796	5350	0.4000	1,2,2	0.5000	26
176093661464	132.2316	0.2827	150	0.4000	2,3,2	0.5000	46
98784250251	24.0615	0.3065	100	0.4000	1,2,3	0.5000	27
64424511945	43.3355	-0.1973	50	0.4000	2,2,3	0.5000	43

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
1003	509	511	-0.4422	25933	25967
516	480	485	0.3628	26000	25998
4294967900	487	492	-0.2530	25881	25952
8589935068	4294968016	12884902573	0.9569	25785	25978
4294968255	511	4294968016	-0.3458	25932	25900
8589935159	8589935310	12884902573	0.3070	25113	25936
4294968286	492	514	-0.2605	25867	25780
798	497	500	-0.2399	25978	25973
523	494	506	-0.0224	26000	25963
524	488	497	-0.2493	26000	25920
4294968124	500	4294968016	-0.3526	25877	25867
950	507	514	-0.2464	25953	25980
8589935085	511	12884902573	0.9821	25781	25991
528	488	507	-0.0541	26000	25888
21474837167	478	8589935310	-0.0598	25144	25954
4294968009	494	12884902573	-0.0931	25799	25983
8589935152	483	12884902569	0.0360	25578	25977
8589935422	487	12884902573	-0.2177	25792	25788
4294968157	485	492	-0.3289	25930	25780
4294967777	488	4294968016	-0.3431	25880	25967
8589935516	489	12884902573	-0.4190	25792	25929
8589935460	485	500	-0.2517	25857	25848
4294968131	507	12884902573	0.0584	25799	25999
538	489	507	-0.2351	25999	25730
796	488	492	-0.1341	25978	25841
4294967920	497	4294968016	-0.0570	25925	25628
541	478	489	-0.2571	25998	25870
8589935464	509	12884902573	-0.1965	25795	25938
795	487	509	-0.1893	25978	25655
8589935100	497	12884902573	-0.2470	25796	25858
8589935540	489	492	-0.0743	25869	25871
8589935509	485	488	-0.3036	25897	25936
17179870010	514	12884902569	-0.2245	25580	25708
4294968222	483	487	-0.1194	25948	25986
8589935321	487	514	-0.2596	25897	25805
4294968209	485	494	-0.3889	25960	25916
821	492	494	-0.3795	25976	25948
8589935411	483	12884902573	-0.3210	25796	25978
794	483	511	-0.1747	25978	25910
4294968106	494	507	-0.3119	25950	25796
4294967921	485	487	-0.3972	25925	25996
820	487	488	0.0301	25976	25879
4294967926	480	487	-0.3692	25956	25914
558	483	489	-0.4319	25997	25994
30064771951	506	8589935310	-0.0085	25139	25675
12884902667	497	12884902569	-0.2593	25587	25762
561	487	497	-0.2639	25997	25880
937	478	487	-0.1013	25954	25763
17179869880	485	4294968016	-0.2540	25797	25957
991	487	500	0.3230	25935	25933
565	478	500	-0.2812	25997	25947
1001	494	501	-0.0000	25933	67
12884902461	507	8589935310	0.0135	25134	25988
973	478	497	-0.2566	25939	25935
946	480	494	-0.3794	25953	25941
570	506	507	0.0915	25997	25958
17179869659	492	8589935310	-0.0830	25135	25880
4294967947	480	514	-0.2906	25926	25991
8589935338	489	12884902569	0.9172	25589	26000
1000	478	488	0.4476	25933	25984
8589935191	478	509	0.0333	25907	25844
17179869715	480	8589935310	-0.0465	25141	25550
4294968178	485	511	0.3190	25900	25999
8589935508	488	12884902569	-0.4650	25591	25871
8589935385	485	8589935310	0.8784	25130	25999
17179869888	492	12884902569	0.9960	25592	25998
8589935203	487	8589935310	0.2951	25130	25904
4294967795	492	4294968016	-0.1507	25850	25833
4294968280	506	514	-0.3001	25919	25921
4294968114	483	492	-0.0117	25869	25922
856	489	500	0.8021	25973	25989
962	487	511	0.1067	25944	25772
929	478	513	-0.0000	25966	34
8589935323	506	511	-0.2553	25816	25995
714	483	497	0.0248	25986	25997
939	483	509	0.1358	25954	25921
591	485	489	-0.3289	25995	25990
997	514	4294968016	-0.2866	25934	25959
778	483	488	0.8823	25980	25965
8589935184	506	4294968016	-0.0043	25931	25965
712	478	514	-0.3487	25986	25941
996	489	509	-0.4316	25934	25998
17179869668	494	8589935310	-0.4227	25090	25990
8589935210	483	514	-0.3533	25895	25991
8589935171	488	8589935310	-0.2991	25149	25896
928	488	509	-0.1623	25966	25972
972	507	511	0.0401	25940	25913
4294968230	489	497	0.0615	25929	25941
4294968007	492	500	0.0248	25960	25971
923	485	509	-0.5060	25966	25950
12884902753	514	8589935310	-0.3124	25109	25997
606	488	514	-0.3886	25994	25828
4294967974	494	4294968016	-0.2123	25887	25826
17179869933	12884902569	12884902573	-0.4079	25596	25967
609	478	492	0.0135	25994	25989
17179870065	4294968016	12884902569	-0.4774	25597	25989
30064771991	4294968016	8589935310	-0.0398	25064	25945
4294967913	487	507	0.9493	25962	25974
4294967990	478	4294968016	-0.3689	25887	25999
817	478	494	-0.1765	25976	25652
4294968099	480	488	-0.0464	25965	25803
4294968005	500	514	-0.2619	25889	25986
8589935423	485	12884902573	-0.2078	25704	25840
12884902731	478	12884902569	-0.1438	25597	25838
811	492	497	0.0253	25977	25862
4294968013	492	509	-0.2239	25963	25911
741	483	506	-0.1497	25984	25901
12884902880	509	8589935310	0.9478	25121	25983
4294967787	487	494	0.9417	25865	25970
