# tick 28000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
507	12983.0371	0.4703	28001	0.4000	3,3,1	0.5000	61
12884902573	23701.5684	0.1939	27800	0.4000	1,1,0	0.5000	20
511	16541.6484	-0.1187	28001	0.4000	3,0,2	0.5000	50
478	19763.6680	0.4735	28001	0.4000	2,0,1	0.5000	33
506	17613.9062	0.4118	28001	0.4000	0,0,1	0.5000	1
480	19023.0527	-0.0377	28001	0.4000	0,2,3	0.5000	11
514	6633.6182	0.2923	28001	0.4000	0,0,3	0.5000	3
8589935310	14264.1660	0.4677	27150	0.4000	2,3,2	0.5000	46
483	22272.0742	-0.2529	28001	0.4000	0,2,0	0.5000	8
509	17749.5234	0.2946	28001	0.4000	3,3,0	0.5000	60
485	19496.2012	-0.0239	28001	0.4000	2,0,1	0.5000	33
12884902569	15733.6328	0.0755	27600	0.4000	3,3,3	0.5000	63
487	14339.7217	0.1223	28001	0.4000	2,1,2	0.5000	38
488	16523.5527	0.4547	28001	0.4000	3,3,3	0.5000	63
489	26800.8320	0.4933	28001	0.4000	3,1,3	0.5000	55
500	22771.9785	0.4662	28001	0.4000	0,3,1	0.5000	13
4294968016	20131.6172	-0.2642	27950	0.4000	2,1,0	0.5000	36
492	13026.2520	0.2863	28001	0.4000	1,1,2	0.5000	22
497	23309.5469	-0.1173	28001	0.4000	3,0,0	0.5000	48
494	6015.0288	-0.1895	28001	0.4000	2,3,0	0.5000	44
4294968420	13565.4590	0.4500	25000	0.4000	0,3,0	0.5000	12
12884902859	23386.3125	-0.0281	26750	0.4000	3,2,3	0.5000	59
4294968143	8581.0996	0.2370	26450	0.4000	1,2,2	0.5000	26
30064771983	8702.8037	0.3793	26500	0.4000	2,2,1	0.5000	41
4294968155	24386.6406	-0.2985	26300	0.4000	3,0,3	0.5000	51
4294967891	15348.2568	0.4567	26350	0.4000	2,0,2	0.5000	34
12884902403	15344.8242	0.1428	25900	0.4000	2,3,3	0.5000	47
8589935280	9954.7227	-0.0154	26050	0.4000	0,3,1	0.5000	13
12884902490	8771.4229	0.0864	25950	0.4000	0,3,3	0.5000	15
8589935352	19452.1816	0.2921	25500	0.4000	3,1,3	0.5000	55
12884902401	10504.9375	0.3978	25750	0.4000	0,3,1	0.5000	13
1032	11387.9434	-0.2252	25550	0.4000	3,0,0	0.5000	48
8589935375	14740.5605	0.3333	25600	0.4000	0,3,0	0.5000	12
25769804796	12222.6953	0.2216	24550	0.4000	1,2,1	0.5000	25
1059	11861.0752	-0.1609	25400	0.4000	1,3,1	0.5000	29
8589935766	28192.0703	-0.1913	24650	0.4000	1,2,0	0.5000	24
4294968519	16990.4629	-0.0980	24150	0.4000	0,3,2	0.5000	14
1240	18734.3867	0.4700	24300	0.4000	3,3,2	0.5000	62
17179871301	10172.9180	-0.1494	13250	0.4000	3,2,0	0.5000	56
60129543425	16642.9316	0.1006	22700	0.4000	0,2,3	0.5000	11
8589935960	1515.7546	0.4143	22850	0.4000	2,1,0	0.5000	36
17179870641	6045.1367	0.3297	21850	0.4000	3,3,2	0.5000	62
8589936004	9752.6816	0.3618	21750	0.4000	3,1,2	0.5000	54
64424510752	11677.7988	-0.1128	22450	0.4000	2,1,2	0.5000	38
17179870581	8016.1787	-0.2653	21700	0.4000	0,2,2	0.5000	10
270582941437	766.7088	-0.2100	1050	0.4000	3,1,0	0.5000	52
176093660808	1497.5765	0.4682	4800	0.4000	0,2,1	0.5000	9
55834576539	3559.5718	0.4911	18250	0.4000	3,3,2	0.5000	62
25769805477	10023.1729	0.3616	18300	0.4000	0,1,2	0.5000	6
1801	6976.4009	-0.0799	17800	0.4000	1,1,0	0.5000	20
25769805700	9847.6504	0.2618	16600	0.4000	2,2,1	0.5000	41
77309413186	6953.5718	-0.1227	15200	0.4000	2,0,3	0.5000	35
103079217078	5288.3823	-0.1721	11800	0.4000	3,1,1	0.5000	53
17179871197	9861.4199	0.1204	14000	0.4000	0,2,0	0.5000	8
4294969494	6365.9238	0.0167	10600	0.4000	1,1,0	0.5000	20
81604380696	7581.7617	0.3754	10800	0.4000	0,3,2	0.5000	14
25769806176	3184.5493	0.4221	8250	0.4000	2,1,2	0.5000	38
55834577283	5761.7446	-0.2796	7350	0.4000	1,2,2	0.5000	26
176093661464	893.2316	0.2827	2150	0.4000	2,3,2	0.5000	46
120259086268	76.4253	0.3905	150	0.4000	2,0,1	0.5000	33
133143988661	55.2929	-0.2014	50	0.4000	1,1,1	0.5000	21

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
1003	509	511	0.0552	27933	27987
516	480	485	-0.4548	28000	27903
4294967900	487	492	-0.1902	27881	27974
8589935068	4294968016	12884902573	-0.0065	27785	27964
4294968255	511	4294968016	-0.3334	27932	27913
8589935159	8589935310	12884902573	0.9960	27113	27998
4294968286	492	514	-0.2537	27867	27850
798	497	500	-0.0817	27978	27764
523	494	506	-0.2565	28000	27821
524	488	497	-0.1040	28000	27801
4294968124	500	4294968016	-0.3217	27877	27875
950	507	514	-0.1477	27953	27647
8589935085	511	12884902573	-0.0923	27781	27244
528	488	507	-0.2675	28000	27706
21474837167	478	8589935310	-0.2089	27144	27985
4294968009	494	12884902573	-0.3631	27799	27984
8589935152	483	12884902569	-0.4109	27578	27913
8589935422	487	12884902573	0.9685	27792	27984
4294968157	485	492	0.0759	27930	27831
4294967777	488	4294968016	-0.2245	27880	27763
8589935516	489	12884902573	-0.2229	27792	27976
8589935460	485	500	-0.4300	27857	27936
4294968131	507	12884902573	-0.2921	27799	27862
538	489	507	0.9649	27999	27997
796	488	492	-0.3046	27978	27977
4294967920	497	4294968016	-0.3792	27925	27971
541	478	489	-0.3824	27998	27986
8589935464	509	12884902573	-0.3610	27795	27836
795	487	509	-0.1966	27978	27812
8589935100	497	12884902573	-0.3222	27796	27793
8589935540	489	492	-0.2159	27869	27947
8589935509	485	488	-0.1820	27897	27801
17179870010	514	12884902569	-0.2785	27580	27998
4294968222	483	487	-0.2657	27948	27877
8589935321	487	514	-0.2608	27897	27857
4294968209	485	494	-0.3300	27960	27922
821	492	494	-0.3532	27976	27894
8589935411	483	12884902573	-0.2332	27796	27819
794	483	511	-0.2229	27978	27714
4294968106	494	507	-0.3842	27950	27959
4294967921	485	487	-0.2951	27925	27987
820	487	488	-0.1002	27976	27859
4294967926	480	487	-0.1710	27956	27878
558	483	489	-0.2431	27997	27879
30064771951	506	8589935310	-0.4816	27139	27964
12884902667	497	12884902569	-0.0270	27587	27668
561	487	497	0.0705	27997	27754
937	478	487	-0.3420	27954	27942
17179869880	485	4294968016	0.0317	27797	27843
991	487	500	-0.0099	27935	27959
565	478	500	-0.2589	27997	27909
1001	494	501	-0.0000	27933	67
12884902461	507	8589935310	-0.1457	27134	27988
973	478	497	-0.3546	27939	27969
946	480	494	-0.4727	27953	27966
570	506	507	-0.1044	27997	27980
17179869659	492	8589935310	-0.0789	27135	27945
4294967947	480	514	-0.3973	27926	27934
8589935338	489	12884902569	0.6270	27589	27946
1000	478	488	-0.1593	27933	27997
8589935191	478	509	-0.5269	27907	27974
17179869715	480	8589935310	-0.2165	27141	27850
4294968178	485	511	0.7523	27900	27955
8589935508	488	12884902569	-0.3415	27591	27930
8589935385	485	8589935310	0.9940	27130	27997
17179869888	492	12884902569	-0.1896	27592	27870
8589935203	487	8589935310	-0.2252	27130	27815
4294967795	492	4294968016	-0.2744	27850	27999
4294968280	506	514	-0.4744	27919	27965
4294968114	483	492	-0.1502	27869	27462
856	489	500	0.1221	27973	27944
962	487	511	-0.4467	27944	27973
929	478	513	-0.0000	27966	34
8589935323	506	511	0.7066	27816	27964
714	483	497	0.0823	27986	27860
939	483	509	-0.2110	27954	27833
591	485	489	-0.2457	27995	27892
997	514	4294968016	-0.0608	27934	27737
778	483	488	0.9881	27980	27994
8589935184	506	4294968016	-0.3390	27931	27975
712	478	514	-0.1505	27986	27946
996	489	509	-0.3342	27934	27819
17179869668	494	8589935310	-0.2566	27090	27771
8589935210	483	514	0.1417	27895	27975
8589935171	488	8589935310	-0.1238	27149	27876
928	488	509	-0.2886	27966	27750
972	507	511	-0.1675	27940	27889
4294968230	489	497	0.1061	27929	27998
4294968007	492	500	-0.2272	27960	27814
923	485	509	-0.2167	27966	27915
12884902753	514	8589935310	-0.3295	27109	27945
606	488	514	-0.2050	27994	27733
4294967974	494	4294968016	0.0614	27887	27987
17179869933	12884902569	12884902573	-0.1843	27596	27960
609	478	492	0.0105	27994	27825
17179870065	4294968016	12884902569	-0.2264	27597	27852
30064771991	4294968016	8589935310	-0.3747	27064	27926
4294967913	487	507	-0.2854	27962	27950
4294967990	478	4294968016	-0.2853	27887	27778
817	478	494	-0.1423	27976	27948
4294968099	480	488	-0.1279	27965	27840
4294968005	500	514	-0.2806	27889	27943
8589935423	485	12884902573	-0.1656	27704	27995
12884902731	478	12884902569	-0.4713	27597	27925
811	492	497	-0.0347	27977	27904
4294968013	492	509	-0.0002	27963	27944
741	483	506	-0.2849	27984	27863
12884902880	509	8589935310	-0.3559	27121	27971
4294967787	487	494	0.8051	27865	27993
