# tick 2000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
505	2178.4546	-0.0915	2001	0.4000	3,0,1	0.5000	49
511	3728.2466	0.4381	2001	0.4000	3,3,0	0.5000	60
477	5483.3174	0.1966	2001	0.4000	3,2,1	0.5000	57
478	5159.6738	0.4080	2001	0.4000	3,1,2	0.5000	54
508	3660.1475	0.1031	2001	0.4000	3,1,3	0.5000	55
493	2108.4141	-0.1159	2001	0.4000	3,2,3	0.5000	59
481	2882.7773	0.4036	2001	0.4000	1,0,2	0.5000	18
482	4071.6858	-0.1080	2001	0.4000	3,0,0	0.5000	48
496	3777.2109	0.1613	2001	0.4000	0,0,0	0.5000	0
484	3096.1011	-0.1805	2001	0.4000	3,1,0	0.5000	52
4294967886	1440.2148	0.2320	1900	0.4000	2,3,0	0.5000	44
513	1552.4849	0.0931	2001	0.4000	2,1,3	0.5000	39
501	1828.7719	-0.0787	2001	0.4000	2,2,3	0.5000	43
492	890.5942	-0.2824	2001	0.4000	0,2,0	0.5000	8
489	2109.9341	0.0511	2001	0.4000	1,3,3	0.5000	31
495	1593.4004	-0.0711	2001	0.4000	0,1,0	0.5000	4
491	2275.4941	0.2231	2001	0.4000	0,1,0	0.5000	4
12884902538	2768.9438	0.4962	1650	0.4000	3,1,2	0.5000	54
12884902437	250.5232	-0.2175	300	0.4000	0,1,3	0.5000	7
12884902710	832.6497	0.4910	1550	0.4000	0,1,2	0.5000	6
12884902631	1261.6091	0.0343	1500	0.4000	3,2,2	0.5000	58
4294968015	1550.4539	0.4118	1400	0.4000	2,2,0	0.5000	40
17179869909	915.3177	-0.0143	1150	0.4000	3,3,2	0.5000	62
34359738912	25.8326	-0.2354	350	0.4000	2,3,1	0.5000	45
17179869701	443.0892	0.2259	600	0.4000	0,0,0	0.5000	0
12884902734	45.2764	-0.1115	250	0.4000	0,3,0	0.5000	12
38654706321	22.1702	0.4520	150	0.4000	0,1,1	0.5000	5
8589935129	49.3274	-0.2941	50	0.4000	0,1,3	0.5000	7

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968125	505	513	-0.4533	1918	1932
933	482	505	-0.4789	1944	1821
4294967783	481	511	0.9920	1886	1996
8589935505	496	8589935242	-0.0036	1657	343
4294968138	514	4294967886	-0.0024	1859	141
905	484	509	-0.0020	1958	42
751	481	505	-0.4836	1983	2000
782	495	511	-0.4664	1980	1979
523	484	492	-0.3925	2000	1973
729	477	489	0.0211	1985	1951
4294968075	495	4294967886	-0.6370	1850	1916
4294967974	481	482	0.9600	1965	1987
4294967910	489	501	-0.3362	1956	1989
528	478	505	0.7734	2000	1996
8589935098	508	4294967886	-0.0807	1897	1894
904	484	511	-0.5808	1958	1955
681	496	508	-0.4989	1989	1980
671	489	513	-0.2307	1990	1926
4294967951	482	491	-0.5636	1940	1944
534	478	511	0.9627	1999	1981
717	478	501	0.9960	1986	1998
4294968124	477	482	-0.5201	1942	1950
4294967860	489	505	-0.4487	1898	1906
4294967963	481	513	-0.4198	1887	1986
780	508	511	0.0390	1980	1996
8589935402	484	489	-0.4348	1808	1855
866	495	505	-0.6107	1969	1875
8589935345	492	4294967886	-0.6410	1876	1991
8589935233	496	501	-0.4614	1930	1999
4294968066	489	511	0.9881	1963	1994
4294967844	495	496	0.8705	1982	1990
546	505	508	0.9940	1999	1997
4294967864	482	513	-0.2530	1898	1978
12884902700	501	511	-0.3692	1928	1985
675	481	489	-0.2589	1989	1697
716	477	492	-0.4259	1986	1874
840	478	508	-0.6901	1972	1962
880	495	508	-0.0575	1967	1986
4294967826	484	501	-0.0159	1949	1978
4294967865	495	501	-0.4765	1899	1995
555	489	492	-0.5081	1998	1778
862	491	511	-0.1740	1970	1956
4294967904	501	513	-0.7415	1965	1880
8589935354	496	511	0.1637	1902	1974
4294968080	482	508	0.9774	1937	1993
930	482	511	0.9724	1944	1989
785	477	493	0.9780	1979	1991
562	491	505	-0.4726	1998	1961
4294968210	478	492	-0.0546	1934	1900
4294967868	484	508	0.9724	1861	1986
4294968121	477	4294967886	-0.5672	1887	1966
566	477	501	0.7411	1997	2000
567	478	484	-0.1530	1997	1927
8589935096	495	513	-0.8044	1912	1957
730	492	495	-0.6391	1985	1984
8589935271	484	4294967886	-0.5978	1837	1907
4294968149	482	484	-0.3562	1906	1902
4294967903	493	496	0.9980	1982	1999
4294968023	477	478	-0.1640	1965	1894
869	505	511	-0.2509	1969	1864
575	477	511	0.8344	1997	1989
576	478	513	0.9881	1997	1994
4294968172	484	495	-0.2499	1902	1962
739	482	489	0.8556	1984	1997
4294968192	492	508	-0.5246	1902	1917
4294967991	513	4294967886	-0.5377	1889	1953
4294967954	492	501	0.9900	1905	1995
8589935099	481	493	-0.5379	1938	1961
738	478	493	0.8417	1984	2000
4294967918	491	496	-0.2584	1982	1877
17179869998	481	4294967886	-0.5749	1886	1997
4294967890	481	492	-0.8094	1962	1984
8589935294	477	495	-0.5287	1890	1769
4294968019	481	508	-0.7444	1956	1981
798	489	493	-0.7953	1978	1951
737	477	484	0.8564	1984	1999
4294968037	478	496	-0.2981	1885	1946
736	493	511	-0.4795	1985	1980
8589935134	481	491	-0.3495	1963	1666
4294968082	496	4294967886	-0.6166	1842	1872
595	481	495	-0.6000	1995	1971
4294968186	492	496	-0.5676	1953	1979
897	496	505	-0.2669	1961	1942
815	481	496	0.6906	1976	2000
599	492	513	-0.4639	1995	1996
4294968099	493	501	-0.5917	1910	1967
601	501	505	-0.2970	1995	1905
4294967965	489	495	-0.4699	1956	1797
870	484	491	0.9960	1968	1998
791	508	513	-0.2153	1979	1950
605	511	513	0.8130	1995	1957
4294968156	481	484	0.8821	1902	2000
4294968092	489	4294967886	-0.5213	1892	1843
4294968212	477	481	-0.1957	1915	1998
924	482	493	-0.0732	1945	1888
610	478	491	-0.2590	1994	1865
4294967931	491	508	0.9704	1903	1985
861	477	508	0.8447	1970	1975
4294968205	484	493	-0.3651	1910	1750
8589935137	481	501	-0.5428	1943	1940
4294968204	482	4294967886	-0.2598	1877	1775
8589935194	505	4294967886	-0.4449	1893	1863
685	496	513	0.9940	1989	1997
858	491	492	-0.6469	1970	1826
619	492	511	-0.5170	1994	1838
8589935119	482	495	0.8907	1935	1982
8589935225	493	505	-0.4752	1943	1934
4294967885	484	496	-0.6086	1962	1937
4294968133	478	482	-0.5735	1954	1947
4294968128	501	508	-0.5208	1911	1889
889	492	505	-0.5359	1962	1976
12884902727	511	4294967886	-0.4657	1895	1978
763	477	496	0.3265	1981	1998
628	491	513	-0.0983	1993	1918
629	482	492	-0.2914	1993	1790
630	493	495	-0.5108	1993	1765
631	478	495	-0.7328	1993	1961
4294968215	489	491	-0.6320	1908	1930
4294968147	493	513	-0.3034	1938	1843
4294967848	484	513	-0.4908	1964	1973
831	484	505	-0.4192	1974	1986
4294967911	491	495	-0.5272	1952	1973
8589935323	491	4294967886	-0.4915	1869	1944
4294968107	493	4294967886	-0.6223	1886	1914
734	477	505	1.0000	1985	2000
640	482	496	-0.3291	1992	1897
4294967849	478	481	-0.5247	1964	1967
642	491	501	-0.2584	1992	1950
643	493	508	-0.4084	1992	1966
850	478	489	0.7335	1971	1999
750	477	513	-0.5391	1983	1947
4294968084	482	501	-0.5351	1954	1979
4294968217	489	496	-0.7686	1943	1995
8589935111	491	493	-0.5694	1952	1985
707	492	493	-0.5281	1987	1970
4294968115	489	508	-0.3762	1934	1885
4294968116	501	4294967886	-0.7256	1885	1991
4294968155	477	491	0.9980	1954	1999
4294967989	478	4294967886	0.9940	1806	1997
17179869917	484	12884902538	-0.6839	1647	1979
