# tick 4000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
505	4306.4546	-0.0915	4001	0.4000	3,0,1	0.5000	49
511	9068.2461	0.4381	4001	0.4000	3,3,0	0.5000	60
477	9978.3174	0.1966	4001	0.4000	3,2,1	0.5000	57
478	9555.6738	0.4080	4001	0.4000	3,1,2	0.5000	54
508	5784.1475	0.1031	4001	0.4000	3,1,3	0.5000	55
493	3953.4141	-0.1159	4001	0.4000	3,2,3	0.5000	59
481	7885.7773	0.4036	4001	0.4000	1,0,2	0.5000	18
482	6487.6855	-0.1080	4001	0.4000	3,0,0	0.5000	48
496	6926.2109	0.1613	4001	0.4000	0,0,0	0.5000	0
484	6621.1011	-0.1805	4001	0.4000	3,1,0	0.5000	52
4294967886	3517.2148	0.2320	3900	0.4000	2,3,0	0.5000	44
513	2474.4849	0.0931	4001	0.4000	2,1,3	0.5000	39
501	4048.7720	-0.0787	4001	0.4000	2,2,3	0.5000	43
492	1960.5942	-0.2824	4001	0.4000	0,2,0	0.5000	8
489	4921.9341	0.0511	4001	0.4000	1,3,3	0.5000	31
495	2119.4004	-0.0711	4001	0.4000	0,1,0	0.5000	4
491	4741.4941	0.2231	4001	0.4000	0,1,0	0.5000	4
12884902538	5165.9438	0.4962	3650	0.4000	3,1,2	0.5000	54
12884902437	1462.5232	-0.2175	2300	0.4000	0,1,3	0.5000	7
12884902710	1830.6497	0.4910	3550	0.4000	0,1,2	0.5000	6
12884902631	3992.6091	0.0343	3500	0.4000	3,2,2	0.5000	58
4294968015	4391.4541	0.4118	3400	0.4000	2,2,0	0.5000	40
17179869909	3467.3179	-0.0143	3150	0.4000	3,3,2	0.5000	62
12884902425	1504.9697	-0.2866	1950	0.4000	0,0,3	0.5000	3
17179869701	1526.0892	0.2259	2600	0.4000	0,0,0	0.5000	0
25769804301	1361.7432	0.2030	1350	0.4000	3,3,0	0.5000	60
4294967812	1286.7814	-0.2256	1050	0.4000	2,3,3	0.5000	47
42949673823	1317.3716	0.3563	1200	0.4000	2,0,1	0.5000	33
12884902872	183.7376	-0.2169	200	0.4000	3,2,3	0.5000	59
21474837057	260.7740	0.4851	400	0.4000	2,0,1	0.5000	33
21474837408	107.3999	0.1436	50	0.4000	1,2,2	0.5000	26

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968125	505	513	-0.3825	3918	3840
933	482	505	-0.3222	3944	3833
4294967783	481	511	0.8942	3886	3999
8589935505	496	8589935242	-0.0001	3657	343
4294968138	514	4294967886	-0.0000	3859	141
905	484	509	-0.0000	3958	42
751	481	505	-0.2868	3983	3671
782	495	511	-0.0708	3980	3995
523	484	492	-0.5903	4000	3915
729	477	489	-0.3588	3985	3998
4294968075	495	4294967886	-0.4290	3850	3965
4294967974	481	482	0.9920	3965	3996
4294967910	489	501	-0.4375	3956	3817
528	478	505	0.7342	4000	3989
8589935098	508	4294967886	0.7564	3897	3985
904	484	511	-0.2730	3958	3936
681	496	508	-0.1242	3989	3999
671	489	513	-0.5067	3990	3939
4294967951	482	491	-0.1714	3940	3350
534	478	511	0.9226	3999	3999
717	478	501	0.1359	3986	3880
4294968124	477	482	-0.4907	3942	3986
4294967860	489	505	-0.6061	3898	3898
4294967963	481	513	-0.3569	3887	3611
780	508	511	-0.1583	3980	3823
8589935402	484	489	-0.3242	3808	3874
866	495	505	-0.6398	3969	4000
8589935345	492	4294967886	-0.4419	3876	3980
8589935233	496	501	-0.4125	3930	3997
4294968066	489	511	0.9861	3963	3993
4294967844	495	496	0.9841	3982	3992
546	505	508	0.9053	3999	3995
4294967864	482	513	-0.3688	3898	3946
12884902700	501	511	-0.3091	3928	3890
675	481	489	-0.3002	3989	3946
716	477	492	-0.5348	3986	3983
840	478	508	-0.3493	3972	3883
880	495	508	-0.3865	3967	3914
4294967826	484	501	-0.3799	3949	3883
4294967865	495	501	-0.5526	3899	3999
555	489	492	-0.3651	3998	3840
862	491	511	-0.1093	3970	3873
4294967904	501	513	-0.5110	3965	3990
8589935354	496	511	-0.1769	3902	3536
4294968080	482	508	-0.2969	3937	3954
930	482	511	0.9841	3944	3992
785	477	493	0.9920	3979	3996
562	491	505	-0.4571	3998	3982
4294968210	478	492	-0.6697	3934	3992
4294967868	484	508	0.8504	3861	3975
4294968121	477	4294967886	-0.4440	3887	3956
566	477	501	0.9960	3997	3998
567	478	484	-0.2234	3997	3798
8589935096	495	513	-0.6397	3912	3896
730	492	495	-0.4654	3985	3990
8589935271	484	4294967886	-0.4184	3837	3944
4294968149	482	484	0.6012	3906	3979
4294967903	493	496	0.9940	3982	3997
4294968023	477	478	-0.3679	3965	3992
869	505	511	0.1337	3969	3949
