# tick 6000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
505	7191.4546	-0.0915	6001	0.4000	3,0,1	0.5000	49
511	14033.2461	0.4381	6001	0.4000	3,3,0	0.5000	60
477	12497.3174	0.1966	6001	0.4000	3,2,1	0.5000	57
478	11423.6738	0.4080	6001	0.4000	3,1,2	0.5000	54
508	9795.1475	0.1031	6001	0.4000	3,1,3	0.5000	55
493	4451.4141	-0.1159	6001	0.4000	3,2,3	0.5000	59
481	10308.7773	0.4036	6001	0.4000	1,0,2	0.5000	18
482	8058.6855	-0.1080	6001	0.4000	3,0,0	0.5000	48
496	9714.2109	0.1613	6001	0.4000	0,0,0	0.5000	0
484	9508.1016	-0.1805	6001	0.4000	3,1,0	0.5000	52
4294967886	3617.2148	0.2320	5900	0.4000	2,3,0	0.5000	44
513	4320.4849	0.0931	6001	0.4000	2,1,3	0.5000	39
501	7656.7720	-0.0787	6001	0.4000	2,2,3	0.5000	43
492	3066.5942	-0.2824	6001	0.4000	0,2,0	0.5000	8
489	8375.9336	0.0511	6001	0.4000	1,3,3	0.5000	31
495	3446.4004	-0.0711	6001	0.4000	0,1,0	0.5000	4
491	6490.4941	0.2231	6001	0.4000	0,1,0	0.5000	4
12884902538	5675.9438	0.4962	5650	0.4000	3,1,2	0.5000	54
12884902437	2682.5232	-0.2175	4300	0.4000	0,1,3	0.5000	7
12884902710	3042.6497	0.4910	5550	0.4000	0,1,2	0.5000	6
12884902631	6024.6094	0.0343	5500	0.4000	3,2,2	0.5000	58
4294968015	8965.4541	0.4118	5400	0.4000	2,2,0	0.5000	40
17179869909	5377.3179	-0.0143	5150	0.4000	3,3,2	0.5000	62
12884902425	1613.9697	-0.2866	3950	0.4000	0,0,3	0.5000	3
17179869701	1908.0892	0.2259	4600	0.4000	0,0,0	0.5000	0
25769804301	4737.7432	0.2030	3350	0.4000	3,3,0	0.5000	60
4294967812	4098.7812	-0.2256	3050	0.4000	2,3,3	0.5000	47
42949673823	2771.3716	0.3563	3200	0.4000	2,0,1	0.5000	33
12884902872	3066.7375	-0.2169	2200	0.4000	3,2,3	0.5000	59
21474837057	3081.7739	0.4851	2400	0.4000	2,0,1	0.5000	33
12884902941	1109.7545	-0.2621	1300	0.4000	0,1,3	0.5000	7
68719477257	837.9956	-0.1719	1250	0.4000	0,1,2	0.5000	6
21474837466	1301.8994	0.3574	1100	0.4000	0,2,0	0.5000	8
30064772082	662.9335	-0.0527	700	0.4000	1,2,2	0.5000	26
47244641300	45.7365	-0.2292	100	0.4000	1,1,0	0.5000	20
8589935742	118.3497	0.2423	50	0.4000	3,0,1	0.5000	49

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968125	505	513	-0.3195	5918	5840
933	482	505	0.1613	5944	5942
4294967783	481	511	0.9841	5886	5992
8589935505	496	8589935242	-0.0000	5657	343
4294968138	514	4294967886	-0.0000	5859	141
905	484	509	-0.0000	5958	42
751	481	505	-0.0661	5983	5903
782	495	511	-0.4517	5980	5736
523	484	492	-0.5438	6000	5979
729	477	489	-0.3883	5985	5957
4294968075	495	4294967886	-0.4342	5850	5929
4294967974	481	482	0.3034	5965	5994
4294967910	489	501	-0.3510	5956	5983
528	478	505	-0.2989	6000	5858
8589935098	508	4294967886	0.9960	5897	5998
904	484	511	-0.3525	5958	5874
681	496	508	0.8863	5989	5999
671	489	513	-0.3631	5990	5892
4294967951	482	491	-0.4054	5940	5850
534	478	511	-0.1386	5999	5991
717	478	501	-0.3351	5986	5912
4294968124	477	482	-0.4200	5942	5911
4294967860	489	505	-0.2940	5898	5747
4294967963	481	513	-0.3484	5887	5873
780	508	511	0.0801	5980	5973
8589935402	484	489	-0.4221	5808	5961
866	495	505	-0.3861	5969	5933
8589935345	492	4294967886	-0.6098	5876	5936
8589935233	496	501	-0.2905	5930	5842
4294968066	489	511	-0.2733	5963	5975
4294967844	495	496	-0.4649	5982	5930
546	505	508	-0.3099	5999	5952
4294967864	482	513	-0.3919	5898	5973
12884902700	501	511	-0.3472	5928	5979
675	481	489	-0.0622	5989	5971
716	477	492	-0.4015	5986	5924
840	478	508	0.7802	5972	5932
880	495	508	-0.4667	5967	5843
4294967826	484	501	-0.4239	5949	5980
4294967865	495	501	-0.2812	5899	5995
555	489	492	-0.3725	5998	5968
862	491	511	-0.4242	5970	5984
4294967904	501	513	-0.1414	5965	5992
8589935354	496	511	-0.0986	5902	5994
4294968080	482	508	-0.2672	5937	5918
930	482	511	0.9763	5944	5988
785	477	493	0.8008	5979	5991
562	491	505	-0.3820	5998	5988
4294968210	478	492	-0.1243	5934	5974
4294967868	484	508	0.1805	5861	5977
4294968121	477	4294967886	-0.4891	5887	5982
566	477	501	-0.2236	5997	5721
567	478	484	-0.2847	5997	5892
8589935096	495	513	-0.4915	5912	5958
730	492	495	-0.2972	5985	5914
8589935271	484	4294967886	0.8747	5837	5988
4294968149	482	484	-0.3538	5906	5830
4294967903	493	496	-0.3035	5982	5888
4294968023	477	478	-0.4724	5965	6000
869	505	511	0.2481	5969	5995
575	477	511	0.3864	5997	5956
576	478	513	0.8635	5997	5996
4294968172	484	495	0.1412	5902	5915
739	482	489	-0.3698	5984	5962
4294968192	492	508	-0.1696	5902	5915
4294967991	513	4294967886	-0.4049	5889	5940
4294967954	492	501	0.9881	5905	5994
8589935099	481	493	-0.3988	5938	5967
738	478	493	-0.6634	5984	5994
4294967918	491	496	-0.5687	5982	5994
17179869998	481	4294967886	-0.4060	5886	5713
4294967890	481	492	-0.4143	5962	5832
8589935294	477	495	-0.2737	5890	5768
4294968019	481	508	-0.4706	5956	5889
798	489	493	-0.5337	5978	5907
737	477	484	-0.3546	5984	5809
4294968037	478	496	-0.3302	5885	5950
736	493	511	-0.6767	5985	5946
8589935134	481	491	-0.3717	5963	5935
4294968082	496	4294967886	-0.5314	5842	5741
595	481	495	-0.3055	5995	5977
4294968186	492	496	0.5929	5953	5991
897	496	505	-0.5267	5961	5924
815	481	496	-0.0583	5976	5879
599	492	513	-0.2315	5995	5981
4294968099	493	501	-0.3655	5910	5752
601	501	505	-0.4013	5995	5957
4294967965	489	495	-0.1927	5956	5989
870	484	491	-0.5637	5968	5838
791	508	513	0.4694	5979	5928
605	511	513	0.0451	5995	5931
4294968156	481	484	-0.7290	5902	5959
4294968092	489	4294967886	-0.6009	5892	5989
4294968212	477	481	-0.2989	5915	5960
924	482	493	-0.4559	5945	5878
610	478	491	-0.3380	5994	5847
4294967931	491	508	0.9920	5903	5996
861	477	508	-0.2872	5970	5954
4294968205	484	493	-0.1865	5910	5920
8589935137	481	501	-0.2337	5943	5919
4294968204	482	4294967886	-0.4390	5877	5810
8589935194	505	4294967886	-0.5406	5893	5972
685	496	513	0.9960	5989	5998
858	491	492	-0.2615	5970	5905
619	492	511	-0.3967	5994	5955
8589935119	482	495	-0.5505	5935	5979
8589935225	493	505	0.9608	5943	5980
4294967885	484	496	0.6106	5962	5997
4294968133	478	482	0.0580	5954	5968
4294968128	501	508	-0.3855	5911	5898
889	492	505	-0.3350	5962	5855
12884902727	511	4294967886	-0.3004	5895	5747
763	477	496	-0.2953	5981	5843
628	491	513	-0.1515	5993	5578
629	482	492	0.0059	5993	5923
630	493	495	-0.7205	5993	5962
631	478	495	-0.7255	5993	6000
4294968215	489	491	-0.3759	5908	5768
4294968147	493	513	-0.6121	5938	5984
4294967848	484	513	-0.2537	5964	5991
831	484	505	-0.3885	5974	5816
4294967911	491	495	-0.2542	5952	5765
8589935323	491	4294967886	-0.4944	5869	5995
4294968107	493	4294967886	-0.0514	5886	5999
734	477	505	0.9920	5985	5996
640	482	496	-0.1717	5992	5611
4294967849	478	481	-0.4884	5964	5995
642	491	501	0.0102	5992	5894
643	493	508	-0.2199	5992	5780
850	478	489	0.7463	5971	5990
750	477	513	-0.2695	5983	5870
4294968084	482	501	-0.1062	5954	5806
4294968217	489	496	-0.6513	5943	5932
8589935111	491	493	-0.3834	5952	5817
707	492	493	-0.2941	5987	5703
4294968115	489	508	-0.1373	5934	5601
4294968116	501	4294967886	-0.3900	5885	5879
4294968155	477	491	-0.3747	5954	5973
4294967989	478	4294967886	-0.3520	5806	5979
17179869917	484	12884902538	-0.5447	5647	5925
12884902678	496	12884902538	-0.3672	5643	5884
17179870041	482	12884902538	0.9802	5642	5990
17179869820	477	12884902538	-0.4913	5641	5930
21474837371	489	12884902538	0.9841	5639	5992
17179869678	491	12884902538	0.2146	5639	5996
21474837020	513	12884902538	-0.3227	5637	5758
17179869892	495	12884902538	-0.5490	5634	5981
17179869897	493	12884902538	-0.4415	5630	5868
21474837257	505	12884902538	-0.5289	5629	5910
21474837092	478	12884902538	-0.3287	5625	5986
12884902492	501	12884902538	-0.5608	5624	5997
12884902671	511	12884902538	-0.3694	5620	5868
8589935515	508	12884902538	-0.4352	5618	5830
8589935246	481	12884902538	-0.5304	5610	5907
12884902564	492	12884902538	-0.3024	5609	5878
68719477624	501	4294967812	0.8957	2973	5945
12884902688	492	12884902437	-0.3542	4297	5750
34359739002	482	12884902437	-0.1221	4263	5995
42949673541	12884902425	12884902631	-0.3865	3915	5873
17179869686	513	17179869701	-0.5001	4562	5822
8589935364	501	12884902437	-0.3276	4297	5829
8589935363	481	12884902437	-0.3670	4297	5942
8589935361	4294968015	12884902437	0.1304	4298	5942
12884902646	495	12884902425	0.3101	3915	5978
25769804285	478	12884902425	-0.1997	3919	5956
8589935446	505	4294968015	-0.4503	5349	5878
8589935459	489	4294968015	-0.3223	5303	5789
30064771867	12884902437	12884902631	0.9960	4264	5998
8589935078	495	4294968015	0.9861	5310	5993
8589935352	4294967886	12884902538	-0.4947	5568	5900
25769804624	505	12884902437	-0.5276	4269	5898
51539608197	495	25769804301	0.0013	3329	5951
21474837117	478	12884902437	-0.3518	4270	5889
8589935075	489	12884902710	-0.1549	5547	5929
8589935080	481	12884902710	-0.4222	5546	5936
12884902391	4294967886	12884902710	-0.3452	5546	5838
12884902553	508	12884902710	0.0087	5543	5986
8589935272	491	12884902710	-0.2818	5536	5838
8589935269	513	12884902710	-0.5646	5533	5954
12884902364	493	12884902710	-0.1479	5532	5926
8589935357	12884902538	12884902710	-0.2920	5526	5532
8589935356	477	12884902710	-0.3404	5522	5856
8589935426	4294967886	4294968015	-0.3639	5288	5904
12884902541	511	12884902710	-0.3275	5518	5918
30064771732	495	12884902437	-0.3292	4270	5846
4294967979	482	12884902710	-0.4239	5513	5905
8589935408	501	12884902710	0.9724	5512	5986
4294968089	478	12884902710	0.9455	5509	5972
12884902572	496	12884902710	-0.4067	5508	5955
4294968105	495	12884902710	-0.2883	5507	5861
8589935241	508	12884902631	-0.2408	5499	5869
8589935409	496	12884902631	-0.2996	5499	5747
4294968069	4294967886	12884902631	-0.4757	5496	5973
12884902423	492	12884902710	-0.5383	5495	5970
8589935507	484	12884902710	-0.4606	5494	5949
4294968095	501	12884902631	-0.4046	5490	5967
8589935336	495	12884902631	-0.2852	5489	5914
4294968074	12884902631	12884902710	-0.2147	5488	5969
8589935286	513	12884902631	0.0225	5483	5999
8589935413	493	12884902631	-0.3367	5479	5864
4294967832	484	12884902631	-0.5400	5476	5870
8589935072	477	12884902631	-0.1018	5474	5771
12884902774	491	12884902425	0.0156	3928	5954
8589935218	492	12884902631	0.6894	5470	5988
4294967962	478	12884902631	-0.3786	5469	5899
4294967958	482	12884902631	-0.5062	5462	5920
4294968123	491	12884902631	-0.1942	5451	5883
12884902593	4294968015	12884902538	0.9861	5387	5993
17179870029	489	12884902631	0.8209	5417	5973
4294967920	12884902538	12884902631	-0.4446	5444	5980
8589935238	511	12884902631	0.9724	5406	5986
8589935334	505	12884902710	-0.2787	5440	5787
8589935466	501	4294968015	0.7874	5390	6000
4294968206	478	4294968015	-0.1414	5393	5856
8589935465	482	4294968015	-0.2228	5394	5886
4294968062	491	4294968015	-0.3645	5395	5910
4294968139	496	4294968015	-0.2854	5397	5869
4294967899	481	12884902631	0.9743	5420	5987
12884902462	505	12884902631	1.0000	5425	6000
17179870040	492	4294968015	-0.3664	5382	5926
8589935240	513	4294968015	0.0120	5380	5964
12884902711	477	4294968015	-0.2564	5378	5944
38654706562	12884902437	17179869909	-0.3628	4274	5893
12884902419	481	4294968015	-0.1995	5374	5842
8589935142	4294968015	12884902710	-0.3840	5372	5922
12884902782	508	4294968015	-0.5073	5371	5966
8589935170	4294968015	12884902631	-0.4023	5369	5986
12884902535	484	4294968015	0.0981	5365	5999
8589935367	511	4294968015	-0.4220	5364	5976
21474837053	493	4294968015	-0.4862	5354	5967
8589935152	505	4294967812	-0.2990	2996	5834
17179869713	12884902425	17179869701	-0.4752	3933	5931
21474837406	505	12884902425	0.8747	3937	5975
21474837227	501	17179869909	-0.2596	5148	5973
47244640957	4294968015	25769804301	-0.3132	3330	5958
12884902743	4294968015	17179869909	-0.4093	5148	5923
12884902527	478	17179869909	-0.4045	5143	5831
21474837348	481	17179869909	-0.4409	5141	5839
12884902576	496	17179869909	-0.5510	5140	5878
12884902766	12884902538	17179869909	-0.3677	5139	5912
17179870095	12884902710	17179869909	-0.2831	5138	5726
42949673767	12884902437	17179869701	-0.3044	4281	5920
12884902612	513	17179869909	0.0069	5134	5921
17179869912	492	17179869909	-0.2600	5134	5924
12884902783	484	17179869909	-0.2820	5120	5492
12884902662	491	17179869909	0.9940	5118	5997
12884902363	477	17179869909	-0.4402	5117	5944
17179869684	495	17179869909	-0.2570	5112	5766
12884902577	4294967886	17179869909	-0.3711	5107	5972
8589935176	508	17179869909	0.9802	5082	5990
17179869809	489	17179869909	-0.5996	5090	5970
17179869988	511	17179869909	0.5931	5066	5990
17179869884	12884902631	17179869909	-0.3014	5067	5859
17179869971	482	17179869909	-0.4963	5095	5871
