# tick 8000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
505	10358.4551	-0.0915	8001	0.4000	3,0,1	0.5000	49
511	18162.2461	0.4381	8001	0.4000	3,3,0	0.5000	60
477	13525.3174	0.1966	8001	0.4000	3,2,1	0.5000	57
478	13525.6738	0.4080	8001	0.4000	3,1,2	0.5000	54
508	11006.1475	0.1031	8001	0.4000	3,1,3	0.5000	55
493	5216.4141	-0.1159	8001	0.4000	3,2,3	0.5000	59
481	13203.7773	0.4036	8001	0.4000	1,0,2	0.5000	18
482	7843.6855	-0.1080	8001	0.4000	3,0,0	0.5000	48
496	11152.2109	0.1613	8001	0.4000	0,0,0	0.5000	0
484	11701.1016	-0.1805	8001	0.4000	3,1,0	0.5000	52
4294967886	4044.2148	0.2320	7900	0.4000	2,3,0	0.5000	44
513	6095.4849	0.0931	8001	0.4000	2,1,3	0.5000	39
501	10289.7715	-0.0787	8001	0.4000	2,2,3	0.5000	43
492	4436.5942	-0.2824	8001	0.4000	0,2,0	0.5000	8
489	10084.9336	0.0511	8001	0.4000	1,3,3	0.5000	31
495	4659.4004	-0.0711	8001	0.4000	0,1,0	0.5000	4
491	8455.4941	0.2231	8001	0.4000	0,1,0	0.5000	4
12884902538	7057.9438	0.4962	7650	0.4000	3,1,2	0.5000	54
12884902437	5036.5234	-0.2175	6300	0.4000	0,1,3	0.5000	7
12884902710	3638.6497	0.4910	7550	0.4000	0,1,2	0.5000	6
12884902631	9270.6094	0.0343	7500	0.4000	3,2,2	0.5000	58
4294968015	11773.4541	0.4118	7400	0.4000	2,2,0	0.5000	40
17179869909	8223.3184	-0.0143	7150	0.4000	3,3,2	0.5000	62
12884902425	3321.9697	-0.2866	5950	0.4000	0,0,3	0.5000	3
17179869701	4060.0894	0.2259	6600	0.4000	0,0,0	0.5000	0
25769804301	6226.7432	0.2030	5350	0.4000	3,3,0	0.5000	60
4294967812	6443.7812	-0.2256	5050	0.4000	2,3,3	0.5000	47
42949673823	3796.3716	0.3563	5200	0.4000	2,0,1	0.5000	33
12884902872	5554.7373	-0.2169	4200	0.4000	3,2,3	0.5000	59
21474837057	6252.7739	0.4851	4400	0.4000	2,0,1	0.5000	33
12884902941	3488.7544	-0.2621	3300	0.4000	0,1,3	0.5000	7
68719477257	3526.9956	-0.1719	3250	0.4000	0,1,2	0.5000	6
21474837466	3937.8994	0.3574	3100	0.4000	0,2,0	0.5000	8
30064772082	3358.9336	-0.0527	2700	0.4000	1,2,2	0.5000	26
47244641300	1468.7366	-0.2292	2100	0.4000	1,1,0	0.5000	20
8589935742	1836.3496	0.2423	2050	0.4000	3,0,1	0.5000	49
12884903224	25.9874	0.1019	200	0.4000	2,1,3	0.5000	39
4294968493	841.6142	-0.0737	1800	0.4000	3,1,2	0.5000	54
12884903217	248.8617	-0.2884	500	0.4000	3,0,0	0.5000	48
30064772389	232.5269	-0.0341	300	0.4000	0,2,3	0.5000	11
1372	88.0536	0.1897	50	0.4000	0,3,0	0.5000	12
17179870403	98.5923	0.2767	100	0.4000	1,0,2	0.5000	18

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968125	505	513	-0.3521	7918	7872
933	482	505	-0.2206	7944	7852
4294967783	481	511	-0.3603	7886	7926
8589935505	496	8589935242	-0.0000	7657	343
4294968138	514	4294967886	-0.0000	7859	141
905	484	509	-0.0000	7958	42
751	481	505	-0.5313	7983	7995
782	495	511	-0.5341	7980	7989
523	484	492	-0.2017	8000	7764
729	477	489	-0.3997	7985	7928
4294968075	495	4294967886	-0.5648	7850	7975
4294967974	481	482	0.3702	7965	7989
4294967910	489	501	-0.4826	7956	7893
528	478	505	-0.1986	8000	7997
8589935098	508	4294967886	0.2070	7897	7892
904	484	511	-0.3206	7958	7958
681	496	508	1.0000	7989	8000
671	489	513	-0.4212	7990	7840
4294967951	482	491	0.2775	7940	7985
534	478	511	-0.3739	7999	7926
717	478	501	-0.2569	7986	7779
4294968124	477	482	-0.5433	7942	7941
4294967860	489	505	-0.3771	7898	7961
4294967963	481	513	-0.4844	7887	7915
780	508	511	-0.1015	7980	7769
8589935402	484	489	-0.5503	7808	7839
866	495	505	-0.3694	7969	7910
8589935345	492	4294967886	-0.3939	7876	7993
8589935233	496	501	-0.5350	7930	7948
4294968066	489	511	-0.0289	7963	8000
4294967844	495	496	-0.4827	7982	7979
546	505	508	-0.5252	7999	7900
4294967864	482	513	-0.1775	7898	7947
12884902700	501	511	-0.5154	7928	7960
675	481	489	-0.2699	7989	7772
716	477	492	-0.3125	7986	7759
840	478	508	0.8176	7972	7998
880	495	508	-0.1909	7967	7968
4294967826	484	501	-0.5366	7949	7907
4294967865	495	501	-0.3701	7899	7994
555	489	492	-0.2349	7998	7944
862	491	511	-0.1758	7970	7798
4294967904	501	513	-0.2251	7965	7611
8589935354	496	511	-0.4728	7902	7963
4294968080	482	508	-0.0624	7937	7998
930	482	511	-0.0737	7944	7979
785	477	493	-0.3268	7979	7950
562	491	505	-0.2621	7998	7697
4294968210	478	492	-0.3588	7934	7754
4294967868	484	508	-0.2081	7861	7691
4294968121	477	4294967886	-0.3729	7887	7984
566	477	501	-0.1800	7997	7985
567	478	484	-0.1368	7997	7844
8589935096	495	513	-0.1342	7912	7965
730	492	495	-0.2404	7985	7933
8589935271	484	4294967886	-0.3133	7837	7923
4294968149	482	484	-0.3224	7906	7828
4294967903	493	496	-0.2675	7982	7974
4294968023	477	478	-0.5386	7965	7901
869	505	511	0.9271	7969	7986
575	477	511	-0.3823	7997	7986
576	478	513	0.4351	7997	7948
4294968172	484	495	-0.6568	7902	7988
739	482	489	-0.5104	7984	7986
4294968192	492	508	0.9763	7902	7988
4294967991	513	4294967886	-0.1600	7889	7891
4294967954	492	501	-0.1391	7905	7983
8589935099	481	493	-0.1602	7938	7976
738	478	493	-0.4389	7984	7751
4294967918	491	496	0.3306	7982	7982
17179869998	481	4294967886	-0.3690	7886	7895
4294967890	481	492	-0.3361	7962	7811
8589935294	477	495	-0.3635	7890	7830
4294968019	481	508	-0.3459	7956	7978
798	489	493	-0.4745	7978	7971
737	477	484	-0.6410	7984	7946
4294968037	478	496	0.1463	7885	7953
736	493	511	-0.5151	7985	7992
8589935134	481	491	-0.3049	7963	7983
