# tick 10000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
505	12934.4551	-0.0915	10001	0.4000	3,0,1	0.5000	49
511	21266.2461	0.4381	10001	0.4000	3,3,0	0.5000	60
477	15246.3174	0.1966	10001	0.4000	3,2,1	0.5000	57
478	13149.6738	0.4080	10001	0.4000	3,1,2	0.5000	54
508	12138.1475	0.1031	10001	0.4000	3,1,3	0.5000	55
493	5948.4141	-0.1159	10001	0.4000	3,2,3	0.5000	59
481	14540.7773	0.4036	10001	0.4000	1,0,2	0.5000	18
482	9537.6855	-0.1080	10001	0.4000	3,0,0	0.5000	48
496	12424.2109	0.1613	10001	0.4000	0,0,0	0.5000	0
484	12531.1016	-0.1805	10001	0.4000	3,1,0	0.5000	52
4294967886	3934.2148	0.2320	9900	0.4000	2,3,0	0.5000	44
513	7255.4849	0.0931	10001	0.4000	2,1,3	0.5000	39
501	15127.7715	-0.0787	10001	0.4000	2,2,3	0.5000	43
492	7266.5942	-0.2824	10001	0.4000	0,2,0	0.5000	8
489	10276.9336	0.0511	10001	0.4000	1,3,3	0.5000	31
495	5410.4004	-0.0711	10001	0.4000	0,1,0	0.5000	4
491	10787.4941	0.2231	10001	0.4000	0,1,0	0.5000	4
12884902538	8601.9434	0.4962	9650	0.4000	3,1,2	0.5000	54
12884902437	7434.5234	-0.2175	8300	0.4000	0,1,3	0.5000	7
12884902710	4578.6494	0.4910	9550	0.4000	0,1,2	0.5000	6
12884902631	10702.6094	0.0343	9500	0.4000	3,2,2	0.5000	58
4294968015	14517.4541	0.4118	9400	0.4000	2,2,0	0.5000	40
17179869909	9477.3184	-0.0143	9150	0.4000	3,3,2	0.5000	62
12884902425	4177.9697	-0.2866	7950	0.4000	0,0,3	0.5000	3
17179869701	7045.0894	0.2259	8600	0.4000	0,0,0	0.5000	0
25769804301	8175.7432	0.2030	7350	0.4000	3,3,0	0.5000	60
4294967812	7601.7812	-0.2256	7050	0.4000	2,3,3	0.5000	47
42949673823	4982.3716	0.3563	7200	0.4000	2,0,1	0.5000	33
12884902872	7255.7373	-0.2169	6200	0.4000	3,2,3	0.5000	59
21474837057	8294.7734	0.4851	6400	0.4000	2,0,1	0.5000	33
12884902941	5552.7544	-0.2621	5300	0.4000	0,1,3	0.5000	7
68719477257	4609.9956	-0.1719	5250	0.4000	0,1,2	0.5000	6
21474837466	5520.8994	0.3574	5100	0.4000	0,2,0	0.5000	8
30064772082	6284.9336	-0.0527	4700	0.4000	1,2,2	0.5000	26
47244641300	4241.7363	-0.2292	4100	0.4000	1,1,0	0.5000	20
8589935742	4362.3496	0.2423	4050	0.4000	3,0,1	0.5000	49
12884903281	1630.3523	-0.0008	1500	0.4000	2,0,2	0.5000	34
4294968493	2120.6143	-0.0737	3800	0.4000	3,1,2	0.5000	54
8589936124	85.0013	0.0864	50	0.4000	0,3,1	0.5000	13
30064772389	3417.5269	-0.0341	2300	0.4000	0,2,3	0.5000	11
1451	1184.7122	-0.0258	1550	0.4000	0,2,3	0.5000	11
17179870403	950.5923	0.2767	2100	0.4000	1,0,2	0.5000	18
12884903360	73.9397	0.1999	300	0.4000	0,2,0	0.5000	8
30064772549	105.7357	0.0025	200	0.4000	2,3,2	0.5000	46

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968125	505	513	-0.4220	9918	9923
933	482	505	-0.2379	9944	9728
4294967783	481	511	-0.2021	9886	9734
8589935505	496	8589935242	-0.0000	9657	343
4294968138	514	4294967886	-0.0000	9859	141
905	484	509	-0.0000	9958	42
751	481	505	0.4363	9983	9996
782	495	511	-0.2922	9980	9847
523	484	492	-0.3544	10000	9979
729	477	489	0.2736	9985	9977
4294968075	495	4294967886	-0.6587	9850	9947
4294967974	481	482	0.3667	9965	9957
4294967910	489	501	-0.2779	9956	9930
528	478	505	0.0691	10000	9993
8589935098	508	4294967886	0.0204	9897	9982
904	484	511	-0.2755	9958	9738
681	496	508	0.4020	9989	9941
671	489	513	0.1453	9990	9910
4294967951	482	491	0.1235	9940	9988
534	478	511	-0.2621	9999	9922
717	478	501	-0.3779	9986	9848
4294968124	477	482	-0.3219	9942	9988
4294967860	489	505	-0.2374	9898	9733
4294967963	481	513	0.4333	9887	9985
780	508	511	-0.3497	9980	9860
8589935402	484	489	-0.4333	9808	9993
866	495	505	0.6502	9969	9986
8589935345	492	4294967886	-0.2926	9876	9764
8589935233	496	501	0.4799	9930	9980
4294968066	489	511	-0.2855	9963	9983
4294967844	495	496	-0.3678	9982	9949
546	505	508	-0.1295	9999	9597
4294967864	482	513	0.1121	9898	9896
12884902700	501	511	-0.1443	9928	9999
675	481	489	-0.5196	9989	10000
716	477	492	0.0527	9986	9935
840	478	508	-0.1118	9972	9847
880	495	508	-0.2997	9967	9926
4294967826	484	501	0.3824	9949	9966
4294967865	495	501	-0.4678	9899	9932
555	489	492	-0.2266	9998	9994
862	491	511	-0.1101	9970	9855
4294967904	501	513	-0.3623	9965	9972
8589935354	496	511	-0.2396	9902	9850
4294968080	482	508	-0.1006	9937	9830
930	482	511	-0.3776	9944	9879
785	477	493	-0.4149	9979	9982
562	491	505	-0.2810	9998	9956
4294968210	478	492	-0.3791	9934	9835
4294967868	484	508	0.1029	9861	9735
4294968121	477	4294967886	-0.2884	9887	9768
566	477	501	-0.4520	9997	9974
567	478	484	-0.2788	9997	9908
8589935096	495	513	-0.3263	9912	9964
730	492	495	-0.0794	9985	9973
8589935271	484	4294967886	-0.3456	9837	9943
4294968149	482	484	-0.2992	9906	9937
4294967903	493	496	-0.5141	9982	9939
4294968023	477	478	-0.3270	9965	9747
869	505	511	0.5158	9969	9947
575	477	511	-0.2800	9997	9881
576	478	513	-0.1988	9997	9969
4294968172	484	495	-0.4871	9902	9859
739	482	489	-0.3502	9984	9979
4294968192	492	508	0.9980	9902	9999
4294967991	513	4294967886	-0.2606	9889	9706
4294967954	492	501	-0.1542	9905	9878
8589935099	481	493	-0.2569	9938	9906
738	478	493	-0.5093	9984	9990
4294967918	491	496	0.9714	9982	9999
17179869998	481	4294967886	-0.1055	9886	9923
4294967890	481	492	-0.3425	9962	9970
8589935294	477	495	-0.2915	9890	9926
4294968019	481	508	-0.1388	9956	9967
798	489	493	-0.4150	9978	9975
737	477	484	-0.0643	9984	9914
4294968037	478	496	-0.4198	9885	9928
736	493	511	-0.1554	9985	9951
8589935134	481	491	-0.6110	9963	9958
4294968082	496	4294967886	-0.2696	9842	9899
595	481	495	-0.4684	9995	9983
4294968186	492	496	0.2275	9953	9960
897	496	505	-0.2984	9961	9940
815	481	496	-0.2653	9976	9917
